Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-4.8000	-4.6000	0.0017	0.0000	0.0017	0.0000	0.0000	0.0000	96.9369	3.3922	8.2436	96.9962	97.2868	7.5134	0.3849	3.3669	0.1515	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-4.6000	-4.4000	0.0006	1.0000	0.0006	0.0000	0.0000	0.0000	100.0000	12.3697	8.9883	100.7621	100.4031	12.3213	0.3972	0.7335	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-4.2000	-4.0000	0.0048	0.0000	0.0002	0.0000	0.0046	0.0000	96.0649	135.6975	60.9419	166.2596	113.7646	135.6724	0.4016	2.4904	0.6586	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-4.0000	-3.8000	1.2538	0.0000	0.0025	1.1989	0.0302	0.0223	95.6679	28.2529	23.8497	99.7526	98.5959	27.9597	0.4001	3.9890	0.6396	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-3.8000	-3.6000	0.0077	0.0000	0.0020	0.0000	0.0057	0.0000	78.1653	130.8025	60.3321	152.3782	98.7410	130.7014	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-3.4000	-3.2000	0.0064	2.0000	0.0001	0.0000	0.0000	0.0063	98.5399	47.2762	29.3563	109.2939	102.8198	46.6464	0.5050	7.4789	1.7231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-3.2000	-3.0000	0.0870	0.0000	0.0011	0.0081	0.0778	0.0000	74.5619	2.8393	11.4034	74.6160	75.4289	11.0971	0.4769	2.1646	1.4068	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	-3.0000	-2.8000	0.0224	2.0000	0.0224	0.0000	0.0000	0.0000	99.3708	3.9712	7.4938	99.4501	99.6530	7.3693	0.3979	1.2337	0.4117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	-2.8000	-2.6000	0.0224	0.0000	0.0002	0.0000	0.0000	0.0222	99.2879	5.6113	19.8798	99.4463	101.2586	19.7202	0.5053	1.5273	1.9320	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	0.1433	2.0000	0.0006	0.0000	0.1427	0.0000	70.4875	9.5676	11.7280	71.1338	71.4565	11.3184	0.3974	3.0277	0.3384	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	-2.4000	-2.2000	0.1210	0.0000	0.0029	0.0574	0.0606	0.0000	69.0464	8.2646	11.1034	69.5393	69.9335	10.9381	0.3995	1.8165	0.4285	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	-2.2000	-2.0000	0.0001	1.0000	0.0001	0.0000	0.0000	0.0000	82.2933	19.5952	16.4229	84.5941	83.9160	18.4181	0.5061	6.4835	1.5661	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	-2.0000	-1.8000	0.0259	1.0000	0.0001	0.0258	0.0000	0.0000	99.4589	65.5904	53.0437	119.1393	112.7196	65.5789	0.3978	0.9166	0.7135	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	-1.8000	-1.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.4441	27.6272	15.8767	57.5141	52.8836	27.5609	0.4241	1.6294	0.9074	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	-1.6000	-1.4000	0.0572	1.0000	0.0001	0.0135	0.0424	0.0012	77.7815	6.9101	13.1090	78.0879	78.8785	12.9197	0.4779	1.4462	1.6142	0.0000	0.0000	0.0000	0.0000	0.0177	0.0177
19	-1.4000	-1.2000	0.0040	0.0000	0.0003	0.0031	0.0000	0.0005	80.0491	118.1151	55.2885	142.6851	97.2866	118.0349	0.4001	4.2994	0.5375	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	-1.2000	-1.0000	0.0672	0.0000	0.0000	0.0499	0.0173	0.0000	78.5770	19.9581	16.6240	81.0721	80.3163	19.1141	0.3972	5.7258	0.1822	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
21	-1.0000	-0.8000	0.0756	0.0000	0.0044	0.0000	0.0710	0.0003	93.9367	35.3983	41.3692	100.3850	102.6427	41.3535	0.4034	0.7860	0.7170	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	-0.8000	-0.6000	0.0758	0.0000	0.0001	0.0000	0.0757	0.0000	99.6833	4.6244	11.8035	99.7905	100.3797	11.7242	0.3974	1.1578	0.6072	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	-0.6000	-0.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	88.1295	4.1391	4.6169	88.2266	88.2503	2.0535	0.4032	4.0857	0.4927	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
24	-0.4000	-0.2000	0.0347	0.0000	0.0004	0.0000	0.0342	0.0000	98.7201	25.3272	16.4056	101.9173	100.0740	24.1774	0.5050	7.5275	0.0069	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
25	-0.2000	0.0000	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	70.3353	4.4395	9.3061	70.4753	70.9483	8.1789	0.3978	4.3727	0.6559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
26	0.0000	0.2000	0.0204	0.0000	0.0001	0.0000	0.0001	0.0202	98.9379	22.7864	21.7255	101.5280	101.2952	21.4492	0.5053	7.4779	1.7256	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
27	0.2000	0.4000	0.0247	0.0000	0.0000	0.0000	0.0000	0.0247	99.8129	9.3354	17.2253	100.2486	101.2884	16.9666	0.5061	2.3642	1.7316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
28	0.4000	0.6000	0.0890	0.0000	0.0017	0.0555	0.0318	0.0000	71.8799	3.4115	3.5611	71.9608	71.9680	2.9292	0.4362	1.8460	0.7095	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
29	0.6000	0.8000	0.0004	0.0000	0.0004	0.0000	0.0000	0.0000	99.8529	18.4379	14.0863	101.5409	100.8416	17.8033	0.5060	4.3568	1.9396	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.8000	1.0000	0.0970	0.0000	0.0396	0.0574	0.0000	0.0000	67.9863	20.8379	29.1313	71.1081	73.9647	29.0918	0.4414	1.1583	0.8726	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
