Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	0.0008	0.0000	0.0004	0.0000	0.0000	0.0004	66.0540	6.5365	12.0050	66.3766	67.1360	10.2554	0.9507	6.2315	1.0484	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	50.0000	100.0000	0.1306	0.0000	0.0006	0.0792	0.0303	0.0204	41.5138	8.8600	11.9354	42.4487	43.1955	10.5493	0.9173	5.6159	0.6154	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000
3	100.0000	150.0000	0.5421	0.0000	0.0035	0.2065	0.3228	0.0094	53.9363	13.2046	53.1002	55.5292	75.6886	5.9761	0.9542	6.7177	1.5296	0.0000	0.0000	0.0000	0.0000	0.0007	52.3236
4	150.0000	200.0000	0.5638	0.0000	0.0600	0.1216	0.3173	0.0649	50.7955	33.0720	52.6392	60.6130	73.1510	9.4927	0.9011	5.8527	0.5597	0.0000	0.0000	0.0000	0.0000	0.0654	51.4537
5	200.0000	250.0000	0.3565	0.0000	0.1437	0.1486	0.0433	0.0209	35.0348	17.8204	28.2170	39.3065	44.9848	15.2442	0.9140	8.9456	1.4019	0.0000	0.0000	0.0000	0.0000	0.0242	26.8111
6	250.0000	300.0000	0.1514	0.0000	0.0447	0.0197	0.0517	0.0353	34.4816	40.8134	5.6593	53.4295	34.9429	2.0615	0.9320	5.4018	1.0233	0.0000	0.0000	0.0000	0.0000	19.6121	35.2953
7	300.0000	350.0000	0.3251	0.0000	0.0984	0.0229	0.0816	0.1221	32.1436	9.8247	10.8210	33.6116	33.9162	7.8379	0.8796	5.6604	0.7564	0.0000	0.0000	0.0000	0.0000	9.1692	1.3065
8	350.0000	400.0000	0.1943	0.0000	0.0901	0.0099	0.0477	0.0466	37.2298	14.0145	45.1916	39.7802	58.5520	6.9958	0.8964	4.9883	1.1121	0.0000	0.0000	0.0000	0.0000	4.6186	44.1163
9	400.0000	450.0000	0.0823	0.0000	0.0658	0.0155	0.0000	0.0010	32.7229	29.4730	20.8349	44.0391	38.7928	15.1135	0.9241	7.2409	1.2225	0.0000	0.0000	0.0000	0.0000	16.2201	17.9547
10	450.0000	500.0000	0.1264	0.0000	0.0616	0.0000	0.0648	0.0000	56.8406	11.6725	14.5263	58.0267	58.6674	10.4027	0.8462	5.1403	0.9444	0.0000	0.0000	0.0000	0.0000	1.0309	8.6851
11	500.0000	550.0000	0.0598	0.0000	0.0489	0.0000	0.0016	0.0093	53.7044	14.7984	51.7360	55.7060	74.5706	13.4124	0.8454	5.1076	0.8919	0.0000	0.0000	0.0000	0.0000	0.3854	50.7103
12	550.0000	600.0000	0.0512	0.0000	0.0468	0.0000	0.0000	0.0044	61.3671	9.2788	63.2930	62.0647	88.1586	7.0840	0.8936	5.7429	1.4604	0.0000	0.0000	0.0000	0.0000	0.4133	62.7753
13	600.0000	650.0000	0.0612	0.0000	0.0113	0.0000	0.0499	0.0000	81.6786	58.7521	15.7932	100.6141	83.1914	15.0962	0.9043	4.5238	0.7920	0.0000	0.0000	0.0000	0.0000	0.1837	57.4805
14	650.0000	700.0000	0.0735	0.0000	0.0637	0.0000	0.0000	0.0098	56.3653	6.1308	58.1405	56.6978	80.9776	9.5825	0.8016	4.1083	0.5723	0.0000	0.0000	0.0000	0.0000	32.6233	46.9799
15	700.0000	750.0000	0.0116	0.0000	0.0116	0.0000	0.0000	0.0000	61.6634	283.6110	53.9981	290.2371	81.9645	11.2648	0.8855	4.9105	0.5499	0.0000	0.0000	0.0000	0.0000	206.7581	193.8212
16	750.0000	800.0000	0.0149	0.0000	0.0149	0.0000	0.0000	0.0000	80.0347	15.2997	81.8974	81.4839	114.5108	13.3194	0.8058	2.5900	0.7052	0.0000	0.0000	0.0000	0.0000	1.5263	80.8149
17	800.0000	850.0000	0.0021	0.0000	0.0021	0.0000	0.0000	0.0000	27.9897	40.4139	17.7038	49.1600	33.1187	13.7661	0.8373	5.0166	0.5426	0.0000	0.0000	0.0000	0.0000	11.2979	37.6502
18	850.0000	900.0000	0.0043	0.0000	0.0043	0.0000	0.0000	0.0000	43.8902	3.0546	9.8552	43.9963	44.9830	8.3165	0.8164	2.8595	0.6879	0.0000	0.0000	0.0000	0.0000	0.2153	4.3375
19	900.0000	950.0000	0.0037	0.0000	0.0037	0.0000	0.0000	0.0000	36.2557	30.2170	14.9857	47.1968	39.2307	9.0910	0.8037	4.7423	0.5448	0.0000	0.0000	0.0000	0.0000	0.4589	28.4038
20	950.0000	1000.0000	0.0025	0.0000	0.0025	0.0000	0.0000	0.0000	56.9112	14.4099	64.8956	58.7071	86.3152	8.1818	0.8435	6.1838	0.4297	0.0000	0.0000	0.0000	0.0000	0.0277	64.1641
21	1000.0000	1050.0000	0.0039	0.0000	0.0003	0.0036	0.0000	0.0000	91.4732	95.4148	100.9238	132.1791	136.2093	94.8757	0.8985	9.7948	0.1589	0.0000	0.0000	0.0000	0.0000	0.1723	83.1108
22	1050.0000	1100.0000	0.0009	0.0000	0.0009	0.0000	0.0000	0.0000	78.0638	410.6852	14.8319	418.0386	79.4604	22.6407	0.7969	1.9276	0.6998	0.0000	0.0000	0.0000	0.0000	0.7234	410.0547
23	1100.0000	1150.0000	0.0003	0.0000	0.0003	0.0000	0.0000	0.0000	53.4143	19.2145	10.0337	56.7651	54.3485	6.7226	0.8065	4.1108	0.5727	0.0000	0.0000	0.0000	0.0000	4.7203	18.3475
24	1150.0000	1200.0000	0.0003	0.0000	0.0001	0.0000	0.0001	0.0000	53.7640	11.2542	12.8094	54.9293	55.2689	4.7154	0.8769	4.8291	1.3064	0.0000	0.0000	0.0000	0.0000	9.3404	10.8282
25	1200.0000	1250.0000	0.0004	0.0000	0.0004	0.0000	0.0000	0.0000	50.1634	41.7699	8.2120	65.2770	50.8311	4.3427	0.8784	7.8786	0.4104	0.0000	0.0000	0.0000	0.0000	3.1995	40.7780
26	1250.0000	1300.0000	0.0010	0.0000	0.0010	0.0000	0.0000	0.0000	69.0669	20.1185	59.2281	71.9374	90.9847	19.9659	0.7952	2.2322	0.7077	0.0000	0.0000	0.0000	0.0000	0.5183	57.1385
27	1300.0000	1350.0000	0.0002	0.0000	0.0002	0.0000	0.0000	0.0000	96.9875	364.5114	19.0636	377.1938	98.8433	18.7700	0.7970	3.2651	0.4009	0.0000	0.0000	0.0000	0.0000	3.1460	364.0469
28	1350.0000	1400.0000	0.0003	0.0000	0.0003	0.0000	0.0000	0.0000	59.6284	11.6426	47.8960	60.7543	76.4824	6.3915	0.7989	9.6622	0.1573	0.0000	0.0000	0.0000	0.0000	0.8229	46.7176
