Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
12	-2.8000	-2.6000	0.0006	0.0000	0.0006	0.0000	0.0000	0.0000	49.3497	37.3144	25.7178	61.8689	55.6489	36.8505	0.5061	5.8147	0.5781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	3.5094	7.0000	3.2489	0.0392	0.0284	0.1929	18.5294	6.8316	7.1581	19.7487	19.8640	1.8868	0.5061	6.4083	1.3727	0.0000	0.0000	0.0000	0.0000	0.0042	2.1148
14	-2.4000	-2.2000	24.5586	27.0000	23.2193	0.0887	0.4792	0.7714	9.9051	11.8963	16.0827	15.4801	18.8882	4.1255	0.5061	6.3240	1.5396	0.0000	0.0000	0.0000	0.0000	3.6371	13.6303
15	-2.2000	-2.0000	39.5145	44.0000	36.0589	0.2493	1.3534	1.8528	6.1510	7.7091	5.8865	9.8623	8.5138	0.7436	0.5059	4.8653	1.6379	0.0000	0.0000	0.0000	0.0000	0.2614	5.6745
16	-2.0000	-1.8000	59.9478	58.0000	56.0813	0.3646	1.2931	2.2089	5.4008	4.2425	4.6800	6.8679	7.1464	1.3177	0.5048	3.3930	1.5936	0.0000	0.0000	0.0000	0.0000	0.8838	2.2535
17	-1.8000	-1.6000	62.1198	72.0000	57.1702	0.4232	1.3250	3.2013	3.8293	3.2494	3.7972	5.0222	5.3928	1.5757	0.4934	2.3159	1.5073	0.0000	0.0000	0.0000	0.0000	0.1520	2.0084
18	-1.6000	-1.4000	59.4883	62.0000	54.4930	0.4744	1.5149	3.0059	3.8801	4.7191	4.0513	6.1095	5.6097	3.3030	0.4302	2.4102	0.9416	0.0000	0.0000	0.0000	0.0000	0.2022	2.1164
19	-1.4000	-1.2000	88.1541	67.0000	80.7262	0.8553	1.7717	4.8009	4.0279	4.4808	3.2022	6.0251	5.1457	2.5450	0.3959	2.0933	0.5405	0.0000	0.0000	0.0000	0.0000	1.0578	2.7660
20	-1.2000	-1.0000	94.9706	88.0000	86.3218	1.3206	1.8846	5.4436	3.7978	3.2462	2.6287	4.9961	4.6188	0.6974	0.3972	2.1166	0.5215	0.0000	0.0000	0.0000	0.0000	0.1669	2.2613
21	-1.0000	-0.8000	97.8891	84.0000	88.6686	1.4046	2.2509	5.5651	3.3857	3.5984	3.4040	4.9408	4.8011	2.0279	0.3972	2.2295	0.5305	0.0000	0.0000	0.0000	0.0000	0.0751	1.8788
22	-0.8000	-0.6000	95.4754	87.0000	85.7330	1.8364	1.6368	6.2692	3.5038	3.0827	2.7376	4.6669	4.4465	0.5741	0.3972	2.3531	0.5192	0.0000	0.0000	0.0000	0.0000	0.1303	1.7914
23	-0.6000	-0.4000	99.3725	86.0000	89.1535	1.5474	1.9839	6.6877	3.0676	3.3434	2.9633	4.5375	4.2651	0.7298	0.3972	2.4396	0.5191	0.0000	0.0000	0.0000	0.0000	0.0770	2.0651
24	-0.4000	-0.2000	103.3539	69.0000	92.5651	1.7055	1.7905	7.2928	3.5133	2.9671	2.8721	4.5986	4.5379	1.0787	0.3972	2.3006	0.5398	0.0000	0.0000	0.0000	0.0000	0.2863	1.6003
25	-0.2000	0.0000	100.1189	71.0000	89.7342	1.7218	1.5183	7.1446	3.2532	3.5214	3.4724	4.7941	4.7583	2.1133	0.3972	2.1739	0.5390	0.0000	0.0000	0.0000	0.0000	0.4808	1.6555
26	0.0000	0.2000	98.2245	78.0000	87.5695	1.7694	1.9482	6.9373	3.2096	2.4076	2.3117	4.0122	3.9554	0.3293	0.3972	1.7564	0.5333	0.0000	0.0000	0.0000	0.0000	0.0345	1.4695
27	0.2000	0.4000	98.0299	98.0000	87.4487	1.4806	1.8519	7.2488	3.2519	3.1176	2.2579	4.5049	3.9589	0.9481	0.3972	1.6826	0.5332	0.0000	0.0000	0.0000	0.0000	0.1169	2.3524
28	0.4000	0.6000	102.5437	78.0000	91.4276	1.7126	2.0932	7.3103	3.3668	3.5229	2.4110	4.8730	4.1410	2.3127	0.3972	1.6206	0.5379	0.0000	0.0000	0.0000	0.0000	0.1188	1.9972
29	0.6000	0.8000	88.8748	65.0000	79.0113	1.4870	1.8606	6.5159	3.1645	2.9953	2.2637	4.3573	3.8908	0.2683	0.3972	1.6220	0.5185	0.0000	0.0000	0.0000	0.0000	0.1595	2.4267
30	0.8000	1.0000	97.1988	85.0000	87.0987	1.5885	2.4655	6.0461	3.2845	2.9237	3.1129	4.3972	4.5253	0.8173	0.3972	1.8961	0.5371	0.0000	0.0000	0.0000	0.0000	0.2065	2.2304
31	1.0000	1.2000	96.2259	79.0000	87.9670	1.1229	2.1269	5.0091	3.7284	3.3556	3.2546	5.0161	4.9491	0.9144	0.3972	2.7359	0.5141	0.0000	0.0000	0.0000	0.0000	0.0862	1.7690
32	1.2000	1.4000	90.7812	69.0000	82.6977	1.0703	2.5116	4.5017	3.9460	3.9956	3.7959	5.6157	5.4754	1.0025	0.3945	3.2187	0.5260	0.0000	0.0000	0.0000	0.0000	0.7655	1.8970
33	1.4000	1.6000	59.9400	58.0000	55.3746	0.5845	1.2375	2.7434	4.8215	4.8626	5.0325	6.8477	6.9694	2.0890	0.4193	3.5679	0.8823	0.0000	0.0000	0.0000	0.0000	0.1155	2.6978
34	1.6000	1.8000	62.5302	52.0000	57.7122	0.3789	1.6456	2.7935	4.9163	4.5700	3.8619	6.7122	6.2517	2.0935	0.4896	2.9533	1.5240	0.0000	0.0000	0.0000	0.0000	0.4397	2.2440
35	1.8000	2.0000	58.1380	59.0000	54.1683	0.1716	1.4912	2.3069	5.7077	5.4087	4.4071	7.8633	7.2112	2.1099	0.5049	3.6549	1.6052	0.0000	0.0000	0.0000	0.0000	0.2330	2.9253
36	2.0000	2.2000	42.6493	42.0000	39.7515	0.1374	1.1622	1.5982	6.9033	6.5045	5.9647	9.4850	9.1232	1.7199	0.5060	5.3911	1.6118	0.0000	0.0000	0.0000	0.0000	0.2258	2.7215
37	2.2000	2.4000	21.4143	25.0000	19.4646	0.1044	1.1217	0.7237	8.1110	9.6271	7.8639	12.5885	11.2973	3.6972	0.5061	6.2502	1.6085	0.0000	0.0000	0.0000	0.0000	0.1907	6.0913
38	2.4000	2.6000	3.4154	4.0000	3.2846	0.0280	0.0266	0.0762	14.6669	7.5215	8.4142	16.4831	16.9091	1.5524	0.5061	7.3209	1.6359	0.0000	0.0000	0.0000	0.0000	0.0021	3.4438
39	2.6000	2.8000	0.0597	0.0000	0.0597	0.0000	0.0000	0.0000	92.4857	12.8295	19.2202	93.3713	94.4617	14.5577	0.5061	12.4003	1.8620	0.0000	0.0000	0.0000	0.0000	1.6345	1.6345
40	2.8000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.8611	30.3121	25.7338	104.3603	103.1236	29.9930	0.5061	4.3577	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
