Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	0.9199	4.0000	0.6698	0.0070	0.2254	0.0177	25.7836	8.1000	9.3586	27.0259	27.4295	8.7487	0.4767	3.1004	1.0974	0.0000	0.0000	0.0000	0.0000	0.0136	0.0000
2	-3.0144	-2.8888	1.1951	4.0000	0.8255	0.0086	0.2563	0.1047	21.0954	3.1707	3.1681	21.3323	21.3320	0.4651	0.4431	2.9338	1.0166	0.0000	0.0000	0.0000	0.0000	0.0453	0.0453
3	-2.8888	-2.7632	1.4359	1.0000	0.8874	0.0352	0.3904	0.1230	19.9118	9.7327	12.1440	22.1631	23.3228	11.4141	0.4697	3.7775	1.2003	0.0000	0.0000	0.0000	0.0000	1.1239	0.0179
4	-2.7632	-2.6376	1.4769	1.0000	1.0490	0.0537	0.2859	0.0883	32.8067	8.8125	7.8892	33.9697	33.7420	7.3528	0.4753	4.3000	1.3071	0.0000	0.0000	0.0000	0.0000	0.0126	1.7812
5	-2.6376	-2.5120	1.5165	1.0000	1.1573	0.0000	0.2789	0.0803	31.1909	7.7162	8.6675	32.1312	32.3728	7.1963	0.4666	4.6166	1.3388	0.0000	0.0000	0.0000	0.0000	0.4526	0.5354
6	-2.5120	-2.3864	1.5833	3.0000	1.2898	0.0000	0.2369	0.0567	20.1039	4.3199	4.3558	20.5628	20.5703	2.3413	0.4545	3.4295	1.2340	0.0000	0.0000	0.0000	0.0000	0.0000	0.0639
7	-2.3864	-2.2608	1.0648	4.0000	0.6921	0.0000	0.3193	0.0534	23.1130	5.5225	4.8820	23.7636	23.6230	4.0520	0.4765	3.4567	1.3746	0.0000	0.0000	0.0000	0.0000	0.0000	0.1181
8	-2.2608	-2.1352	1.1969	1.0000	0.6943	0.0923	0.3446	0.0658	21.0954	13.4536	10.9483	25.0203	23.7672	13.1810	0.4312	2.5179	0.8485	0.0000	0.0000	0.0000	0.0000	0.0016	0.1160
9	-2.1352	-2.0096	1.7103	4.0000	0.9784	0.0871	0.5900	0.0548	18.6713	4.9900	6.2541	19.3266	19.6909	4.9623	0.4610	3.6101	1.1153	0.0000	0.0000	0.0000	0.0000	0.0124	0.0124
10	-2.0096	-1.8840	1.4629	5.0000	0.8132	0.0440	0.5509	0.0549	20.9720	5.4745	13.1776	21.6748	24.7684	6.5884	0.4662	4.4747	1.2059	0.0000	0.0000	0.0000	0.0000	7.3671	7.3671
11	-1.8840	-1.7584	3.0960	3.0000	2.6957	0.0509	0.2820	0.0674	35.9480	4.9447	7.8528	36.2865	36.7957	6.1007	0.4651	4.7895	1.1365	0.0000	0.0000	0.0000	0.0000	0.0116	0.0168
12	-1.7584	-1.6328	2.7986	3.0000	2.3616	0.0405	0.2977	0.0988	43.9134	4.3317	11.3553	44.1266	45.3578	11.0584	0.4185	2.3506	0.9769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0939
13	-1.6328	-1.5072	1.2535	5.0000	0.9720	0.0073	0.2521	0.0221	22.2505	3.5477	3.6532	22.5316	22.5484	0.1521	0.4425	3.3588	1.0472	0.0000	0.0000	0.0000	0.0000	0.0000	0.8651
14	-1.5072	-1.3816	2.5052	0.0000	1.8710	0.2044	0.2937	0.1361	30.5121	4.7123	4.1638	30.8738	30.7949	3.7212	0.4331	2.7345	0.8317	0.0000	0.0000	0.0000	0.0000	0.0319	0.0319
15	-1.3816	-1.2560	1.0443	1.0000	0.7801	0.0000	0.1991	0.0651	25.7178	4.3964	7.3851	26.0908	26.7571	6.5588	0.4543	3.2185	0.9626	0.0000	0.0000	0.0000	0.0000	0.0000	0.1757
16	-1.2560	-1.1304	1.5400	1.0000	0.7988	0.0142	0.6269	0.1001	18.9222	43.8270	5.4185	47.7373	19.6827	1.3424	0.4439	2.7157	0.9774	0.0000	0.0000	0.0000	0.0000	0.0000	43.7090
17	-1.1304	-1.0048	1.6077	3.0000	1.0990	0.1100	0.2829	0.1158	37.0813	7.9098	4.7223	37.9155	37.3807	7.5645	0.4196	2.0570	0.9674	0.0000	0.0000	0.0000	0.0000	0.0015	0.0415
18	-1.0048	-0.8792	1.1234	4.0000	0.6837	0.1262	0.2573	0.0562	22.8005	3.2340	8.5605	23.0287	24.3546	2.0957	0.4474	3.0662	0.9258	0.0000	0.0000	0.0000	0.0000	7.5958	0.8578
19	-0.8792	-0.7536	1.0274	1.0000	0.5434	0.0000	0.3751	0.1088	24.0841	6.6594	8.0243	24.9879	25.3857	7.1160	0.4579	3.4814	1.1921	0.0000	0.0000	0.0000	0.0000	0.0000	2.8754
20	-0.7536	-0.6280	2.1704	1.0000	1.5511	0.0533	0.4931	0.0729	32.7578	14.7860	11.8822	35.9403	34.8463	14.4635	0.4501	2.9590	0.6899	0.0000	0.0000	0.0000	0.0000	0.0000	0.0081
21	-0.6280	-0.5024	1.2938	3.0000	0.6553	0.1048	0.4334	0.1003	22.0459	4.3414	4.9285	22.4693	22.5901	2.3327	0.4380	4.1759	1.1037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0059
22	-0.5024	-0.3768	1.3352	3.0000	0.7432	0.0157	0.3598	0.2164	21.3255	12.2978	10.3038	24.6173	23.6842	8.5944	0.4186	5.5412	1.1931	0.0000	0.0000	0.0000	0.0000	0.0000	7.6369
23	-0.3768	-0.2512	1.5392	2.0000	0.9659	0.0740	0.3934	0.1058	19.8694	4.8226	6.7080	20.4463	20.9712	5.1008	0.4666	4.1874	1.0817	0.0000	0.0000	0.0000	0.0000	0.0000	0.2401
24	-0.2512	-0.1256	1.8212	0.0000	1.3136	0.0968	0.3393	0.0716	19.4777	3.1627	3.6392	19.7328	19.8148	1.8629	0.4443	2.9565	0.9136	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
25	-0.1256	0.0000	1.5583	2.0000	0.8515	0.0901	0.5130	0.1038	21.4039	2.9139	2.7430	21.6013	21.5789	0.9769	0.4531	2.5240	0.9739	0.0000	0.0000	0.0000	0.0000	0.0000	0.1111
26	0.0000	0.1256	1.7274	5.0000	1.1846	0.0000	0.4782	0.0646	20.8809	5.8142	5.9800	21.6753	21.7203	5.0234	0.4250	3.0115	1.1262	0.0000	0.0000	0.0000	0.0000	0.0000	0.0940
27	0.1256	0.2512	1.1439	2.0000	0.6236	0.0906	0.3868	0.0430	23.9937	13.0969	11.0851	27.3355	26.4307	12.4521	0.4350	3.9196	0.9602	0.0000	0.0000	0.0000	0.0000	0.0000	0.0366
28	0.2512	0.3768	1.2446	1.0000	0.9285	0.0000	0.2763	0.0398	22.1005	7.0434	6.6592	23.1957	23.0819	6.1587	0.4608	3.2226	1.0402	0.0000	0.0000	0.0000	0.0000	0.0000	0.0348
29	0.3768	0.5024	1.7053	4.0000	1.3131	0.1877	0.1061	0.0984	20.1099	3.3616	3.4992	20.3889	20.4120	1.0558	0.4527	3.1157	1.1034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.5024	0.6280	1.3578	4.0000	0.7007	0.0661	0.5209	0.0702	20.1356	3.5341	3.7439	20.4434	20.4807	1.2688	0.4436	3.3328	1.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
31	0.6280	0.7536	1.4445	4.0000	0.8276	0.0725	0.4962	0.0481	18.2508	5.5493	5.3493	19.0758	19.0186	4.5744	0.4551	2.9615	0.9442	0.0000	0.0000	0.0000	0.0000	0.0000	1.8192
32	0.7536	0.8792	1.5753	1.0000	1.1730	0.0574	0.2461	0.0987	19.5932	7.6612	12.5156	21.0377	23.2493	12.1025	0.4707	2.8659	1.3170	0.0000	0.0000	0.0000	0.0000	0.0000	0.0140
33	0.8792	1.0048	1.0865	1.0000	0.6432	-0.0313	0.3618	0.1128	21.6500	4.4615	4.5360	22.1049	22.1200	1.3237	0.4660	4.0889	1.3737	0.0000	0.0000	0.0000	0.0000	0.0000	0.9395
34	1.0048	1.1304	1.7070	2.0000	1.0954	0.0524	0.4905	0.0687	18.6757	4.5893	4.4853	19.2313	19.2067	3.1605	0.4549	2.9988	0.9642	0.0000	0.0000	0.0000	0.0000	0.0000	2.6551
35	1.1304	1.2560	1.5862	1.0000	0.9871	0.0542	0.4777	0.0671	19.5614	5.9201	7.5372	20.4376	20.9632	6.9302	0.4524	2.6810	1.1746	0.0000	0.0000	0.0000	0.0000	0.0000	2.8823
36	1.2560	1.3816	1.0727	2.0000	0.8258	0.0000	0.1882	0.0587	24.4832	7.3702	7.4041	25.5685	25.5783	6.2029	0.3945	3.9040	0.9740	0.0000	0.0000	0.0000	0.0000	1.7984	1.9568
37	1.3816	1.5072	1.5990	3.0000	0.9902	0.0776	0.4317	0.0995	18.9215	6.8678	6.3823	20.1293	19.9689	5.6366	0.4323	3.7208	0.9719	0.0000	0.0000	0.0000	0.0000	3.4014	3.4014
38	1.5072	1.6328	1.9365	2.0000	1.3396	0.1052	0.3884	0.1033	19.6391	9.9235	5.4459	22.0039	20.3802	9.3536	0.4451	3.1356	0.9780	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	1.6328	1.7584	0.9928	1.0000	0.6178	0.0509	0.2165	0.1074	24.3001	10.6246	7.5778	26.5212	25.4542	7.2389	0.4361	1.9754	0.9643	0.0000	0.0000	0.0000	0.0000	7.0329	7.0329
40	1.7584	1.8840	1.4785	5.0000	0.8945	0.1342	0.4346	0.0152	21.0214	3.8599	5.3415	21.3728	21.6894	3.9379	0.4536	3.4990	0.7586	0.0000	0.0000	0.0000	0.0000	0.0000	1.3692
41	1.8840	2.0096	1.4379	0.0000	0.3477	0.0946	0.9091	0.0864	29.2601	6.0381	6.7018	29.8766	30.0178	5.8757	0.4546	2.9346	1.1241	0.0000	0.0000	0.0000	0.0000	0.3926	0.3926
42	2.0096	2.1352	1.7361	4.0000	1.1741	0.1708	0.3107	0.0805	19.3603	4.4806	4.8243	19.8720	19.9523	3.0483	0.4426	3.5478	1.0951	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
43	2.1352	2.2608	1.3212	2.0000	0.9213	0.0592	0.2810	0.0598	22.7450	3.5411	3.7872	23.0190	23.0582	2.2264	0.4455	2.8495	1.0338	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	2.2608	2.3864	1.2967	2.0000	0.8153	0.0392	0.3986	0.0436	22.3504	3.4687	3.7540	22.6179	22.6634	1.6118	0.4113	3.1680	0.9994	0.0000	0.0000	0.0000	0.0000	0.3807	0.3807
45	2.3864	2.5120	1.6291	0.0000	1.0572	0.0000	0.4942	0.0776	20.5550	8.9864	6.2814	22.4335	21.4933	5.9028	0.4507	4.3517	1.1622	0.0000	0.0000	0.0000	0.0000	0.0000	5.0418
46	2.5120	2.6376	1.1016	2.0000	0.7600	0.0863	0.1998	0.0555	23.4640	11.9922	6.6591	26.3510	24.3906	11.4161	0.4484	3.5443	0.8503	0.0000	0.0000	0.0000	0.0000	0.0000	0.5248
47	2.6376	2.7632	1.2086	1.0000	0.7332	0.0668	0.3565	0.0521	22.4455	11.2786	8.9514	25.1198	24.1646	10.7019	0.4392	3.3986	0.9624	0.0000	0.0000	0.0000	0.0000	0.0000	0.0888
48	2.7632	2.8888	1.3169	3.0000	0.8508	0.0000	0.3491	0.1170	19.7129	2.8875	3.1316	19.9232	19.9601	0.2151	0.4573	2.6758	0.9590	0.0000	0.0000	0.0000	0.0000	0.3548	1.1756
49	2.8888	3.0144	1.5860	1.0000	1.1419	0.0000	0.3975	0.0465	23.0499	4.0787	10.4515	23.4079	25.3087	4.7325	0.4692	3.4198	1.2792	0.0000	0.0000	0.0000	0.0000	0.6830	8.5335
50	3.0144	3.1400	2.8288	4.0000	1.8490	0.1093	0.7355	0.1350	23.4183	3.3599	3.6409	23.6581	23.6996	1.7042	0.4380	2.6823	0.9977	0.0000	0.0000	0.0000	0.0000	0.0000	2.2075
