Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.7196	0.0000	0.4841	0.1829	0.0000	0.0525	17.4646	4.1730	3.4349	17.9562	17.7992	1.6710	0.4347	2.6567	0.9753	0.0000	0.0000	0.0000	0.0000	2.7772	0.8991	18.6537	5.0099	2.8839	19.3148	18.8753	0.8255	0.4461	2.5088	1.0687	0.0000	0.0000	0.0000	0.0000	4.1280	0.0000	45.5703	4.6082	5.5633	45.8027	45.9087	3.2179	0.4112	3.1760	0.7905	0.0000	0.0000	0.0000	0.0000	0.0000	3.5363	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.9495	2.3736	6.1786	50.0059	50.3302	5.7045	0.4105	2.2115	0.7581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-4.8000	-4.6000	1.0091	0.0000	0.7824	0.1251	0.0065	0.0951	14.8506	2.7963	3.1735	15.1115	15.1859	1.4873	0.4395	2.5476	1.0474	0.0000	0.0000	0.0000	0.0000	0.0515	0.2796	15.9506	2.9196	3.3409	16.2156	16.2967	1.6035	0.4456	2.6447	1.1257	0.0000	0.0000	0.0000	0.0000	0.0664	0.3606	55.1883	9.6964	11.2566	56.0337	56.3246	10.9173	0.4141	2.6335	0.6453	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	13.8063	13.9718	100.9486	100.9713	13.6512	0.5061	2.3658	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.8594	1.9180	3.3613	47.8978	47.9772	2.7603	0.4183	1.6488	0.8861	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-4.6000	-4.4000	1.3903	0.0000	0.7876	0.4188	0.0803	0.1037	15.7342	4.6159	5.6491	16.3973	16.7175	4.2088	0.4570	3.5218	1.2597	0.0000	0.0000	0.0000	0.0000	0.0000	0.7444	16.5908	4.4753	4.7207	17.1838	17.2493	3.2211	0.4626	3.1552	1.3190	0.0000	0.0000	0.0000	0.0000	0.0000	1.3141	36.4563	5.0292	7.8098	36.8016	37.2834	7.0673	0.4417	3.1096	1.0866	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	92.0948	12.3560	9.7630	92.9200	92.6108	8.3569	0.4971	8.9010	1.8320	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.2176	3.9785	7.6967	43.4003	43.8976	6.5887	0.4449	3.8074	1.0651	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-4.4000	-4.2000	1.3745	0.0000	0.6437	0.3640	0.2012	0.1656	15.2788	4.3246	3.4807	15.8790	15.6702	2.5735	0.4163	3.3207	0.9372	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.6263	3.2362	2.7709	16.9383	16.8556	1.6719	0.4245	2.6039	0.8468	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.0476	4.2469	4.2143	31.3367	31.3323	1.0927	0.3681	4.0007	0.8371	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	64.9893	9.4959	5.1410	65.6794	65.1923	8.1705	0.4551	4.6644	1.2051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.8554	4.9061	5.0466	32.2310	32.2526	3.8720	0.4428	2.9800	1.1831	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-4.2000	-4.0000	1.6045	0.0000	0.7632	0.4262	0.2432	0.1719	12.9942	3.1758	3.1881	13.3767	13.3796	0.7169	0.4274	2.9323	0.8880	0.0000	0.0000	0.0000	0.0000	0.0000	0.6733	15.0587	4.1273	3.0689	15.6140	15.3682	3.2225	0.4197	2.4167	0.7906	0.0000	0.0000	0.0000	0.0000	0.0000	0.0921	27.6926	8.5760	8.4572	28.9902	28.9552	7.9209	0.4431	3.0787	1.0642	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.0339	4.8446	7.2096	46.2881	46.5951	6.4072	0.4156	3.1939	0.7432	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.8560	5.8215	8.5300	36.3255	36.8566	3.5165	0.4394	4.4886	1.0879	0.0000	0.0000	0.0000	0.0000	0.0000	6.2433
6	-4.0000	-3.8000	3.6853	0.0000	0.9831	2.0205	0.4410	0.2408	33.4338	8.3527	6.8744	34.4614	34.1332	7.7042	0.4154	3.0252	0.7614	0.0000	0.0000	0.0000	0.0000	0.0000	0.7131	14.3747	5.1624	2.8456	15.2736	14.6537	4.4026	0.4178	2.5668	0.6976	0.0000	0.0000	0.0000	0.0000	0.0000	0.3834	60.0292	17.1817	16.1423	62.4397	62.1617	16.8282	0.4086	3.3643	0.7324	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.4870	12.5487	10.4104	36.6991	36.0240	12.2655	0.4374	2.4273	0.9718	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.0422	10.8688	3.6934	28.2193	26.3028	1.6715	0.4227	3.1454	0.8804	0.0000	0.0000	0.0000	0.0000	0.0000	10.3578
7	-3.8000	-3.6000	2.9138	0.0000	0.9680	1.2932	0.4699	0.1827	11.6391	4.0368	3.5068	12.3193	12.1559	3.0224	0.4265	2.4979	0.8597	0.0000	0.0000	0.0000	0.0000	0.0000	0.1117	14.6548	3.3328	2.6809	15.0290	14.8980	1.9802	0.4099	2.5703	0.6387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0680	18.6909	9.8864	8.1537	21.1445	20.3920	9.4938	0.4305	2.5667	0.9136	0.0000	0.0000	0.0000	0.0000	0.0000	0.2008	38.9886	4.3858	7.2010	39.2345	39.6480	6.7213	0.4474	2.2653	1.1601	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.5063	2.4299	4.0248	29.6062	29.7796	3.2085	0.4323	2.2249	0.8761	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-3.6000	-3.4000	4.6369	0.0000	1.2927	1.8916	1.2496	0.2029	11.8709	4.6347	3.4411	12.7435	12.3596	2.9449	0.4270	2.7060	0.9773	0.0000	0.0000	0.0000	0.0000	0.0000	2.0851	15.6072	3.1369	2.8663	15.9193	15.8682	0.9836	0.4306	2.6408	0.9267	0.0000	0.0000	0.0000	0.0000	0.0000	0.9244	15.2218	5.4995	3.2144	16.1848	15.5575	1.2283	0.4415	2.7131	1.0556	0.0000	0.0000	0.0000	0.0000	0.0000	4.4794	33.6601	12.0927	9.6975	35.7664	35.0292	11.7292	0.4019	2.7601	0.9370	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.3412	8.6285	11.3627	25.8253	26.8627	10.9934	0.4227	2.7221	0.8166	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-3.4000	-3.2000	4.3986	0.0000	0.8154	2.6246	0.5886	0.3699	9.2733	3.1195	3.0885	9.7839	9.7741	1.5673	0.4183	2.5481	0.7662	0.0000	0.0000	0.0000	0.0000	0.2426	0.9182	19.2843	5.6055	6.5964	20.0825	20.3813	6.1559	0.4074	2.1263	0.6944	0.0000	0.0000	0.0000	0.0000	0.0000	0.7559	12.4994	2.9811	3.0499	12.8500	12.8661	0.7436	0.4185	2.7610	0.7321	0.0000	0.0000	0.0000	0.0000	0.0000	0.9244	28.2230	3.9955	3.4558	28.5044	28.4338	3.1006	0.4206	2.3329	0.8548	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.6695	5.5482	5.1876	22.3685	22.2818	4.9199	0.4372	2.3098	1.0249	0.0000	0.0000	0.0000	0.0000	2.8844	2.8844
10	-3.2000	-3.0000	6.5565	0.0000	0.9928	3.2026	1.9071	0.4541	11.1164	2.8038	2.8764	11.4646	11.4825	1.0301	0.4153	2.5287	0.7905	0.0000	0.0000	0.0000	0.0000	0.0220	0.7631	16.7687	3.2161	3.0645	17.0744	17.0464	1.4485	0.4031	2.6946	0.7325	0.0000	0.0000	0.0000	0.0000	0.1452	0.5143	11.7800	6.4620	7.3543	13.4360	13.8872	6.7442	0.4261	2.7640	0.8528	0.0000	0.0000	0.0000	0.0000	0.0000	1.4028	31.1075	7.9450	7.7857	32.1061	32.0670	7.6081	0.4041	2.1274	0.7417	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.1777	2.3331	3.3681	21.3058	21.4438	2.4267	0.4121	2.1924	0.6833	0.0000	0.0000	0.0000	0.0000	0.0000	0.1099
