Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	38.0488	63.0000	36.0593	0.2705	0.5642	1.1548	6.9506	12.1516	12.0894	13.9990	13.9450	2.4663	0.9456	6.7144	1.2133	0.0000	0.0000	0.0000	0.0000	3.2332	9.7021
2	50.0000	100.0000	89.5736	142.0000	83.1698	0.6501	1.9155	3.8382	4.3103	6.8438	6.5562	8.0880	7.8462	1.9164	0.9322	6.2272	1.2093	0.0000	0.0000	0.0000	0.0000	1.5084	0.8103
3	100.0000	150.0000	75.1980	123.0000	69.2159	0.4412	2.1076	3.4333	4.4831	11.9717	14.3983	12.7836	15.0801	2.8694	0.9377	6.7535	1.2336	0.0000	0.0000	0.0000	0.0000	2.3636	12.1966
4	150.0000	200.0000	35.0268	51.0000	30.8916	0.7236	0.9703	2.4412	5.1975	17.5568	13.4715	18.3100	14.4394	2.5404	0.9252	6.6973	1.2332	0.0000	0.0000	0.0000	0.0000	1.1145	16.0863
5	200.0000	250.0000	16.4313	16.0000	13.8368	0.4563	1.0345	1.1037	6.0628	16.5203	14.6758	17.5977	15.8788	1.7808	0.9266	6.8056	1.1853	0.0000	0.0000	0.0000	0.0000	2.6229	14.7320
6	250.0000	300.0000	6.4118	9.0000	4.4849	0.4357	0.7208	0.7703	8.1151	10.3048	10.1324	13.1165	12.9815	1.2595	0.9211	5.8048	1.1542	0.0000	0.0000	0.0000	0.0000	4.3799	8.3006
7	300.0000	350.0000	3.5506	3.0000	2.4989	0.3964	0.2036	0.4517	10.0838	14.1631	12.2907	17.3861	15.8980	2.0470	0.9103	6.3360	1.1493	0.0000	0.0000	0.0000	0.0000	2.8065	12.2500
8	350.0000	400.0000	1.7628	2.0000	1.0901	0.1062	0.2603	0.3063	10.8600	20.6847	26.1070	23.3623	28.2757	0.3247	0.8924	5.8838	1.0805	0.0000	0.0000	0.0000	0.0000	2.2186	25.4390
9	400.0000	450.0000	1.0548	0.0000	0.4833	0.1348	0.1423	0.2944	14.3822	21.7310	13.7842	26.0592	19.9211	3.2220	0.8968	4.5207	1.0053	0.0000	0.0000	0.0000	0.0000	2.8782	20.9660
10	450.0000	500.0000	0.7678	1.0000	0.4109	0.1267	0.0422	0.1879	18.4403	5.9908	20.5809	19.3890	27.6336	0.5216	0.8808	5.8603	0.8762	0.0000	0.0000	0.0000	0.0000	18.6796	6.3960
11	500.0000	550.0000	0.4165	1.0000	0.1215	0.1350	0.0757	0.0843	25.5402	8.2360	8.5901	26.8354	26.9461	3.4896	0.8711	6.0857	0.9527	0.0000	0.0000	0.0000	0.0000	2.3795	5.2426
12	550.0000	600.0000	0.1790	1.0000	0.0922	0.0099	0.0266	0.0503	27.0225	106.2853	44.0437	109.6667	51.6726	3.0098	0.9170	5.4137	1.0709	0.0000	0.0000	0.0000	0.0000	48.4077	94.4082
13	600.0000	650.0000	0.2058	0.0000	0.0575	0.0000	0.0594	0.0889	30.9423	10.2627	43.1760	32.5998	53.1187	3.0107	0.8404	5.2189	0.6340	0.0000	0.0000	0.0000	0.0000	25.0327	34.8041
14	650.0000	700.0000	0.1207	0.0000	0.0381	0.0000	0.0001	0.0825	39.2496	31.0062	54.5727	50.0192	67.2214	2.5252	0.8081	6.8464	0.6594	0.0000	0.0000	0.0000	0.0000	46.6199	27.4787
15	700.0000	750.0000	0.0473	0.0000	0.0177	0.0000	0.0346	-0.0049	74.1913	101.2053	13.1108	125.4865	75.3408	17.1176	0.8461	3.2040	0.9044	0.0000	0.0000	0.0000	0.0000	84.8312	52.3581
16	750.0000	800.0000	0.1573	0.0000	0.1119	0.0190	0.0020	0.0243	52.5738	8.5802	8.7895	53.2693	53.3034	7.5958	0.9240	4.3011	1.0128	0.0000	0.0000	0.0000	0.0000	0.6977	7.2632
17	800.0000	850.0000	0.0176	0.0000	0.0175	0.0000	0.0001	0.0000	40.6686	131.0720	50.0733	137.2363	64.5079	2.8659	0.9581	6.5848	0.6454	0.0000	0.0000	0.0000	0.0000	5.6384	130.8700
18	850.0000	900.0000	0.0377	0.0000	0.0376	0.0000	0.0001	0.0000	91.5071	47.5975	57.7883	103.1459	108.2268	46.9252	0.8033	1.8139	0.7365	0.0000	0.0000	0.0000	0.0000	1.5344	36.6878
19	900.0000	950.0000	0.0333	0.0000	0.0060	0.0000	0.0071	0.0202	64.5015	3.0509	28.8153	64.5736	70.6453	5.5303	0.8328	2.7684	0.9748	0.0000	0.0000	0.0000	0.0000	3.5057	27.9006
