Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	254.3097	246.0000	236.1294	6.1640	0.6900	11.3264	2.0543	8.1638	6.7327	8.4183	7.0391	1.3568	0.8504	4.8045	0.7639	0.0000	0.0000	0.0000	0.0000	0.9193	6.3402
2	-3.0144	-2.8888	257.1359	286.0000	239.0614	6.3736	0.4603	11.2406	2.2947	7.7869	6.6326	8.1180	7.0183	1.0968	0.8515	4.9415	0.7830	0.0000	0.0000	0.0000	0.0000	0.1548	5.8711
3	-2.8888	-2.7632	271.8352	334.0000	254.3464	6.2607	0.2133	11.0148	2.1541	7.1803	6.9065	7.4965	7.2346	0.3229	0.8483	4.7110	0.7536	0.0000	0.0000	0.0000	0.0000	0.3615	5.2884
4	-2.7632	-2.6376	272.0288	325.0000	254.1682	5.8983	0.4160	11.5463	2.1226	7.9352	6.7329	8.2142	7.0596	0.9662	0.8462	4.8034	0.7773	0.0000	0.0000	0.0000	0.0000	0.2218	6.1352
5	-2.6376	-2.5120	250.6861	326.0000	233.9350	5.7863	0.3302	10.6346	2.3084	6.3513	7.6216	6.7578	7.9635	0.7668	0.8499	4.7362	0.7757	0.0000	0.0000	0.0000	0.0000	0.3412	5.9467
6	-2.5120	-2.3864	269.2894	286.0000	250.9299	6.7599	0.3450	11.2545	2.2260	6.8944	6.9350	7.2449	7.2835	0.4777	0.8494	4.8292	0.7755	0.0000	0.0000	0.0000	0.0000	0.1574	4.9720
7	-2.3864	-2.2608	252.7345	287.0000	235.9485	5.3882	0.4823	10.9154	2.1714	7.4627	8.1914	7.7722	8.4744	1.8837	0.8477	4.8523	0.7544	0.0000	0.0000	0.0000	0.0000	0.3268	6.3247
8	-2.2608	-2.1352	266.4125	292.0000	248.4007	6.6104	0.5612	10.8402	2.3947	7.4498	6.2073	7.8252	6.6532	0.5700	0.8518	4.7842	0.7828	0.0000	0.0000	0.0000	0.0000	0.5372	5.5371
9	-2.1352	-2.0096	286.6024	329.0000	268.2448	7.0978	0.2792	10.9806	2.6868	6.8372	7.2657	7.3462	7.7466	1.3885	0.8475	4.7286	0.7694	0.0000	0.0000	0.0000	0.0000	0.0730	5.3301
10	-2.0096	-1.8840	262.2867	295.0000	245.1551	6.3441	0.3083	10.4792	2.5114	7.2511	7.5123	7.6737	7.9210	1.5105	0.8502	4.8399	0.7655	0.0000	0.0000	0.0000	0.0000	0.2699	5.5419
11	-1.8840	-1.7584	258.6606	274.0000	240.9707	5.8744	0.3567	11.4588	2.3010	7.4676	7.7613	7.8140	8.0952	0.8938	0.8518	4.8664	0.7775	0.0000	0.0000	0.0000	0.0000	0.2361	6.0145
12	-1.7584	-1.6328	259.7600	288.0000	242.6044	6.0270	0.4639	10.6646	2.3464	7.7125	7.7819	8.0615	8.1279	1.3708	0.8440	4.8186	0.7559	0.0000	0.0000	0.0000	0.0000	0.2121	5.9514
13	-1.6328	-1.5072	248.5558	279.0000	231.4713	5.9464	0.2198	10.9182	2.2752	6.3818	7.1740	6.7753	7.5261	1.2027	0.8460	4.6928	0.7533	0.0000	0.0000	0.0000	0.0000	0.7480	5.2274
14	-1.5072	-1.3816	263.7972	257.0000	247.7295	5.9763	0.4533	9.6381	2.4759	6.9464	7.5719	7.3744	7.9664	1.0950	0.8444	4.7243	0.7507	0.0000	0.0000	0.0000	0.0000	0.0939	5.8065
15	-1.3816	-1.2560	267.0544	266.0000	249.4129	6.0221	0.5775	11.0419	2.3831	6.4749	8.0562	6.8996	8.4013	0.6617	0.8499	4.7818	0.7449	0.0000	0.0000	0.0000	0.0000	0.3257	6.4404
16	-1.2560	-1.1304	239.5595	276.0000	222.8221	5.5911	0.5430	10.6033	2.1137	7.5775	6.9738	7.8668	7.2871	0.6310	0.8502	4.9506	0.7921	0.0000	0.0000	0.0000	0.0000	0.2067	5.5983
17	-1.1304	-1.0048	256.6707	294.0000	240.1039	5.6977	0.2352	10.6338	2.3294	7.2305	7.0016	7.5965	7.3789	0.9445	0.8512	4.7462	0.7605	0.0000	0.0000	0.0000	0.0000	0.1657	5.2819
18	-1.0048	-0.8792	262.2266	283.0000	244.6986	5.9984	0.6760	10.8537	2.2429	7.6293	7.9314	7.9521	8.2425	1.4602	0.8493	4.8595	0.7778	0.0000	0.0000	0.0000	0.0000	0.5489	6.2178
19	-0.8792	-0.7536	255.2963	267.0000	237.8285	6.1909	0.3807	10.8961	2.3693	7.1449	6.2970	7.5275	6.7280	0.4040	0.8519	4.8193	0.7732	0.0000	0.0000	0.0000	0.0000	0.0809	5.1313
20	-0.7536	-0.6280	254.7633	300.0000	238.2778	4.9415	0.3247	11.2193	2.3056	8.0416	7.3043	8.3656	7.6596	1.0483	0.8482	4.8156	0.7617	0.0000	0.0000	0.0000	0.0000	0.9188	6.3037
21	-0.6280	-0.5024	250.1327	280.0000	234.0005	5.7366	0.2177	10.1780	2.3940	7.8704	6.9048	8.2264	7.3080	0.7026	0.8551	4.9744	0.8117	0.0000	0.0000	0.0000	0.0000	0.2804	5.9360
22	-0.5024	-0.3768	261.4469	286.0000	243.5652	6.0143	0.3980	11.4695	2.1191	7.6721	7.0539	7.9594	7.3653	1.7783	0.8520	4.8776	0.7865	0.0000	0.0000	0.0000	0.0000	0.3498	5.5173
23	-0.3768	-0.2512	267.3310	286.0000	249.4701	6.0656	0.3629	11.4324	2.4486	6.8204	7.9251	7.2466	8.2948	0.8653	0.8458	4.7093	0.7558	0.0000	0.0000	0.0000	0.0000	0.1774	6.3161
24	-0.2512	-0.1256	263.6012	296.0000	247.0073	4.9622	0.8078	10.8239	2.5768	6.2522	7.1471	6.7624	7.5975	0.7452	0.8512	4.7907	0.7894	0.0000	0.0000	0.0000	0.0000	0.2566	5.2391
25	-0.1256	0.0000	257.1628	283.0000	240.3088	5.5216	0.4729	10.8595	2.1419	7.9667	6.6509	8.2496	6.9873	0.4294	0.8506	4.9429	0.7622	0.0000	0.0000	0.0000	0.0000	0.2573	6.1232
26	0.0000	0.1256	260.0720	262.0000	243.3310	5.7103	0.0561	10.9746	2.5090	7.6107	7.1898	8.0136	7.6150	0.1510	0.8565	4.8975	0.7895	0.0000	0.0000	0.0000	0.0000	0.1135	5.7073
27	0.1256	0.2512	251.0583	273.0000	234.5414	5.7315	0.5997	10.1856	2.4278	6.9261	6.9332	7.3393	7.3460	1.0987	0.8560	4.9956	0.7934	0.0000	0.0000	0.0000	0.0000	0.2042	4.7362
28	0.2512	0.3768	263.8758	302.0000	245.4780	6.4127	0.4640	11.5210	2.1151	7.5278	7.0229	7.8193	7.3345	0.7893	0.8509	4.7912	0.7671	0.0000	0.0000	0.0000	0.0000	0.2661	5.6384
29	0.3768	0.5024	264.5846	298.0000	248.3399	5.1685	0.3156	10.7606	2.3852	6.6922	6.5776	7.1045	6.9967	0.5977	0.8518	4.8481	0.7787	0.0000	0.0000	0.0000	0.0000	0.1964	4.4320
30	0.5024	0.6280	246.4904	268.0000	229.3624	6.1301	0.3500	10.6479	2.2586	7.8154	6.5477	8.1352	6.9263	0.5056	0.8524	4.8724	0.7513	0.0000	0.0000	0.0000	0.0000	0.1507	6.0005
31	0.6280	0.7536	260.5054	289.0000	243.7251	5.7445	0.7252	10.3106	2.3958	7.3631	7.9171	7.7430	8.2717	1.1770	0.8466	4.8236	0.7622	0.0000	0.0000	0.0000	0.0000	0.2794	6.2503
32	0.7536	0.8792	251.7946	256.0000	235.2845	5.3517	0.2050	10.9535	2.1222	6.8671	7.2837	7.1876	7.5866	1.1726	0.8480	4.9352	0.7757	0.0000	0.0000	0.0000	0.0000	0.6545	5.2323
