Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
6	50.0000	60.0000	1502.1665	1690.0000	1385.8077	59.8833	2.3512	54.1244	1.0179	7.9021	8.0011	7.9674	8.0655	0.3143	0.8536	4.9287	0.7672	0.0000	0.0000	0.0000	0.0000	0.2418	6.2767
7	60.0000	70.0000	1868.1068	1993.0000	1735.7751	61.4434	1.5571	69.3312	0.9052	7.6941	7.5573	7.7471	7.6113	0.5681	0.8520	4.8915	0.7639	0.0000	0.0000	0.0000	0.0000	0.2466	5.7976
8	70.0000	80.0000	1610.8589	1734.0000	1497.8814	47.5203	1.7892	63.6681	0.9157	7.2869	7.2917	7.3443	7.3490	0.8930	0.8503	4.4260	0.7575	0.0000	0.0000	0.0000	0.0000	0.2372	5.6859
9	80.0000	90.0000	1421.0962	1527.0000	1328.5529	33.8673	1.8418	56.8341	1.0221	7.1074	6.7098	7.1805	6.7872	0.0306	0.8488	3.9451	0.7437	0.0000	0.0000	0.0000	0.0000	0.0451	5.8030
10	90.0000	100.0000	1237.4935	1366.0000	1158.1493	27.3527	1.7190	50.2725	1.0794	6.6528	6.4524	6.7398	6.5421	0.2251	0.8498	3.9611	0.7446	0.0000	0.0000	0.0000	0.0000	0.0201	5.2213
11	100.0000	110.0000	1065.4991	1167.0000	998.7154	20.4275	0.4479	45.9083	1.1530	7.5475	7.2556	7.6350	7.3467	0.2755	0.8475	5.4439	0.7385	0.0000	0.0000	0.0000	0.0000	0.1497	5.0958
12	110.0000	120.0000	933.3037	1013.0000	876.5298	15.8183	0.6282	40.3274	1.2116	7.3395	7.4576	7.4388	7.5554	0.0553	0.8458	5.4003	0.7295	0.0000	0.0000	0.0000	0.0000	0.0652	5.2167
13	120.0000	130.0000	755.2958	817.0000	710.7267	10.1649	0.7235	33.6807	1.2874	7.2700	6.9875	7.3831	7.1051	0.2147	0.8416	5.3330	0.7645	0.0000	0.0000	0.0000	0.0000	0.2065	4.8035
14	130.0000	140.0000	605.4138	669.0000	570.5986	6.5862	0.3997	27.8292	1.4287	7.2985	7.2303	7.4370	7.3701	0.3648	0.8418	5.2480	0.8073	0.0000	0.0000	0.0000	0.0000	0.3275	5.0195
15	140.0000	150.0000	469.0054	510.0000	442.0621	3.3471	0.3111	23.2851	1.5933	7.2813	6.8939	7.4536	7.0756	0.6928	0.8370	5.0723	0.7857	0.0000	0.0000	0.0000	0.0000	0.1471	5.0626
16	150.0000	160.0000	365.7958	415.0000	344.3562	2.7230	0.3847	18.3319	1.7546	6.9409	6.7009	7.1593	6.9268	1.3524	0.8346	5.1518	0.7748	0.0000	0.0000	0.0000	0.0000	0.1763	4.3798
17	160.0000	170.0000	276.7309	297.0000	261.1828	1.6402	0.1556	13.7524	1.9675	6.9117	6.5173	7.1863	6.8078	0.6715	0.8325	5.1598	0.7723	0.0000	0.0000	0.0000	0.0000	0.1819	4.4318
18	170.0000	180.0000	206.2063	201.0000	193.5987	1.2571	0.1306	11.2198	2.0349	6.8046	6.6027	7.1024	6.9092	0.9778	0.8330	5.2136	0.7527	0.0000	0.0000	0.0000	0.0000	0.1568	4.1115
19	180.0000	190.0000	144.6743	150.0000	135.7782	0.4936	0.0000	8.4025	2.5487	5.9723	6.4600	6.4934	6.9446	1.1027	0.8307	4.9903	0.7584	0.0000	0.0000	0.0000	0.0000	0.2689	4.0766
20	190.0000	200.0000	93.1758	118.0000	87.3598	0.3689	0.0000	5.4471	2.7110	5.6448	6.0583	6.2621	6.6372	0.2610	0.8311	5.0153	0.7489	0.0000	0.0000	0.0000	0.0000	0.2989	3.4405
21	200.0000	210.0000	60.3369	56.0000	56.1831	0.3840	0.0000	3.7698	3.3494	5.1993	5.5209	6.1847	6.4574	0.6275	0.8329	4.8608	0.7407	0.0000	0.0000	0.0000	0.0000	0.5661	2.5831
22	210.0000	220.0000	30.6710	36.0000	28.9656	0.1267	0.0000	1.5786	4.6870	5.5002	5.5803	7.2264	7.2876	0.5304	0.8298	5.2480	0.7318	0.0000	0.0000	0.0000	0.0000	0.3532	2.0060
23	220.0000	230.0000	11.2005	12.0000	10.5488	0.0546	0.0000	0.5971	7.4391	6.0009	5.9244	9.5578	9.5099	2.5355	0.8278	5.2782	0.7833	0.0000	0.0000	0.0000	0.0000	0.2980	1.2694
24	230.0000	240.0000	3.7858	4.0000	3.5174	0.0986	0.0000	0.1699	10.5752	6.2957	8.4265	12.3073	13.5218	5.1058	0.8116	4.7239	0.6322	0.0000	0.0000	0.0000	0.0000	0.0553	4.7991
25	240.0000	250.0000	2.3955	2.0000	2.0416	0.0551	0.0561	0.2427	12.6493	6.2428	7.8781	14.1059	14.9020	1.4438	0.8077	6.0120	0.7115	0.0000	0.0000	0.0000	0.0000	0.0542	5.0168
