Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	496.8314	617.0000	456.2067	23.1449	0.6342	16.8456	1.6806	7.4545	6.0218	7.6416	6.2519	0.3307	0.0000	0.0000	0.0000	0.2452	0.0000	0.6772	0.2864	0.5185	7.3885
2	-3.0144	-2.8888	496.0938	566.0000	457.1180	20.6830	1.0162	17.2766	1.6851	6.3367	5.8865	6.5569	6.1229	0.2463	0.0000	0.0000	0.0000	0.2363	0.0000	0.6880	0.2823	0.2031	6.2804
3	-2.8888	-2.7632	488.4979	582.0000	450.5311	20.4506	1.0310	16.4851	1.6338	5.7504	4.8573	5.9780	5.1247	0.2996	0.0000	0.0000	0.0000	0.2485	0.0000	0.6972	0.2926	0.5297	5.6675
4	-2.7632	-2.6376	507.1905	581.0000	468.3573	20.5242	1.0637	17.2453	1.7702	4.6184	5.6901	4.9461	5.9591	1.4392	0.0000	0.0000	0.0000	0.2257	0.0000	0.6970	0.2767	0.1509	5.6247
5	-2.6376	-2.5120	502.2755	611.0000	463.2088	20.6524	1.0261	17.3882	1.7648	5.6767	7.0868	5.9447	7.3032	0.6980	0.0000	0.0000	0.0000	0.2365	0.0000	0.6820	0.2795	0.6665	7.0058
6	-2.5120	-2.3864	499.2651	603.0000	460.6587	20.6246	0.9609	17.0211	1.6919	5.3596	5.0682	5.6203	5.3431	0.5630	0.0000	0.0000	0.0000	0.2371	0.0000	0.6817	0.2842	0.2354	5.2860
7	-2.3864	-2.2608	503.4897	599.0000	463.7471	22.3541	0.8353	16.5532	1.7633	6.3280	6.5500	6.5691	6.7832	0.5923	0.0000	0.0000	0.0000	0.2417	0.0000	0.6805	0.2844	1.1588	6.4714
8	-2.2608	-2.1352	490.8541	592.0000	452.5466	20.3770	0.7637	17.1668	1.7605	5.1083	5.9863	5.4032	6.2399	0.2906	0.0000	0.0000	0.0000	0.2433	0.0000	0.6811	0.2863	0.5914	5.9064
9	-2.1352	-2.0096	495.9024	559.0000	457.9746	20.6813	0.9501	16.2965	1.8188	6.5861	7.0660	6.8326	7.2963	0.1157	0.0000	0.0000	0.0000	0.2365	0.0000	0.6771	0.2788	0.3858	7.0128
10	-2.0096	-1.8840	513.6471	577.0000	473.1920	21.7844	1.4183	17.2525	1.7909	5.8469	5.0592	6.1151	5.3668	0.3244	0.0000	0.0000	0.0000	0.2519	0.0000	0.6800	0.2863	0.7823	5.7672
11	-1.8840	-1.7584	494.9437	586.0000	458.1824	19.8252	0.7219	16.2142	1.7912	5.9367	6.4025	6.2010	6.6484	0.4720	0.0000	0.0000	0.0000	0.2522	0.0000	0.6806	0.2907	0.0253	6.3373
12	-1.7584	-1.6328	479.3916	552.0000	442.6576	19.6431	0.7895	16.3014	1.6980	6.3602	6.0059	6.5830	6.2413	0.4303	0.0000	0.0000	0.0000	0.2446	0.0000	0.6831	0.2881	0.0807	6.3020
13	-1.6328	-1.5072	479.3956	551.0000	440.2313	21.2162	0.9019	17.0463	1.6868	6.0123	6.0388	6.2445	6.2700	0.2536	0.0000	0.0000	0.0000	0.2435	0.0000	0.7027	0.2909	0.3838	5.9684
14	-1.5072	-1.3816	493.2561	572.0000	455.1372	20.2919	0.6700	17.1571	1.7467	5.4379	5.5274	5.7115	5.7968	0.5841	0.0000	0.0000	0.0000	0.2445	0.0000	0.6922	0.2874	0.1926	5.4706
15	-1.3816	-1.2560	498.3434	599.0000	460.1682	19.8810	1.1728	17.1214	1.7398	6.0074	5.1515	6.2542	5.4374	0.4094	0.0000	0.0000	0.0000	0.2386	0.0000	0.6806	0.2830	0.3034	5.9431
16	-1.2560	-1.1304	486.8259	593.0000	448.2553	20.5268	1.0153	17.0285	1.7394	5.0907	6.1082	5.3797	6.3510	0.2669	0.0000	0.0000	0.0000	0.2403	0.0000	0.6728	0.2840	0.3583	6.0462
17	-1.1304	-1.0048	498.5302	545.0000	460.0372	20.8017	1.1899	16.5013	1.7349	6.3879	5.3021	6.6193	5.5787	0.3428	0.0000	0.0000	0.0000	0.2280	0.0000	0.6727	0.2739	0.1132	6.3331
18	-1.0048	-0.8792	498.9092	568.0000	458.9970	22.3669	0.8017	16.7436	1.8031	5.4982	5.7239	5.7863	6.0011	0.3009	0.0000	0.0000	0.0000	0.2399	0.0000	0.6710	0.2798	0.3776	5.6522
19	-0.8792	-0.7536	484.3568	598.0000	443.6180	22.0123	1.4656	17.2609	1.6538	7.9549	7.0977	8.1249	7.2879	0.2168	0.0000	0.0000	0.0000	0.2329	0.0000	0.6808	0.2815	0.3411	7.9096
20	-0.7536	-0.6280	502.5038	598.0000	463.4033	20.9481	0.7691	17.3832	1.6769	6.0336	6.4557	6.2623	6.6700	0.5603	0.0000	0.0000	0.0000	0.2426	0.0000	0.6883	0.2872	0.1954	6.3826
21	-0.6280	-0.5024	509.2656	606.0000	467.5620	23.1379	1.1392	17.4265	1.7365	5.7052	5.9370	5.9636	6.1857	0.7092	0.0000	0.0000	0.0000	0.2372	0.0000	0.6791	0.2834	1.2463	5.7504
22	-0.5024	-0.3768	487.7292	567.0000	448.2733	21.3050	0.9233	17.2276	1.6339	6.9007	7.2561	7.0915	7.4378	0.5719	0.0000	0.0000	0.0000	0.2419	0.0000	0.6713	0.2829	0.3449	7.2066
23	-0.3768	-0.2512	516.4204	570.0000	476.9953	21.5296	1.3906	16.5049	1.7361	5.5593	6.3208	5.8241	6.5549	0.6289	0.0000	0.0000	0.0000	0.2347	0.0000	0.6781	0.2802	0.3425	6.2424
24	-0.2512	-0.1256	516.4332	607.0000	476.3201	22.3903	0.9230	16.7999	1.7738	5.8062	6.4681	6.0712	6.7069	0.4679	0.0000	0.0000	0.0000	0.2397	0.0000	0.6733	0.2825	0.3834	6.4106
25	-0.1256	0.0000	497.4047	539.0000	458.4047	21.0490	1.1236	16.8274	1.6887	6.1575	5.2186	6.3848	5.4850	0.8510	0.0000	0.0000	0.0000	0.2419	0.0000	0.6822	0.2850	0.3335	6.0666
26	0.0000	0.1256	496.6590	595.0000	458.0629	21.2290	0.7392	16.6279	1.6882	5.2798	6.3142	5.5431	6.5360	1.0005	0.0000	0.0000	0.0000	0.2392	0.0000	0.6747	0.2847	0.4244	6.1723
27	0.1256	0.2512	499.8466	590.0000	459.0941	22.7528	0.9631	17.0366	1.6736	5.1577	5.6636	5.4224	5.9057	1.0139	0.0000	0.0000	0.0000	0.2336	0.0000	0.6735	0.2811	0.3889	5.5101
28	0.2512	0.3768	503.5028	639.0000	463.0753	22.4302	0.6857	17.3116	1.6936	6.0551	7.3056	6.2875	7.4994	0.4196	0.0000	0.0000	0.0000	0.2450	0.0000	0.6893	0.2884	0.7219	7.2153
29	0.3768	0.5024	499.3616	595.0000	460.2915	21.0331	0.8921	17.1449	1.7013	6.6530	5.3498	6.8671	5.6138	0.5227	0.0000	0.0000	0.0000	0.2421	0.0000	0.6912	0.2884	0.2890	6.5792
30	0.5024	0.6280	503.2665	626.0000	463.7100	21.8154	0.9309	16.8103	1.6888	6.3415	6.1907	6.5626	6.4170	0.4738	0.0000	0.0000	0.0000	0.2334	0.0000	0.6807	0.2791	0.4850	6.2622
31	0.6280	0.7536	501.5597	604.0000	460.9263	21.7011	1.3277	17.6047	1.8264	6.7278	6.9207	6.9713	7.1576	1.4973	0.0000	0.0000	0.0000	0.2496	0.0000	0.6857	0.2906	1.6274	6.6272
32	0.7536	0.8792	495.0052	568.0000	456.7138	20.5308	1.1959	16.5648	1.7188	6.2351	4.7698	6.4677	5.0700	0.2915	0.0000	0.0000	0.0000	0.2382	0.0000	0.6735	0.2837	0.4675	6.1698
33	0.8792	1.0048	509.8080	595.0000	473.2537	20.5881	0.6972	15.2689	1.7462	6.3366	5.9164	6.5728	6.1687	1.1953	0.0000	0.0000	0.0000	0.2473	0.0000	0.6828	0.2895	0.5657	6.1622
34	1.0048	1.1304	488.7991	585.0000	448.5389	22.4016	1.3046	16.5541	1.6924	7.4563	4.9628	7.6459	5.2435	0.9063	0.0000	0.0000	0.0000	0.2364	0.0000	0.6863	0.2816	0.6489	7.3587
35	1.1304	1.2560	513.7282	623.0000	474.1333	22.1709	0.7238	16.7002	1.7706	5.1174	7.5973	5.4150	7.8009	0.3636	0.0000	0.0000	0.0000	0.2470	0.0000	0.6936	0.2889	0.4035	7.5367
36	1.2560	1.3816	491.5283	587.0000	452.9929	20.8236	1.1208	16.5909	1.7464	5.5979	5.3422	5.8640	5.6204	0.7472	0.0000	0.0000	0.0000	0.2435	0.0000	0.6950	0.2870	0.4553	5.4841
37	1.3816	1.5072	473.8281	564.0000	434.2968	21.6235	1.1908	16.7171	1.6679	7.2835	6.1217	7.4720	6.3448	0.0377	0.0000	0.0000	0.0000	0.2423	0.0000	0.6823	0.2854	0.4622	7.2269
38	1.5072	1.6328	482.1518	578.0000	442.2531	21.2289	1.1252	17.5446	1.7084	5.9482	5.5106	6.1887	5.7693	0.3758	0.0000	0.0000	0.0000	0.2500	0.0000	0.6868	0.2930	0.4304	5.8743
39	1.6328	1.7584	493.8017	596.0000	456.1065	20.6062	0.9663	16.1226	1.6932	5.3191	6.3082	5.5821	6.5315	0.2879	0.0000	0.0000	0.0000	0.2428	0.0000	0.6905	0.2892	0.5754	6.2267
40	1.7584	1.8840	488.1921	571.0000	449.9836	21.5676	0.6725	15.9684	1.7032	7.3767	6.1065	7.5708	6.3395	0.1838	0.0000	0.0000	0.0000	0.2458	0.0000	0.6852	0.2895	0.7058	7.2987
41	1.8840	2.0096	472.6123	572.0000	433.5539	21.5903	0.9461	16.5219	1.7447	5.7056	6.2985	5.9664	6.5357	0.6461	0.0000	0.0000	0.0000	0.2490	0.0000	0.7015	0.2960	0.4605	6.2142
42	2.0096	2.1352	488.0687	559.0000	449.0087	22.0750	0.9093	16.0758	1.6654	5.6240	6.0787	5.8654	6.3027	0.6071	0.0000	0.0000	0.0000	0.2371	0.0000	0.6833	0.2833	1.0351	5.9086
43	2.1352	2.2608	479.8035	535.0000	440.1663	22.1590	1.0753	16.4029	1.6358	6.1343	5.7006	6.3486	5.9306	0.5970	0.0000	0.0000	0.0000	0.2434	0.0000	0.6871	0.2857	0.2470	6.0685
44	2.2608	2.3864	485.8744	591.0000	446.5860	22.0396	0.8296	16.4192	1.6939	6.0457	5.5178	6.2785	5.7719	0.6177	0.0000	0.0000	0.0000	0.2411	0.0000	0.6913	0.2876	0.3681	5.9783
45	2.3864	2.5120	481.8510	554.0000	442.9656	20.8801	0.8029	17.2024	1.6754	5.8722	6.0683	6.1065	6.2953	0.2769	0.0000	0.0000	0.0000	0.2398	0.0000	0.6974	0.2892	0.5069	5.9889
46	2.5120	2.6376	501.4773	578.0000	463.1091	21.3776	0.6613	16.3293	1.6731	6.1407	4.7728	6.3645	5.0575	0.4447	0.0000	0.0000	0.0000	0.2345	0.0000	0.6934	0.2837	0.4185	6.0678
47	2.6376	2.7632	508.6231	525.0000	469.9940	20.9657	0.7658	16.8975	1.7480	5.5599	6.8882	5.8282	7.1065	0.8679	0.0000	0.0000	0.0000	0.2295	0.0000	0.6640	0.2783	0.4008	6.8261
48	2.7632	2.8888	483.2671	601.0000	442.8761	21.7096	1.3748	17.3066	1.6374	6.6778	6.0448	6.8756	6.2627	0.1813	0.0000	0.0000	0.0000	0.2453	0.0000	0.7083	0.2927	0.9634	6.5562
49	2.8888	3.0144	486.7906	601.0000	447.0982	21.7917	1.0191	16.8817	1.7374	5.2791	6.7040	5.5576	6.9254	0.1056	0.0000	0.0000	0.0000	0.2397	0.0000	0.6901	0.2842	0.5050	6.6382
50	3.0144	3.1400	500.5957	564.0000	461.7973	20.4192	1.5928	16.7864	1.6786	5.9658	5.8192	6.1975	6.0564	0.1517	0.0000	0.0000	0.0000	0.2400	0.0000	0.6854	0.2827	0.7965	5.9128
