Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	489.9954	559.0000	450.3768	20.9924	1.4426	17.1836	1.6905	5.2157	6.2101	5.4829	6.4360	1.2238	0.0000	0.0000	0.0000	0.2361	0.0000	0.6829	0.2825	0.2350	6.0937
2	-3.0144	-2.8888	504.3402	636.0000	463.8618	21.4733	1.7711	17.2339	1.7452	4.9470	6.1598	5.2458	6.4023	1.3353	0.0000	0.0000	0.0000	0.2419	0.0000	0.6896	0.2870	0.4599	6.0505
3	-2.8888	-2.7632	492.4230	651.0000	453.6886	19.8127	1.4111	17.5107	1.6847	5.8875	6.6525	6.1237	6.8625	0.4571	0.0000	0.0000	0.0000	0.2431	0.0000	0.6842	0.2872	0.7816	6.6068
4	-2.7632	-2.6376	513.3191	611.0000	473.9295	21.0659	1.5942	16.7295	1.7889	6.3906	5.5962	6.6363	5.8751	0.1873	0.0000	0.0000	0.0000	0.2289	0.0000	0.6740	0.2759	0.6854	6.3421
5	-2.6376	-2.5120	517.9950	596.0000	476.8302	21.9567	1.5852	17.6230	1.7550	4.5730	8.0663	4.8982	8.2550	0.4498	0.0000	0.0000	0.0000	0.2425	0.0000	0.6823	0.2861	0.5589	7.9968
6	-2.5120	-2.3864	493.4845	563.0000	454.1935	20.6291	1.4560	17.2060	1.7539	8.8806	4.3343	9.0521	4.6757	0.4225	0.0000	0.0000	0.0000	0.2399	0.0000	0.6750	0.2819	1.1108	8.7670
7	-2.3864	-2.2608	500.2100	575.0000	461.1074	20.5948	1.1755	17.3323	1.7306	4.9189	6.5276	5.2144	6.7531	0.3349	0.0000	0.0000	0.0000	0.2481	0.0000	0.7001	0.2904	0.9753	6.4698
8	-2.2608	-2.1352	491.1447	543.0000	450.2391	21.5775	1.8956	17.4325	1.7036	6.0546	6.3356	6.2897	6.5607	0.3185	0.0000	0.0000	0.0000	0.2416	0.0000	0.6853	0.2845	0.3996	6.2796
9	-2.1352	-2.0096	490.0060	585.0000	450.1656	20.6258	1.3714	17.8433	1.7269	6.5999	5.9532	6.8221	6.1986	0.0834	0.0000	0.0000	0.0000	0.2472	0.0000	0.6827	0.2859	0.6145	6.5505
10	-2.0096	-1.8840	500.5225	558.0000	460.0414	20.9312	1.5644	17.9854	1.7846	4.1801	6.1088	4.5451	6.3642	0.6278	0.0000	0.0000	0.0000	0.2303	0.0000	0.6734	0.2779	0.8195	5.9726
11	-1.8840	-1.7584	484.4652	544.0000	445.4821	20.8136	1.6238	16.5457	1.7814	7.0479	5.6828	7.2696	5.9555	0.7291	0.0000	0.0000	0.0000	0.2505	0.0000	0.6827	0.2880	0.0473	6.9840
12	-1.7584	-1.6328	497.4931	540.0000	457.7610	21.8071	1.2449	16.6800	1.7378	4.4956	5.9038	4.8198	6.1542	0.7462	0.0000	0.0000	0.0000	0.2395	0.0000	0.6773	0.2803	0.3098	5.7975
13	-1.6328	-1.5072	487.8628	576.0000	447.6479	21.1385	1.7561	17.3203	1.7058	9.4520	4.7561	9.6047	5.0527	0.3219	0.0000	0.0000	0.0000	0.2311	0.0000	0.6705	0.2741	0.9446	9.3687
14	-1.5072	-1.3816	510.0948	595.0000	470.4259	20.4757	1.6556	17.5377	1.7563	4.4052	7.5005	4.7424	7.7034	0.1220	0.0000	0.0000	0.0000	0.2384	0.0000	0.6809	0.2828	0.6758	7.4289
15	-1.3816	-1.2560	491.6986	574.0000	453.3385	20.3532	1.3305	16.6764	1.7460	5.5091	4.2152	5.7792	4.5625	0.1725	0.0000	0.0000	0.0000	0.2345	0.0000	0.6837	0.2816	0.3007	5.4459
16	-1.2560	-1.1304	490.6619	562.0000	452.2033	20.2683	1.2949	16.8955	1.7288	6.5512	6.7127	6.7755	6.9318	0.1837	0.0000	0.0000	0.0000	0.2439	0.0000	0.6889	0.2915	0.3882	6.6529
17	-1.1304	-1.0048	505.9344	599.0000	467.2900	20.6108	2.0440	15.9896	1.7686	3.9014	5.1887	4.2835	5.4818	0.2133	0.0000	0.0000	0.0000	0.2477	0.0000	0.6752	0.2886	0.7301	5.0742
18	-1.0048	-0.8792	502.2790	578.0000	461.2457	21.7268	1.6172	17.6894	1.6964	6.7750	7.3710	6.9841	7.5637	0.5502	0.0000	0.0000	0.0000	0.2488	0.0000	0.6843	0.2897	0.9256	7.2815
19	-0.8792	-0.7536	496.3745	588.0000	456.0640	22.3296	1.2315	16.7494	1.6985	6.3206	4.1613	6.5448	4.4946	0.8411	0.0000	0.0000	0.0000	0.2403	0.0000	0.6855	0.2857	0.9561	6.1416
20	-0.7536	-0.6280	508.2178	586.0000	466.1824	22.9451	1.4230	17.6673	1.7857	3.0122	7.6198	3.5017	7.8263	0.7066	0.0000	0.0000	0.0000	0.2369	0.0000	0.6725	0.2828	0.7063	7.5152
21	-0.6280	-0.5024	494.6660	630.0000	455.0326	21.5191	1.4641	16.6502	1.6922	9.6213	6.2441	9.7690	6.4693	0.5172	0.0000	0.0000	0.0000	0.2452	0.0000	0.6929	0.2891	0.5664	9.5593
22	-0.5024	-0.3768	484.3509	564.0000	444.1806	22.0450	1.7217	16.4036	1.6252	4.2842	6.3986	4.5821	6.6018	0.8909	0.0000	0.0000	0.0000	0.2394	0.0000	0.6965	0.2850	1.2364	6.2033
23	-0.3768	-0.2512	492.3287	574.0000	452.3994	20.7317	1.4924	17.7052	1.6705	6.6994	6.0663	6.9045	6.2921	0.4048	0.0000	0.0000	0.0000	0.2365	0.0000	0.6798	0.2825	0.6277	6.6126
24	-0.2512	-0.1256	492.8273	550.0000	451.7609	21.5037	1.5606	18.0021	1.6689	6.2073	5.2725	6.4277	5.5303	0.4140	0.0000	0.0000	0.0000	0.2399	0.0000	0.6765	0.2820	0.2019	6.1515
25	-0.1256	0.0000	501.8182	562.0000	459.5429	23.5854	1.4277	17.2622	1.6993	6.8801	5.6384	7.0869	5.8889	0.4108	0.0000	0.0000	0.0000	0.2413	0.0000	0.6777	0.2858	0.8548	6.8238
26	0.0000	0.1256	492.7019	563.0000	452.3679	21.4554	1.9733	16.9053	1.7325	5.6293	5.7159	5.8899	5.9727	0.4505	0.0000	0.0000	0.0000	0.2358	0.0000	0.6813	0.2813	0.7783	5.6428
27	0.1256	0.2512	496.2517	566.0000	456.7275	21.5242	1.3472	16.6529	1.6584	5.5143	7.1084	5.7583	7.2993	0.6280	0.0000	0.0000	0.0000	0.2465	0.0000	0.7012	0.2933	0.5948	7.0311
28	0.2512	0.3768	498.3027	591.0000	456.5481	23.2842	1.4881	16.9823	1.6743	6.8832	5.4911	7.0839	5.7407	0.6796	0.0000	0.0000	0.0000	0.2430	0.0000	0.6790	0.2848	0.2253	6.8168
29	0.3768	0.5024	502.8406	612.0000	460.2288	23.3683	1.4150	17.8285	1.6557	6.3643	5.5475	6.5762	5.7893	0.8174	0.0000	0.0000	0.0000	0.2403	0.0000	0.6834	0.2845	1.0050	6.1823
