Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	3474.7194	4279.0000	3314.5614	61.5400	2.9994	95.6186	0.7186	3.8820	3.6168	3.9480	3.6875	0.1004	0.0000	0.0000	0.0000	0.2611	0.0000	0.6830	0.3042	0.1975	3.7940
2	50.0000	100.0000	8662.4191	10458.0000	8249.1826	162.2955	8.7464	242.1946	0.4522	2.5631	3.3680	2.6026	3.3982	0.2620	0.0000	0.0000	0.0000	0.2393	0.0000	0.6557	0.2855	0.3633	3.2522
3	100.0000	150.0000	6543.6176	7781.0000	6120.2847	189.3051	13.1608	220.8669	0.4802	8.9045	9.2341	8.9175	9.2466	0.1356	0.0000	0.0000	0.0000	0.2363	0.0000	0.6918	0.2803	0.4603	9.1957
4	150.0000	200.0000	3249.6657	3727.0000	2923.4105	178.3189	13.5645	134.3719	0.5615	13.2088	11.7116	13.2207	11.7251	0.0300	0.0000	0.0000	0.0000	0.2400	0.0000	0.7345	0.2822	0.5790	13.1766
5	200.0000	250.0000	1435.5869	1574.0000	1212.9989	140.2407	10.7725	71.5749	0.6715	13.7121	13.0903	13.7285	13.1075	0.2645	0.0000	0.0000	0.0000	0.2408	0.0000	0.7309	0.2831	0.9993	13.6589
6	250.0000	300.0000	644.9773	645.0000	498.4965	102.2136	8.4186	35.8486	0.8651	14.1059	11.0297	14.1324	11.0636	0.3548	0.0000	0.0000	0.0000	0.2301	0.0000	0.6923	0.2742	1.1358	14.0344
7	300.0000	350.0000	332.0537	319.0000	232.1430	74.4503	6.2004	19.2600	1.0279	12.1228	11.0621	12.1663	11.1098	0.4615	0.0000	0.0000	0.0000	0.2220	0.0000	0.6663	0.2670	1.5767	12.0828
8	350.0000	400.0000	180.6811	176.0000	114.0656	51.7480	3.8344	11.0332	1.2457	11.2927	8.7738	11.3612	8.8618	0.9842	0.0000	0.0000	0.0000	0.2145	0.0000	0.6484	0.2638	1.5667	11.1160
9	400.0000	450.0000	108.0604	101.0000	62.3597	35.9059	2.9527	6.8421	1.5210	12.0077	10.1085	12.1037	10.2223	0.7258	0.0000	0.0000	0.0000	0.2060	0.0000	0.6164	0.2562	1.5235	11.8680
10	450.0000	500.0000	64.6829	32.0000	33.9579	25.4848	1.2262	4.0140	1.8865	11.2855	9.7124	11.4420	9.8939	1.0656	0.0000	0.0000	0.0000	0.1962	0.0000	0.5958	0.2492	1.3289	11.1357
11	500.0000	550.0000	42.0598	26.0000	20.5342	17.4511	1.2543	2.8202	2.4010	7.3953	10.8069	7.7753	11.0704	0.1463	0.0000	0.0000	0.0000	0.1904	0.0000	0.5812	0.2452	1.6614	10.6571
12	550.0000	600.0000	26.3969	28.0000	12.4985	11.0463	0.8736	1.9785	3.6033	15.8134	10.2282	16.2187	10.8444	1.9221	0.0000	0.0000	0.0000	0.1959	0.0000	0.5836	0.2457	1.8321	15.6005
13	600.0000	650.0000	16.7675	15.0000	7.6727	7.1567	0.7594	1.1786	3.6750	9.5211	10.1985	10.2057	10.8404	1.1941	0.0000	0.0000	0.0000	0.1933	0.0000	0.5828	0.2468	2.1068	10.0357
14	650.0000	700.0000	12.6100	6.0000	5.1287	6.0850	0.3523	1.0440	6.5360	5.6565	7.4834	8.6438	9.9358	0.3552	0.0000	0.0000	0.0000	0.1817	0.0000	0.5585	0.2384	1.0190	7.3781
15	700.0000	750.0000	7.8944	4.0000	3.4203	3.4052	0.2785	0.7904	5.3353	20.9598	8.3429	21.6282	9.9030	0.7174	0.0000	0.0000	0.0000	0.2139	0.0000	0.6026	0.2651	6.2043	19.9957
16	750.0000	800.0000	5.8091	1.0000	2.5207	2.6611	0.1981	0.4293	6.1644	4.3648	19.5027	7.5533	20.4538	1.5719	0.0000	0.0000	0.0000	0.2095	0.0000	0.6041	0.2648	8.6152	17.4674
17	800.0000	850.0000	3.7661	1.0000	1.7268	1.5195	0.1754	0.3444	7.0291	15.3589	7.8203	16.8909	10.5151	1.3125	0.0000	0.0000	0.0000	0.1970	0.0000	0.5793	0.2535	2.6468	15.2884
18	850.0000	900.0000	2.8325	1.0000	1.2014	1.3624	0.0341	0.2346	8.6458	12.8878	12.0468	15.5192	14.8282	2.9339	0.0000	0.0000	0.0000	0.2005	0.0000	0.5831	0.2535	7.7520	11.7275
19	900.0000	950.0000	1.8077	3.0000	0.8632	0.8130	0.0486	0.0829	10.4796	19.5650	7.1527	22.1948	12.6879	1.0699	0.0000	0.0000	0.0000	0.2161	0.0000	0.6030	0.2636	6.6631	18.3512
20	950.0000	1000.0000	4.5206	5.0000	2.7732	1.2634	0.0550	0.4290	5.1202	15.9332	14.3687	16.7357	15.2537	2.9150	0.0000	0.0000	0.0000	0.2048	0.0000	0.5844	0.2549	5.2966	15.3126
