Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	1052.2241	1254.0000	985.6898	41.2280	1.2738	24.0324	1.2545	0.9824	0.5971	1.5934	1.3894	0.1713	0.0000	0.0000	0.0000	0.2008	0.0000	0.4749	0.2556	0.5727	0.5260
2	50.0000	100.0000	3886.4324	4931.0000	3683.3574	115.3813	3.0577	84.6360	0.6848	1.8766	1.3896	1.9977	1.5492	0.2599	0.0000	0.0000	0.0000	0.1887	0.0000	0.4891	0.2486	0.1027	1.7627
3	100.0000	150.0000	5468.2734	6883.0000	5170.1325	154.1317	5.4618	138.5474	0.5870	3.1062	4.1908	3.1611	4.2317	0.0747	0.0000	0.0000	0.0000	0.1911	0.0000	0.5681	0.2440	0.2072	4.1353
4	150.0000	200.0000	4888.2092	5902.0000	4562.2791	161.8722	6.8067	157.2512	0.5696	5.6860	6.0418	5.7144	6.0686	0.1641	0.0000	0.0000	0.0000	0.2096	0.0000	0.6670	0.2540	0.1744	5.9929
5	200.0000	250.0000	3655.2491	4232.0000	3363.7964	144.6566	6.5345	140.2616	0.5934	8.0995	8.0345	8.1212	8.0564	0.1805	0.0000	0.0000	0.0000	0.2371	0.0000	0.7416	0.2753	0.2770	8.0505
6	250.0000	300.0000	2446.6542	2691.0000	2210.8312	118.9144	6.6897	110.2190	0.6492	9.3769	9.1172	9.3993	9.1403	0.1180	0.0000	0.0000	0.0000	0.2538	0.0000	0.7816	0.2899	0.2158	9.3342
7	300.0000	350.0000	1464.0811	1512.0000	1293.7130	90.3164	5.3926	74.6590	0.7268	12.9938	11.0826	13.0141	11.1064	0.2101	0.0000	0.0000	0.0000	0.2646	0.0000	0.7996	0.3024	0.7040	12.9421
8	350.0000	400.0000	829.7777	787.0000	712.7306	68.3988	4.0066	44.6418	0.8532	12.2082	11.9578	12.2380	11.9882	0.1765	0.0000	0.0000	0.0000	0.3344	0.0000	0.8976	0.3646	0.6945	12.1632
9	400.0000	450.0000	453.1555	418.0000	374.4618	50.4397	2.9263	25.3276	1.0913	13.7604	11.7908	13.8036	11.8412	0.3293	0.0000	0.0000	0.0000	0.4858	0.0000	1.1469	0.5035	1.1663	13.6409
10	450.0000	500.0000	254.6601	239.0000	200.5187	36.7176	2.2236	15.2001	1.3379	13.0782	11.5463	13.1465	11.6235	0.8941	0.0000	0.0000	0.0000	0.7802	0.0000	1.5881	0.7704	0.9935	12.9017
11	500.0000	550.0000	146.6329	122.0000	110.3758	25.4990	1.3477	9.4103	1.6784	13.8107	13.7354	13.9123	13.8375	0.2089	0.0000	0.0000	0.0000	1.0413	0.0000	1.9816	1.0106	1.5815	13.5700
12	550.0000	600.0000	85.0158	77.0000	60.9348	17.4059	0.7680	5.9072	1.9697	13.4120	11.5876	13.5559	11.7538	0.5622	0.0000	0.0000	0.0000	1.0769	0.0000	2.0485	1.0452	1.8404	13.0281
13	600.0000	650.0000	51.6274	41.0000	34.4916	12.4634	0.9028	3.7696	2.3327	12.5547	10.8294	12.7696	11.0778	0.5095	0.0000	0.0000	0.0000	1.0758	0.0000	2.0259	1.0327	0.1465	12.2886
14	650.0000	700.0000	31.7624	26.0000	21.0392	8.3024	0.5847	1.8362	2.8482	13.5527	13.4545	13.8488	13.7526	0.5719	0.0000	0.0000	0.0000	1.0353	0.0000	1.9545	1.0010	0.5412	13.3102
15	700.0000	750.0000	20.9459	7.0000	12.3015	6.5550	0.4097	1.6798	4.2650	14.0615	16.0485	14.6941	16.6055	0.8105	0.0000	0.0000	0.0000	0.9025	0.0000	1.7570	0.8890	3.2995	15.5352
16	750.0000	800.0000	12.1146	9.0000	7.5071	3.2722	0.4348	0.9004	3.7913	18.1728	7.5649	18.5641	8.4618	0.0402	0.0000	0.0000	0.0000	0.8923	0.0000	1.7105	0.8575	3.0983	17.7818
17	800.0000	850.0000	8.7029	1.0000	4.6820	3.1131	0.1509	0.7569	4.9592	10.9612	14.4661	12.0308	15.2925	1.3954	0.0000	0.0000	0.0000	0.7629	0.0000	1.4912	0.7562	0.9363	14.2878
18	850.0000	900.0000	5.9113	2.0000	3.0339	2.1935	0.1625	0.5214	5.9813	8.6031	15.8130	10.4781	16.9064	3.2672	0.0000	0.0000	0.0000	0.6382	0.0000	1.3332	0.6553	1.9793	15.4136
19	900.0000	950.0000	3.8588	4.0000	2.0794	1.3962	0.0462	0.3370	6.6715	19.0935	3.1594	20.2255	7.3818	0.5067	0.0000	0.0000	0.0000	0.6262	0.0000	1.2913	0.6292	5.5944	18.1811
20	950.0000	1000.0000	9.2034	4.0000	4.8747	3.5745	0.0289	0.7253	4.3580	14.2323	14.1024	14.8846	14.7605	0.9379	0.0000	0.0000	0.0000	0.5270	0.0000	1.1313	0.5426	2.7332	14.0790
