Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	21.4496	13.0000	0.1181	20.0105	0.5939	0.7272	4.5497	8.9970	9.3370	10.0819	10.3865	2.7846	0.4352	2.5029	0.0000	0.0000	0.0000	0.4341	0.1668	0.1305	8.8496
3	-2.3000	-2.2000	25.5520	27.0000	0.0506	23.5972	0.7195	1.1848	4.1363	7.0768	8.7032	8.1970	9.6361	0.5943	0.4409	2.4879	0.0000	0.0000	0.0000	0.4350	0.1635	0.2410	8.2906
4	-2.2000	-2.1000	28.4791	29.0000	0.0984	26.2445	0.7442	1.3919	3.9184	5.9924	6.2229	7.1598	7.3538	0.8007	0.4380	2.5854	0.0000	0.0000	0.0000	0.4409	0.1783	0.4881	5.6021
5	-2.1000	-2.0000	28.9323	32.0000	0.0119	27.0419	0.7611	1.1176	3.8400	5.9588	8.6420	7.0890	9.4567	1.1778	0.4372	2.3735	0.0000	0.0000	0.0000	0.4758	0.1816	1.5253	8.0686
6	-2.0000	-1.9000	34.1826	36.0000	0.0276	31.8003	0.8827	1.4720	3.5812	4.7272	4.7954	5.9305	5.9851	0.3807	0.4351	2.5288	0.0000	0.0000	0.0000	0.4723	0.1857	0.2636	4.0189
7	-1.9000	-1.8000	37.9942	29.0000	0.0341	35.1887	1.1606	1.6108	3.3960	4.0147	4.8326	5.2584	5.9065	0.8666	0.4357	2.6309	0.0000	0.0000	0.0000	0.4803	0.1926	0.9918	3.8039
8	-1.8000	-1.7000	41.9101	42.0000	0.1683	38.4183	1.2847	2.0389	3.2706	3.7381	3.4256	4.9669	4.7362	1.6324	0.4373	2.4106	0.0000	0.0000	0.0000	0.4869	0.1854	0.8293	2.0851
9	-1.7000	-1.6000	44.1693	45.0000	0.2643	41.0819	1.3402	1.4829	3.1405	4.4695	5.5756	5.4626	6.3993	1.2395	0.4408	2.6479	0.0000	0.0000	0.0000	0.4432	0.1717	0.3399	4.7751
10	-1.6000	-1.5000	46.8884	45.0000	0.3194	42.5153	1.7617	2.2920	3.0724	3.3812	3.8803	4.5686	4.9493	1.2397	0.4379	2.4049	0.0000	0.0000	0.0000	0.4523	0.1732	0.4943	2.6581
11	-1.5000	-1.4000	45.8424	41.0000	0.1837	41.9078	1.6587	2.0921	3.0856	3.5351	3.8256	4.6923	4.9149	1.8101	0.4386	2.5506	0.0000	0.0000	0.0000	0.4808	0.1854	0.4080	2.0965
