Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	43.4527	35.0000	0.1764	39.5573	1.3239	2.3951	3.1197	4.9831	6.0343	5.8791	6.7931	1.3643	0.4300	2.4873	0.0000	0.0000	0.0000	0.4863	0.1907	0.0416	5.2826
2	-3.0144	-2.8888	41.8247	41.0000	0.2806	38.6368	0.6927	2.2146	3.2252	4.0223	5.3570	5.1557	6.2530	0.5302	0.4293	2.5631	0.0000	0.0000	0.0000	0.4962	0.1776	0.6301	4.5812
3	-2.8888	-2.7632	40.6277	49.0000	0.2789	36.6837	1.4476	2.2176	3.2058	5.7894	6.0048	6.6178	6.8070	0.2766	0.4335	2.5497	0.0000	0.0000	0.0000	0.4772	0.1801	0.3342	5.3939
4	-2.7632	-2.6376	42.5596	47.0000	0.1799	38.8284	1.4553	2.0960	3.2000	5.3733	5.9721	6.2540	6.7754	0.4329	0.4287	2.5397	0.0000	0.0000	0.0000	0.4744	0.1766	0.3802	5.3333
5	-2.6376	-2.5120	43.3735	43.0000	0.2258	39.7276	1.5419	1.8782	3.1519	5.2246	5.7123	6.1017	6.5242	1.3791	0.4348	2.4273	0.0000	0.0000	0.0000	0.5087	0.1920	0.2119	4.9348
6	-2.5120	-2.3864	42.4160	43.0000	0.0337	38.6347	1.2003	2.5473	3.1599	4.8996	5.4119	5.8302	6.2668	0.3400	0.4302	2.6176	0.0000	0.0000	0.0000	0.5246	0.2028	0.4878	4.6835
7	-2.3864	-2.2608	41.7462	38.0000	0.2041	38.1069	1.3815	2.0537	3.7081	5.6791	6.1429	6.7825	7.1753	1.2072	0.4324	2.5986	0.0000	0.0000	0.0000	0.4695	0.1850	0.3622	5.4315
8	-2.2608	-2.1352	44.5447	47.0000	0.3241	40.6212	1.4690	2.1305	3.5374	5.2405	5.5712	6.3227	6.5994	2.2183	0.4327	2.7557	0.0000	0.0000	0.0000	0.4693	0.1826	0.3212	4.2474
9	-2.1352	-2.0096	41.3373	42.0000	0.0679	37.1017	1.6926	2.4750	3.2484	5.4589	5.7037	6.3523	6.5638	0.4094	0.4359	2.5461	0.0000	0.0000	0.0000	0.4748	0.1817	0.1015	5.0537
10	-2.0096	-1.8840	41.6627	35.0000	0.2011	38.1434	1.0721	2.2462	3.2028	5.1507	4.5801	6.0653	5.5889	0.6954	0.4275	2.4167	0.0000	0.0000	0.0000	0.5472	0.2217	0.4834	4.4091
11	-1.8840	-1.7584	43.0815	41.0000	0.1899	39.3550	1.1711	2.3656	3.2224	4.0534	6.3927	5.1782	7.1589	0.6713	0.4330	2.5375	0.0000	0.0000	0.0000	0.5698	0.2278	0.4922	5.7861
12	-1.7584	-1.6328	41.0538	44.0000	0.0543	37.0592	1.5486	2.3917	3.2172	5.7796	5.3308	6.6147	6.2264	0.2470	0.4319	2.6338	0.0000	0.0000	0.0000	0.4893	0.1939	0.5345	5.0817
13	-1.6328	-1.5072	40.0810	42.0000	0.1582	37.1657	0.6600	2.0970	3.3429	5.9207	6.1067	6.7993	6.9618	1.9202	0.4298	2.4301	0.0000	0.0000	0.0000	0.4939	0.1844	0.4889	5.3730
14	-1.5072	-1.3816	42.7685	39.0000	0.1194	39.0320	1.1967	2.4203	3.8748	7.0746	5.4552	8.0662	6.6913	4.6648	0.4327	2.5825	0.0000	0.0000	0.0000	0.4889	0.1924	0.6607	4.5958
15	-1.3816	-1.2560	41.1573	44.0000	0.0753	37.8860	1.0656	2.1304	3.2313	5.6145	5.0081	6.4780	5.9601	0.4780	0.4282	2.4836	0.0000	0.0000	0.0000	0.5211	0.2075	0.5042	4.9627
16	-1.2560	-1.1304	40.7789	44.0000	0.1363	37.1211	1.1411	2.3804	3.2554	6.0142	5.4690	6.8387	6.3645	0.3811	0.4316	2.4946	0.0000	0.0000	0.0000	0.5138	0.1950	0.5280	5.4059
17	-1.1304	-1.0048	43.8758	44.0000	0.0770	40.3010	1.1715	2.3264	3.5614	5.3457	6.9617	6.4234	7.8198	0.3772	0.4323	2.4874	0.0000	0.0000	0.0000	0.5086	0.2047	0.6160	6.4536
18	-1.0048	-0.8792	44.6690	39.0000	0.1587	40.6975	1.9630	1.8498	3.1811	5.2549	5.4694	6.1428	6.3272	0.8032	0.4282	2.4121	0.0000	0.0000	0.0000	0.4907	0.1889	0.6122	4.8013
