Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	1.5960	3.0000	0.0479	0.5904	0.6415	0.3163	16.9760	4.8581	9.3617	17.6575	19.3863	3.9014	0.4610	3.2820	0.0000	0.0000	0.0000	0.4823	0.2595	1.4507	7.6833
2	-3.0144	-2.8888	1.4921	3.0000	0.0982	0.6252	0.4590	0.3097	19.0544	8.2569	5.3382	20.7665	19.7881	1.1341	0.4558	4.2970	0.0000	0.0000	0.0000	0.4039	0.1427	2.8906	7.0135
3	-2.8888	-2.7632	2.3248	4.0000	0.0211	0.8531	0.9508	0.4998	13.5973	12.3160	11.4609	18.3458	17.7831	4.9699	0.4791	3.1297	0.0000	0.0000	0.0000	0.3278	0.1237	2.0841	10.8091
4	-2.7632	-2.6376	1.7569	5.0000	0.1093	0.4849	0.6969	0.4657	15.4782	3.9866	7.7208	15.9834	17.2970	2.5082	0.4627	2.8725	0.0000	0.0000	0.0000	0.3404	0.0968	0.3711	6.6777
5	-2.6376	-2.5120	2.2100	4.0000	0.1696	0.7714	0.8249	0.4441	15.0510	3.2782	8.2387	15.4038	17.1583	1.7002	0.4662	3.0618	0.0000	0.0000	0.0000	0.4769	0.2225	1.6707	7.2336
6	-2.5120	-2.3864	1.7747	2.0000	0.0169	0.6910	0.5210	0.5458	14.9117	12.7247	10.8272	19.6030	18.4279	6.3574	0.4519	2.5544	0.0000	0.0000	0.0000	0.4919	0.2102	4.3642	9.7693
7	-2.3864	-2.2608	2.3770	5.0000	0.1752	1.3178	0.7164	0.1675	35.6018	6.7428	3.5405	36.2347	35.7774	0.5933	0.4493	2.9732	0.0000	0.0000	0.0000	0.5097	0.1336	0.9848	5.9012
8	-2.2608	-2.1352	2.2925	5.0000	0.0710	1.2751	0.5808	0.3656	35.3920	4.9784	7.1614	35.7404	36.1092	5.3870	0.4712	4.6672	0.0000	0.0000	0.0000	0.2840	0.0934	0.4138	1.4551
9	-2.1352	-2.0096	2.2168	1.0000	0.0410	0.6630	0.8952	0.6177	15.9485	4.5482	10.2929	16.5844	18.9816	1.4203	0.4635	3.0826	0.0000	0.0000	0.0000	0.4880	0.2107	2.4553	9.4824
10	-2.0096	-1.8840	1.7336	1.0000	0.1216	0.8532	0.3514	0.4073	15.9051	10.3282	5.5978	18.9643	16.8614	4.3324	0.4635	2.7224	0.0000	0.0000	0.0000	0.5122	0.2261	5.8201	6.7890
11	-1.8840	-1.7584	1.6200	2.0000	0.0738	0.5619	0.4345	0.5498	15.2004	3.3419	10.4386	15.5634	18.4395	0.9006	0.4664	3.1342	0.0000	0.0000	0.0000	0.7294	0.3949	1.7372	9.7163
12	-1.7584	-1.6328	1.9836	3.0000	0.0195	0.5536	1.0329	0.3777	14.8959	4.8463	4.7610	15.6644	15.6383	2.4724	0.4638	4.0240	0.0000	0.0000	0.0000	0.3538	0.1273	0.0712	1.3698
13	-1.6328	-1.5072	1.3265	7.0000	0.0534	0.5515	0.3850	0.3365	21.9770	9.6579	13.2762	24.0055	25.6758	7.1180	0.4636	2.8311	0.0000	0.0000	0.0000	0.2413	0.0679	0.1837	10.9223
