Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	1.8727	2.0000	0.0866	0.4386	0.9012	0.4464	17.5343	13.0444	4.6225	21.8543	18.1334	2.8128	0.4731	3.4214	0.0000	0.0000	0.0000	0.5383	0.2108	1.0916	12.2815
2	-3.0144	-2.8888	1.9939	2.0000	0.0089	0.5314	0.9450	0.5086	14.9271	7.7562	8.0398	16.8220	16.9546	3.5611	0.4653	3.5072	0.0000	0.0000	0.0000	0.8929	0.4290	3.6947	6.9860
3	-2.8888	-2.7632	1.3519	7.0000	0.0621	0.4688	0.2980	0.5230	16.0077	3.8018	19.9951	16.4529	25.6135	6.8741	0.4520	2.3561	0.0000	0.0000	0.0000	0.4743	0.1806	9.7571	15.8536
4	-2.7632	-2.6376	1.2414	3.0000	0.0271	0.5095	0.3959	0.3090	17.4673	17.0455	3.5845	24.4061	17.8314	7.6239	0.4562	2.7819	0.0000	0.0000	0.0000	0.3545	0.1146	6.2634	13.6055
5	-2.6376	-2.5120	1.6554	2.0000	0.1646	0.4686	0.5498	0.4724	17.5133	13.5999	2.6743	22.1737	17.7163	1.8564	0.4794	2.5171	0.0000	0.0000	0.0000	0.4159	0.1893	7.3969	10.9555
6	-2.5120	-2.3864	1.9746	6.0000	0.0076	0.6858	0.9036	0.3775	15.1779	3.7307	8.0280	15.6297	17.1703	3.5479	0.4724	3.3516	0.0000	0.0000	0.0000	0.3386	0.1467	6.3081	0.6905
7	-2.3864	-2.2608	1.9112	1.0000	0.0118	0.7208	0.7422	0.4364	15.9936	4.6276	29.2056	16.6496	33.2981	0.9604	0.4569	2.6540	0.0000	0.0000	0.0000	0.5062	0.1749	5.0431	28.6194
8	-2.2608	-2.1352	2.0960	2.0000	0.0077	0.8234	0.6589	0.6060	14.4261	7.5695	2.9874	16.2914	14.7322	1.2570	0.4696	2.6346	0.0000	0.0000	0.0000	0.3977	0.1584	3.7018	6.0207
9	-2.1352	-2.0096	1.2794	2.0000	0.0169	0.3536	0.3244	0.5845	19.5730	19.5530	4.0371	27.6663	19.9850	2.1584	0.4483	3.3395	0.0000	0.0000	0.0000	0.4924	0.2101	8.2947	17.3747
10	-2.0096	-1.8840	1.9839	2.0000	0.0571	0.5866	0.7476	0.5927	15.2949	12.5189	17.6397	19.7650	23.3472	11.8115	0.4788	3.3312	0.0000	0.0000	0.0000	0.3357	0.1423	2.6946	14.8432
11	-1.8840	-1.7584	2.0333	1.0000	0.0044	0.3807	1.1012	0.5471	21.4685	7.7641	12.5889	22.8293	24.8873	5.7451	0.4790	3.1279	0.0000	0.0000	0.0000	0.3789	0.1893	6.7847	8.4884
12	-1.7584	-1.6328	2.2385	2.0000	0.0078	1.2271	0.5379	0.4657	33.3280	16.9017	33.0181	37.3688	46.9143	5.2394	0.4743	2.2067	0.0000	0.0000	0.0000	0.3004	0.1359	5.9517	32.3328
13	-1.6328	-1.5072	3.2633	3.0000	1.2166	1.0834	0.5259	0.4374	34.8882	21.4605	41.7790	40.9602	54.4304	19.5706	0.4766	4.4323	0.0000	0.0000	0.0000	0.3609	0.1883	7.5832	38.3396
