Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.4000	9.4772	0.0000	2.1758	5.0574	1.5073	0.7367	6.3824	10.2610	11.8512	12.0840	13.4605	4.5342	0.9120	8.6582	1.5613	0.0000	0.0000	0.0000	0.0000	0.5778	6.7686	8.8575	11.8008	14.9977	14.7551	17.4180	4.9612	0.9286	8.7311	1.6545	0.0000	0.0000	0.0000	0.0000	1.5659	11.6275	9.1075	10.4313	11.1352	13.8477	14.3854	4.1818	0.9112	8.6684	1.5304	0.0000	0.0000	0.0000	0.0000	0.4091	5.6766	20.4978	9.5149	12.6434	22.5985	24.0835	7.7661	0.8837	8.4066	1.5009	0.0000	0.0000	0.0000	0.0000	0.0000	5.4624	19.7237	9.1123	9.7081	21.7270	21.9835	3.1422	0.9266	8.8881	1.6215	0.0000	0.0000	0.0000	0.0000	0.0000	2.5875
2	-2.4000	-2.3000	10.4215	0.0000	2.5292	5.8201	1.0166	1.0556	6.5601	10.7541	9.5462	12.5971	11.5830	2.7273	0.9184	8.7160	1.5158	0.0000	0.0000	0.0000	0.0000	1.4264	5.2319	8.3250	13.0531	10.4562	15.4819	13.3656	0.7297	0.9213	9.3149	1.6552	0.0000	0.0000	0.0000	0.0000	2.0845	8.6689	9.0293	10.3837	9.2454	13.7605	12.9230	3.1805	0.9108	8.4654	1.4766	0.0000	0.0000	0.0000	0.0000	1.6538	5.0095	33.8269	18.6490	14.4410	38.6270	36.7805	16.0391	0.9578	9.3852	1.2384	0.0000	0.0000	0.0000	0.0000	0.0000	2.8096	16.0301	8.8621	8.7406	18.3167	18.2583	0.7544	0.9148	8.0181	1.6654	0.0000	0.0000	0.0000	0.0000	0.0305	3.4453
3	-2.3000	-2.2000	12.1018	0.0000	3.1676	7.5272	0.4719	0.9352	5.4821	11.9871	9.8945	13.1812	11.3117	3.1494	0.9155	8.5520	1.5929	0.0000	0.0000	0.0000	0.0000	0.7446	7.5304	8.2556	13.1472	11.4609	15.5243	14.1247	4.2093	0.9274	9.0829	1.7047	0.0000	0.0000	0.0000	0.0000	0.3453	8.2914	7.5910	11.0168	9.4763	13.3788	12.1418	1.9407	0.9096	8.4001	1.5696	0.0000	0.0000	0.0000	0.0000	0.3978	6.6024	31.8042	41.0959	10.8662	51.9652	33.6092	11.8478	0.9273	8.5623	1.2428	0.0000	0.0000	0.0000	0.0000	18.9629	33.3646	16.1282	9.5323	10.1092	18.7346	19.0346	4.8990	0.9173	7.9707	1.5783	0.0000	0.0000	0.0000	0.0000	3.1432	4.5136
4	-2.2000	-2.1000	14.9868	0.0000	3.9015	8.8443	1.1045	1.1364	5.2821	10.8588	9.6004	12.0753	10.9576	0.8012	0.9256	8.4757	1.5596	0.0000	0.0000	0.0000	0.0000	0.2547	6.5300	7.7967	9.6209	11.4033	12.3835	13.8139	1.6349	0.9303	8.6771	1.6978	0.0000	0.0000	0.0000	0.0000	0.8474	7.2619	7.0631	12.2805	9.1063	14.1668	11.5244	0.7191	0.9183	8.4404	1.4962	0.0000	0.0000	0.0000	0.0000	0.5446	8.6992	31.2551	8.7573	10.1698	32.4588	32.8680	3.5347	0.9608	8.5542	1.6101	0.0000	0.0000	0.0000	0.0000	0.0000	4.3547	13.8397	10.4303	9.3366	17.3300	16.6946	3.5954	0.9318	7.9829	1.5295	0.0000	0.0000	0.0000	0.0000	2.0296	5.7893
5	-2.1000	-2.0000	16.8109	0.0000	3.5666	11.0785	1.0683	1.0976	4.9734	9.3711	9.5196	10.6091	10.7405	0.6213	0.9223	8.2348	1.5965	0.0000	0.0000	0.0000	0.0000	0.1677	4.7652	6.8419	10.4349	10.1931	12.4779	12.2764	1.7669	0.9259	8.7541	1.7423	0.0000	0.0000	0.0000	0.0000	0.4072	5.3140	6.2401	9.0345	9.4239	10.9800	11.3026	0.9738	0.9204	8.0422	1.5276	0.0000	0.0000	0.0000	0.0000	0.2864	4.8184	34.4999	10.9047	8.3791	36.1823	35.5029	3.7482	0.9314	7.9638	1.7363	0.0000	0.0000	0.0000	0.0000	0.0000	6.1286	14.6114	10.1219	13.0039	17.7749	19.5601	6.5807	0.9208	8.7540	1.6814	0.0000	0.0000	0.0000	0.0000	1.0013	7.0830
6	-2.0000	-1.9000	20.3939	0.0000	4.1019	12.9680	1.7899	1.5342	4.9822	7.4938	7.8505	8.9988	9.2980	0.0863	0.9292	4.3562	1.6070	0.0000	0.0000	0.0000	0.0000	0.4737	6.3281	6.6363	10.2258	8.0445	12.1905	10.4285	2.3100	0.9251	4.6527	1.7192	0.0000	0.0000	0.0000	0.0000	0.8404	8.7113	6.2855	6.6846	7.0045	9.1756	9.4112	0.7215	0.9245	4.1944	1.5683	0.0000	0.0000	0.0000	0.0000	0.4792	5.3634	28.4490	10.8506	16.4847	30.4480	32.8799	2.9916	0.9710	4.9517	1.6770	0.0000	0.0000	0.0000	0.0000	0.0000	15.3544	12.1281	6.1989	7.6305	13.6204	14.3288	3.4582	0.9313	4.2366	1.5516	0.0000	0.0000	0.0000	0.0000	0.3668	5.0682
7	-1.9000	-1.8000	19.5265	0.0000	4.8628	12.2101	0.8422	1.6115	4.2395	6.6730	7.8370	7.9059	8.9102	0.8664	0.9237	4.4508	1.5910	0.0000	0.0000	0.0000	0.0000	0.9302	6.1727	6.2635	9.1680	9.6551	11.1033	11.5088	1.2987	0.9288	5.0395	1.7252	0.0000	0.0000	0.0000	0.0000	0.5809	8.0574	5.8498	6.2068	6.9641	8.5291	9.0950	0.6498	0.9170	4.1470	1.5214	0.0000	0.0000	0.0000	0.0000	1.2546	5.2086	24.9036	9.3711	13.9985	26.6084	28.5683	7.5441	0.9803	5.2575	1.5170	0.0000	0.0000	0.0000	0.0000	0.0000	12.3729	12.1542	5.1706	7.0794	13.2083	14.0657	2.2870	0.9298	4.5545	1.7520	0.0000	0.0000	0.0000	0.0000	0.6441	4.5498
8	-1.8000	-1.7000	22.3053	0.0000	5.4107	14.9033	0.6362	1.3552	3.9643	6.1495	7.4558	7.3166	8.4442	0.7942	0.9230	4.4541	1.6269	0.0000	0.0000	0.0000	0.0000	0.2779	5.6947	5.5326	7.7069	7.3473	9.4872	9.1974	0.8432	0.9296	4.8682	1.6870	0.0000	0.0000	0.0000	0.0000	0.1518	5.5925	5.3069	5.6778	7.3170	7.7718	9.0389	0.9429	0.9194	4.2632	1.5956	0.0000	0.0000	0.0000	0.0000	0.3614	5.6319	28.2362	7.0958	7.3977	29.1142	29.1892	4.0227	0.9625	6.0356	1.7536	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.7050	9.1245	13.5870	16.4646	19.2985	6.7124	0.9184	4.1575	1.6724	0.0000	0.0000	0.0000	0.0000	0.3002	10.9228
9	-1.7000	-1.6000	24.1694	0.0000	6.0760	15.1028	1.0284	1.9621	4.0274	7.0728	7.5073	8.1391	8.5193	2.3789	0.9232	4.3306	1.5583	0.0000	0.0000	0.0000	0.0000	0.3524	5.6315	5.1733	8.7138	8.6033	10.1338	10.0389	2.9695	0.9325	4.7275	1.7123	0.0000	0.0000	0.0000	0.0000	0.7796	6.4018	5.3710	8.2420	6.5015	9.8376	8.4331	3.0663	0.9180	4.2069	1.5464	0.0000	0.0000	0.0000	0.0000	0.5302	6.1086	36.7941	23.2884	31.2920	43.5449	48.3011	22.9838	0.9474	3.5752	0.6412	0.0000	0.0000	0.0000	0.0000	0.0000	26.2208	11.1071	7.2465	9.9717	13.2619	14.9266	5.2881	0.9225	4.4497	1.6542	0.0000	0.0000	0.0000	0.0000	2.8360	6.3987
10	-1.6000	-1.5000	8.3888	0.0000	1.9006	5.6397	0.1094	0.7392	6.3394	7.6658	9.4584	9.9475	11.3863	2.3926	0.8854	5.7244	1.6578	0.0000	0.0000	0.0000	0.0000	0.2036	7.0725	9.2196	7.6297	13.8869	11.9672	16.6687	0.3600	0.8659	7.1159	1.6910	0.0000	0.0000	0.0000	0.0000	3.2553	11.4523	8.5350	8.0632	8.2904	11.7414	11.8986	2.6466	0.8970	4.9128	1.6429	0.0000	0.0000	0.0000	0.0000	0.9879	6.0959	64.2607	26.1336	24.0446	69.3715	68.6118	5.0361	0.5035	25.8671	1.8536	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.8286	9.2395	10.5889	19.1982	19.8828	7.9141	0.9037	5.3576	1.6570	0.0000	0.0000	0.0000	0.0000	0.0000	4.3087
