Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.5989	0.0000	0.0984	0.4790	0.0000	0.0215	22.8481	19.3512	23.1982	29.9417	32.5606	3.7795	0.0000	0.0000	0.0000	0.6053	0.0000	1.3518	0.5951	18.9510	18.9113	26.2079	4.4454	36.1913	26.5823	44.6841	5.4210	0.0000	0.0000	0.0000	1.5874	0.0000	2.3271	1.2740	8.5456	34.6106	27.7899	20.3803	26.4534	34.4621	38.3674	5.0696	0.0000	0.0000	0.0000	0.3422	0.0000	0.9880	0.3924	21.9928	19.7081	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	85.6902	120.9884	20.9573	148.2599	88.2157	20.1706	0.0000	0.0000	0.0000	1.9730	0.0000	4.9985	2.0067	1.2332	119.6184
2	-4.8000	-4.6000	1.1861	0.0000	0.0905	1.0444	0.0000	0.0512	18.9573	1.8792	31.4951	19.0502	36.7603	3.8145	0.0000	0.0000	0.0000	0.5585	0.0000	1.0955	0.5000	11.9305	28.8670	11.5189	32.8112	8.9722	34.7744	14.6009	4.4949	0.0000	0.0000	0.0000	1.2803	0.0000	2.4510	1.1802	7.8669	32.3625	21.3036	2.3615	37.2996	21.4341	42.9547	4.6774	0.0000	0.0000	0.0000	0.4798	0.0000	0.9332	0.4247	16.0876	33.3061	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.9667	83.7891	50.4989	103.0370	78.3973	19.4271	0.0000	0.0000	0.0000	0.8881	0.0000	2.0109	0.8337	65.7600	50.3300
3	-4.6000	-4.4000	1.3244	0.0000	0.1967	0.9835	0.0000	0.1442	15.2857	38.8976	7.9324	41.7932	17.2214	3.3421	0.0000	0.0000	0.0000	0.4654	0.0000	1.0684	0.4615	12.3810	36.7897	16.6902	34.6160	8.9781	38.4296	18.9518	2.2631	0.0000	0.0000	0.0000	1.2012	0.0000	2.0319	1.0364	6.7548	33.8242	19.5643	52.1164	5.2003	55.6676	20.2436	4.6625	0.0000	0.0000	0.0000	0.3396	0.0000	0.8727	0.3662	18.7417	48.4978	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.2236	1.1808	68.4216	37.2423	77.8916	0.7830	0.0000	0.0000	0.0000	0.3196	0.0000	1.0887	0.3270	56.1966	39.0059
4	-4.4000	-4.2000	2.0161	0.0000	0.3111	1.5812	0.0000	0.1238	13.6630	19.3997	6.6305	23.7282	15.1869	9.6676	0.0000	0.0000	0.0000	0.6459	0.0000	1.3136	0.6104	8.3817	14.4954	13.3502	13.6874	18.1068	19.1199	22.4963	1.3011	0.0000	0.0000	0.0000	1.3648	0.0000	2.6673	1.2720	8.1763	15.7798	16.8875	20.6463	8.4846	26.6732	18.8991	13.1025	0.0000	0.0000	0.0000	0.4754	0.0000	1.0178	0.4653	7.2412	14.1663	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.1220	56.7820	7.1727	71.3001	43.7144	7.8105	0.0000	0.0000	0.0000	1.0169	0.0000	1.6899	0.8016	51.7695	21.8764
5	-4.2000	-4.0000	3.2753	0.0000	0.5465	2.4996	0.0000	0.2293	11.0189	2.5361	17.2453	11.3070	20.4650	4.7268	0.0000	0.0000	0.0000	0.6245	0.0000	1.3081	0.5920	1.4409	16.4590	12.2240	23.7646	26.0969	26.7242	28.8180	2.2903	0.0000	0.0000	0.0000	1.5292	0.0000	2.8215	1.4201	4.0633	25.7608	13.8897	3.8671	15.4729	14.4180	20.7927	5.3184	0.0000	0.0000	0.0000	0.4390	0.0000	0.9971	0.4231	3.5850	14.4461	100.0000	51952.2029	40.5831	51952.2991	107.9212	40.5677	0.0000	0.0000	0.0000	0.1546	0.0000	1.0818	0.2393	36735.7456	36735.7456	31.6141	5.0462	32.8487	32.0143	45.5905	4.8807	0.0000	0.0000	0.0000	0.4904	0.0000	1.0915	0.4587	28.1877	16.3146
6	-4.0000	-3.8000	4.1983	0.0000	0.7836	3.1458	0.0002	0.2686	8.8918	8.2651	4.1879	12.1398	9.8286	2.0874	0.0000	0.0000	0.0000	0.5466	0.0000	1.2837	0.5200	2.1418	7.8573	9.2752	7.2043	5.7527	11.7445	10.9144	1.7615	0.0000	0.0000	0.0000	1.1319	0.0000	2.4153	1.0532	4.5173	6.3673	11.3810	9.5758	5.0892	14.8736	12.4671	3.8799	0.0000	0.0000	0.0000	0.3576	0.0000	0.9470	0.3565	2.9151	8.6814	100.0000	3.9560	141.7629	100.0782	173.4840	9.0118	0.0000	0.0000	0.0000	1.6980	0.0000	3.0030	1.9361	100.0000	100.0000	28.5620	15.1047	10.5764	32.3101	30.4573	8.3486	0.0000	0.0000	0.0000	1.0511	0.0000	1.9245	0.8780	13.8401	4.1163
7	-3.8000	-3.6000	6.6131	0.0000	1.1187	5.3424	0.0000	0.1520	7.4777	9.2564	17.9620	11.8995	19.4564	1.3542	0.0000	0.0000	0.0000	0.5209	0.0000	1.1988	0.5159	4.9883	17.8926	6.9552	13.3611	11.5866	15.0630	13.5139	1.0168	0.0000	0.0000	0.0000	1.2398	0.0000	2.3825	1.1535	5.2150	11.9167	9.0419	7.2392	20.4106	11.5828	22.3238	1.5180	0.0000	0.0000	0.0000	0.3568	0.0000	0.9176	0.3672	4.2490	20.3715	100.0000	1709811.4471	104.6710	1709811.4500	144.7619	30.7525	0.0000	0.0000	0.0000	1.3456	0.0000	2.6735	1.1914	1709811.4470	100.0000	47.1861	48.7242	2.9100	67.8276	47.2758	0.8997	0.0000	0.0000	0.0000	0.9963	0.0000	2.3694	1.0464	17.8895	45.2316
8	-3.6000	-3.4000	9.4603	0.0000	1.9908	6.7755	0.0299	0.6641	5.9380	10.5793	5.1331	12.1318	7.8491	0.9479	0.0000	0.0000	0.0000	0.6032	0.0000	1.2293	0.5544	4.8639	10.4326	6.8477	11.6703	3.8965	13.5310	7.8787	1.7794	0.0000	0.0000	0.0000	1.1106	0.0000	2.0686	0.9751	3.4925	10.7848	7.7691	10.4807	6.6625	13.0462	10.2347	1.8874	0.0000	0.0000	0.0000	0.4202	0.0000	0.9310	0.4014	6.3410	10.2507	77.8398	62.1587	74.3139	99.6129	107.6178	13.8282	0.0000	0.0000	0.0000	0.4370	0.0000	1.1098	0.4543	73.0112	60.5876	20.9420	17.6761	28.4418	27.4045	35.3200	15.0711	0.0000	0.0000	0.0000	0.9565	0.0000	1.7617	0.8593	3.6817	26.8197
9	-3.4000	-3.2000	14.5874	0.0000	3.0434	10.5527	0.0542	0.9371	4.9916	9.9767	12.6619	11.1557	13.6103	1.2028	0.0000	0.0000	0.0000	0.5649	0.0000	1.1854	0.5366	2.6217	12.5108	5.3871	13.3887	9.9581	14.4319	11.3218	0.5726	0.0000	0.0000	0.0000	1.0363	0.0000	2.0610	0.9259	1.5239	13.0549	6.5983	10.1869	14.8685	12.1371	16.2668	1.6139	0.0000	0.0000	0.0000	0.3962	0.0000	0.8954	0.4003	3.2449	14.7424	70.7371	16.5191	76.2824	72.6404	104.0325	16.4811	0.0000	0.0000	0.0000	0.6812	0.0000	0.7233	0.5182	0.0218	74.7013	13.9149	5.6055	6.3458	15.0015	15.2936	3.0586	0.0000	0.0000	0.0000	0.9273	0.0000	1.6342	0.8083	5.1728	5.2094
10	-3.2000	-3.0000	20.7024	0.0000	4.6237	15.1768	0.0115	0.8904	4.1220	3.2293	4.1009	5.2363	5.8144	1.3979	0.0000	0.0000	0.0000	0.5733	0.0000	1.2329	0.5340	2.2664	2.8622	4.7089	3.4797	5.0451	5.8551	6.9012	0.2787	0.0000	0.0000	0.0000	1.0506	0.0000	2.0349	0.9437	2.2366	3.7817	5.3322	2.3363	4.8063	5.8215	7.1786	1.3288	0.0000	0.0000	0.0000	0.4181	0.0000	0.9664	0.4002	2.5912	3.6550	70.7188	850.8652	88.0277	853.7990	112.9160	10.6677	0.0000	0.0000	0.0000	2.0424	0.0000	3.9665	1.8161	87.3554	850.7847	18.0507	15.1352	10.5579	23.5564	20.9116	10.3945	0.0000	0.0000	0.0000	0.7208	0.0000	1.5757	0.6709	6.1541	9.0202
