Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
12	-2.8000	-2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	4.6013	7.9407	100.1058	100.3148	7.5272	0.5061	2.3054	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	4.6013	7.9407	100.1058	100.3148	7.5272	0.5061	2.3054	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	0.3462	2.0000	0.3383	0.0000	0.0000	0.0080	41.0892	2.9318	4.2283	41.1937	41.3062	3.4352	0.5061	2.3055	0.7117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.0376	3.2474	4.7907	42.1629	42.3097	4.1068	0.5061	2.3055	0.7164	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.9894	25.1556	20.8312	61.3809	59.7391	25.0394	0.5061	2.3055	0.5121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	-2.4000	-2.2000	3.2217	5.0000	2.9859	0.0000	0.0827	0.1532	13.1804	2.8714	6.4331	13.4895	14.6665	1.2510	0.5061	2.2982	0.8565	0.0000	0.0000	0.0000	0.0000	0.0000	5.8798	13.9912	2.8334	6.8578	14.2752	15.5815	1.1737	0.5061	2.2976	0.8518	0.0000	0.0000	0.0000	0.0000	0.0000	6.3443	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.4654	5.1370	2.5290	70.6524	70.5107	4.4713	0.5061	2.3055	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.0007	3.0591	4.5983	32.1465	32.3293	3.8375	0.5061	2.3054	0.9203	0.0000	0.0000	0.0000	0.0000	0.0000	1.2724
15	-2.2000	-2.0000	5.1613	9.0000	4.7283	0.0000	0.2557	0.1773	10.4970	5.2844	3.6992	11.7521	11.1297	2.7071	0.5061	1.9732	0.8473	0.0000	0.0000	0.0000	0.0000	1.6779	3.5935	11.1368	5.5065	3.6214	12.4238	11.7109	2.5847	0.5061	1.9807	0.8485	0.0000	0.0000	0.0000	0.0000	1.8315	3.9226	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.5930	2.6301	3.6078	46.6672	46.7325	2.9198	0.5061	1.8877	0.8193	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.4579	7.9257	7.3047	26.6631	26.4851	7.6309	0.5061	1.8959	0.8575	0.0000	0.0000	0.0000	0.0000	0.0000	0.1523
16	-2.0000	-1.8000	7.7686	8.0000	7.3947	0.0097	0.0929	0.2713	8.1787	5.4627	5.4212	9.8353	9.8123	4.4336	0.5002	1.6820	0.8417	0.0000	0.0000	0.0000	0.0000	0.6326	2.5721	8.5144	5.3316	5.3526	10.0460	10.0571	4.2764	0.5009	1.6914	0.8472	0.0000	0.0000	0.0000	0.0000	0.6646	2.5118	100.0000	18.4797	21.8823	101.6932	102.3662	21.7356	0.5061	2.3054	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.7233	8.6950	11.3421	72.2484	72.6145	11.2071	0.4424	1.6446	0.3770	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.3343	8.2035	6.1206	21.0027	20.2799	6.1160	0.5007	1.4172	0.8486	0.0000	0.0000	0.0000	0.0000	0.0000	5.1876
17	-1.8000	-1.6000	9.2663	7.0000	8.6441	0.1272	0.0771	0.4179	7.7030	4.4109	5.1832	8.8765	9.2845	3.4856	0.4950	1.4010	0.7856	0.0000	0.0000	0.0000	0.0000	0.0441	3.6525	8.1602	4.5111	5.3777	9.3242	9.7729	3.5149	0.4954	1.4040	0.7903	0.0000	0.0000	0.0000	0.0000	0.0472	3.8660	52.0477	12.3366	10.8041	53.4898	53.1573	12.2383	0.4875	1.3778	0.5277	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.2315	3.5539	1.4466	60.3362	60.2488	3.2462	0.5061	1.2674	0.4798	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.5539	1.6920	2.0612	17.6353	17.6745	0.6399	0.4887	1.3704	0.8236	0.0000	0.0000	0.0000	0.0000	0.0000	1.0217
18	-1.6000	-1.4000	8.3077	8.0000	7.6951	0.0841	0.1494	0.3792	8.2361	2.2990	2.0888	8.5509	8.4968	0.4773	0.4324	1.8498	0.5288	0.0000	0.0000	0.0000	0.0000	0.0579	1.1817	8.7446	2.3054	2.0320	9.0434	8.9776	0.4016	0.4332	1.8267	0.5325	0.0000	0.0000	0.0000	0.0000	0.0625	1.2272	68.1844	4.6182	7.0690	68.3406	68.5499	6.7922	0.3972	1.9122	0.1491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.7882	4.4867	7.5059	59.9563	60.2575	7.2645	0.4218	1.7669	0.5161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.8978	6.1568	6.4785	17.9845	18.0972	5.5671	0.4292	2.3377	0.5429	0.0000	0.0000	0.0000	0.0000	0.0000	2.7957
19	-1.4000	-1.2000	11.9869	11.0000	10.8173	0.1499	0.3014	0.7183	6.6283	2.8350	3.1289	7.2092	7.3297	1.7734	0.3953	2.0820	0.3964	0.0000	0.0000	0.0000	0.0000	0.4176	1.3502	7.1523	2.9575	3.3955	7.7396	7.9174	2.0948	0.3944	2.1031	0.3943	0.0000	0.0000	0.0000	0.0000	0.4627	1.4809	57.8597	1.8733	4.3255	57.8900	58.0211	3.9075	0.4302	1.7168	0.5554	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.4986	3.4558	2.2371	42.6389	42.5575	2.8418	0.4017	1.8859	0.3856	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.0295	7.4087	2.2511	14.9885	13.2225	1.0009	0.3987	1.9220	0.3993	0.0000	0.0000	0.0000	0.0000	0.0511	7.0975
20	-1.2000	-1.0000	11.2710	14.0000	10.3168	0.2291	0.1460	0.5791	6.7710	4.6900	2.3062	8.2367	7.1530	1.2246	0.3972	1.6983	0.3844	0.0000	0.0000	0.0000	0.0000	0.6379	4.1201	7.2578	4.8842	2.3540	8.7482	7.6300	1.2690	0.3972	1.6973	0.3842	0.0000	0.0000	0.0000	0.0000	0.6969	4.3101	42.9759	3.2397	4.1926	43.0978	43.1799	3.8316	0.3972	1.6178	0.3489	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.1427	2.1991	2.2993	52.1890	52.1933	1.3360	0.3972	1.7839	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.6742	3.9094	1.9592	14.2220	13.8138	0.7345	0.3968	1.7259	0.3985	0.0000	0.0000	0.0000	0.0000	0.0467	3.4050
21	-1.0000	-0.8000	12.3154	10.0000	11.0810	0.2886	0.1321	0.8138	6.5152	3.5105	1.7424	7.4008	6.7441	0.7647	0.3972	1.3921	0.3873	0.0000	0.0000	0.0000	0.0000	0.0994	3.0810	7.0768	3.4762	1.6509	7.8845	7.2668	0.6759	0.3972	1.3736	0.3879	0.0000	0.0000	0.0000	0.0000	0.1183	3.0711	38.3917	3.9679	5.5841	38.5962	38.7957	5.1474	0.3972	2.1017	0.3355	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.3051	5.2309	8.0768	60.5315	60.8435	7.9654	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.4399	5.4472	2.7458	13.5802	12.7393	0.8611	0.3972	1.4225	0.3947	0.0000	0.0000	0.0000	0.0000	2.0204	4.8080
22	-0.8000	-0.6000	12.8210	7.0000	11.7183	0.1844	0.0696	0.8487	6.3654	1.9434	1.8374	6.6555	6.6253	0.1142	0.3972	1.5663	0.3876	0.0000	0.0000	0.0000	0.0000	0.6207	1.0012	6.8543	1.8638	1.8268	7.1032	7.0935	0.1811	0.3972	1.5439	0.3891	0.0000	0.0000	0.0000	0.0000	0.6713	0.8649	45.3382	3.4529	2.5901	45.4695	45.4121	2.2834	0.3972	2.5402	0.3135	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	5.7568	8.5187	100.1656	100.3622	8.4131	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.2229	3.6804	2.1799	11.8110	11.4327	0.4982	0.3972	1.6928	0.3817	0.0000	0.0000	0.0000	0.0000	0.1085	3.1824
23	-0.6000	-0.4000	13.8641	8.0000	12.4734	0.3319	0.3540	0.7048	6.2309	3.5938	3.2014	7.1930	7.0052	0.4770	0.3972	2.9286	0.3921	0.0000	0.0000	0.0000	0.0000	0.0104	1.9914	6.7356	3.6362	3.1168	7.6544	7.4218	0.5348	0.3972	2.9107	0.3943	0.0000	0.0000	0.0000	0.0000	0.0116	2.0905	32.4752	3.0672	7.5029	32.6197	33.3306	1.5677	0.3972	2.7880	0.3801	0.0000	0.0000	0.0000	0.0000	0.0000	6.7647	41.3870	4.7155	5.0210	41.6547	41.6904	3.1203	0.3972	3.9002	0.3237	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.1190	4.4568	4.9058	12.9125	13.0743	2.6142	0.3972	2.8248	0.3932	0.0000	0.0000	0.0000	0.0000	0.0000	3.5567
24	-0.4000	-0.2000	13.0549	7.0000	11.4992	0.3236	0.3676	0.8645	6.1875	5.0034	5.0106	7.9573	7.9619	1.4012	0.3972	4.1919	0.3958	0.0000	0.0000	0.0000	0.0000	0.0064	2.3577	6.7977	5.0650	4.9919	8.4772	8.4337	1.4104	0.3972	4.2384	0.3977	0.0000	0.0000	0.0000	0.0000	0.0015	2.3336	35.1412	3.3938	16.1883	35.3047	38.6906	1.6082	0.3972	3.3465	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	15.7466	37.3737	3.5452	3.9754	37.5415	37.5845	2.0364	0.3972	3.3753	0.3255	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.3670	6.2982	4.4827	12.9952	12.2189	1.3454	0.3972	4.2371	0.3979	0.0000	0.0000	0.0000	0.0000	0.1158	4.5641
25	-0.2000	0.0000	13.0686	4.0000	11.7611	0.3522	0.0547	0.9007	6.4530	4.8781	4.5192	8.0893	7.8781	0.3544	0.3972	4.4220	0.3963	0.0000	0.0000	0.0000	0.0000	0.0023	1.9780	7.0422	4.9469	4.5246	8.6061	8.3705	0.4091	0.3972	4.4221	0.3973	0.0000	0.0000	0.0000	0.0000	0.0043	2.1432	34.0759	5.8480	5.8120	34.5740	34.5680	3.7877	0.3972	4.4223	0.3712	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.6874	30.9345	29.3879	70.8027	70.1408	30.6116	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.8697	4.5388	4.5449	11.7792	11.7816	0.4824	0.3972	4.4210	0.3931	0.0000	0.0000	0.0000	0.0000	0.0221	0.8938
26	0.0000	0.2000	12.4461	10.0000	11.0346	0.1003	0.4152	0.8959	6.3092	4.8974	4.9768	7.9869	8.0358	1.4146	0.3972	4.3969	0.3925	0.0000	0.0000	0.0000	0.0000	0.0522	1.7663	6.8910	4.8931	4.9893	8.4515	8.5076	1.6987	0.3972	4.4131	0.3938	0.0000	0.0000	0.0000	0.0000	0.0580	1.5479	57.2185	11.9087	49.6320	58.4446	75.7449	11.0427	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	48.7848	38.1403	3.9397	4.3091	38.3432	38.3829	1.7456	0.3972	3.9051	0.3373	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.1810	9.1583	4.9429	14.4530	12.2248	2.3062	0.3972	4.4223	0.4012	0.0000	0.0000	0.0000	0.0000	0.0628	7.6604
27	0.2000	0.4000	14.4849	17.0000	12.8162	0.2608	0.4304	0.9775	6.0397	4.9594	4.7236	7.8150	7.6675	0.9114	0.3972	4.2400	0.3896	0.0000	0.0000	0.0000	0.0000	0.5494	2.4724	6.6226	4.8471	4.7323	8.2069	8.1396	1.2084	0.3972	4.2465	0.3895	0.0000	0.0000	0.0000	0.0000	0.5456	2.1586	36.3136	6.1677	5.0319	36.8337	36.6606	4.4845	0.3972	4.2011	0.3499	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.0188	14.8013	6.6010	39.8681	37.6027	5.2466	0.3972	3.9657	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	13.8869	10.5321	4.8751	6.9460	11.6057	12.6163	0.3858	0.3972	4.2860	0.3965	0.0000	0.0000	0.0000	0.0000	0.9879	5.3401
28	0.4000	0.6000	13.8691	11.0000	12.4700	0.1311	0.2966	0.9714	6.1425	3.4098	3.2205	7.0255	6.9356	0.7662	0.3972	2.9854	0.3980	0.0000	0.0000	0.0000	0.0000	0.1003	1.3420	6.6557	3.3595	3.1836	7.4555	7.3780	0.5173	0.3972	2.9682	0.3976	0.0000	0.0000	0.0000	0.0000	0.0029	1.3758	58.7252	11.5546	5.3632	59.8512	58.9696	3.7366	0.3972	3.8056	0.4020	0.0000	0.0000	0.0000	0.0000	10.5877	0.0000	46.0209	5.3356	7.5433	46.3291	46.6350	6.5533	0.3972	3.6926	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.4411	4.9106	4.2197	12.4504	12.1944	3.6406	0.3972	2.8806	0.4014	0.0000	0.0000	0.0000	0.0000	0.0343	1.4978
29	0.6000	0.8000	12.1524	13.0000	10.7189	0.2467	0.3350	0.8518	6.7012	2.4364	1.5943	7.1303	6.8882	0.0826	0.3972	1.4655	0.3985	0.0000	0.0000	0.0000	0.0000	0.0857	1.8615	7.3216	2.5696	1.6267	7.7594	7.5001	0.3836	0.3972	1.4771	0.3979	0.0000	0.0000	0.0000	0.0000	0.0181	1.9935	40.0804	5.8126	2.8912	40.4997	40.1846	5.1636	0.3972	2.6216	0.3045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.0923	6.1741	6.1630	49.4791	49.4777	6.1137	0.3972	0.5946	0.4793	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.9984	2.1063	3.9640	12.1818	12.6362	0.6512	0.3972	1.3275	0.4008	0.0000	0.0000	0.0000	0.0000	1.2360	3.4177
