Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	4.4268	5.0000	3.7040	0.2097	0.1152	0.3979	10.0576	7.2989	6.3578	12.4270	11.8986	5.7683	0.4175	2.5930	0.4561	0.0000	0.0000	0.0000	0.0000	0.0091	3.5909	11.4857	7.9907	6.2781	13.9919	13.0896	6.2057	0.4197	2.5881	0.4719	0.0000	0.0000	0.0000	0.0000	0.0000	4.2712	42.2053	5.0555	24.0868	42.5070	48.5949	5.1120	0.4186	3.0196	0.2651	0.0000	0.0000	0.0000	0.0000	0.0000	23.3384	58.1799	23.4260	20.9784	62.7191	61.8465	23.2614	0.4073	2.7054	0.4488	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.6167	3.4111	3.9220	17.9438	18.0480	3.0593	0.3999	2.3818	0.4121	0.0000	0.0000	0.0000	0.0000	0.1017	0.1893
2	-3.0144	-2.8888	4.9358	4.0000	4.4726	0.0595	0.1184	0.2853	10.4781	2.6377	2.5332	10.8050	10.7800	0.6957	0.4191	2.3806	0.4643	0.0000	0.0000	0.0000	0.0000	0.0074	0.6441	11.3528	2.5933	2.4778	11.6452	11.6201	0.5606	0.4194	2.3513	0.4615	0.0000	0.0000	0.0000	0.0000	0.0009	0.7026	70.7108	12.1999	14.3218	71.7555	72.1466	13.9552	0.3972	3.1696	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.6422	5.1936	3.9622	59.8679	59.7737	4.2738	0.4210	2.8756	0.5125	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.8308	3.1838	3.1456	19.0981	19.0917	1.8910	0.4176	2.4702	0.5014	0.0000	0.0000	0.0000	0.0000	0.1287	0.1287
3	-2.8888	-2.7632	5.0360	3.0000	4.5769	0.0793	0.1343	0.2456	10.2684	4.2765	4.1802	11.1234	11.0867	2.5866	0.4129	2.6351	0.4746	0.0000	0.0000	0.0000	0.0000	0.9760	2.4657	11.0338	4.4653	4.4552	11.9031	11.8993	2.8818	0.4147	2.6624	0.4778	0.0000	0.0000	0.0000	0.0000	1.0739	2.7130	72.0256	5.0247	8.2871	72.2006	72.5007	8.1785	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.9555	5.6730	3.2713	58.2324	58.0477	5.4504	0.3972	1.4683	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.5571	5.4834	3.4336	23.2140	22.8169	1.0046	0.3923	3.2245	0.4784	0.0000	0.0000	0.0000	0.0000	0.0000	4.3704
4	-2.7632	-2.6376	4.4014	7.0000	3.9554	0.0388	0.1502	0.2570	10.7475	3.2504	3.1243	11.2283	11.1924	1.9562	0.4260	2.2399	0.5169	0.0000	0.0000	0.0000	0.0000	0.0424	1.3210	11.5794	3.5543	3.4479	12.1126	12.0818	2.3898	0.4280	2.2663	0.5270	0.0000	0.0000	0.0000	0.0000	0.0514	1.4228	100.0000	7.6467	10.2747	100.2919	100.5265	9.2570	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	65.4397	3.6741	4.0081	65.5427	65.5623	3.7796	0.4061	1.2160	0.3691	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.6888	3.5332	2.8469	20.9883	20.8838	2.6748	0.4114	2.1017	0.4640	0.0000	0.0000	0.0000	0.0000	0.0643	0.7264
5	-2.6376	-2.5120	5.4637	6.0000	4.8161	0.0187	0.3318	0.2971	10.5381	3.4458	2.9187	11.0872	10.9349	1.3304	0.4262	2.5813	0.5436	0.0000	0.0000	0.0000	0.0000	0.0000	1.7214	11.0555	3.3866	2.8823	11.5626	11.4251	0.1024	0.4232	2.6810	0.5364	0.0000	0.0000	0.0000	0.0000	0.0000	1.9528	100.0000	6.3548	9.3531	100.2017	100.4364	9.2570	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.3958	22.0893	14.5430	67.1340	65.0425	22.0318	0.4585	1.4013	0.6024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.6644	3.2551	3.0962	19.9320	19.9067	2.1035	0.4403	2.3692	0.6035	0.0000	0.0000	0.0000	0.0000	0.0000	0.1363
6	-2.5120	-2.3864	4.7801	3.0000	4.4815	0.0425	0.0476	0.2085	10.2761	4.0430	2.9685	11.0428	10.6962	1.9276	0.4225	2.3135	0.4992	0.0000	0.0000	0.0000	0.0000	0.0024	2.6172	10.8230	4.1882	3.1368	11.6051	11.2684	2.1737	0.4236	2.3302	0.5028	0.0000	0.0000	0.0000	0.0000	0.0059	2.6370	100.0000	30.1528	25.9686	104.4471	103.3168	30.1231	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	8.4073	10.8371	100.3528	100.5855	10.7544	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.2046	4.2516	2.6142	21.6266	21.3651	0.8610	0.4099	2.4317	0.4641	0.0000	0.0000	0.0000	0.0000	0.0709	3.3225
7	-2.3864	-2.2608	4.6303	7.0000	4.4276	0.0475	0.0000	0.1552	10.4847	4.0099	3.7438	11.2254	11.1331	1.1713	0.4228	2.3566	0.4937	0.0000	0.0000	0.0000	0.0000	0.3766	2.9307	10.8935	3.7782	3.8550	11.5301	11.5554	1.1961	0.4229	2.3115	0.4926	0.0000	0.0000	0.0000	0.0000	0.0066	2.7687	89.3451	18.7065	4.4582	91.2824	89.4562	18.1675	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.8175	16.3966	3.5373	28.0978	23.0901	1.7138	0.4298	3.0138	0.5543	0.0000	0.0000	0.0000	0.0000	11.4214	11.3362
8	-2.2608	-2.1352	5.5114	5.0000	5.1411	0.0000	0.1827	0.1876	10.2302	2.5898	2.5409	10.5530	10.5410	0.3854	0.4203	2.4281	0.4846	0.0000	0.0000	0.0000	0.0000	0.0031	0.6326	10.6348	2.5971	2.5900	10.9473	10.9456	0.6501	0.4201	2.4240	0.4829	0.0000	0.0000	0.0000	0.0000	0.0033	0.6781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.8225	13.3970	12.5277	73.0613	72.9069	13.1536	0.4259	2.4513	0.5216	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.3149	9.4607	6.8323	24.2376	23.3374	9.0962	0.4210	2.5188	0.4936	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-2.1352	-2.0096	4.7323	6.0000	4.3401	0.0984	0.0523	0.2415	10.5838	3.8144	2.2976	11.2502	10.8303	0.3494	0.4253	2.1431	0.5132	0.0000	0.0000	0.0000	0.0000	0.1881	3.0605	11.3092	4.0465	2.2918	12.0113	11.5391	0.2309	0.4273	2.1652	0.5213	0.0000	0.0000	0.0000	0.0000	0.2051	3.3371	64.5475	6.1077	8.1581	64.8358	65.0610	8.0104	0.3972	1.4382	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	6.3548	9.3531	100.2017	100.4364	9.2570	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.3235	2.3119	2.8806	23.4378	23.5007	1.3857	0.4057	2.2337	0.4372	0.0000	0.0000	0.0000	0.0000	0.0000	1.0161
10	-2.0096	-1.8840	5.4603	8.0000	4.8822	0.1539	0.0968	0.3273	9.9176	5.2878	3.5090	11.2393	10.5201	1.1015	0.4210	2.6186	0.5152	0.0000	0.0000	0.0000	0.0000	1.2737	4.4832	10.7598	5.7440	3.5421	12.1970	11.3278	0.9942	0.4207	2.6162	0.5180	0.0000	0.0000	0.0000	0.0000	1.4245	5.0141	57.8038	5.3159	7.8206	58.0477	58.3305	6.9464	0.3972	3.5602	0.2772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	77.5702	2.1998	3.6011	77.6014	77.6538	2.8511	0.4762	2.0052	0.7692	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.6938	2.5034	3.3911	18.8606	18.9989	0.3163	0.4210	2.3935	0.5109	0.0000	0.0000	0.0000	0.0000	0.0000	2.2965
