Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.4000	1.3859	0.0000	1.3340	0.0000	0.0000	0.0519	21.6473	3.1994	14.1138	21.8824	25.8419	2.4850	0.5061	2.3055	0.7950	0.0000	0.0000	0.0000	0.0000	0.0000	13.6683	22.3700	3.1888	14.6132	22.5961	26.7201	2.3881	0.5061	2.3055	0.7929	0.0000	0.0000	0.0000	0.0000	0.0000	14.2001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.5283	3.4874	5.5714	59.6304	59.7885	4.9751	0.5061	2.3055	0.8473	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.4000	-2.3000	1.5089	5.0000	1.3883	0.0000	0.0653	0.0553	18.3869	4.2007	4.2945	18.8607	18.8818	3.4874	0.5061	2.3055	0.8421	0.0000	0.0000	0.0000	0.0000	0.0000	0.1292	19.4837	4.8484	5.3203	20.0779	20.1970	4.6942	0.5061	2.3055	0.8365	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	85.2760	15.8004	6.3201	86.7274	85.5099	15.5966	0.5061	2.3055	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.0371	6.0854	6.0412	48.4211	48.4155	5.4649	0.5061	2.3055	0.9064	0.0000	0.0000	0.0000	0.0000	0.0000	3.5261
3	-2.3000	-2.2000	1.7111	1.0000	1.5878	0.0000	0.0420	0.0813	18.7641	7.4704	7.0972	20.1965	20.0615	7.0370	0.5061	2.3055	0.8463	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.0547	8.9999	8.5434	21.9815	21.7986	8.6421	0.5061	2.3055	0.8615	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.9854	31.1420	31.6725	78.4329	78.6451	31.5823	0.5061	2.3054	0.3675	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.3245	4.4407	5.0060	34.6105	34.6876	4.3423	0.5061	2.3055	0.7962	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.2000	-2.1000	2.2529	4.0000	2.1608	0.0000	0.0627	0.0293	15.7314	6.8070	3.0877	17.1409	16.0315	1.8798	0.5061	2.3055	0.7949	0.0000	0.0000	0.0000	0.0000	3.8440	4.6714	16.1257	7.0561	3.0986	17.6019	16.4207	1.9516	0.5061	2.3055	0.7907	0.0000	0.0000	0.0000	0.0000	4.0077	4.8704	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.4857	2.5290	3.5566	99.5178	99.5493	2.5007	0.5061	2.3055	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.2973	6.4651	2.7042	58.6547	58.3600	5.9567	0.5061	2.3054	0.8625	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-2.1000	-2.0000	2.3795	3.0000	2.2228	0.0097	0.0654	0.0816	15.2655	4.8360	7.0593	16.0132	16.8187	2.7916	0.5061	2.3055	0.8450	0.0000	0.0000	0.0000	0.0000	0.0000	5.9796	16.0160	5.2478	7.5870	16.8538	17.7222	3.2113	0.5061	2.3055	0.8399	0.0000	0.0000	0.0000	0.0000	0.0000	6.4011	100.0000	18.4797	21.8823	101.6932	102.3662	21.7356	0.5061	2.3054	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	2.5290	3.9007	100.0320	100.0760	2.9697	0.5061	2.3055	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.3801	11.3104	10.3671	37.1440	36.8677	11.0224	0.5061	2.3055	0.9276	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-2.0000	-1.9000	3.7714	4.0000	3.5213	0.0411	0.0641	0.1449	11.9443	1.8830	2.2587	12.0918	12.1560	0.9953	0.5061	1.2674	0.8099	0.0000	0.0000	0.0000	0.0000	0.0063	1.4575	12.6104	1.9167	2.3430	12.7553	12.8262	1.0551	0.5061	1.2674	0.8135	0.0000	0.0000	0.0000	0.0000	0.0068	1.5610	100.0000	30.1540	25.9700	104.4474	103.3172	30.1231	0.5061	1.2674	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	72.1643	15.8289	18.4996	73.8799	74.4978	18.4268	0.5061	1.2674	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.1666	1.8063	1.6807	30.2207	30.2134	0.6663	0.5061	1.2674	0.9072	0.0000	0.0000	0.0000	0.0000	0.0000	0.3652
7	-1.9000	-1.8000	4.2327	5.0000	3.9952	0.0000	0.0460	0.1915	11.4612	6.7211	3.4334	13.2865	11.9644	4.3030	0.5061	1.2674	0.8848	0.0000	0.0000	0.0000	0.0000	0.0000	4.9002	12.0333	6.7848	3.5950	13.8142	12.5588	4.4546	0.5061	1.2674	0.8838	0.0000	0.0000	0.0000	0.0000	0.0000	4.8525	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	96.1584	37.3928	26.0627	103.1730	99.6278	37.3569	0.5061	1.2674	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.8310	9.6141	6.9885	26.6272	25.7956	6.7945	0.5061	1.2674	0.9008	0.0000	0.0000	0.0000	0.0000	0.0000	7.0728
8	-1.8000	-1.7000	4.4314	4.0000	4.1835	0.0408	0.0364	0.1707	10.6138	1.9408	6.1986	10.7898	12.2913	1.5908	0.5061	1.2674	0.8516	0.0000	0.0000	0.0000	0.0000	1.1395	5.6573	11.1155	2.3680	6.6436	11.3649	12.9496	2.3202	0.5061	1.2674	0.8583	0.0000	0.0000	0.0000	0.0000	1.2071	5.8905	100.0000	30.1677	25.9859	104.4514	103.3212	30.1231	0.5061	1.2674	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	42.8738	34.0637	108.8033	105.6425	42.8521	0.5061	1.2674	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1529	1.6098	3.0989	26.2024	26.3359	0.8713	0.5061	1.2674	0.8538	0.0000	0.0000	0.0000	0.0000	0.0000	2.5005
9	-1.7000	-1.6000	4.9483	4.0000	4.5789	0.0235	0.1181	0.2278	10.5814	4.3764	3.3954	11.4507	11.1128	2.2255	0.5061	1.2674	0.8417	0.0000	0.0000	0.0000	0.0000	0.0798	3.6678	11.2703	4.4065	2.9366	12.1011	11.6466	1.5246	0.5061	1.2674	0.8410	0.0000	0.0000	0.0000	0.0000	0.0862	3.9656	100.0000	15.6995	18.7461	101.2249	101.7419	18.6743	0.5061	1.2674	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.3493	19.2573	18.3717	62.3954	62.1277	19.1917	0.5061	1.2674	0.8137	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.3970	5.8376	7.9823	22.1790	22.8374	6.2803	0.5061	1.2674	0.8626	0.0000	0.0000	0.0000	0.0000	0.0000	4.6549
10	-1.6000	-1.5000	1.3000	0.0000	1.1710	0.0454	0.0000	0.0836	19.0639	4.7656	6.5766	19.6505	20.1664	4.0187	0.4722	2.7045	0.8303	0.0000	0.0000	0.0000	0.0000	0.0000	4.3445	20.6259	5.0489	7.0926	21.2348	21.8113	4.2373	0.4685	2.8571	0.8395	0.0000	0.0000	0.0000	0.0000	0.0000	4.8232	100.0000	2.0847	5.6765	100.0217	100.1610	5.4347	0.5061	1.2674	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.2466	2.8012	1.5938	38.3490	38.2797	1.7315	0.5042	1.3481	0.6584	0.0000	0.0000	0.0000	0.0000	0.0000	1.5309
