Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	0.4040	0.0000	0.3978	0.0000	0.0000	0.0062	41.9221	2.7626	3.2821	42.0130	42.0504	2.1877	0.4485	2.3184	0.6404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.5675	2.8048	3.3370	42.6598	42.6981	2.2633	0.4489	2.3236	0.6421	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.3126	3.3838	4.3057	59.4090	59.4686	3.7577	0.4280	1.9871	0.5354	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-3.0144	-2.8888	0.1755	1.0000	0.1406	0.0000	0.0255	0.0095	55.3720	5.9235	9.0594	55.6879	56.1082	8.7782	0.4297	2.1276	0.5530	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	66.4242	2.8555	5.7899	66.4855	66.6761	5.4690	0.4306	1.7658	0.5573	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	22.2079	25.5792	102.4363	103.2196	25.1877	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	92.0171	11.6179	13.8705	92.7476	93.0566	13.7688	0.5037	1.3241	0.8970	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.8888	-2.7632	0.1720	0.0000	0.0451	0.0000	0.1257	0.0012	40.3349	3.4197	2.0481	40.4796	40.3869	2.8612	0.4713	1.6523	0.7454	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.1034	15.3458	18.1725	72.7406	73.3889	18.0880	0.4922	1.4544	0.8408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.9312	5.6807	2.4721	49.2598	48.9936	5.3453	0.4645	1.7239	0.7144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.1867	2.2963	1.7618	56.2336	56.2143	1.5497	0.3972	1.5976	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.7632	-2.6376	0.1231	0.0000	0.0540	0.0405	0.0255	0.0031	49.2064	12.9055	15.9142	50.8707	51.7159	15.7668	0.4377	2.0911	0.3211	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	68.5246	13.7474	16.6112	69.8900	70.5093	16.5231	0.4834	1.6276	0.1897	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	6.3548	9.3531	100.2017	100.4364	9.2570	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	22.2079	25.5792	102.4363	103.2196	25.1877	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	97.2373	7.9703	10.4979	97.5634	97.8023	10.1464	0.5026	2.4917	0.8920	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-2.6376	-2.5120	0.1300	1.0000	0.1268	0.0000	0.0021	0.0011	46.1964	30.3657	25.8364	55.2827	52.9304	30.3209	0.4537	1.3813	0.6647	0.0000	0.0000	0.0000	0.0000	0.0000	0.4011	47.3210	31.2542	26.5566	56.7107	54.2635	31.2153	0.4545	1.3321	0.6685	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	5.2044	7.6473	100.1353	100.2920	6.2133	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.2931	48.6353	4.1548	75.9176	58.4410	4.0278	0.4684	1.2480	0.7331	0.0000	0.0000	0.0000	0.0000	0.0000	48.4444
6	-2.5120	-2.3864	0.1110	0.0000	0.1045	0.0000	0.0063	0.0002	71.1507	12.9132	9.7602	72.3130	71.8170	12.7015	0.4974	2.1033	0.8679	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	75.3193	12.6787	9.1848	76.3790	75.8772	12.4578	0.5036	2.1202	0.8967	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	18.4141	21.8269	101.6813	102.3544	21.7357	0.3972	1.9122	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	248.9903	56.5063	32.8369	255.3216	251.1462	56.5003	0.3972	0.5978	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-2.3864	-2.2608	0.1115	0.0000	0.0342	0.0000	0.0766	0.0007	63.2379	7.9377	1.8519	63.7342	63.2650	7.7818	0.4186	1.4230	0.5015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.0759	4.3463	5.8482	31.3784	31.6214	5.4628	0.4646	1.9055	0.7153	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	90.9759	10.1013	1.3368	91.5349	90.9857	10.0125	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	78.5075	38.2301	43.0395	87.3210	89.5311	43.0141	0.5150	1.0079	0.9498	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-2.2608	-2.1352	0.1577	0.0000	0.0195	0.0268	0.0902	0.0212	51.3313	4.9044	6.2999	51.5651	51.7165	5.2725	0.4135	3.3903	0.4739	0.0000	0.0000	0.0000	0.0000	0.0000	0.0499	41.1506	6.2406	4.5778	41.6211	41.4045	5.8908	0.4101	1.9250	0.4558	0.0000	0.0000	0.0000	0.0000	0.0000	0.4032	100.0000	13.6592	16.1979	100.9286	101.3034	16.0747	0.3972	1.9122	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	81.6258	4.2348	5.2727	81.7355	81.7959	3.4016	0.4203	3.9742	0.5091	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	87.6295	8.2457	10.7240	88.0166	88.2833	9.8829	0.4081	4.1207	0.4311	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-2.1352	-2.0096	0.0841	1.0000	0.0456	0.0000	0.0296	0.0089	55.2168	14.4138	16.9176	57.0671	57.7503	16.8475	0.4561	1.3738	0.5212	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	77.0109	10.6984	12.4399	77.7505	78.0092	12.3253	0.5000	1.3563	0.8657	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	18.3502	21.7730	101.6697	102.3429	21.7356	0.3972	1.2115	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	76.9012	20.5291	23.8633	79.5942	80.5186	23.7702	0.4264	2.0032	0.4887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-2.0096	-1.8840	0.2492	0.0000	0.1613	0.0000	0.0861	0.0018	43.0426	6.3888	5.5688	43.5142	43.4014	6.0423	0.4314	1.9850	0.4259	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.4015	9.4389	9.6456	59.1593	59.1926	9.4986	0.4367	1.5201	0.5592	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.5717	3.9420	2.9036	59.7020	59.6425	2.6662	0.4216	2.8676	0.1731	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.5698	8.4681	1.6196	39.4884	38.6038	8.3118	0.4321	1.4555	0.5640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
