Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	6.7762	3.0000	5.0174	0.2483	1.1028	0.4077	8.2831	3.1134	7.7328	8.8489	11.3317	0.7340	0.0000	0.0000	0.0000	0.5355	0.0000	1.5801	0.5386	0.5581	7.5284	9.9012	4.2071	10.3118	10.7580	14.2957	1.6105	0.0000	0.0000	0.0000	0.6204	0.0000	1.7854	0.6202	0.8004	10.0926	38.0830	2.7123	4.2710	38.1795	38.3217	4.2166	0.0000	0.0000	0.0000	0.1190	0.0000	0.6493	0.1705	0.0000	0.0000	21.2582	2.2003	2.7504	21.3718	21.4354	2.6270	0.0000	0.0000	0.0000	0.1815	0.0000	0.7685	0.2103	0.0000	0.0000	16.1569	2.9018	3.4293	16.4154	16.5168	2.5331	0.0000	0.0000	0.0000	0.7025	0.0000	1.8150	0.6457	0.5751	0.9199
2	-3.0144	-2.8888	5.6554	14.0000	4.7506	0.2072	0.3868	0.3108	9.5097	2.7454	2.6734	9.8980	9.8783	1.5406	0.0000	0.0000	0.0000	0.4363	0.0000	1.4583	0.4493	0.1796	1.7001	10.7870	2.9665	2.7642	11.1875	11.1356	1.7402	0.0000	0.0000	0.0000	0.4456	0.0000	1.4877	0.4558	0.0060	1.7766	34.4796	11.1389	11.0848	36.2342	36.2176	11.1072	0.0000	0.0000	0.0000	0.1706	0.0000	0.7984	0.1967	0.0000	6.9908	34.1505	6.6687	3.7556	34.7955	34.3564	6.6154	0.0000	0.0000	0.0000	0.1905	0.0000	0.7941	0.2022	0.0000	0.0000	20.5565	3.5231	6.2451	20.8562	21.4842	1.0750	0.0000	0.0000	0.0000	0.7773	0.0000	2.2752	0.8270	3.2678	4.5552
3	-2.8888	-2.7632	5.3213	6.0000	3.9519	0.2245	0.7937	0.3512	9.1164	3.1546	3.7150	9.6468	9.8443	2.6071	0.0000	0.0000	0.0000	0.6581	0.0000	1.7970	0.6493	0.0663	1.7184	10.6501	4.5909	5.3848	11.5974	11.9340	4.2861	0.0000	0.0000	0.0000	0.7756	0.0000	2.0360	0.7558	0.0348	2.3138	42.7428	1.1070	3.3933	42.7571	42.8773	3.2717	0.0000	0.0000	0.0000	0.2108	0.0000	0.8491	0.2259	0.0000	0.0000	25.8549	1.4316	0.9247	25.8945	25.8714	1.1804	0.0000	0.0000	0.0000	0.2021	0.0000	0.7455	0.2436	0.0000	0.0000	23.6111	8.4635	8.6189	25.0822	25.1350	8.2549	0.0000	0.0000	0.0000	0.6513	0.0000	2.0901	0.6391	1.0047	0.0000
4	-2.7632	-2.6376	6.7185	4.0000	5.2153	0.2379	1.0157	0.2496	8.7474	2.5342	3.1058	9.1071	9.2824	0.6594	0.0000	0.0000	0.0000	0.5360	0.0000	1.5903	0.5416	0.3325	2.4756	10.0896	2.9970	3.9823	10.5253	10.8470	1.3753	0.0000	0.0000	0.0000	0.6154	0.0000	1.7760	0.6163	0.4283	3.1763	40.6199	2.1093	4.4094	40.6747	40.8586	4.3021	0.0000	0.0000	0.0000	0.2437	0.0000	0.8911	0.2941	0.0000	0.0000	23.4979	3.2645	4.8692	23.7236	23.9971	4.8009	0.0000	0.0000	0.0000	0.1739	0.0000	0.7720	0.1968	0.0000	0.0000	18.7884	10.6881	2.0367	21.6157	18.8985	2.2249	0.0000	0.0000	0.0000	0.6280	0.0000	1.7076	0.6199	0.0000	10.2758
5	-2.6376	-2.5120	6.2544	7.0000	5.1398	0.1910	0.6506	0.2731	8.6531	1.8520	3.9865	8.8491	9.5272	1.1329	0.0000	0.0000	0.0000	0.4605	0.0000	1.4317	0.4594	0.1539	3.4836	9.7465	1.8467	4.6268	9.9199	10.7890	0.8312	0.0000	0.0000	0.0000	0.4839	0.0000	1.5083	0.4790	0.1873	4.2391	43.6198	6.3075	9.6437	44.0735	44.6731	9.6184	0.0000	0.0000	0.0000	0.1699	0.0000	0.6561	0.1744	0.0000	0.0000	27.6470	1.0879	1.8439	27.6684	27.7084	1.6323	0.0000	0.0000	0.0000	0.2214	0.0000	0.7957	0.2398	0.0000	0.0000	18.8836	2.5510	2.3319	19.0552	19.0271	1.0136	0.0000	0.0000	0.0000	0.7927	0.0000	2.0478	0.8114	0.0000	0.0000
6	-2.5120	-2.3864	5.7853	5.0000	4.7153	0.1433	0.6644	0.2624	8.9133	6.7943	5.2684	11.2076	10.3539	4.3037	0.0000	0.0000	0.0000	0.5205	0.0000	1.5878	0.5168	0.0051	5.3097	10.1269	5.9809	5.4049	11.7612	11.4790	4.0394	0.0000	0.0000	0.0000	0.5729	0.0000	1.7175	0.5602	0.0063	4.6859	49.8910	33.6353	2.7750	60.1701	49.9681	7.9054	0.0000	0.0000	0.0000	0.2553	0.0000	0.9126	0.2562	0.0000	32.6783	26.2209	10.6661	8.8139	28.3073	27.6626	9.3505	0.0000	0.0000	0.0000	0.1453	0.0000	0.6292	0.1794	0.0000	5.0877	18.7895	6.2635	4.9200	19.8060	19.4230	5.4283	0.0000	0.0000	0.0000	0.6735	0.0000	2.0533	0.7338	0.0000	2.1347
7	-2.3864	-2.2608	6.1111	6.0000	4.8089	0.3722	0.6210	0.3089	8.9095	2.2689	3.6678	9.1938	9.6349	0.3470	0.0014	0.0000	0.0000	0.7357	0.0000	1.8418	0.6968	0.0553	2.9953	10.2958	2.6618	4.2964	10.6343	11.1563	0.8181	0.0000	0.0000	0.0000	0.8640	0.0000	2.0839	0.8065	0.0739	3.4781	32.2205	5.3133	4.1440	32.6557	32.4859	5.2647	0.0238	0.0000	0.0000	0.1588	0.0000	0.6693	0.2009	0.0000	0.0000	29.3518	4.3519	4.6298	29.6727	29.7147	4.5721	0.0000	0.0000	0.0000	0.1378	0.0000	0.6999	0.1626	0.0000	0.0000	19.6731	5.3748	6.7782	20.3941	20.8081	4.6305	0.0002	0.0000	0.0000	0.6370	0.0000	1.7813	0.6612	0.0972	5.1099
8	-2.2608	-2.1352	7.2115	2.0000	5.2917	0.3391	1.2652	0.3155	8.3140	3.1453	2.9913	8.8891	8.8358	0.7862	0.0037	0.0000	0.0000	0.5399	0.0000	1.5894	0.5227	0.3260	2.6058	10.0179	4.0307	3.7703	10.7983	10.7039	0.9425	0.0000	0.0000	0.0000	0.5652	0.0000	1.7195	0.5476	0.4462	3.5248	32.6210	5.9644	5.0285	33.1618	33.0063	5.8802	0.0783	0.0000	0.0000	0.2504	0.0000	0.9035	0.3350	0.0000	0.0000	19.8069	5.3525	7.4880	20.5174	21.1751	7.4280	0.0000	0.0000	0.0000	0.2674	0.0000	0.8707	0.2729	0.0000	0.0000	18.5496	4.4359	4.5898	19.0726	19.1090	2.8265	0.0000	0.0000	0.0000	1.5193	0.0000	3.0252	1.3080	0.0330	0.4419
9	-2.1352	-2.0096	6.1581	10.0000	4.4700	0.1203	0.9771	0.5907	9.0119	3.3022	3.1699	9.5979	9.5531	1.7016	0.0000	0.0000	0.0000	0.4867	0.0000	1.4720	0.4891	0.0007	2.6608	10.9162	3.4485	2.6562	11.4479	11.2347	0.8122	0.0000	0.0000	0.0000	0.5581	0.0000	1.6447	0.5512	0.0010	2.9278	41.4540	9.4006	5.3048	42.5066	41.7921	9.3551	0.0000	0.0000	0.0000	0.3053	0.0000	0.8229	0.2875	0.0000	0.0000	23.9839	11.1058	9.3913	26.4304	25.7570	11.0803	0.0000	0.0000	0.0000	0.1731	0.0000	0.7045	0.1994	0.0000	0.0000	18.9124	5.8499	9.1066	19.7965	20.9907	1.1891	0.0000	0.0000	0.0000	0.5020	0.0000	1.5662	0.5398	0.0000	8.8630
10	-2.0096	-1.8840	6.2496	5.0000	4.9859	0.1668	0.7145	0.3825	8.7963	3.5386	2.3854	9.4814	9.1140	1.8068	0.0000	0.0000	0.0000	0.4507	0.0000	1.5485	0.4777	0.0240	2.5353	10.0999	3.9154	2.1513	10.8323	10.3264	1.4935	0.0000	0.0000	0.0000	0.4625	0.0000	1.6018	0.4886	0.0301	3.1751	50.9522	2.5796	3.3591	51.0175	51.0628	3.1986	0.0000	0.0000	0.0000	0.2387	0.0000	0.9716	0.2446	0.0000	0.0000	26.8563	5.0531	4.6463	27.3275	27.2553	4.8638	0.0000	0.0000	0.0000	0.3448	0.0000	1.2710	0.3772	0.0000	0.0000	17.7191	1.8359	6.3290	17.8140	18.8155	0.3864	0.0000	0.0000	0.0000	0.5871	0.0000	1.6231	0.6245	0.0000	6.0469
