Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-2.8260	0.2286	1.0000	0.0497	0.0000	0.1908	-0.0118	50.6402	1.6684	2.5636	50.6676	50.7050	1.9464	0.4144	1.5426	0.4819	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	98.9838	11.6453	13.8106	99.6665	99.9426	13.7127	0.5053	1.2722	0.9047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	54.4950	1.6743	2.3042	54.5207	54.5437	1.5830	0.3972	1.5761	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.8260	-2.5120	0.1931	1.0000	0.0001	0.1116	0.0795	0.0019	45.5782	9.3846	11.4656	46.5343	46.9982	11.1968	0.4773	2.3634	0.5283	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	80.5662	13.5536	14.2339	81.6983	81.8139	13.5661	0.3972	4.2716	0.4003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.6968	9.3140	10.3573	58.4437	58.6191	9.8571	0.4584	3.1358	0.2606	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	75.4915	9.5301	13.0934	76.0906	76.6185	12.9903	0.5059	1.2682	0.9076	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.0208	12.7277	14.9534	53.5552	54.1273	14.7032	0.3972	2.6647	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.5120	-2.1980	0.0863	0.0000	0.0005	0.0122	0.0685	0.0051	48.8967	22.5611	23.8929	53.8507	54.4221	23.6660	0.3982	3.2356	0.4067	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.9910	6.2898	4.2134	53.3629	53.1582	5.5827	0.4670	2.7681	0.7169	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	13.6592	16.1979	100.9286	101.3034	16.0747	0.3972	1.9122	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.7423	27.6604	29.0972	64.9289	65.5538	28.8664	0.3972	3.6134	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	72.3572	25.0562	22.5289	76.5727	75.7834	25.0119	0.4068	1.3627	0.4468	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.1980	-1.8840	0.1375	1.0000	0.0004	0.0034	0.1335	0.0001	57.9529	5.6294	2.6335	58.2256	58.0127	5.2374	0.4860	1.8059	0.8735	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	87.8410	78.3262	39.9601	117.6904	96.5031	78.3125	0.3972	1.3527	0.4022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	113.8451	65.8614	151.5279	119.7402	111.5541	0.0000	22.7063	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.6125	7.0428	4.7826	60.0270	59.8040	6.8547	0.4989	1.2647	0.8749	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	245.5398	93.2145	151.1582	262.6381	288.3377	150.9412	0.2707	8.0904	0.1865	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-1.8840	-1.5700	0.1947	0.0000	0.0005	0.0526	0.1376	0.0040	56.8003	4.9391	7.6584	57.0146	57.3143	7.0372	0.4367	2.9318	0.5854	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	74.9947	4.6481	6.4421	75.1386	75.2709	5.3778	0.3976	3.5015	0.4026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	3.3445	6.5254	100.0559	100.2127	6.2133	0.3972	1.9122	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.7038	5.3932	8.0825	70.9091	71.1642	7.3091	0.4520	3.3567	0.6568	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.1690	11.9946	8.9062	44.8044	44.0781	11.8566	0.4325	1.6685	0.5659	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-1.5700	-1.2560	0.2423	1.0000	0.0005	0.1074	0.1344	0.0000	39.6378	9.2186	8.6426	40.6957	40.5691	8.9314	0.4417	2.1564	0.6069	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	76.2333	3.5316	6.9724	76.3150	76.5515	6.6041	0.3973	2.1634	0.4022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	53.2785	23.9677	19.8218	58.4213	56.8463	23.7424	0.4016	3.2260	0.4222	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.4009	1.7063	3.3034	57.4263	57.4959	2.8967	0.4736	1.3130	0.7570	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3082.5450	260.1616	217.5863	3093.5042	3090.2148	251.5144	2.8237	65.9038	8.5593	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.2560	-0.9420	0.1889	0.0000	0.0001	0.0837	0.0828	0.0222	42.8908	6.0993	3.6987	43.3223	43.0500	5.3240	0.4076	2.9133	0.4502	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.6109	6.1999	3.2578	47.0215	46.7247	5.7146	0.4039	2.3306	0.4329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.8507	6.4648	9.2847	59.2047	59.5786	9.0239	0.3972	2.1107	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	74.7675	9.0987	3.8618	75.3191	74.8671	8.2385	0.3972	3.8203	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	78.0870	8.0486	8.7886	78.5007	78.5800	8.3543	0.4851	2.5598	0.8108	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-0.9420	-0.6280	0.2985	0.0000	0.0000	0.1719	0.1248	0.0017	40.5804	7.0106	8.4031	41.1815	41.4413	7.9427	0.4035	2.6791	0.4304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.3459	51.0006	42.8230	86.0809	81.5026	50.9643	0.3972	1.8847	0.0158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.4774	7.2164	7.9843	49.0116	49.1306	7.1477	0.4078	3.5057	0.4510	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.4208	6.6083	9.0548	70.7302	71.0005	8.9006	0.3972	1.5655	0.4003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.4959	27.7445	18.0494	75.7591	72.7699	27.7220	0.4298	0.8710	0.5533	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-0.6280	-0.3140	0.4521	0.0000	0.0007	0.1180	0.3131	0.0203	32.3231	2.6572	3.0226	32.4322	32.4641	1.5373	0.4313	2.5173	0.5001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.2311	6.1225	8.1846	59.5467	59.7939	7.8483	0.3973	2.2523	0.4024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.1753	8.4464	6.5292	56.8067	56.5535	7.5832	0.3972	3.6765	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.1467	2.5940	4.0507	41.2284	41.3456	3.3549	0.4463	2.1583	0.5434	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	93.5395	24.1296	26.8553	96.6017	97.3183	26.8166	0.3978	1.3246	0.4049	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-0.3140	0.0000	0.3150	0.0000	0.0001	0.1839	0.1295	0.0016	37.7757	7.5183	7.1085	38.5166	38.4387	7.0588	0.4126	2.5106	0.4736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	61.5019	12.9254	14.2108	62.8455	63.1224	14.0201	0.3972	2.2507	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.8623	7.2527	7.9048	47.4202	47.5243	7.3596	0.3972	2.8289	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.3732	8.2530	6.2510	63.9083	63.6807	7.9625	0.4345	2.0469	0.5754	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.3174	16.8731	19.4811	49.2951	50.2475	19.1577	0.4105	3.4803	0.4638	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
