Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	10.0000	0.0387	-1	0.0003	0.0385	0.0000	0.0000	79.9224	28.4686	23.6040	84.8413	83.3351	28.3978	0.3973	1.9250	0.4026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.2174	16.5941	18.1988	64.3923	64.8244	17.7669	0.4160	3.8889	0.4892	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	80.4419	28.5475	23.6403	85.3573	83.8437	28.4778	0.3972	1.9122	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	10.0000	20.0000	0.2139	-1	0.0365	0.1337	0.0404	0.0033	41.7518	23.8919	2.7620	48.1044	41.8431	1.8552	0.4578	1.8995	0.6076	0.0000	0.0000	0.0000	0.0000	0.0000	23.7341	95.8699	7.5095	9.4060	96.1635	96.3302	9.2610	0.5015	1.2917	0.8870	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	53.4494	38.3573	4.4476	65.7885	53.6341	5.0460	0.4656	2.0743	0.7200	0.0000	0.0000	0.0000	0.0000	0.0000	37.9577	100.0000	11.9284	14.0912	100.7089	100.9879	13.9552	0.3972	1.9122	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	95.1703	3.9780	6.6124	95.2534	95.3997	6.4440	0.3972	1.3707	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	20.0000	30.0000	0.3546	-1	0.0367	0.3179	0.0000	0.0000	30.2434	4.3038	3.9344	30.5481	30.4982	3.3196	0.4412	2.6422	0.5723	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	90.7324	17.8095	18.5893	92.4637	92.6171	18.1171	0.3984	4.1240	0.4073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.0676	6.3428	5.7594	32.6889	32.5807	5.7944	0.4461	2.4711	0.5913	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	11.3937	12.9898	100.6470	100.8401	12.8859	0.5061	1.2674	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	30.0000	40.0000	0.9754	-1	0.0725	0.5944	0.2865	0.0220	27.8775	4.6383	5.6054	28.2607	28.4355	5.1194	0.4529	2.1616	0.5782	0.0000	0.0000	0.0000	0.0000	0.0084	0.0084	47.6875	3.2529	4.0033	47.7983	47.8552	3.6392	0.4221	1.5287	0.5175	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.4937	6.4716	7.5415	25.3342	25.6284	7.0623	0.4323	2.5547	0.5333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	79.0155	2.2325	2.9604	79.0470	79.0709	2.4753	0.5061	1.3728	0.7045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	79.0580	12.1527	13.7196	79.9866	80.2396	13.1420	0.4182	3.9010	0.3485	0.0000	0.0000	0.0000	0.0000	0.3712	0.3712
5	40.0000	50.0000	1.0573	-1	0.0405	0.8821	0.1028	0.0318	19.2471	2.3351	2.2579	19.3883	19.3791	1.1912	0.4192	1.9089	0.4628	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.1206	20.6456	21.2292	52.3625	52.5953	21.1634	0.4143	1.5447	0.4814	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.5479	2.8863	3.0793	21.7403	21.7668	2.2944	0.4172	1.9594	0.4523	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.1467	5.7064	1.6291	63.4040	63.1677	5.4723	0.4114	1.4929	0.4681	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	82.3095	4.4857	7.7707	82.4316	82.6755	7.3658	0.5056	2.3155	0.7151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	50.0000	60.0000	1.5779	-1	0.0380	1.2609	0.2561	0.0229	15.5674	4.8207	6.2274	16.2967	16.7668	5.8184	0.4264	2.1171	0.5129	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.6628	22.1512	23.9952	57.1319	57.8718	23.9483	0.3980	1.3887	0.4048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.5121	2.7665	3.6452	17.7292	17.8874	2.9526	0.4317	2.0231	0.5386	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	40.3065	13.0287	15.9810	42.3599	43.3590	15.7314	0.3972	2.7610	0.3679	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.9753	19.3040	22.7375	101.8219	102.5283	22.6768	0.5045	1.2994	0.9006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	60.0000	70.0000	2.1074	-1	0.0838	1.7866	0.2268	0.0102	32.7225	2.1840	2.1684	32.7953	32.7943	0.2768	0.4489	2.0281	0.6152	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.2658	5.8212	2.5062	44.6469	44.3366	5.2541	0.4280	2.4110	0.5336	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.9678	2.6249	3.7434	38.0584	38.1519	3.0397	0.4483	2.0499	0.6081	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.4065	22.7044	11.2397	50.7665	46.7769	22.6092	0.4779	1.8661	0.7770	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	574.6165	9.8432	1.7022	574.7008	574.6191	9.6949	0.0824	1.3279	1.0619	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	70.0000	80.0000	1.7950	-1	0.1945	1.0712	0.5452	-0.0159	15.6517	3.5758	3.6298	16.0550	16.0671	2.1956	0.4109	2.8323	0.4052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.2435	3.8110	5.8190	44.4074	44.6246	5.3909	0.4063	2.1064	0.4430	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.8762	2.8391	2.8011	19.0885	19.0829	0.4650	0.4135	2.7359	0.4336	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.4937	6.8295	7.3398	31.2491	31.3646	6.6519	0.4070	3.0573	0.3353	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	80.0000	90.0000	1.7864	-1	0.2168	1.2345	0.2956	0.0394	16.7956	2.7420	2.6056	17.0179	16.9965	1.3024	0.4417	2.2927	0.6088	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.8124	4.5641	4.0375	46.0392	45.9900	3.8713	0.4613	2.2677	0.6994	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.0984	6.0717	5.5548	20.0403	19.8898	5.4593	0.4375	2.5538	0.5895	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.3213	18.7150	20.2003	55.5677	56.0854	20.1399	0.4504	1.3470	0.6491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	64.0738	17.8680	13.9593	66.5185	65.5767	17.8081	0.3994	1.3451	0.4121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	90.0000	100.0000	1.6694	-1	0.1753	1.2642	0.1807	0.0492	16.2163	4.5652	4.1004	16.8466	16.7267	3.2790	0.4024	3.1120	0.4922	0.0000	0.0000	0.0000	0.0000	0.0000	0.0062	32.0573	4.7937	5.0163	32.4138	32.4474	4.2783	0.4189	2.5359	0.5028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0587	19.7157	6.4430	6.0943	20.7418	20.6361	5.4354	0.4011	3.3985	0.5072	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.6776	12.0601	7.8273	49.1793	48.3159	11.9149	0.3972	1.7780	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.1788	12.7015	15.0335	50.7925	51.4252	14.7780	0.3974	2.7015	0.4008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
