Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	20.0000	0.8941	-1	0.5742	0.2142	0.0168	0.0889	15.3893	2.5774	2.6815	15.6036	15.6211	0.8545	0.4300	2.4424	0.5544	0.0000	0.0000	0.0000	0.0000	0.0000	0.1401	18.3470	4.4383	4.4976	18.8762	18.8902	3.5453	0.4224	2.6843	0.5190	0.0000	0.0000	0.0000	0.0000	0.0000	0.2181	36.4622	6.6213	7.0980	37.0585	37.1466	6.8108	0.4449	1.8456	0.6240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	9.5510	11.4565	100.4551	100.6541	10.5535	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.8759	2.3642	4.0538	42.9410	43.0671	3.4690	0.4495	1.9446	0.6449	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	20.0000	40.0000	2.1062	-1	1.1531	0.7771	0.0568	0.1192	11.8765	4.2870	4.5578	12.6266	12.7211	3.5324	0.4049	2.8095	0.4832	0.0000	0.0000	0.0000	0.0000	0.0000	0.0708	13.1338	3.5888	3.8685	13.6153	13.6917	2.8961	0.4152	2.4804	0.4866	0.0000	0.0000	0.0000	0.0000	0.0000	0.1294	24.0212	3.8410	4.3333	24.3263	24.4089	2.4655	0.3896	3.5083	0.4887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	30.1890	26.0107	104.4575	103.3274	30.1231	0.3972	1.9122	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.1940	8.3501	6.2884	34.2282	33.7844	8.1163	0.4081	1.8651	0.4525	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	40.0000	60.0000	2.0973	-1	0.6537	0.9764	0.3029	0.1643	12.8125	3.5541	3.0789	13.2964	13.1773	2.2288	0.4144	2.3297	0.4816	0.0000	0.0000	0.0000	0.0000	0.0000	1.3538	17.1718	3.3381	3.8074	17.4933	17.5889	3.0348	0.4129	2.2114	0.4751	0.0000	0.0000	0.0000	0.0000	0.0000	0.2344	20.2097	4.6828	2.8917	20.7451	20.4155	2.6477	0.4164	2.6335	0.4911	0.0000	0.0000	0.0000	0.0000	0.0000	2.7511	44.5835	10.0637	11.3315	45.7052	46.0010	11.2137	0.4128	1.5041	0.4745	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.0249	7.0344	9.5599	30.8379	31.5101	6.5391	0.4115	2.5175	0.4649	0.0000	0.0000	0.0000	0.0000	0.0000	6.5350
4	60.0000	80.0000	3.2428	-1	0.4969	1.9853	0.3151	0.4455	10.5971	2.9617	2.9167	11.0032	10.9912	1.3059	0.4227	2.4333	0.5204	0.0000	0.0000	0.0000	0.0000	0.0829	1.1734	18.6418	3.2404	2.8321	18.9213	18.8557	1.7426	0.4158	2.5830	0.4886	0.0000	0.0000	0.0000	0.0000	0.2756	0.6161	14.2132	3.8591	3.7906	14.7278	14.7100	2.6947	0.4286	2.3848	0.5480	0.0000	0.0000	0.0000	0.0000	0.0000	1.7119	43.7871	7.7907	4.6534	44.4748	44.0337	7.4437	0.4123	2.2123	0.4723	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.3812	3.0275	4.3544	23.5764	23.7832	3.2989	0.4112	2.6389	0.4670	0.0000	0.0000	0.0000	0.0000	0.6031	0.6031
5	80.0000	100.0000	2.6524	-1	0.3404	1.5573	0.6103	0.1445	13.6375	2.8690	2.8010	13.9360	13.9222	1.9550	0.4404	1.8717	0.5686	0.0000	0.0000	0.0000	0.0000	0.9098	0.9098	21.2269	3.6666	2.5955	21.5412	21.3850	2.9488	0.4160	2.0799	0.4994	0.0000	0.0000	0.0000	0.0000	0.0000	0.4336	16.5322	3.0836	2.6240	16.8173	16.7392	1.9132	0.4441	1.6478	0.5592	0.0000	0.0000	0.0000	0.0000	1.5495	1.5495	38.9663	5.1581	5.8353	39.3062	39.4008	5.4267	0.4548	1.9864	0.6697	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.5606	3.4320	3.3852	36.7213	36.7170	0.7064	0.3980	3.3101	0.4057	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	100.0000	120.0000	3.2143	-1	0.1657	2.1781	0.7478	0.1228	13.4284	3.5208	3.2169	13.8823	13.8084	2.3054	0.4237	2.5679	0.5048	0.0000	0.0000	0.0000	0.0000	0.0141	0.2297	30.4726	3.4287	2.8517	30.6649	30.6057	1.9576	0.4324	2.7234	0.5655	0.0000	0.0000	0.0000	0.0000	0.3228	0.3228	13.2907	4.2283	4.2392	13.9471	13.9504	3.4515	0.4244	2.3567	0.5228	0.0000	0.0000	0.0000	0.0000	0.0000	0.3346	40.8008	3.7396	3.4226	40.9718	40.9441	1.6942	0.4198	3.2785	0.4352	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	67.5363	4.4206	1.9015	67.6808	67.5630	3.9896	0.4238	1.7775	0.5258	0.0000	0.0000	0.0000	0.0000	0.0665	0.0665
7	120.0000	140.0000	2.8968	-1	0.3645	1.6303	0.7059	0.1961	14.2875	2.3133	2.2560	14.4736	14.4645	0.6181	0.4240	2.1250	0.5234	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.5590	3.1636	3.4174	34.7035	34.7276	2.5794	0.4303	2.1286	0.5559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.2503	3.6998	2.9433	15.6927	15.5317	2.8855	0.4145	2.2274	0.4789	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.8123	2.6238	3.1161	41.8946	41.9283	2.3630	0.4492	1.8734	0.6440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.1151	2.2454	2.7325	41.1763	41.2058	1.5570	0.4002	2.1731	0.3991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	140.0000	160.0000	3.4057	-1	0.3010	2.2275	0.7673	0.1098	11.0802	5.1671	4.2506	12.2258	11.8675	4.2264	0.4121	2.8994	0.5068	0.0000	0.0000	0.0000	0.0000	0.0000	0.0653	28.0528	20.9755	16.4156	35.0276	32.5028	20.8663	0.4178	1.8960	0.5025	0.0000	0.0000	0.0000	0.0000	0.0000	0.7390	13.6258	3.9677	3.6348	14.1917	14.1023	2.3915	0.4079	3.0986	0.5053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.8604	3.8414	2.8462	25.1555	25.0228	2.7825	0.4271	2.5572	0.5410	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	74.8244	7.1688	7.2959	75.1670	75.1793	6.0835	0.3772	3.9980	0.3090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	160.0000	180.0000	2.0947	-1	0.1552	1.4732	0.4239	0.0424	13.6931	2.9153	2.8775	14.0000	13.9922	0.8713	0.4077	2.7104	0.4773	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	54.3341	16.9981	16.1891	56.9309	56.6946	15.7446	0.3433	6.3767	0.5119	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.2453	3.2115	3.4349	16.5597	16.6045	2.3677	0.4118	2.4087	0.4698	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.1414	8.9596	7.5138	32.4046	32.0350	8.6118	0.4171	2.3859	0.4944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.3831	14.6185	14.5252	52.4610	52.4351	14.2923	0.4052	3.0122	0.4393	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	180.0000	200.0000	2.9149	-1	0.1143	1.9700	0.7190	0.1116	24.6018	2.4398	2.5815	24.7225	24.7369	0.8435	0.4307	2.3373	0.5518	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.2941	3.6206	4.0246	34.4847	34.5294	2.1789	0.4199	3.3206	0.4973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.8235	2.2190	2.7719	34.8941	34.9337	1.6629	0.4373	2.0939	0.5853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.7555	4.7826	5.2114	28.1646	28.2406	4.3095	0.4182	2.8593	0.4857	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.7467	3.8753	4.9388	42.9220	43.0311	4.3486	0.4060	2.2633	0.4404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
