Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.4000	0.1403	-1	0.0015	0.0275	0.0779	0.0335	57.4670	7.0155	2.8835	57.8936	57.5393	6.4211	0.4169	2.7512	0.4934	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.9886	18.3777	19.3335	101.6634	101.8405	19.2305	0.3972	1.9121	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	43.0833	34.3271	108.8861	105.7277	42.8521	0.3972	4.4223	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	91.1198	8.4616	2.2204	91.5118	91.1468	8.1651	0.3972	2.1472	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	79.4257	7.9163	11.5617	79.8192	80.2628	11.1741	0.4795	2.8224	0.7846	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.4000	-2.3000	0.2266	-1	0.0015	0.1351	0.0897	0.0003	44.5930	8.6154	8.8142	45.4176	45.4558	8.5029	0.3978	2.2514	0.4048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	82.8065	3.1903	3.5689	82.8680	82.8834	2.1392	0.4861	2.6945	0.8151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.2573	6.2503	7.5561	57.5974	57.7537	7.2325	0.3972	2.1132	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	72.4840	12.4864	10.9492	73.5516	73.3063	12.2297	0.3972	2.4551	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	13.5788	16.1302	100.9177	101.2926	16.0747	0.3972	1.2115	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.3000	-2.2000	0.4245	-1	0.1077	0.1162	0.1839	0.0167	34.4519	2.7014	2.8508	34.5577	34.5697	0.9106	0.4124	2.6492	0.3312	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	76.6520	20.6275	20.6244	79.3790	79.3782	20.2727	0.3972	3.7675	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.7520	3.4244	4.6999	63.8439	63.9250	3.5889	0.3972	2.9815	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.9819	11.4058	13.8407	52.2422	52.8273	13.6977	0.4323	1.9223	0.2385	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	102.6728	12.0426	14.1810	103.3766	103.6475	14.1249	0.3972	1.1267	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.2000	-2.1000	0.3279	-1	0.0198	0.0643	0.2190	0.0248	37.8601	9.1140	8.0642	38.9417	38.7095	8.8156	0.3973	2.2499	0.3603	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	85.7523	32.1039	21.1762	91.5648	88.3283	32.0397	0.3980	1.9482	0.4055	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.8518	14.3090	9.0008	72.2822	71.4212	14.2509	0.3972	1.2115	0.1883	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.7280	5.4539	6.3656	52.0147	52.1182	5.8522	0.3972	2.4401	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.8638	11.7803	11.1105	60.0310	59.9032	11.2334	0.3972	3.5026	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-2.1000	-2.0000	0.6735	-1	0.0822	0.3133	0.2587	0.0193	26.2862	8.4515	7.6930	27.6115	27.3888	7.7776	0.4009	3.2594	0.3891	0.0000	0.0000	0.0000	0.0000	0.0000	0.0239	87.3404	27.3460	23.8392	91.5213	90.5353	27.0023	0.3982	4.2800	0.4066	0.0000	0.0000	0.0000	0.0000	0.0000	0.1958	34.3175	5.2043	4.2574	34.7099	34.5806	4.0491	0.4048	3.2146	0.4374	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.2210	8.1878	8.5637	46.9407	47.0077	8.0369	0.3972	2.9123	0.3240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	94.8592	10.3298	12.3628	95.4200	95.6614	11.5803	0.3972	4.2914	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-2.0000	-1.9000	0.4922	-1	0.0837	0.2761	0.1307	0.0017	25.4492	10.2932	10.0063	27.4520	27.3457	9.7857	0.4200	3.1224	0.5151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.4388	5.0294	5.8347	48.6992	48.7889	5.3922	0.4292	2.1054	0.5924	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.0038	7.3740	8.2826	34.7942	34.9980	7.5935	0.4273	3.2347	0.5419	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.3010	26.3579	22.5434	61.2612	59.7193	26.1086	0.3972	3.5726	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	136.2512	21.3346	24.0396	137.9114	138.3556	24.0083	0.5413	0.2467	1.0719	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.9000	-1.8000	0.8670	-1	0.0976	0.3552	0.4127	0.0016	27.1131	4.7429	3.8316	27.5248	27.3825	2.2776	0.4104	3.0144	0.5035	0.0000	0.0000	0.0000	0.0000	0.0000	2.7927	47.9512	4.1192	3.5627	48.1278	48.0834	2.8721	0.4011	2.8951	0.4201	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.2211	3.0507	3.0363	38.3426	38.3415	0.3857	0.4345	2.9503	0.5152	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.1056	6.3287	6.6114	45.5475	45.5876	5.8075	0.3919	3.0930	0.5134	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.0650	1469.1079	5.5948	1470.7304	69.2912	4.4241	0.4051	4.1952	0.4384	0.0000	0.0000	0.0000	0.0000	0.0000	1469.0951
8	-1.8000	-1.7000	0.8179	-1	0.0480	0.3307	0.3632	0.0761	22.9123	2.8982	3.3881	23.0949	23.1615	2.2975	0.4228	2.3980	0.5212	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.5589	4.4378	6.4969	55.7359	55.9375	5.9765	0.4010	2.4807	0.4198	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.9701	2.9645	2.8643	33.1031	33.0943	1.6766	0.4345	2.3360	0.5756	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.0523	2.9578	3.8971	38.1671	38.2513	2.7938	0.4203	2.6356	0.5095	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	76.9239	1.7693	1.9347	76.9443	76.9483	1.1081	0.3972	1.4811	0.4045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-1.7000	-1.6000	0.6608	-1	0.0587	0.2305	0.3172	0.0544	28.0606	9.1835	8.9353	29.5251	29.4488	8.9071	0.4155	2.1429	0.4867	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.8708	6.0509	2.5419	52.2225	51.9331	5.7713	0.4770	1.5754	0.7714	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.0291	13.7620	13.9463	50.9239	50.9741	13.8307	0.4287	1.6514	0.5483	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.2945	12.4453	13.1373	46.0097	46.2017	12.8672	0.3972	2.5893	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.3417	22.4549	18.7612	60.6516	59.3833	22.3362	0.3993	2.2333	0.4119	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-1.6000	-1.5000	0.9522	-1	0.0954	0.6177	0.1972	0.0419	20.6880	2.9290	2.7029	20.8943	20.8638	1.1839	0.4126	2.6101	0.4414	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.1098	2.7732	3.2509	41.2032	41.2381	1.7307	0.4325	2.6586	0.5638	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.8239	8.6301	6.5783	29.1315	28.5909	8.1780	0.4030	2.7003	0.3806	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.1622	16.0539	18.3774	46.0511	46.9117	18.2477	0.4360	2.0541	0.5824	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.7947	5.7426	5.4121	53.1061	53.0714	4.2827	0.3981	3.7842	0.3956	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
