Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	0.7241	-1	0.0310	0.5118	0.1152	0.0661	22.0304	4.7982	4.2268	22.5469	22.4322	4.2831	0.0000	0.0000	0.0000	0.6332	0.0000	1.9622	0.6530	0.0000	0.0000	51.4445	18.6712	14.9799	54.7280	53.5811	18.5743	0.0000	0.0000	0.0000	0.5057	0.0000	1.7499	0.5403	0.0000	0.0000	27.1758	5.6792	6.0287	27.7629	27.8365	5.6605	0.0000	0.0000	0.0000	0.5189	0.0000	1.9378	0.5840	0.0000	0.0000	57.4175	10.0393	12.0034	58.2886	58.6588	11.5727	0.0000	0.0000	0.0000	1.4409	0.0000	2.5639	1.2500	0.0000	0.0000	58.0384	17.5422	5.7951	60.6316	58.3270	17.4990	0.0000	0.0000	0.0000	0.1702	0.0000	1.2023	0.1998	0.0000	0.0000
2	-3.0144	-2.8888	0.8277	-1	0.0691	0.5990	0.1291	0.0305	21.7998	3.3000	3.3844	22.0482	22.0610	2.3579	0.0000	0.0000	0.0000	0.7422	0.0000	2.1989	0.7597	0.0000	0.0000	44.3623	11.6219	10.8043	45.8594	45.6590	11.0332	0.0000	0.0000	0.0000	1.2641	0.0000	3.2196	1.1725	0.0000	0.0000	25.5756	4.2884	3.8124	25.9326	25.8582	3.3501	0.0000	0.0000	0.0000	0.8243	0.0000	2.4028	0.8449	0.0000	0.0000	66.0595	1.0863	4.2744	66.0685	66.1977	4.1518	0.0000	0.0000	0.0000	0.1977	0.0000	0.9689	0.2525	0.0000	0.0000	96.8975	11.1443	13.0043	97.5363	97.7663	12.9531	0.0000	0.0000	0.0000	0.2532	0.0000	1.0904	0.2985	0.0000	0.0000
3	-2.8888	-2.7632	0.5364	-1	0.0394	0.3735	0.1061	0.0174	26.7973	6.1140	7.8615	27.4859	27.9266	7.3909	0.0000	0.0000	0.0000	0.9851	0.0000	2.2991	0.9924	0.0000	0.0000	38.1731	14.6435	12.7961	40.8854	40.2607	12.5299	0.0000	0.0000	0.0000	2.9399	0.0000	6.3452	2.9205	0.0000	0.0000	33.4278	3.3761	4.9937	33.5978	33.7987	4.1779	0.0000	0.0000	0.0000	1.0418	0.0000	2.3114	1.0447	0.0000	0.0000	63.4193	13.7941	15.9830	64.9021	65.4023	15.9575	0.0000	0.0000	0.0000	0.1367	0.0000	0.8789	0.1705	0.0000	0.0000	102.4789	14.7675	17.4598	103.5375	103.9557	17.3774	0.0000	0.0000	0.0000	0.5178	0.0000	1.5357	0.5171	0.0000	0.0000
4	-2.7632	-2.6376	0.5164	-1	0.0332	0.3390	0.1231	0.0210	27.1385	2.0234	2.0378	27.2138	27.2149	1.3131	0.0000	0.0000	0.0000	0.3161	0.0000	1.4976	0.3339	0.1663	0.0002	44.1180	15.4298	15.8179	46.7384	46.8680	14.5354	0.0000	0.0000	0.0000	1.4538	0.0000	5.4677	1.4920	2.5851	0.0023	34.3398	2.7712	2.1469	34.4514	34.4068	2.4671	0.0000	0.0000	0.0000	0.1907	0.0000	1.2291	0.2148	0.0000	0.0000	60.9344	2.9590	4.4669	61.0062	61.0979	4.3395	0.0000	0.0000	0.0000	0.2917	0.0000	0.9750	0.3034	0.0000	0.0000	73.7219	2.7732	3.1587	73.7741	73.7896	1.5458	0.0000	0.0000	0.0000	0.6843	0.0000	2.6185	0.6049	0.0000	0.0000
5	-2.6376	-2.5120	0.8682	-1	0.0180	0.6305	0.1970	0.0227	21.2575	3.2413	4.0126	21.5031	21.6328	3.1234	0.0000	0.0000	0.0000	0.8787	0.0000	2.2174	0.8547	0.0000	0.0000	23.8816	4.8170	5.0445	24.3626	24.4086	2.0329	0.0000	0.0000	0.0000	1.6116	0.0000	4.0502	1.5923	0.0000	0.0000	23.4130	6.3534	7.8218	24.2597	24.6850	7.2324	0.0000	0.0000	0.0000	1.0957	0.0000	2.5832	1.0514	0.0000	0.0000	55.3155	10.3936	9.6551	56.2835	56.1518	10.3524	0.0000	0.0000	0.0000	0.1425	0.0000	0.8943	0.1892	0.0000	0.0000	86.0586	7.0868	9.6922	86.3499	86.6027	9.4293	0.0000	0.0000	0.0000	0.6561	0.0000	2.0830	0.5783	0.0000	0.0000
6	-2.5120	-2.3864	0.6211	-1	0.0483	0.3592	0.1879	0.0256	23.8808	6.4002	5.0197	24.7236	24.4027	6.0410	0.0000	0.0000	0.0000	0.4537	0.0000	2.0026	0.5021	0.2279	0.0000	54.1962	4.7053	7.2495	54.4001	54.6789	5.7123	0.0000	0.0000	0.0000	1.2376	0.0000	2.9202	1.1901	2.9309	0.0000	30.5387	12.2208	8.5084	32.8931	31.7018	12.0617	0.0000	0.0000	0.0000	0.3821	0.0000	1.8740	0.4527	0.0000	0.0000	50.1737	1.2136	2.2634	50.1884	50.2248	1.9263	0.0000	0.0000	0.0000	0.2175	0.0000	1.1479	0.2416	0.0000	0.0000	76.8108	17.0875	16.8922	78.6885	78.6464	14.7021	0.0000	0.0000	0.0000	1.7116	0.0000	8.3444	1.8083	0.0000	0.0000
7	-2.3864	-2.2608	0.5938	-1	0.0525	0.4622	0.0717	0.0073	25.4739	3.2887	3.1648	25.6853	25.6697	0.8191	0.0000	0.0000	0.0000	1.2681	0.0000	2.6967	1.1245	0.0000	0.0000	48.8042	5.8350	4.3844	49.1518	49.0008	4.3410	0.0000	0.0000	0.0000	1.1596	0.0000	3.5160	1.2235	0.0000	0.0000	29.4375	3.9059	3.5172	29.6955	29.6468	2.4333	0.0000	0.0000	0.0000	1.2185	0.0000	2.5903	1.0683	0.0000	0.0000	84.3085	7.3040	5.9198	84.6243	84.5161	6.5808	0.0000	0.0000	0.0000	1.5559	0.0000	2.4512	1.2696	0.0000	0.0000	99.0790	33.0861	24.2669	104.4573	102.0075	32.3638	0.0000	0.0000	0.0000	2.3593	0.0000	5.9373	2.5408	0.0000	0.0000
8	-2.2608	-2.1352	0.3643	-1	0.0491	0.2626	0.0503	0.0025	35.6635	13.3996	1.6455	38.0977	35.7015	3.2274	0.0000	0.0000	0.0000	0.4191	0.0000	1.5364	0.4446	0.0000	12.8996	46.6282	6.2053	6.8316	47.0393	47.1260	6.2676	0.0000	0.0000	0.0000	0.9350	0.0000	2.3679	0.9785	0.0000	0.0000	33.6229	18.4316	2.0992	38.3435	33.6883	4.1613	0.0000	0.0000	0.0000	0.3050	0.0000	1.3370	0.3168	0.0000	17.9005	184.1318	23.9884	5.0738	185.6878	184.2017	23.9280	0.0000	0.0000	0.0000	0.3978	0.0000	1.5824	0.4787	0.0000	0.0000	57.0980	21.4484	19.9251	60.9936	60.4747	20.4210	0.0000	0.0000	0.0000	2.7315	0.0000	5.2976	2.7369	0.0000	0.0000
9	-2.1352	-2.0096	0.8089	-1	0.0248	0.6226	0.1350	0.0265	21.5626	2.3685	2.9039	21.6923	21.7573	1.6938	0.0000	0.0000	0.0000	0.5908	0.0000	2.2024	0.6405	0.0000	0.0000	36.0509	6.3717	6.0062	36.6096	36.5478	4.5756	0.0000	0.0000	0.0000	1.7576	0.0000	3.7594	1.5622	0.0000	0.0000	24.7502	2.1423	3.0120	24.8427	24.9328	2.2004	0.0000	0.0000	0.0000	0.4398	0.0000	1.9564	0.4965	0.0000	0.0000	59.0875	7.4576	10.2610	59.5563	59.9719	9.7480	0.0000	0.0000	0.0000	0.8965	0.0000	2.9161	1.0034	0.0000	0.0000	57.7429	12.2773	12.0575	59.0336	58.9883	11.7667	0.0000	0.0000	0.0000	1.4876	0.0000	2.8881	1.3125	0.0000	0.0000
10	-2.0096	-1.8840	0.6931	-1	0.0526	0.5854	0.0271	0.0279	26.8580	5.8219	5.9542	27.4817	27.5100	4.7765	0.0000	0.0000	0.0000	1.0981	0.0000	3.3229	1.0147	0.0000	0.1063	49.1082	9.7876	10.5332	50.0740	50.2251	4.2792	0.0000	0.0000	0.0000	4.7456	0.0000	7.3054	3.9344	0.0000	1.4004	30.7675	7.2160	7.0126	31.6024	31.5566	6.3579	0.0000	0.0000	0.0000	0.8521	0.0000	3.2007	0.8223	0.0000	0.0000	99.7540	18.3240	21.7506	101.4230	102.0977	21.7354	0.0000	0.0000	0.0000	0.2260	0.0000	0.7364	0.2690	0.0000	0.0000	101.7509	8.6504	10.7127	102.1179	102.3133	10.6699	0.0000	0.0000	0.0000	0.2290	0.0000	0.8911	0.2722	0.0000	0.0000
