Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	15.4040	15.0000	5.7925	9.0593	0.2309	0.3214	4.2828	10.2074	7.6693	11.0695	8.7841	0.3445	0.0000	0.0000	0.0000	0.1464	0.0000	0.6481	0.2581	0.6916	10.1667	5.2357	9.0591	5.8617	10.4633	7.8595	0.4547	0.0000	0.0000	0.0000	0.1895	0.0000	0.7988	0.3217	0.7493	8.9734	6.2712	11.2180	8.6617	12.8519	10.6936	0.9975	0.0000	0.0000	0.0000	0.1213	0.0000	0.5530	0.2204	0.2893	11.1611	50.2573	15.2659	30.1881	52.5246	58.6269	7.8383	0.0000	0.0000	0.0000	0.0812	0.0000	0.8022	0.1719	20.6059	20.6059	26.0941	2.1794	5.3617	26.1849	26.6392	1.9740	0.0000	0.0000	0.0000	0.1271	0.0000	0.5040	0.2377	3.1782	3.9101
2	50.0000	100.0000	107.5657	117.0000	87.0590	18.0402	0.6333	1.8333	2.0647	9.1825	8.9207	9.4118	9.1565	0.2572	0.0000	0.0000	0.0000	0.1733	0.0000	0.7622	0.2935	0.2049	9.1409	2.3666	8.1817	8.9683	8.5171	9.2753	0.2888	0.0000	0.0000	0.0000	0.1839	0.0000	0.8092	0.3089	0.2122	8.9182	4.4179	14.0300	9.1644	14.7092	10.1737	0.6656	0.0000	0.0000	0.0000	0.1247	0.0000	0.5450	0.2220	0.2820	13.9985	27.2479	6.8051	1.8411	28.0849	27.3101	1.7029	0.0000	0.0000	0.0000	0.1407	0.0000	0.6392	0.2529	0.0000	6.5832	8.1120	10.6453	7.7020	13.3838	11.1859	2.3463	0.0000	0.0000	0.0000	0.1624	0.0000	0.7088	0.2807	1.0377	10.3021
3	100.0000	150.0000	454.2471	569.0000	404.2021	39.4385	2.0137	8.5928	1.0498	8.0480	7.4583	8.1162	7.5318	0.1686	0.0000	0.0000	0.0000	0.1592	0.0000	0.6030	0.2785	0.3381	8.0145	1.1379	8.1223	7.3453	8.2016	7.4329	0.0950	0.0000	0.0000	0.0000	0.1631	0.0000	0.6159	0.2850	0.2948	8.0901	2.9843	7.4499	7.8152	8.0254	8.3656	0.9518	0.0000	0.0000	0.0000	0.1242	0.0000	0.4784	0.2196	1.0290	7.7169	14.8668	5.6862	7.9078	15.9171	16.8391	3.4425	0.0000	0.0000	0.0000	0.1247	0.0000	0.5671	0.2270	2.3868	6.9408	3.8845	8.5882	11.4819	9.4258	12.1212	0.5845	0.0000	0.0000	0.0000	0.1463	0.0000	0.5775	0.2584	0.8093	11.4266
4	150.0000	200.0000	594.6587	721.0000	541.6005	34.6431	2.5810	15.8341	0.9275	6.9397	6.7946	7.0014	6.8576	0.2054	0.0000	0.0000	0.0000	0.1710	0.0000	0.5796	0.2813	0.2548	6.9036	0.9914	7.0969	6.9022	7.1658	6.9730	0.2788	0.0000	0.0000	0.0000	0.1736	0.0000	0.5877	0.2857	0.2623	7.0583	3.2505	4.6003	4.4965	5.6328	5.5483	0.5910	0.0000	0.0000	0.0000	0.1369	0.0000	0.4740	0.2244	0.1741	4.5414	13.8038	6.6789	2.9337	15.3346	14.1121	2.1365	0.0000	0.0000	0.0000	0.1268	0.0000	0.4416	0.2191	1.6312	6.0928	2.7970	6.9460	9.0366	7.4880	9.4596	0.2279	0.0000	0.0000	0.0000	0.1619	0.0000	0.5577	0.2654	0.6557	8.9874
5	200.0000	250.0000	555.1722	661.0000	515.4239	20.4018	1.6235	17.7231	0.9819	6.1901	5.8507	6.2675	5.9325	0.1592	0.0000	0.0000	0.0000	0.2058	0.0000	0.6446	0.3062	0.1764	6.1414	1.0281	6.2496	5.9228	6.3335	6.0114	0.1802	0.0000	0.0000	0.0000	0.2074	0.0000	0.6496	0.3089	0.1938	6.1999	5.1714	4.2653	3.0925	6.7034	6.0255	0.0309	0.0000	0.0000	0.0000	0.1811	0.0000	0.5540	0.2609	0.2703	4.2171	17.8948	6.2453	5.5015	18.9533	18.7214	3.8877	0.0000	0.0000	0.0000	0.1797	0.0000	0.5792	0.2604	3.5817	4.8430	3.7322	6.8176	7.2659	7.7723	8.1684	0.2442	0.0000	0.0000	0.0000	0.1914	0.0000	0.6109	0.2845	0.5815	7.2078
6	250.0000	300.0000	458.6315	550.0000	433.3340	7.6615	1.4125	16.2236	1.0769	5.7802	6.0718	5.8797	6.1665	0.2610	0.0000	0.0000	0.0000	0.2860	0.0000	0.8555	0.3628	0.0444	5.9882	1.1276	5.8139	6.1254	5.9223	6.2283	0.2455	0.0000	0.0000	0.0000	0.2875	0.0000	0.8597	0.3645	0.0489	6.0425	6.6754	4.5353	3.9937	8.0703	7.7788	2.0930	0.0000	0.0000	0.0000	0.2391	0.0000	0.7325	0.3079	1.2367	3.9359	19.0986	8.9940	6.5492	21.1104	20.1903	8.6409	0.0000	0.0000	0.0000	0.2477	0.0000	0.8194	0.3292	0.0000	2.3207	2.6225	5.9514	6.2745	6.5036	6.8005	0.2028	0.0000	0.0000	0.0000	0.2723	0.0000	0.8041	0.3478	0.3142	6.1966
7	300.0000	350.0000	364.0465	437.0000	343.7056	3.7261	0.5576	16.0572	1.2064	5.9054	5.1308	6.0274	5.2707	0.2356	0.0000	0.0000	0.0000	0.3597	0.0000	1.0511	0.4175	0.3022	5.7722	1.2665	5.8998	5.1652	6.0342	5.3182	0.2440	0.0000	0.0000	0.0000	0.3609	0.0000	1.0535	0.4189	0.3188	5.7646	9.8637	1.3507	1.2409	9.9558	9.9415	0.2304	0.0000	0.0000	0.0000	0.3089	0.0000	0.9442	0.3658	0.0000	0.8389	29.3018	10.5724	9.6587	31.1508	30.8526	3.0192	0.0000	0.0000	0.0000	0.3684	0.0000	1.0724	0.4108	0.0000	10.0601	2.6172	7.0338	5.2545	7.5049	5.8702	0.2572	0.0000	0.0000	0.0000	0.3450	0.0000	1.0246	0.4015	0.2070	6.9308
8	350.0000	400.0000	283.8050	316.0000	266.8339	2.0207	0.5067	14.4437	1.3873	4.8542	5.0614	5.0485	5.2481	0.2955	0.0000	0.0000	0.0000	0.3925	0.0000	1.1412	0.4417	0.0631	4.8942	1.4635	4.8630	5.0579	5.0784	5.2653	0.3366	0.0000	0.0000	0.0000	0.3938	0.0000	1.1448	0.4427	0.0704	4.8886	13.0313	2.5111	1.6010	13.2710	13.1293	2.0994	0.0000	0.0000	0.0000	0.3135	0.0000	0.9119	0.3852	0.0000	0.9053	31.4520	1.2680	1.5006	31.4776	31.4878	0.9911	0.0000	0.0000	0.0000	0.3593	0.0000	0.9919	0.4063	0.0000	0.0000	2.7408	5.4133	5.9998	6.0676	6.5962	0.2617	0.0000	0.0000	0.0000	0.3800	0.0000	1.1119	0.4315	0.3192	5.8543
9	400.0000	450.0000	183.4191	189.0000	172.5319	0.7852	0.2795	9.8225	1.6802	2.9254	3.0279	3.3736	3.4628	0.3199	0.0000	0.0000	0.0000	0.4154	0.0000	1.2076	0.4604	0.1618	2.7014	1.7729	2.8994	3.0204	3.3985	3.5022	0.3446	0.0000	0.0000	0.0000	0.4167	0.0000	1.2108	0.4615	0.1758	2.6886	20.5858	1.2328	6.0420	20.6227	21.4542	0.2078	0.0000	0.0000	0.0000	0.3678	0.0000	1.0821	0.4126	0.0000	5.9195	41.5345	7.1839	9.3864	42.1512	42.5819	9.3114	0.0000	0.0000	0.0000	0.3478	0.0000	1.0664	0.3917	0.0000	0.0000	3.2505	3.7065	3.0392	4.9299	4.4500	0.1850	0.0000	0.0000	0.0000	0.3986	0.0000	1.1650	0.4471	0.1903	3.4571
10	450.0000	500.0000	79.5077	91.0000	74.5527	0.2511	0.0521	4.6517	2.4761	2.5001	2.9501	3.5187	3.8515	0.8879	0.0000	0.0000	0.0000	0.3985	0.0000	1.1998	0.4438	0.2147	2.4926	2.6207	2.5280	2.9412	3.6412	3.9394	0.8339	0.0000	0.0000	0.0000	0.3987	0.0000	1.2026	0.4440	0.2087	2.5064	34.8878	1.6891	1.7667	34.9287	34.9325	1.2460	0.0000	0.0000	0.0000	0.4203	0.0000	1.0974	0.4453	0.0000	0.0000	99.3820	6.4705	9.0588	99.5924	99.7940	8.7113	0.0000	0.0000	0.0000	0.7617	0.0000	2.2913	0.6843	0.0000	0.0000	4.7091	2.4845	3.4981	5.3243	5.8662	2.1360	0.0000	0.0000	0.0000	0.3896	0.0000	1.1488	0.4389	0.3241	2.4329
