Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	37.3788	60.0000	32.9535	3.2656	0.1288	1.0309	3.8760	11.7158	9.4245	12.3403	10.1904	0.9227	0.0000	0.0000	0.0000	0.2173	0.0000	0.6888	0.3039	1.1709	11.5941	4.2505	12.0340	8.8604	12.7626	9.8272	0.8326	0.0000	0.0000	0.0000	0.2262	0.0000	0.7065	0.3122	1.2989	11.9076	10.6234	6.9220	12.4146	12.6795	16.3395	2.0138	0.0000	0.0000	0.0000	0.1271	0.0000	0.5175	0.2192	0.3494	12.2473	61.1610	2.6899	49.8941	61.2201	78.9309	5.3377	0.0000	0.0000	0.0000	0.0862	0.0000	0.4854	0.1643	0.0000	49.6050	9.9588	18.9126	13.1837	21.3744	16.5223	1.1312	0.0000	0.0000	0.0000	0.2357	0.0000	0.6896	0.3222	0.4084	18.8575
3	-2.3000	-2.2000	41.8014	62.0000	37.5437	2.7494	0.2407	1.2676	3.6551	7.7020	11.2266	8.5253	11.8066	0.6960	0.0000	0.0000	0.0000	0.1999	0.0000	0.6615	0.2904	0.5782	11.1651	3.9456	7.3468	11.2276	8.3393	11.9008	0.4544	0.0000	0.0000	0.0000	0.2050	0.0000	0.6767	0.2959	0.6649	11.1726	12.3506	11.9314	7.4950	17.1725	14.4469	3.9620	0.0000	0.0000	0.0000	0.1295	0.0000	0.4539	0.2165	0.6600	11.2230	43.5905	9.5373	33.6451	44.6216	55.0648	9.7100	0.0000	0.0000	0.0000	0.0915	0.0000	0.5563	0.1669	0.0000	32.2082	9.2460	11.4385	16.3310	14.7081	18.7667	1.7914	0.0000	0.0000	0.0000	0.2212	0.0000	0.6815	0.3120	0.8041	16.2405
4	-2.2000	-2.1000	43.1693	62.0000	38.8707	2.6877	0.2759	1.3350	3.5783	7.1869	8.0191	8.0284	8.7812	0.8926	0.0000	0.0000	0.0000	0.2270	0.0000	0.7404	0.3198	0.3378	7.9345	3.8729	6.9859	8.3035	7.9876	9.1623	1.0216	0.0000	0.0000	0.0000	0.2329	0.0000	0.7541	0.3264	0.5303	8.1968	11.3642	12.1552	5.2710	16.6401	12.5271	1.2979	0.0000	0.0000	0.0000	0.1449	0.0000	0.5598	0.2325	2.8836	11.7461	40.1779	2.4725	1.8919	40.2539	40.2224	2.3516	0.0000	0.0000	0.0000	0.1469	0.0000	0.7165	0.2197	0.0000	0.0000	8.9326	5.8818	7.7469	10.6952	11.8239	1.2432	0.0000	0.0000	0.0000	0.2364	0.0000	0.7112	0.3233	0.3484	7.7026
5	-2.1000	-2.0000	46.2171	57.0000	41.7484	2.9362	0.0997	1.4328	3.4640	7.6852	6.9294	8.4298	7.7470	0.4676	0.0000	0.0000	0.0000	0.2395	0.0000	0.7548	0.3281	0.1510	7.6222	3.7384	7.2266	6.9041	8.1363	7.8512	0.3597	0.0000	0.0000	0.0000	0.2472	0.0000	0.7751	0.3369	0.2138	7.1669	10.9933	12.9672	5.3782	17.0000	12.2384	2.5607	0.0000	0.0000	0.0000	0.1209	0.0000	0.4779	0.2049	4.2007	11.9859	61.2046	60.4369	1.6182	86.0152	61.2260	5.0876	0.0000	0.0000	0.0000	0.1190	0.0000	0.3155	0.1854	0.0000	60.2211	9.6823	8.4409	11.8019	12.8451	15.2654	1.0408	0.0000	0.0000	0.0000	0.2670	0.0000	0.7610	0.3337	0.8631	11.7697
6	-2.0000	-1.9000	47.9205	65.0000	43.4214	2.9676	0.0654	1.4661	3.3384	6.0439	5.5422	6.9046	6.4700	0.7449	0.0000	0.0000	0.0000	0.2352	0.0000	0.7610	0.3249	0.4193	5.9210	3.5968	5.9001	5.2962	6.9100	6.4021	0.6234	0.0000	0.0000	0.0000	0.2409	0.0000	0.7768	0.3308	0.5209	5.7792	10.7563	9.8536	10.4362	14.5874	14.9871	2.2674	0.0000	0.0000	0.0000	0.1511	0.0000	0.5410	0.2446	2.3209	10.1094	71.5905	18.6803	0.4718	73.9875	71.5920	18.6743	0.0000	0.0000	0.0000	0.1273	0.0000	0.3974	0.2221	0.0000	0.0000	8.6396	4.0447	3.7252	9.5395	9.4085	1.0281	0.0000	0.0000	0.0000	0.2399	0.0000	0.7532	0.3154	1.4084	3.5771
7	-1.9000	-1.8000	56.6762	72.0000	51.2848	3.6669	0.0650	1.6595	3.0950	6.5503	4.3732	7.2446	5.3576	0.0505	0.0000	0.0000	0.0000	0.2591	0.0000	0.8056	0.3527	0.6286	6.4619	3.3358	6.8371	3.8706	7.6075	5.1097	0.1817	0.0000	0.0000	0.0000	0.2645	0.0000	0.8181	0.3588	0.7035	6.7349	9.8022	3.8511	11.5505	10.5315	15.1492	2.1725	0.0000	0.0000	0.0000	0.1672	0.0000	0.6398	0.2532	1.2053	11.3313	100.0000	5.6173	8.4249	100.1576	100.3543	8.4131	0.0000	0.0000	0.0000	0.1432	0.0000	0.3690	0.2063	0.0000	0.0000	7.8048	6.2324	5.2244	9.9879	9.3920	2.3210	0.0000	0.0000	0.0000	0.2997	0.0000	0.8035	0.3896	1.2223	5.7069
8	-1.8000	-1.7000	57.7784	61.0000	52.2256	3.4404	0.4484	1.6640	3.0360	3.2412	5.0129	4.4410	5.8605	0.5950	0.0000	0.0000	0.0000	0.2840	0.0000	0.8385	0.3642	0.8702	4.8120	3.2705	3.1354	5.0730	4.5307	6.0359	0.7492	0.0000	0.0000	0.0000	0.2933	0.0000	0.8602	0.3733	0.8654	4.8509	10.0836	5.5586	4.3217	11.5142	10.9707	1.0077	0.0000	0.0000	0.0000	0.1403	0.0000	0.5116	0.2257	1.1612	5.3202	32.7529	3.8096	17.4320	32.9737	37.1029	4.3669	0.0000	0.0000	0.0000	0.1666	0.0000	0.4815	0.2844	10.7181	13.0225	7.9762	4.8632	3.4203	9.3419	8.6786	2.1007	0.0000	0.0000	0.0000	0.3202	0.0000	0.9292	0.3897	0.1629	4.2537
9	-1.7000	-1.6000	61.3647	72.0000	56.2450	2.8188	0.3359	1.9650	2.9359	3.7452	4.1969	4.7588	5.1219	0.9533	0.0000	0.0000	0.0000	0.2485	0.0000	0.7867	0.3402	0.6123	3.9735	3.1365	3.7043	4.3308	4.8538	5.3473	0.8720	0.0000	0.0000	0.0000	0.2537	0.0000	0.8001	0.3461	0.5125	4.1340	10.9126	9.3161	2.4535	14.3484	11.1850	2.8216	0.0000	0.0000	0.0000	0.1274	0.0000	0.4875	0.2118	2.0610	8.6187	37.8320	1.9671	25.4032	37.8831	45.5695	2.1850	0.0000	0.0000	0.0000	0.2272	0.0000	0.6621	0.2888	17.8882	17.8882	7.7146	1.7518	3.9437	7.9110	8.6642	1.5383	0.0000	0.0000	0.0000	0.2792	0.0000	0.8554	0.3614	0.6962	3.4985
10	-1.6000	-1.5000	67.4264	81.0000	61.4659	3.8106	0.1077	2.0421	2.7958	4.4482	3.9403	5.2539	4.8314	0.6978	0.0000	0.0000	0.0000	0.2800	0.0000	0.8285	0.3653	0.2299	4.3244	2.9948	4.3999	4.0561	5.3224	5.0419	0.8611	0.0000	0.0000	0.0000	0.2883	0.0000	0.8479	0.3733	0.0738	4.2606	9.8024	4.9044	2.1566	10.9609	10.0369	1.1697	0.0000	0.0000	0.0000	0.1544	0.0000	0.5169	0.2465	2.1566	4.2908	63.9322	19.4531	15.2062	66.8263	65.7157	19.4422	0.0000	0.0000	0.0000	0.2152	0.0000	0.5372	0.2976	0.0000	0.0000	7.0902	6.8207	5.5243	9.8383	8.9882	0.3606	0.0000	0.0000	0.0000	0.2677	0.0000	0.8428	0.3497	1.6748	6.5332
11	-1.5000	-1.4000	66.3584	83.0000	61.0233	2.7081	0.3014	2.3256	2.8034	3.5374	4.1824	4.5136	5.0350	0.1449	0.0000	0.0000	0.0000	0.2947	0.0000	0.8631	0.3783	0.2092	4.0588	2.9871	3.8044	3.9672	4.8370	4.9660	0.0833	0.0000	0.0000	0.0000	0.3013	0.0000	0.8798	0.3852	0.1726	3.8343	11.2625	1.3932	6.3979	11.3483	12.9528	1.2836	0.0000	0.0000	0.0000	0.1418	0.0000	0.4693	0.2302	0.0000	6.3642	40.6399	2.1972	2.1619	40.6992	40.6973	2.0550	0.0000	0.0000	0.0000	0.1204	0.0000	0.7407	0.2042	0.0000	0.0000	7.4451	1.2050	8.0273	7.5419	10.9483	0.7665	0.0000	0.0000	0.0000	0.3216	0.0000	0.9004	0.3929	1.4411	7.7919
