Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	60.5812	80.0000	55.7592	2.6653	0.2731	1.8835	2.8931	12.4802	9.9442	12.8111	10.3565	0.4324	0.0000	0.0000	0.0000	0.3228	0.0000	0.8995	0.4065	3.2172	12.0058	3.0773	12.1909	9.7427	12.5733	10.2172	0.3888	0.0000	0.0000	0.0000	0.3269	0.0000	0.9094	0.4117	2.2972	11.9200	11.5306	11.2550	27.6621	16.1130	29.9691	0.2734	0.0000	0.0000	0.0000	0.1632	0.0000	0.5749	0.2429	3.6817	27.4071	44.1415	30.8723	2.5688	53.8662	44.2162	2.5020	0.0000	0.0000	0.0000	0.1617	0.0000	0.5066	0.2397	21.7624	21.7624	7.2407	35.0162	2.7207	35.7570	7.7350	2.3855	0.0000	0.0000	0.0000	0.4521	0.0000	1.1220	0.5096	31.7102	14.6698
2	-3.0144	-2.8888	60.6574	69.0000	55.7323	2.9288	0.0642	1.9321	2.8667	5.4238	3.7390	6.1348	4.7115	0.7735	0.0000	0.0000	0.0000	0.2909	0.0000	0.8766	0.3752	2.6032	5.2750	3.0543	5.2155	4.1511	6.0440	5.1537	0.8408	0.0000	0.0000	0.0000	0.2946	0.0000	0.8875	0.3795	2.9701	5.0474	10.8203	7.8703	0.5815	13.3799	10.8360	0.5128	0.0000	0.0000	0.0000	0.1384	0.0000	0.5216	0.2200	3.0711	7.2047	100.0000	91.7461	3.9673	135.7106	100.0787	3.8463	0.0000	0.0000	0.0000	0.1817	0.0000	0.9179	0.2800	0.0000	91.7409	7.6125	6.3126	6.8445	9.8894	10.2371	1.3075	0.0000	0.0000	0.0000	0.4185	0.0000	1.0983	0.4897	2.9100	6.0430
3	-2.8888	-2.7632	65.4344	64.0000	59.4417	3.0615	0.3362	2.5950	2.9122	3.1906	11.5737	4.3198	11.9344	1.1126	0.0000	0.0000	0.0000	0.2835	0.0000	0.8596	0.3670	0.9035	11.4629	3.0235	3.5846	10.3656	4.6895	10.7976	1.0179	0.0000	0.0000	0.0000	0.2868	0.0000	0.8704	0.3696	0.6356	10.2885	10.8983	9.2105	18.1533	14.2690	21.1735	0.6590	0.0000	0.0000	0.0000	0.1703	0.0000	0.5900	0.2700	2.8051	17.9107	41.2542	8.6099	38.7216	42.1431	56.5798	10.1216	0.0000	0.0000	0.0000	0.2145	0.0000	0.6886	0.2968	0.0000	37.3673	20.0408	4.5398	34.6202	20.5485	40.0024	4.4040	0.0000	0.0000	0.0000	0.3496	0.0000	0.9520	0.4309	20.8290	27.4019
4	-2.7632	-2.6376	62.9387	71.0000	58.3810	2.3182	0.0440	2.1955	2.8864	5.4929	3.0417	6.2051	4.1932	0.7704	0.0000	0.0000	0.0000	0.3064	0.0000	0.8936	0.3845	1.7286	5.3421	3.0607	6.1927	3.4298	6.9078	4.5969	0.8205	0.0000	0.0000	0.0000	0.3066	0.0000	0.8982	0.3848	1.7170	6.0521	12.3872	7.4856	1.9288	14.4733	12.5365	1.9879	0.0000	0.0000	0.0000	0.1653	0.0000	0.5406	0.2611	2.8549	6.5988	70.7174	246.4757	28.9476	256.4200	76.4128	28.9356	0.0000	0.0000	0.0000	0.3205	0.0000	0.5868	0.4993	0.0000	245.0924	7.0614	1.7797	7.7144	7.2822	10.4583	1.2529	0.0000	0.0000	0.0000	0.4485	0.0000	1.1521	0.5046	2.1814	7.1703
5	-2.6376	-2.5120	64.4834	72.0000	60.3437	1.9635	0.1991	1.9771	2.8153	7.6593	6.1451	8.1603	6.7593	0.6691	0.0000	0.0000	0.0000	0.3059	0.0000	0.8899	0.3876	1.7940	7.3459	2.9659	6.9022	6.4307	7.5124	7.0817	0.6768	0.0000	0.0000	0.0000	0.3039	0.0000	0.8883	0.3871	1.7519	6.5636	12.8197	26.1610	2.7417	29.1332	13.1096	2.0744	0.0000	0.0000	0.0000	0.1828	0.0000	0.6208	0.2705	5.1424	25.5570	45.3001	2.3554	17.0729	45.3613	48.4105	2.0079	0.0000	0.0000	0.0000	0.3617	0.0000	1.1163	0.3731	0.0000	16.9802	7.3456	30.0353	1.7601	30.9205	7.5535	1.0965	0.0000	0.0000	0.0000	0.4819	0.0000	1.1836	0.5203	25.8606	15.1883
6	-2.5120	-2.3864	64.2814	81.0000	58.9890	2.9036	0.1996	2.1892	2.8354	7.2135	4.3528	7.7507	5.1948	0.1742	0.0000	0.0000	0.0000	0.2973	0.0000	0.8871	0.3845	0.7250	7.1386	3.0272	7.5644	4.0731	8.1477	5.0749	0.0593	0.0000	0.0000	0.0000	0.3042	0.0000	0.9033	0.3924	0.8311	7.4884	11.0611	4.9568	9.8680	12.1210	14.8232	2.6570	0.0000	0.0000	0.0000	0.1313	0.0000	0.5111	0.2139	3.7713	8.7048	37.9455	15.4370	18.6828	40.9654	42.2955	15.4287	0.0000	0.0000	0.0000	0.1175	0.0000	0.4511	0.1907	6.5494	12.5981	7.0986	4.0825	7.1910	8.1888	10.1045	0.3899	0.0000	0.0000	0.0000	0.3494	0.0000	0.9904	0.4157	2.3566	7.0918
7	-2.3864	-2.2608	65.2571	76.0000	59.5577	3.2291	0.1008	2.3694	2.9847	4.4220	10.0809	5.3351	10.5134	0.1034	0.0000	0.0000	0.0000	0.3212	0.0000	0.9207	0.4038	0.9274	10.0258	3.2085	4.4570	10.8902	5.4917	11.3530	0.1209	0.0000	0.0000	0.0000	0.3318	0.0000	0.9423	0.4144	0.9487	10.8367	10.3431	3.5845	10.5046	10.9467	14.7420	0.3519	0.0000	0.0000	0.0000	0.1348	0.0000	0.5119	0.2215	0.2840	10.4888	58.6123	53.7856	72.3479	79.5505	93.1108	15.3811	0.0000	0.0000	0.0000	0.2235	0.0000	0.6940	0.3835	12.9646	70.6892	6.9429	13.6601	1.9061	15.3233	7.1998	0.8376	0.0000	0.0000	0.0000	0.3139	0.0000	0.9433	0.3864	1.4495	13.5691
8	-2.2608	-2.1352	65.0274	78.0000	60.1815	2.5208	0.0540	2.2710	2.8017	3.6444	3.8651	4.5969	4.7738	1.0542	0.0000	0.0000	0.0000	0.3207	0.0000	0.9271	0.4076	0.5733	3.6015	2.9733	3.6636	4.0983	4.7184	5.0633	1.1410	0.0000	0.0000	0.0000	0.3278	0.0000	0.9411	0.4147	0.6325	3.8210	11.7830	5.6044	4.6083	13.0480	12.6522	0.3087	0.0000	0.0000	0.0000	0.1666	0.0000	0.5801	0.2541	5.5574	0.8878	144.5240	222.3955	6.1467	265.2300	144.6546	6.1447	0.0000	0.0000	0.0000	0.0640	0.0000	0.1445	0.0276	67.4320	211.9187	6.6965	8.6423	6.0282	10.9330	9.0101	0.3574	0.0000	0.0000	0.0000	0.3133	0.0000	0.9612	0.3998	3.7068	7.7226
9	-2.1352	-2.0096	65.1454	86.0000	60.2537	2.7340	0.1527	2.0051	2.8220	10.5682	8.8243	10.9385	9.2646	0.4605	0.0000	0.0000	0.0000	0.2999	0.0000	0.8833	0.3867	1.5864	10.3916	2.9937	10.7767	8.6965	11.1848	9.1974	0.5282	0.0000	0.0000	0.0000	0.3032	0.0000	0.8904	0.3902	1.9657	10.5389	11.5017	6.0266	12.1258	12.9849	16.7130	0.9898	0.0000	0.0000	0.0000	0.1539	0.0000	0.5889	0.2422	6.2425	10.3723	48.3617	22.9485	24.9878	53.5302	54.4356	8.0389	0.0000	0.0000	0.0000	0.3402	0.0000	0.7389	0.5123	23.8742	21.4729	7.3332	11.3872	11.0702	13.5441	13.2788	1.3740	0.0000	0.0000	0.0000	0.3978	0.0000	1.0827	0.4687	3.5205	11.2352
10	-2.0096	-1.8840	64.3813	76.0000	59.4976	2.6556	0.1241	2.1040	2.8236	1.7742	4.0971	3.3348	4.9758	0.7847	0.0000	0.0000	0.0000	0.3038	0.0000	0.9058	0.3890	0.8335	3.7972	2.9907	1.6743	4.4731	3.4275	5.3808	0.9061	0.0000	0.0000	0.0000	0.3093	0.0000	0.9158	0.3946	0.9715	4.1426	12.4382	5.1538	4.7567	13.4637	13.3167	1.8550	0.0000	0.0000	0.0000	0.1449	0.0000	0.5492	0.2270	1.1723	4.6525	70.7111	33.0812	51.8419	78.0669	87.6792	14.3052	0.0000	0.0000	0.0000	0.2056	0.0000	1.0168	0.2652	0.0000	49.8177	6.9941	14.8164	2.7637	16.3843	7.5204	1.4831	0.0000	0.0000	0.0000	0.3553	0.0000	1.0678	0.4420	0.8765	14.6760
