Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.0128	0.0000	0.0000	0.0000	0.0000	0.0128	100.0000	44.7283	147.2430	109.5474	177.9902	44.7258	0.0000	0.0000	0.0000	0.0711	0.0000	0.4414	0.1509	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	44.7283	147.2430	109.5474	177.9902	44.7258	0.0000	0.0000	0.0000	0.0711	0.0000	0.4414	0.1509	100.0000	100.0000
2	-4.8000	-4.6000	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	100.0000	10383.2732	25.3259	10383.7548	103.1572	25.1877	0.0000	0.0000	0.0000	1.5393	0.0000	1.5150	1.5487	257.0562	10380.0677	100.0000	21.9176	103.1572	102.3737	143.6712	25.1877	0.0000	0.0000	0.0000	1.5393	0.0000	1.5150	1.5487	0.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-4.6000	-4.4000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0010	63.1349	7.9180	62.8530	63.6295	89.0871	7.9061	0.0000	0.0000	0.0000	0.1312	0.0000	0.3597	0.2037	51.3954	35.6350	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.1349	7.9180	71.0145	63.6295	95.0215	7.9061	0.0000	0.0000	0.0000	0.1312	0.0000	0.3597	0.2037	51.3954	48.6046
4	-4.4000	-4.2000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0004	100.0000	129.3465	9.2790	163.4947	100.4296	9.2570	0.0000	0.0000	0.0000	0.1379	0.0000	0.5895	0.2087	129.1956	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	129.3465	9.2790	163.4947	100.4296	9.2570	0.0000	0.0000	0.0000	0.1379	0.0000	0.5895	0.2087	129.1956	0.0000
7	-3.8000	-3.6000	0.0818	0.0000	0.0000	0.0471	0.0347	0.0001	71.4176	1.3655	57.5560	71.4306	91.7233	2.4868	0.0000	0.0000	0.0000	0.0846	0.0000	1.0309	0.1707	0.0000	57.4928	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	11.3239	100.8323	100.6391	142.0111	12.8859	0.0000	0.0000	0.0000	0.0846	0.0000	1.0319	0.1707	0.0000	100.0000	100.0000	11.8141	13.9945	100.6954	100.9745	13.9552	0.0000	0.0000	0.0000	0.0846	0.0000	1.0319	0.1707	0.0000	0.0000	100.0000	391.9968	45.8201	404.5510	109.9977	89.3921	0.0000	0.0000	0.0000	0.0908	0.0000	0.2654	0.1852	0.0000	381.6680
8	-3.6000	-3.4000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0007	126.0348	2054.4739	14.1866	2058.3362	126.8307	16.3223	0.0000	0.0000	0.0000	0.0685	0.0000	0.0700	0.0228	0.0000	2054.4091	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	126.0348	16.3226	61.4954	127.0873	140.2371	16.3223	0.0000	0.0000	0.0000	0.0685	0.0000	0.0700	0.0228	0.0000	60.8383
11	-3.0000	-2.8000	0.0016	0.0000	0.0000	0.0000	0.0000	0.0016	72.7534	12.4288	31.1280	73.8074	79.1329	10.2923	0.0000	0.0000	0.0000	0.1756	0.0000	0.4366	0.2980	0.0000	30.5763	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	72.7534	12.4288	31.1280	73.8074	79.1329	10.2923	0.0000	0.0000	0.0000	0.1756	0.0000	0.4366	0.2980	0.0000	30.5763
12	-2.8000	-2.6000	0.1473	0.0000	0.0002	0.0000	0.1009	0.0462	55.5050	2.2961	4.6394	55.5525	55.6986	4.5915	0.0000	0.0000	0.0000	0.1134	0.0000	0.3058	0.1810	0.3273	0.5507	95.6335	15.3807	15.7361	96.8624	96.9195	15.7146	0.0000	0.0000	0.0000	0.1301	0.0000	0.7848	0.2230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	73.4214	0.3378	1.4836	73.4222	73.4364	1.4447	0.0000	0.0000	0.0000	0.1005	0.0000	0.2745	0.1693	0.0000	0.0000	74.7255	9.7181	11.6737	75.3548	75.6318	11.5323	0.0000	0.0000	0.0000	0.1417	0.0000	0.3727	0.2062	1.0432	1.7555
13	-2.6000	-2.4000	0.1123	1.0000	0.0001	0.0000	0.1096	0.0026	61.2536	4.0705	2.9853	61.3887	61.3263	3.9415	0.0000	0.0000	0.0000	0.2156	0.0000	0.4936	0.3703	0.7230	1.1772	95.3960	27.9468	24.5761	99.4053	98.5108	27.8194	0.0000	0.0000	0.0000	1.5693	0.0000	1.6096	1.4302	4.7209	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.7409	4.2918	2.9054	62.8876	62.8082	4.2430	0.0000	0.0000	0.0000	0.2133	0.0000	0.4850	0.3688	0.0000	0.0000	62.6199	35.6897	61.4466	72.0764	87.7322	10.2678	0.0000	0.0000	0.0000	0.2455	0.0000	0.8021	0.3791	31.5205	51.7289
14	-2.4000	-2.2000	0.1359	0.0000	0.0000	0.0361	0.0706	0.0292	45.0526	47.2250	14.8404	65.2682	47.4339	2.3740	0.0000	0.0000	0.0000	0.1092	0.0000	0.6094	0.1846	11.0773	45.8415	74.1374	13.5454	3.9082	75.3647	74.2404	3.7394	0.0000	0.0000	0.0000	0.1375	0.0000	1.1109	0.2269	13.4863	0.0000	100.0000	6.3006	100.4330	100.1983	141.7279	9.2570	0.0000	0.0000	0.0000	0.0846	0.0000	1.0319	0.1707	0.0000	100.0000	62.4672	87.7920	0.4483	107.7478	62.4688	6.2342	0.0000	0.0000	0.0000	0.1301	0.0000	0.3822	0.1962	20.6394	85.1022	76.8385	8.3629	5.6212	77.2923	77.0439	5.5820	0.0000	0.0000	0.0000	0.0891	0.0000	0.6357	0.1738	1.6645	7.6387
15	-2.2000	-2.0000	0.1223	0.0000	0.0045	0.0620	0.0273	0.0285	43.9011	5.7769	19.0088	44.2795	47.8397	5.7406	0.0000	0.0000	0.0000	0.1442	0.0000	0.5858	0.2309	12.0135	14.7172	96.3265	0.4663	5.1214	96.3276	96.4625	3.4607	0.0000	0.0000	0.0000	0.0719	0.0000	0.4348	0.1522	0.0000	3.7464	76.4213	9.2033	9.8076	76.9734	77.0480	9.7906	0.0000	0.0000	0.0000	0.1120	0.0000	0.5314	0.1955	0.0000	0.0000	70.8604	24.7788	75.3188	75.0679	103.4124	24.7680	0.0000	0.0000	0.0000	0.1625	0.0000	0.6581	0.2691	53.2560	53.2560	54.9751	40.5583	28.9279	68.3172	62.1216	40.5515	0.0000	0.0000	0.0000	0.2081	0.0000	0.6585	0.2835	3.4995	21.8952
