Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	109.1935	296.0000	100.6655	4.1381	0.4210	3.9690	3.7785	9.3805	10.7998	10.1129	11.4418	1.3782	0.8430	4.6051	0.7143	0.0000	0.0000	0.0000	0.0000	0.5573	9.7355	4.0637	9.6146	11.1049	10.4381	11.8251	1.7065	0.8450	4.6456	0.7257	0.0000	0.0000	0.0000	0.0000	0.5908	10.0376	10.0715	7.4583	9.3830	12.5324	13.7650	5.1139	0.8094	3.8777	0.4829	0.0000	0.0000	0.0000	0.0000	1.2167	6.7131	60.2300	4.2692	10.5709	60.3811	61.1506	9.7082	0.8495	4.0655	0.8693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.6928	9.5146	7.7233	11.0876	9.5947	1.0195	0.8280	4.3950	0.6507	0.0000	0.0000	0.0000	0.0000	1.6158	8.1546
3	-2.3000	-2.2000	119.9931	304.0000	110.3248	4.6087	0.0964	4.9632	3.9102	8.3993	8.1734	9.2649	9.0606	1.2543	0.8472	4.9465	0.7123	0.0000	0.0000	0.0000	0.0000	0.5717	6.5540	4.2278	8.4868	8.1710	9.4816	9.2000	1.3731	0.8501	5.0105	0.7285	0.0000	0.0000	0.0000	0.0000	0.6377	6.5860	9.4313	6.6643	7.7125	11.5483	12.1833	2.8533	0.8088	3.7208	0.4076	0.0000	0.0000	0.0000	0.0000	1.3130	6.3804	72.7529	14.7517	8.5127	74.2334	73.2492	13.1837	0.6708	6.3303	1.8105	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.1409	9.2327	9.6983	10.5674	10.9766	1.5283	0.8221	4.6367	0.6143	0.0000	0.0000	0.0000	0.0000	0.8664	8.3474
4	-2.2000	-2.1000	137.7734	361.0000	127.5334	4.6522	0.0759	5.5119	3.4841	8.1063	7.7375	8.8234	8.4858	1.0386	0.8436	4.6906	0.7038	0.0000	0.0000	0.0000	0.0000	0.5462	6.4366	3.7417	8.2211	7.8369	9.0326	8.6843	1.1419	0.8454	4.7363	0.7149	0.0000	0.0000	0.0000	0.0000	0.5060	6.5273	9.3160	6.0216	5.8653	11.0927	11.0086	1.0230	0.8122	3.9156	0.4474	0.0000	0.0000	0.0000	0.0000	2.1494	4.3613	100.0000	19.0084	13.9068	101.7906	100.9624	18.5082	0.9053	4.2363	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0475	7.6022	7.6434	9.1253	9.1596	0.2206	0.8281	4.2943	0.6740	0.0000	0.0000	0.0000	0.0000	0.2948	6.2904
5	-2.1000	-2.0000	156.7869	333.0000	145.5819	5.3759	0.1525	5.6766	3.4092	6.9149	7.5162	7.7097	8.2533	0.8839	0.8429	4.6088	0.7109	0.0000	0.0000	0.0000	0.0000	0.4364	5.8595	3.6523	6.7733	7.4247	7.6953	8.2744	0.9386	0.8446	4.6407	0.7239	0.0000	0.0000	0.0000	0.0000	0.4920	5.7074	8.7639	8.9760	8.9172	12.5449	12.5029	0.8907	0.8116	4.1978	0.4274	0.0000	0.0000	0.0000	0.0000	0.4505	7.8808	57.4831	17.6122	13.7421	60.1207	59.1029	16.8508	0.9566	4.7892	1.5457	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.6495	9.6542	9.1362	10.7155	10.2512	0.6779	0.8269	4.1748	0.6250	0.0000	0.0000	0.0000	0.0000	0.1388	8.6252
6	-2.0000	-1.9000	171.0534	447.0000	158.8828	5.5349	0.0507	6.5849	3.2025	6.4678	6.1845	7.2172	6.9645	1.6039	0.8434	4.5462	0.7006	0.0000	0.0000	0.0000	0.0000	0.7140	4.1085	3.4292	6.4958	6.1240	7.3454	7.0187	1.4600	0.8450	4.5723	0.7088	0.0000	0.0000	0.0000	0.0000	0.7761	4.1640	8.6811	7.1947	8.0544	11.2750	11.8421	5.2228	0.8116	4.1412	0.4721	0.0000	0.0000	0.0000	0.0000	0.2126	6.1280	100.0000	12.0561	25.7962	100.7241	103.2736	25.6786	0.9053	2.2165	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.5102	6.3475	6.5729	7.7867	7.9715	1.9558	0.8323	4.2746	0.6955	0.0000	0.0000	0.0000	0.0000	0.1434	4.9266
7	-1.9000	-1.8000	206.3674	448.0000	192.1129	6.6317	0.0436	7.5792	3.0210	6.1549	5.8995	6.8564	6.6280	0.4996	0.8426	4.6838	0.7151	0.0000	0.0000	0.0000	0.0000	0.5033	3.8346	3.2292	6.1923	5.9955	6.9837	6.8098	0.4055	0.8438	4.7285	0.7257	0.0000	0.0000	0.0000	0.0000	0.5064	3.8396	8.0524	5.5151	5.1781	9.7600	9.5736	3.3138	0.8189	3.8154	0.4545	0.0000	0.0000	0.0000	0.0000	0.7478	2.6838	71.0287	4.4612	4.4715	71.1687	71.1693	1.5032	0.8950	4.0765	1.0043	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0837	6.4968	5.4423	7.6737	6.8040	0.4610	0.8321	4.3153	0.6729	0.0000	0.0000	0.0000	0.0000	0.9281	4.7373
8	-1.8000	-1.7000	214.3107	500.0000	199.0502	6.4910	0.3600	8.4094	2.7689	5.7088	5.6605	6.3449	6.3014	0.6448	0.8413	4.5353	0.7182	0.0000	0.0000	0.0000	0.0000	0.1975	3.3224	2.9638	5.7022	5.6505	6.4265	6.3806	0.6073	0.8425	4.5420	0.7280	0.0000	0.0000	0.0000	0.0000	0.1537	3.3056	8.0032	6.2773	5.2683	10.1713	9.5815	2.2464	0.8141	4.2759	0.4629	0.0000	0.0000	0.0000	0.0000	0.4519	3.8721	48.2740	17.1871	23.6603	51.2423	53.7604	16.5619	0.9222	4.4281	0.7993	0.0000	0.0000	0.0000	0.0000	0.0000	18.2894	3.9300	5.7752	5.8508	6.9856	7.0482	1.1462	0.8302	4.5823	0.6800	0.0000	0.0000	0.0000	0.0000	1.0473	3.4416
9	-1.7000	-1.6000	227.7979	471.0000	211.3088	6.8329	0.1172	9.5391	2.6792	6.2927	5.8403	6.8393	6.4255	0.3847	0.8437	4.5753	0.7196	0.0000	0.0000	0.0000	0.0000	0.8672	4.0663	2.8717	6.3911	5.8693	7.0067	6.5342	0.4480	0.8451	4.6007	0.7273	0.0000	0.0000	0.0000	0.0000	0.9451	4.1645	7.9062	5.0713	4.7821	9.3928	9.2399	1.5783	0.8157	4.0408	0.5015	0.0000	0.0000	0.0000	0.0000	1.2374	2.6802	69.5880	21.5938	27.3381	72.8614	74.7654	27.1650	0.8522	2.9500	0.5688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.7228	5.4140	6.5305	6.5705	7.5171	0.4365	0.8309	4.4148	0.7064	0.0000	0.0000	0.0000	0.0000	0.6704	4.7285
10	-1.6000	-1.5000	251.2367	563.0000	233.5162	6.3696	0.3346	11.0163	2.5257	5.6222	5.7805	6.1635	6.3082	0.3952	0.8479	4.6880	0.7526	0.0000	0.0000	0.0000	0.0000	0.2431	3.3314	2.7032	5.5773	5.7470	6.1978	6.3510	0.4159	0.8498	4.7021	0.7629	0.0000	0.0000	0.0000	0.0000	0.2283	3.2499	7.9549	7.1293	6.9639	10.6821	10.5724	0.4800	0.8078	4.1933	0.4833	0.0000	0.0000	0.0000	0.0000	1.2669	5.6680	39.9041	8.7865	11.3116	40.8600	41.4763	9.6556	0.8526	5.9332	0.8766	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.4592	6.1690	6.1396	7.0726	7.0470	0.6740	0.8314	4.6360	0.6856	0.0000	0.0000	0.0000	0.0000	0.5751	3.9638
11	-1.5000	-1.4000	254.0477	535.0000	236.7003	6.7881	0.8009	9.7584	2.3757	6.3088	6.4731	6.7413	6.8953	1.1801	0.8469	4.7362	0.7276	0.0000	0.0000	0.0000	0.0000	0.4237	4.2944	2.5305	6.3642	6.5646	6.8488	7.0354	1.1685	0.8488	4.7538	0.7364	0.0000	0.0000	0.0000	0.0000	0.4363	4.4061	7.5583	5.6267	4.8066	9.4227	8.9572	2.6232	0.8054	4.3521	0.4659	0.0000	0.0000	0.0000	0.0000	0.2892	2.2111	50.6308	10.4563	10.6309	51.6992	51.7348	9.0367	0.8155	5.6383	0.5687	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.5719	5.8472	5.7398	6.8518	6.7604	0.1791	0.8327	4.5031	0.7110	0.0000	0.0000	0.0000	0.0000	0.2463	3.5569
