Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	174.5549	504.0000	164.3990	3.2242	0.2341	6.6976	3.4860	12.1730	10.0035	12.6623	10.5934	1.0772	0.8430	4.7706	0.7298	0.0000	0.0000	0.0000	0.0000	0.6172	11.1199	3.6899	12.4350	10.1488	12.9709	10.7988	1.2175	0.8439	4.8058	0.7365	0.0000	0.0000	0.0000	0.0000	0.6569	11.3832	11.1292	6.9132	5.7191	13.1016	12.5127	2.9790	0.8355	4.1389	0.5747	0.0000	0.0000	0.0000	0.0000	1.7699	5.3029	45.0809	13.3389	16.6471	47.0129	48.0563	16.0524	0.8640	4.3624	0.7691	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.4317	9.1448	10.2181	10.1621	11.1377	1.7793	0.8238	4.2245	0.6388	0.0000	0.0000	0.0000	0.0000	0.4152	9.1278
3	-2.3000	-2.2000	185.3614	426.0000	174.3575	3.2026	0.4153	7.3860	3.2602	11.1775	11.3693	11.6433	11.8275	0.3992	0.8473	4.7205	0.7109	0.0000	0.0000	0.0000	0.0000	0.4994	10.3200	3.4506	11.4162	11.4859	11.9263	11.9930	0.5378	0.8483	4.7370	0.7130	0.0000	0.0000	0.0000	0.0000	0.5096	10.4387	11.8591	5.4427	11.3280	13.0484	16.4001	2.1452	0.8308	4.8585	0.5910	0.0000	0.0000	0.0000	0.0000	1.7561	9.9903	68.6298	4.5191	17.5821	68.7784	70.8461	17.3087	0.8373	2.9085	0.7988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.1939	9.7388	9.4853	10.6035	10.3711	1.6200	0.8310	4.3715	0.7078	0.0000	0.0000	0.0000	0.0000	0.9692	8.4716
4	-2.2000	-2.1000	181.7542	434.0000	170.9509	3.1435	0.1065	7.5533	2.9610	7.5746	8.6549	8.1327	9.1474	0.6613	0.8473	4.9017	0.7277	0.0000	0.0000	0.0000	0.0000	0.1392	7.1066	3.1360	7.6323	8.7969	8.2514	9.3391	0.7737	0.8482	4.9331	0.7346	0.0000	0.0000	0.0000	0.0000	0.1132	7.2472	11.1188	5.9719	5.9290	12.6211	12.6008	1.8367	0.8413	4.2471	0.5154	0.0000	0.0000	0.0000	0.0000	0.8753	3.9142	64.6666	15.7358	19.5860	66.5536	67.5676	12.3690	0.8473	10.5890	0.6360	0.0000	0.0000	0.0000	0.0000	0.0000	11.4349	4.1122	7.2825	6.9067	8.3633	8.0381	0.8522	0.8296	4.3833	0.6622	0.0000	0.0000	0.0000	0.0000	0.8045	5.6629
5	-2.1000	-2.0000	207.8811	506.0000	196.4603	3.9553	0.0283	7.4372	3.2408	7.9637	7.3691	8.5979	8.0502	2.4261	0.8498	4.6785	0.7387	0.0000	0.0000	0.0000	0.0000	0.6193	5.8634	3.4193	8.1466	7.4785	8.8351	8.2231	2.7299	0.8509	4.7015	0.7472	0.0000	0.0000	0.0000	0.0000	0.7602	5.9606	10.1626	5.9472	6.1921	11.7749	11.9005	3.5582	0.8301	4.1918	0.4718	0.0000	0.0000	0.0000	0.0000	1.7642	2.2665	81.8075	16.5733	12.7921	83.4694	82.8016	9.2255	1.0147	13.7248	0.4062	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.2060	7.6899	7.8186	8.7650	8.8781	2.7211	0.8294	4.2945	0.6569	0.0000	0.0000	0.0000	0.0000	2.1960	6.0394
6	-2.0000	-1.9000	190.4971	502.0000	178.0332	4.0290	0.1198	8.3152	2.5682	6.9192	6.4399	7.3804	6.9331	0.6557	0.8495	4.8512	0.7368	0.0000	0.0000	0.0000	0.0000	0.7812	4.6942	2.7325	7.0092	6.4884	7.5230	7.0403	0.6559	0.8502	4.8824	0.7429	0.0000	0.0000	0.0000	0.0000	0.7745	4.7944	9.7369	4.8709	7.6229	10.8872	12.3659	3.2599	0.8450	4.2491	0.5101	0.0000	0.0000	0.0000	0.0000	4.0376	3.5885	68.4813	14.4086	14.8332	69.9807	70.0694	13.9979	0.9618	4.7975	1.2073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.9659	6.5522	5.8622	7.6590	7.0777	0.2566	0.8354	4.4757	0.7082	0.0000	0.0000	0.0000	0.0000	1.2549	4.4787
7	-1.9000	-1.8000	223.5114	472.0000	211.2238	3.3455	0.0349	8.9072	2.7766	6.9190	7.6644	7.4554	8.1518	0.9593	0.8505	4.7990	0.7568	0.0000	0.0000	0.0000	0.0000	0.6192	5.9400	2.9289	7.0149	7.7509	7.6018	8.2858	1.0250	0.8518	4.8131	0.7622	0.0000	0.0000	0.0000	0.0000	0.5673	6.0375	10.6430	7.9417	7.0678	13.2795	12.7761	4.9609	0.8284	4.4586	0.6084	0.0000	0.0000	0.0000	0.0000	4.1707	2.9906	70.8153	41.4907	31.6579	82.0749	77.5695	41.3757	0.8477	2.8534	0.8193	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.8011	6.0828	6.9065	7.1728	7.8834	1.9760	0.8277	4.6006	0.6842	0.0000	0.0000	0.0000	0.0000	0.5200	4.7578
8	-1.8000	-1.7000	232.1506	591.0000	217.5266	4.8030	0.0984	9.7226	2.6696	6.0331	6.1944	6.5974	6.7452	0.2285	0.8522	4.8858	0.7465	0.0000	0.0000	0.0000	0.0000	0.1114	3.8018	2.8367	6.1432	6.2067	6.7665	6.8242	0.2792	0.8535	4.9316	0.7544	0.0000	0.0000	0.0000	0.0000	0.1288	3.7621	9.4466	4.7072	7.5769	10.5544	12.1098	2.3436	0.8290	3.9612	0.5356	0.0000	0.0000	0.0000	0.0000	2.3357	5.6575	78.4234	43.8468	42.9335	89.8486	89.4065	43.6961	0.9332	2.9352	0.7586	0.0000	0.0000	0.0000	0.0000	0.0000	1.7691	3.6073	5.9482	5.8340	6.9565	6.8591	1.3162	0.8330	4.3358	0.6739	0.0000	0.0000	0.0000	0.0000	0.5986	3.8311
9	-1.7000	-1.6000	236.7774	591.0000	220.0250	5.7492	0.6402	10.3630	2.3338	7.0488	6.5632	7.4251	6.9658	1.0659	0.8469	4.8408	0.7403	0.0000	0.0000	0.0000	0.0000	0.7096	4.8681	2.4926	7.0670	6.6298	7.4937	7.0829	1.0385	0.8484	4.8551	0.7456	0.0000	0.0000	0.0000	0.0000	0.6667	4.8831	8.6533	8.0953	5.5591	11.8496	10.2851	1.6296	0.8243	4.6083	0.6798	0.0000	0.0000	0.0000	0.0000	1.1910	6.4592	42.8448	8.0913	10.3902	43.6021	44.0866	8.4711	0.8331	6.0601	0.8153	0.0000	0.0000	0.0000	0.0000	0.1464	0.7810	3.5654	6.3979	5.8519	7.3243	6.8525	0.8783	0.8283	4.5900	0.6576	0.0000	0.0000	0.0000	0.0000	1.5466	3.9689
10	-1.6000	-1.5000	267.4222	531.0000	250.0820	6.2989	0.1837	10.8576	2.4376	6.7336	6.2176	7.1613	6.6784	0.8456	0.8548	4.6826	0.7691	0.0000	0.0000	0.0000	0.0000	0.1140	4.6444	2.5936	6.8625	6.2966	7.3363	6.8098	1.0116	0.8567	4.7004	0.7799	0.0000	0.0000	0.0000	0.0000	0.1323	4.7844	8.2371	4.4980	4.6052	9.3852	9.4370	0.3389	0.8195	4.2999	0.5108	0.0000	0.0000	0.0000	0.0000	0.2528	1.5978	51.7825	11.2189	14.8940	52.9839	53.8819	14.6971	0.8448	2.1453	0.7899	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.5051	6.3262	6.4234	7.2323	7.3175	2.0926	0.8328	4.5376	0.6694	0.0000	0.0000	0.0000	0.0000	0.5588	3.9857
11	-1.5000	-1.4000	253.5843	576.0000	236.3006	6.1511	0.2693	10.8634	2.3160	6.8579	5.8541	7.2384	6.2956	1.1884	0.8535	4.7840	0.7626	0.0000	0.0000	0.0000	0.0000	0.2276	4.6228	2.4702	6.9769	5.8647	7.4013	6.3637	1.2275	0.8550	4.8152	0.7694	0.0000	0.0000	0.0000	0.0000	0.2613	4.7537	8.2220	5.0334	5.6972	9.6403	10.0029	3.2851	0.8276	4.1535	0.5886	0.0000	0.0000	0.0000	0.0000	0.3709	2.0072	48.4407	13.6093	13.9763	50.3161	50.4166	13.3532	0.8645	3.9704	1.0366	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.5207	6.0931	6.3619	7.0371	7.2711	0.7170	0.8351	4.4814	0.7074	0.0000	0.0000	0.0000	0.0000	0.4880	4.4377
