Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	178.0794	510.0000	167.6690	3.3150	0.2437	6.8517	3.4381	12.2321	9.8750	12.7061	10.4564	1.0118	0.8447	4.8108	0.7407	0.0000	0.0000	0.0000	0.0000	0.8178	11.1546	3.6402	12.4966	10.0220	13.0160	10.6626	1.1650	0.8457	4.8486	0.7482	0.0000	0.0000	0.0000	0.0000	0.8701	11.4183	10.9584	6.7682	5.5210	12.8800	12.2706	2.6189	0.8344	4.1563	0.5633	0.0000	0.0000	0.0000	0.0000	1.7215	5.1577	43.4827	10.8581	12.3853	44.8179	45.2122	11.5291	0.8700	4.4783	0.8153	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3836	9.3552	10.1233	10.3313	11.0316	2.1578	0.8238	4.2145	0.6401	0.0000	0.0000	0.0000	0.0000	0.4059	8.9415
3	-2.3000	-2.2000	188.3407	440.0000	177.1277	3.2026	0.4153	7.5951	3.2225	11.0527	11.2105	11.5129	11.6644	0.4365	0.8488	4.7629	0.7194	0.0000	0.0000	0.0000	0.0000	0.4911	10.1252	3.4113	11.2795	11.3266	11.7840	11.8291	0.5764	0.8499	4.7837	0.7220	0.0000	0.0000	0.0000	0.0000	0.5017	10.2418	11.8591	5.4427	11.3280	13.0484	16.4001	2.1452	0.8308	4.8585	0.5910	0.0000	0.0000	0.0000	0.0000	1.7561	9.9903	68.6297	4.5191	17.5820	68.7783	70.8460	17.3086	0.8373	2.9085	0.7988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	4.1576	9.7588	9.2700	10.6076	10.1596	1.5907	0.8312	4.3382	0.7087	0.0000	0.0000	0.0000	0.0000	0.9425	8.5330
4	-2.2000	-2.1000	186.4291	442.0000	175.3103	3.1435	0.2274	7.7479	2.9303	7.5800	8.5359	8.1267	9.0249	0.7441	0.8501	4.9632	0.7427	0.0000	0.0000	0.0000	0.0000	0.1383	6.9111	3.1039	7.6368	8.6757	8.2434	9.2142	0.8619	0.8511	4.9983	0.7495	0.0000	0.0000	0.0000	0.0000	0.1410	7.0457	11.1188	5.9719	5.9290	12.6211	12.6008	1.8367	0.8413	4.2471	0.5154	0.0000	0.0000	0.0000	0.0000	0.8753	3.9142	46.2633	9.6810	11.4261	47.2654	47.6534	7.2173	0.8449	7.2874	0.9236	0.0000	0.0000	0.0000	0.0000	0.0000	5.3553	4.0684	7.4389	6.8790	8.4787	7.9921	0.9769	0.8311	4.3913	0.6750	0.0000	0.0000	0.0000	0.0000	0.8123	5.8555
5	-2.1000	-2.0000	211.9553	530.0000	200.0883	4.0258	0.1490	7.6922	3.1901	7.8803	7.3681	8.5016	8.0291	2.2891	0.8512	4.7332	0.7457	0.0000	0.0000	0.0000	0.0000	0.6111	5.7599	3.3692	8.0624	7.4591	8.7381	8.1848	2.5826	0.8523	4.7610	0.7538	0.0000	0.0000	0.0000	0.0000	0.7504	5.8626	10.0821	5.8096	6.7591	11.6361	12.1381	3.6256	0.8300	4.1471	0.4759	0.0000	0.0000	0.0000	0.0000	1.7333	3.4722	61.1234	5.4723	9.2631	61.3678	61.8213	8.1755	0.8705	4.3613	0.9599	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.1370	7.4711	7.6683	8.5400	8.7131	2.4461	0.8315	4.3227	0.6723	0.0000	0.0000	0.0000	0.0000	2.1232	5.8940
6	-2.0000	-1.9000	194.9880	508.0000	182.1540	4.0551	0.2304	8.5485	2.5455	6.8532	6.7588	7.3107	7.2223	0.6831	0.8519	4.8940	0.7515	0.0000	0.0000	0.0000	0.0000	0.7229	4.6631	2.7093	6.9422	6.8017	7.4521	7.3215	0.6969	0.8526	4.9276	0.7576	0.0000	0.0000	0.0000	0.0000	0.7136	4.6927	9.6956	4.9376	7.9588	10.8805	12.5438	3.3512	0.8460	4.2485	0.5180	0.0000	0.0000	0.0000	0.0000	4.0116	4.2087	49.2248	4.4408	5.8028	49.4247	49.5657	3.8366	0.9098	4.1749	1.2094	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.9297	6.5147	6.3078	7.6081	7.4317	0.3631	0.8377	4.5024	0.7196	0.0000	0.0000	0.0000	0.0000	1.2266	4.3947
7	-1.9000	-1.8000	227.5129	482.0000	214.6682	3.3955	0.1999	9.2492	2.7366	6.9528	7.6417	7.4720	8.1169	0.9246	0.8519	4.8258	0.7642	0.0000	0.0000	0.0000	0.0000	0.6454	5.8920	2.8906	7.0554	7.7569	7.6246	8.2780	0.9818	0.8533	4.8406	0.7701	0.0000	0.0000	0.0000	0.0000	0.5975	6.0264	10.5750	7.7914	6.3657	13.1354	12.3432	4.7500	0.8279	4.4816	0.6009	0.0000	0.0000	0.0000	0.0000	4.1093	1.2692	48.4293	9.9821	4.7662	49.4473	48.6633	8.6293	0.8515	4.8539	0.9447	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.7443	6.0190	6.7996	7.0886	7.7624	1.9721	0.8288	4.6080	0.6832	0.0000	0.0000	0.0000	0.0000	0.5008	4.5962
8	-1.8000	-1.7000	237.6959	605.0000	222.4909	4.8923	0.3011	10.0116	2.6226	6.0672	6.1810	6.6097	6.7144	0.3826	0.8540	4.9248	0.7585	0.0000	0.0000	0.0000	0.0000	0.1066	3.7184	2.7890	6.1763	6.1948	6.7768	6.7937	0.4325	0.8553	4.9687	0.7667	0.0000	0.0000	0.0000	0.0000	0.1761	3.6801	9.3457	4.8850	7.5705	10.5453	12.0272	2.5718	0.8320	4.0303	0.5596	0.0000	0.0000	0.0000	0.0000	2.2930	5.5542	41.7498	14.8958	15.2254	44.3276	44.4394	14.1436	0.9276	5.6780	0.7873	0.0000	0.0000	0.0000	0.0000	0.0000	0.5784	3.5898	5.9391	5.8246	6.9397	6.8420	1.1575	0.8351	4.3642	0.6715	0.0000	0.0000	0.0000	0.0000	0.4837	3.8017
9	-1.7000	-1.6000	241.6684	602.0000	224.2369	5.9087	0.9221	10.6007	2.2988	6.9942	6.5514	7.3624	6.9431	0.9914	0.8485	4.8803	0.7484	0.0000	0.0000	0.0000	0.0000	0.6515	4.7708	2.4576	7.0140	6.6152	7.4321	7.0570	0.9353	0.8499	4.8949	0.7529	0.0000	0.0000	0.0000	0.0000	0.6071	4.7926	8.5386	8.0257	5.6790	11.7183	10.2547	1.1834	0.8268	4.7335	0.6918	0.0000	0.0000	0.0000	0.0000	1.1589	6.2849	34.2364	13.6108	14.4029	36.8426	37.1426	13.3999	0.8636	5.2531	1.0077	0.0000	0.0000	0.0000	0.0000	0.1016	0.5422	3.5413	6.3717	5.8101	7.2897	6.8043	0.9910	0.8296	4.6219	0.6625	0.0000	0.0000	0.0000	0.0000	1.5119	3.8824
10	-1.6000	-1.5000	274.1172	551.0000	256.4678	6.3582	0.2107	11.0805	2.4243	6.6796	6.1981	7.1060	6.6553	0.7322	0.8563	4.6904	0.7781	0.0000	0.0000	0.0000	0.0000	0.1141	4.5771	2.5785	6.8014	6.2732	7.2738	6.7825	0.8934	0.8582	4.7095	0.7894	0.0000	0.0000	0.0000	0.0000	0.1323	4.7122	8.1818	4.4892	4.5916	9.3325	9.3822	0.3548	0.8206	4.2908	0.5095	0.0000	0.0000	0.0000	0.0000	0.2505	1.5829	46.8582	11.0515	14.2007	48.1438	48.9627	13.9767	0.8385	2.2641	0.7790	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.4803	6.3260	6.4332	7.2201	7.3143	2.1580	0.8333	4.5229	0.6711	0.0000	0.0000	0.0000	0.0000	0.5777	3.9930
11	-1.5000	-1.4000	260.0311	590.0000	242.1707	6.1954	0.4481	11.2169	2.2811	6.8996	5.8981	7.2669	6.3239	1.3771	0.8557	4.8087	0.7718	0.0000	0.0000	0.0000	0.0000	0.2148	4.6065	2.4342	7.0301	5.9049	7.4396	6.3869	1.4242	0.8573	4.8432	0.7789	0.0000	0.0000	0.0000	0.0000	0.2521	4.7487	8.1772	4.9228	5.5522	9.5447	9.8840	3.0547	0.8279	4.1391	0.5907	0.0000	0.0000	0.0000	0.0000	0.3683	1.9928	34.4315	10.2934	8.3407	35.9371	35.4273	9.4916	0.8856	3.7536	0.9945	0.0000	0.0000	0.0000	0.0000	0.9263	0.0000	3.4798	5.9441	6.5573	6.8878	7.4234	0.9673	0.8359	4.4756	0.7082	0.0000	0.0000	0.0000	0.0000	0.4720	4.6729
