Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	0.2013	0.0000	0.0124	0.0131	0.1203	0.0555	51.4319	15.0493	13.5035	53.5885	53.1751	15.0143	0.0000	0.0000	0.0000	0.4661	0.0000	0.6744	0.5919	0.0000	0.1788	90.7497	12.3359	12.5360	91.5843	91.6115	12.4867	0.0000	0.0000	0.0000	0.8723	0.0000	0.3140	0.6141	0.0000	0.0000	100.0000	27.1876	19.3023	103.6299	101.8459	27.1648	0.0000	0.0000	0.0000	0.8998	0.0000	0.3221	0.5716	0.0000	0.0000	81.5119	17.2666	16.5889	83.3206	83.1828	17.2430	0.0000	0.0000	0.0000	0.3382	0.0000	0.6156	0.5685	0.0000	0.0000	50.9326	8.0554	5.7425	51.5656	51.2553	7.9260	0.0000	0.0000	0.0000	0.5509	0.0000	0.9652	0.6426	0.0000	0.6484
3	-2.3000	-2.2000	0.4764	0.0000	0.0035	0.2138	0.1387	0.1204	31.0866	5.2434	2.8478	31.5257	31.2168	5.1259	0.0000	0.0000	0.0000	0.4439	0.0000	0.7907	0.5381	0.0000	0.3265	84.0814	32.4445	20.6166	90.1239	86.5721	32.3778	0.0000	0.0000	0.0000	1.1711	0.0000	1.3920	1.0052	0.0000	0.0000	45.0783	3.6258	4.9645	45.2238	45.3508	4.8687	0.0000	0.0000	0.0000	0.3819	0.0000	0.7440	0.4974	0.0000	0.0000	71.2096	11.1760	12.0040	72.0813	72.2143	11.9684	0.0000	0.0000	0.0000	0.2554	0.0000	0.7383	0.4971	0.0000	1.1217	44.5911	12.6356	1.3429	46.3468	44.6113	12.5614	0.0000	0.0000	0.0000	0.7498	0.0000	0.9164	0.6437	0.0000	0.2347
4	-2.2000	-2.1000	0.5835	0.0000	0.0375	0.1218	0.3634	0.0607	32.3127	7.7826	42.2624	33.2367	53.1998	7.6830	0.0000	0.0000	0.0000	0.6390	0.0000	0.7028	0.7846	0.0000	41.5457	82.3652	15.2210	83.0331	83.7598	116.9552	18.4904	0.0000	0.0000	0.0000	1.5066	0.0000	1.4426	1.3921	0.0000	80.9097	57.5411	2.3261	7.0392	57.5881	57.9701	6.9531	0.0000	0.0000	0.0000	0.7020	0.0000	0.4972	0.6901	0.0000	0.0000	44.9866	13.0652	51.3242	46.8454	68.2493	13.0116	0.0000	0.0000	0.0000	0.5566	0.0000	0.6861	0.7862	0.0000	49.6786	89.4488	21.4060	52.8746	91.9744	103.9077	21.3312	0.0000	0.0000	0.0000	0.4693	0.0000	0.7577	0.5894	0.0000	51.8929
5	-2.1000	-2.0000	0.4245	0.0000	0.0018	0.1601	0.1977	0.0649	34.3282	19.8105	11.9339	39.6343	36.3434	11.8943	0.0000	0.0000	0.0000	0.2242	0.0000	0.8896	0.3311	0.0000	16.3415	68.4180	42.1890	29.8816	80.3799	74.6587	42.1628	0.0000	0.0000	0.0000	0.2832	0.0000	1.3850	0.4612	0.0000	0.0000	55.0795	33.5790	13.4400	64.5082	56.6956	14.5516	0.0000	0.0000	0.0000	0.3709	0.0000	0.9273	0.4211	0.0000	30.2427	51.7828	4.6588	4.4835	51.9919	51.9765	4.5114	0.0000	0.0000	0.0000	0.1301	0.0000	1.1137	0.3076	0.0000	0.0000	84.1388	39.1486	30.7092	92.8006	89.5679	30.7082	0.0000	0.0000	0.0000	0.1473	0.0000	0.1022	0.1771	0.0000	32.2890
6	-2.0000	-1.9000	0.8540	0.0000	0.1104	0.1177	0.3100	0.3159	24.5890	2.4236	3.8378	24.7082	24.8867	3.7558	0.0000	0.0000	0.0000	0.2164	0.0000	0.5811	0.2844	1.5410	1.3989	99.4115	16.9564	14.8942	100.8473	100.5211	16.9337	0.0000	0.0000	0.0000	0.1733	0.0000	0.6612	0.5501	0.0000	0.0000	55.1565	6.9061	4.8910	55.5871	55.3729	6.8830	0.0000	0.0000	0.0000	0.2941	0.0000	0.4109	0.2502	0.0000	0.0000	42.9730	0.7066	5.4353	42.9788	43.3154	5.3894	0.0000	0.0000	0.0000	0.2354	0.0000	0.5995	0.2906	0.0000	0.0000	31.7901	16.1305	16.1268	35.6484	35.6467	16.0774	0.0000	0.0000	0.0000	0.1839	0.0000	0.5984	0.1983	4.1664	3.7822
7	-1.9000	-1.8000	1.2485	0.0000	0.0026	0.0142	0.9644	0.2673	19.6971	7.4326	15.0719	21.0527	24.8020	6.9244	0.0000	0.0000	0.0000	0.1822	0.0000	0.7647	0.2775	3.8103	12.8065	70.8547	31.9944	32.1661	77.7434	77.8142	32.1516	0.0000	0.0000	0.0000	0.0979	0.0000	0.9485	0.1779	0.0000	0.0000	100.0000	31.3247	32.9078	104.7914	105.2755	32.8789	0.0000	0.0000	0.0000	0.3982	0.0000	1.2539	0.4323	0.0000	0.0000	23.9705	8.1665	14.4999	25.3234	28.0148	8.1221	0.0000	0.0000	0.0000	0.2037	0.0000	0.7689	0.3017	4.9329	10.9882	30.9262	15.2288	20.8886	34.4724	37.3198	5.3594	0.0000	0.0000	0.0000	0.0940	0.0000	0.7215	0.1830	10.3939	20.1755
8	-1.8000	-1.7000	0.7137	0.0000	0.0010	0.2028	0.3726	0.1373	28.7168	9.8255	2.8076	30.3512	28.8537	2.7819	0.0000	0.0000	0.0000	0.1363	0.0000	0.7693	0.1905	3.3195	8.7827	43.5033	16.0006	2.8481	46.3525	43.5964	15.9735	0.0000	0.0000	0.0000	0.1365	0.0000	0.8973	0.2045	0.0000	0.0000	46.8201	10.6920	12.0572	48.0254	48.3476	12.0219	0.0000	0.0000	0.0000	0.0747	0.0000	0.9126	0.1407	0.0000	0.0000	42.6855	6.8533	0.6844	43.2322	42.6910	6.8188	0.0000	0.0000	0.0000	0.1212	0.0000	0.6360	0.2275	0.0000	0.0000	63.8964	50.0026	17.5949	81.1357	66.2747	10.8041	0.0000	0.0000	0.0000	0.2682	0.0000	0.9187	0.1636	17.2576	45.6592
9	-1.7000	-1.6000	0.8836	0.0000	0.0057	0.0994	0.5085	0.2700	20.3623	5.0634	6.7564	20.9824	21.4539	5.5960	0.0000	0.0000	0.0000	0.1251	0.0000	0.6674	0.1861	0.0024	3.7202	88.2885	16.1067	12.9403	89.7457	89.2318	16.1005	0.0000	0.0000	0.0000	0.0633	0.0000	0.4219	0.1294	0.0000	0.0000	59.8319	4.3120	9.2599	59.9871	60.5442	9.2393	0.0000	0.0000	0.0000	0.0853	0.0000	0.5960	0.1436	0.0000	0.0000	30.4392	11.1510	11.2980	32.4174	32.4683	11.2811	0.0000	0.0000	0.0000	0.0819	0.0000	0.5962	0.1493	0.0000	4.6606	25.7983	1.6578	12.3972	25.8515	28.6224	2.1476	0.0000	0.0000	0.0000	0.2224	0.0000	0.8331	0.2721	0.0079	12.1765
10	-1.6000	-1.5000	1.3064	0.0000	0.0143	0.0503	1.0025	0.2393	19.9455	2.6890	0.7638	20.1260	19.9602	1.8359	0.0000	0.0000	0.0000	0.0964	0.0000	0.7351	0.1800	0.1388	1.8053	54.5840	4.0349	10.2754	54.7330	55.5428	10.2288	0.0000	0.0000	0.0000	0.1164	0.0000	0.9510	0.2083	0.0000	0.0000	96.8256	169.9496	67.3634	195.5967	117.9534	169.8670	0.0000	0.0000	0.0000	0.1952	0.0000	1.1533	0.2195	3.6507	3.6507	24.0522	7.2213	8.2894	25.1128	25.4405	8.2540	0.0000	0.0000	0.0000	0.0897	0.0000	0.7397	0.1829	0.0000	2.1694	35.7567	0.6432	3.9641	35.7625	35.9757	3.8910	0.0000	0.0000	0.0000	0.1026	0.0000	0.6150	0.1579	0.0093	0.4041
11	-1.5000	-1.4000	1.3896	0.0000	0.0389	0.4830	0.6386	0.2291	18.7761	6.1007	4.6318	19.7424	19.3390	5.2724	0.0000	0.0000	0.0000	0.1716	0.0000	0.8457	0.2263	2.9003	2.9368	84.4665	8.1340	23.6721	84.8572	87.7209	23.6586	0.0000	0.0000	0.0000	0.1598	0.0000	0.7593	0.2059	0.0000	0.0000	34.8772	11.4716	6.2568	36.7154	35.4340	6.2122	0.0000	0.0000	0.0000	0.1063	0.0000	0.7189	0.1760	0.0000	10.9289	28.0593	18.1239	14.2031	33.4036	31.4492	18.1042	0.0000	0.0000	0.0000	0.0865	0.0000	0.8255	0.1572	6.3173	6.3173	35.2175	13.9595	6.9323	37.8832	35.8933	6.7583	0.0000	0.0000	0.0000	0.5481	0.0000	1.1839	0.5281	0.0168	12.3780
