Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
21	400.0000	420.0000	33.5477	37.0000	0.1229	30.7293	0.8853	1.8102	3.4004	5.7686	7.1966	6.6962	7.9595	0.3060	0.4277	2.1032	0.0000	0.0000	0.0000	0.4942	0.2029	0.0406	6.8414	46.2745	6.6325	1.9797	46.7474	46.3169	6.2615	0.4458	1.6670	0.0000	0.0000	0.0000	0.8065	0.5394	0.6512	0.6631	3.5263	6.1399	7.3835	7.0805	8.1824	0.5324	0.4268	2.1271	0.0000	0.0000	0.0000	0.4667	0.1937	0.0426	7.0193	30.9859	3.6689	2.0749	31.2023	31.0552	3.3508	0.4486	1.3759	0.0000	0.0000	0.0000	0.3420	0.1465	0.0000	0.0000	12.1816	3.3422	8.6701	12.6318	14.9520	3.3507	0.4303	2.0836	0.0000	0.0000	0.0000	1.0143	0.3648	0.0668	7.6322
22	420.0000	440.0000	26.7911	25.0000	0.0429	24.8424	0.4864	1.4194	3.7612	6.7454	5.3082	7.7231	6.5056	0.4810	0.4243	2.2405	0.0000	0.0000	0.0000	0.4797	0.2040	0.5873	6.2811	46.4819	11.7375	44.5045	47.9409	64.3523	13.0126	0.4072	1.5543	0.0000	0.0000	0.0000	0.9673	0.2932	0.0000	42.5173	3.9010	6.3844	5.4851	7.4819	6.7308	0.3729	0.4225	2.2566	0.0000	0.0000	0.0000	0.4613	0.1920	0.6225	5.8919	33.2649	14.4930	8.6133	36.2850	34.3619	9.0344	0.4643	2.2790	0.0000	0.0000	0.0000	0.3099	0.1277	0.0000	11.0862	15.6984	11.8428	2.9169	19.6645	15.9671	0.3645	0.4431	1.9649	0.0000	0.0000	0.0000	0.8456	0.4378	0.1991	11.6297
23	440.0000	460.0000	25.6075	17.0000	0.1141	23.4132	0.6592	1.4210	3.9149	5.8546	6.6974	7.0429	7.7577	1.0523	0.4302	2.0911	0.0000	0.0000	0.0000	0.5165	0.2179	0.2400	6.2702	76.9784	10.2387	11.9320	77.6563	77.8977	11.8245	0.3976	1.4413	0.0000	0.0000	0.0000	0.5482	0.1365	0.0000	0.0000	4.0219	6.1403	6.7799	7.3402	7.8830	1.2688	0.4289	2.1313	0.0000	0.0000	0.0000	0.5109	0.2145	0.0875	6.3039	37.5556	11.0650	1.1812	39.1517	37.5742	1.7794	0.4786	1.0277	0.0000	0.0000	0.0000	0.2822	0.1471	10.0931	4.0013	15.6314	5.4214	11.5582	16.5448	19.4405	4.5091	0.4318	1.9734	0.0000	0.0000	0.0000	0.7160	0.3135	1.6420	10.6482
24	460.0000	480.0000	23.0374	24.0000	0.0341	21.0220	0.7447	1.2366	4.0436	6.1997	4.7527	7.4019	6.2401	1.1440	0.4241	2.2637	0.0000	0.0000	0.0000	0.5351	0.2215	0.7396	5.5625	65.1175	4.0765	6.6508	65.2450	65.4563	6.3362	0.4053	1.8351	0.0000	0.0000	0.0000	0.6963	0.2624	0.0000	0.0000	4.2140	6.1774	4.8101	7.4778	6.3949	1.2844	0.4227	2.2712	0.0000	0.0000	0.0000	0.5175	0.2147	0.7521	5.5040	28.3505	3.5219	7.8880	28.5684	29.4274	3.8793	0.4824	1.5796	0.0000	0.0000	0.0000	0.5931	0.1789	0.0000	6.6377	15.7532	10.6600	3.8261	19.0210	16.2112	2.0642	0.4139	2.5599	0.0000	0.0000	0.0000	0.7948	0.3620	0.9923	10.0605
25	480.0000	500.0000	21.6557	19.0000	0.0693	19.8697	0.7528	0.9639	4.2398	5.0876	4.4908	6.6226	6.1760	0.7628	0.4277	2.2013	0.0000	0.0000	0.0000	0.5289	0.2155	0.3667	4.4701	53.5125	181.8711	4.0104	189.5803	53.6626	3.4718	0.4493	1.8233	0.0000	0.0000	0.0000	0.6668	0.2436	105.1232	148.3676	4.4051	4.9119	4.3287	6.5978	6.1760	0.4291	0.4271	2.2103	0.0000	0.0000	0.0000	0.5457	0.2238	0.6521	4.3059	25.4953	5.5060	9.1675	26.0831	27.0934	5.8148	0.4373	1.7809	0.0000	0.0000	0.0000	0.3783	0.1511	0.0000	6.8339	20.4023	8.0480	9.1516	21.9323	22.3608	4.3128	0.4312	2.3719	0.0000	0.0000	0.0000	0.2899	0.0937	0.4192	7.8790
26	500.0000	520.0000	17.7839	18.0000	0.0203	16.3325	0.5720	0.8591	4.6303	3.3005	4.1862	5.6862	6.2421	0.4491	0.4321	2.1973	0.0000	0.0000	0.0000	0.5641	0.2246	0.5532	3.4304	34.8998	8.8594	8.9815	36.0067	36.0370	8.5915	0.4569	2.3760	0.0000	0.0000	0.0000	0.7239	0.2705	0.0000	0.6349	4.8197	3.3300	4.2081	5.8582	6.3982	0.3126	0.4307	2.2079	0.0000	0.0000	0.0000	0.5595	0.2218	0.5991	3.4535	30.9475	1.7963	2.2315	30.9996	31.0279	1.3240	0.4567	1.6393	0.0000	0.0000	0.0000	0.5507	0.1668	0.0000	0.0000	19.1437	5.6325	7.5337	19.9551	20.5727	4.6797	0.4403	2.3647	0.0000	0.0000	0.0000	0.6567	0.3146	0.0614	5.3421
27	520.0000	540.0000	16.2144	16.0000	0.0113	15.2847	0.4212	0.4972	4.8503	5.5027	5.3402	7.3352	7.2141	0.4364	0.4276	2.2529	0.0000	0.0000	0.0000	0.6322	0.2877	0.3199	4.9240	48.5574	11.5866	10.8478	49.9206	49.7543	11.4439	0.4461	1.6284	0.0000	0.0000	0.0000	0.6048	0.2629	0.0000	0.0000	4.9582	5.5318	5.0289	7.4286	7.0621	0.5207	0.4268	2.2755	0.0000	0.0000	0.0000	0.6391	0.2901	0.3811	4.9328	34.0530	2.4522	15.2317	34.1412	37.3043	1.6688	0.4735	1.6924	0.0000	0.0000	0.0000	0.3235	0.1881	0.0000	15.1253	30.8781	10.5924	8.7960	32.6444	32.1064	5.2332	0.4118	2.0462	0.0000	0.0000	0.0000	0.6833	0.2995	1.2832	8.9387
28	540.0000	560.0000	15.2911	18.0000	0.1543	13.7945	0.3826	0.9596	5.0273	4.2918	5.3767	6.6101	7.3609	0.1923	0.4300	2.1035	0.0000	0.0000	0.0000	0.6891	0.3029	0.3069	4.8682	61.0762	5.3232	4.0745	61.3077	61.2120	5.0231	0.3999	1.6176	0.0000	0.0000	0.0000	0.5292	0.2200	0.0000	0.1483	5.2493	4.3769	5.1966	6.8346	7.3864	0.1986	0.4283	2.1006	0.0000	0.0000	0.0000	0.6380	0.2707	0.3255	4.6785	43.4409	4.7510	3.2040	43.6999	43.5589	3.5801	0.4632	2.0788	0.0000	0.0000	0.0000	1.8336	1.1217	0.5470	0.5470	18.0769	5.0291	11.0500	18.7635	21.1868	2.2808	0.4462	2.2333	0.0000	0.0000	0.0000	0.9919	0.4523	0.0707	10.5132
29	560.0000	580.0000	12.8856	14.0000	0.0559	11.6342	0.5657	0.6298	5.8291	4.3364	4.3915	7.2652	7.2982	1.1059	0.4361	2.2936	0.0000	0.0000	0.0000	0.6598	0.2567	1.2056	3.5097	88.6518	10.3721	11.7526	89.2565	89.4274	11.5774	0.4033	1.9556	0.0000	0.0000	0.0000	0.2863	0.1374	0.0000	0.0000	5.8382	4.6385	4.5413	7.4566	7.3965	0.8280	0.4351	2.3184	0.0000	0.0000	0.0000	0.6230	0.2477	1.3345	3.9067	49.5941	6.1641	6.9994	49.9757	50.0856	6.7745	0.4643	1.5582	0.0000	0.0000	0.0000	0.6308	0.2369	0.0000	0.0000	23.3735	3.6926	4.3809	23.6633	23.7805	2.2138	0.4336	2.5267	0.0000	0.0000	0.0000	1.4000	0.4501	0.0461	2.4158
30	580.0000	600.0000	12.1795	6.0000	0.1809	10.8825	0.4032	0.7128	5.6987	2.9424	4.7073	6.4135	7.3915	0.5992	0.4383	2.1628	0.0000	0.0000	0.0000	0.6637	0.2880	0.2023	4.0455	61.7406	14.0054	14.7898	63.3092	63.4873	14.5889	0.5032	2.2387	0.0000	0.0000	0.0000	0.7726	0.2009	0.0000	0.0005	5.9430	2.9883	4.4539	6.6520	7.4267	0.6984	0.4351	2.1579	0.0000	0.0000	0.0000	0.6588	0.2858	0.2323	3.7329	37.6773	8.6556	24.1978	38.6587	44.7785	10.8718	0.4813	2.3241	0.0000	0.0000	0.0000	0.3017	0.1116	0.0000	21.4849	23.4349	3.7759	2.4675	23.7371	23.5644	0.5782	0.4457	2.1262	0.0000	0.0000	0.0000	0.9158	0.4434	0.0895	2.9146
