Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.0421	0.0000	0.0000	0.0277	0.0138	0.0007	61.0646	11.6022	2.8618	62.1571	61.1316	11.2437	0.5044	2.8049	0.0000	0.0000	0.0000	0.2389	0.1053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	78.4344	18.8485	7.8345	80.6673	78.8247	18.6016	0.5061	2.9819	0.0000	0.0000	0.0000	0.2868	0.1184	0.0000	0.0000	100.0000	48.3265	30.7750	111.0651	104.6284	48.2601	0.5061	2.4789	0.0000	0.0000	0.0000	0.1054	0.0689	0.0000	0.0000	100.0000	13.0653	12.5645	100.8499	100.7862	12.8304	0.3972	2.1909	0.0000	0.0000	0.0000	1.0121	0.3149	0.0000	0.0000
2	-4.8000	-4.6000	0.0656	0.0000	0.0012	0.0471	0.0161	0.0013	75.8799	6.5494	11.3292	76.1620	76.7210	11.2899	0.3992	0.7296	0.0000	0.0000	0.0000	0.2071	0.3932	0.0000	0.0000	100.0000	9.2842	17.2715	100.4301	101.4806	17.0924	0.5061	2.3658	0.0000	0.0000	0.0000	0.5284	0.1498	0.0000	0.0000	100.0000	1.3679	13.4772	100.0094	100.9041	13.4540	0.3972	0.4139	0.0000	0.0000	0.0000	0.1609	0.5187	0.0000	0.0000	100.0000	67.8235	50.8309	120.8306	112.1775	67.8070	0.3972	1.4189	0.0000	0.0000	0.0000	0.2562	0.0617	0.0000	0.0000	100.0000	11.7657	10.9353	100.6898	100.5961	11.5069	0.3972	2.1966	0.0000	0.0000	0.0000	1.0056	0.1706	0.0000	0.0000
3	-4.6000	-4.4000	0.0176	0.0000	0.0000	0.0000	0.0000	0.0176	89.7463	39.5288	27.4259	98.0659	93.8434	27.3660	0.4027	1.4631	0.0000	0.0000	0.0000	0.9709	0.1960	0.0000	35.6262	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	89.7463	17.1260	27.4259	91.3657	93.8434	27.3660	0.4027	1.4631	0.0000	0.0000	0.0000	0.9709	0.1960	0.0000	0.0000
4	-4.4000	-4.2000	0.1601	0.0000	0.0002	0.0636	0.0845	0.0118	54.4397	22.4595	19.3782	58.8907	57.7858	18.8033	0.5165	4.6394	0.0000	0.0000	0.0000	0.3182	0.2406	0.0000	19.6557	100.0000	107.9707	58.1476	147.1654	115.6769	107.8608	0.5061	4.7355	0.0000	0.0000	0.0000	1.0056	0.1706	0.0000	0.0000	82.6797	47.6861	20.5584	95.4458	85.1973	20.4054	0.5061	2.4448	0.0000	0.0000	0.0000	0.1801	0.0683	0.0000	47.0939	71.5099	5.8221	9.1212	71.7465	72.0893	7.3164	0.5061	5.3977	0.0000	0.0000	0.0000	0.4030	0.3356	0.0000	0.0000	291.3545	80.3548	92.5559	302.2323	305.7026	91.8893	0.6477	11.0491	0.0000	0.0000	0.0000	0.4437	0.4903	0.0000	12.8204
5	-4.2000	-4.0000	0.4091	1.0000	0.0000	0.1335	0.2393	0.0364	33.7631	8.6991	11.4825	34.8657	35.6622	8.2282	0.4833	2.7372	0.0000	0.0000	0.0000	0.3648	0.1466	0.0000	8.0903	100.0000	18.2290	11.3664	101.6479	100.6439	18.0576	0.5061	2.3658	0.0000	0.0000	0.0000	0.5688	0.2135	0.0000	0.0000	43.7097	4.6346	24.9370	43.9548	50.3229	3.8094	0.4791	2.5610	0.0000	0.0000	0.0000	0.3898	0.1652	0.0000	24.7969	50.9266	13.8574	15.7775	52.7783	53.3146	15.4919	0.4851	2.9274	0.0000	0.0000	0.0000	0.3285	0.1291	0.0000	0.0000	79.0996	4.4764	2.2552	79.2262	79.1317	1.8938	0.4868	2.1329	0.0000	0.0000	0.0000	0.5122	0.1938	0.0000	3.3713
6	-4.0000	-3.8000	0.5334	1.0000	0.0000	0.3136	0.1939	0.0259	31.0269	6.4171	7.4367	31.6836	31.9057	6.9882	0.4755	2.4244	0.0000	0.0000	0.0000	0.5296	0.2105	0.0000	0.2015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.5507	11.6431	10.3034	39.3143	38.9386	11.3042	0.4971	2.6881	0.0000	0.0000	0.0000	0.4721	0.2813	0.0000	0.0000	58.8885	2.1660	5.5825	58.9283	59.1525	5.1493	0.4380	1.9997	0.0000	0.0000	0.0000	0.6677	0.1122	0.0000	0.0000	84.7654	14.9475	17.6881	86.0732	86.5912	17.0152	0.4945	2.4116	0.0000	0.0000	0.0000	0.1914	0.0889	0.0000	4.1530
7	-3.8000	-3.6000	0.3153	0.0000	0.0025	0.1483	0.1113	0.0532	36.0822	5.2778	24.5481	36.4661	43.6409	3.9328	0.4867	3.4367	0.0000	0.0000	0.0000	0.5127	0.1505	0.0000	24.0211	94.1876	21.7585	19.8097	96.6682	96.2483	21.6035	0.4037	2.3476	0.0000	0.0000	0.0000	1.0088	0.1727	0.0000	0.0000	46.6670	8.4070	51.4428	47.4182	69.4562	6.0124	0.5061	5.8161	0.0000	0.0000	0.0000	0.6319	0.2127	0.0000	51.0786	74.4336	8.3871	13.3152	74.9047	75.6152	13.2341	0.5061	1.3467	0.0000	0.0000	0.0000	0.2811	0.0667	0.0000	0.0000	67.2594	9.8971	9.8402	67.9837	67.9754	9.7326	0.3959	1.2303	0.0000	0.0000	0.0000	0.6421	0.1514	0.0000	1.3797
8	-3.6000	-3.4000	0.4104	0.0000	0.1080	0.1902	0.0718	0.0404	33.5978	5.8997	9.7962	34.1118	34.9968	4.1788	0.4888	4.0854	0.0000	0.0000	0.0000	0.5951	0.2458	0.6140	8.8455	81.3608	20.0956	7.6155	83.8058	81.7164	19.9451	0.4826	1.9670	0.0000	0.0000	0.0000	1.2880	0.5127	0.0000	0.0000	46.8599	5.0231	19.1885	47.1283	50.6364	0.6226	0.5013	4.9920	0.0000	0.0000	0.0000	0.2218	0.1073	0.0000	18.5089	70.7295	27.3740	19.0014	75.8420	73.2374	26.9352	0.5061	4.8419	0.0000	0.0000	0.0000	0.3437	0.1213	0.0000	0.0000	68.7309	16.5961	10.0965	70.7062	69.4686	16.0347	0.4160	4.1327	0.0000	0.0000	0.0000	0.9480	0.4062	6.2396	2.7069
9	-3.4000	-3.2000	0.9047	0.0000	0.0003	0.4094	0.3183	0.1767	22.0366	12.7482	9.7357	25.4584	24.0914	12.1961	0.4758	3.6188	0.0000	0.0000	0.0000	0.5944	0.2852	1.4180	4.8372	57.0904	2.1999	4.7810	57.1327	57.2902	4.2448	0.4869	1.9088	0.0000	0.0000	0.0000	0.9064	0.3707	0.0000	0.0000	30.3024	4.0691	4.5813	30.5744	30.6468	2.1049	0.4986	4.0147	0.0000	0.0000	0.0000	0.4155	0.1378	0.0000	0.0000	40.8955	41.5242	24.2623	58.2812	47.5510	41.4124	0.4576	2.9760	0.0000	0.0000	0.0000	0.4160	0.1728	4.8952	13.3430	48.7229	4.8188	9.4592	48.9606	49.6326	8.4474	0.4556	3.8626	0.0000	0.0000	0.0000	1.3297	0.8287	1.5577	0.7311
10	-3.2000	-3.0000	1.2495	5.0000	0.0104	0.7213	0.2149	0.3029	18.6987	13.1088	10.6201	22.8360	21.5041	5.7207	0.4788	4.8095	0.0000	0.0000	0.0000	0.4940	0.2186	2.0297	10.7454	70.6490	12.4202	12.9664	71.7325	71.8291	12.2035	0.4448	4.3161	0.0000	0.0000	0.0000	0.6001	0.1267	0.0000	0.0000	24.4225	14.3240	8.2403	28.3132	25.7752	10.5187	0.4943	4.6651	0.0000	0.0000	0.0000	0.5023	0.2637	0.0000	8.4974	49.2481	33.4545	8.8330	59.5363	50.0339	6.8418	0.4929	5.5617	0.0000	0.0000	0.0000	0.1745	0.0739	0.0000	32.6166	36.6119	6.0492	35.7038	37.1083	51.1389	4.5187	0.4333	4.6367	0.0000	0.0000	0.0000	0.6972	0.2171	8.3716	34.0887
