Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	5.5634	5.0000	0.0086	5.1770	0.1306	0.2473	8.1680	8.0236	7.5431	11.4496	11.1182	0.5254	0.4387	2.0799	0.0000	0.0000	0.0000	0.6423	0.2429	4.4001	6.3231	60.0196	5.8309	21.4169	60.3022	63.7263	6.3952	0.4816	2.8980	0.0000	0.0000	0.0000	1.0599	0.4445	14.2287	14.3310	8.5421	7.9928	7.7826	11.6984	11.5558	0.6773	0.4357	2.0738	0.0000	0.0000	0.0000	0.6229	0.2353	4.7286	6.4922	57.3456	9.6705	12.8980	58.1553	58.7782	9.3795	0.5060	2.2253	0.0000	0.0000	0.0000	0.5550	0.1616	8.8280	0.0573	29.4525	17.5581	6.6266	34.2890	30.1887	6.9962	0.4637	2.1026	0.0000	0.0000	0.0000	1.0814	0.4397	2.8358	15.6620
2	-3.0144	-2.8888	5.5644	3.0000	0.0051	4.9790	0.1369	0.4434	8.4966	8.0447	5.5451	11.7008	10.1460	1.0881	0.4279	2.0150	0.0000	0.0000	0.0000	0.6317	0.2565	1.6598	7.4880	45.0593	3.1540	3.1471	45.1695	45.1690	1.0731	0.4025	2.8730	0.0000	0.0000	0.0000	0.5526	0.2120	0.0000	0.1720	8.9961	8.8542	5.7296	12.6225	10.6657	0.7899	0.4287	2.0002	0.0000	0.0000	0.0000	0.5862	0.2259	1.7629	8.3718	57.7496	19.1127	3.8261	60.8302	57.8762	5.3030	0.4329	1.1341	0.0000	0.0000	0.0000	0.4750	0.3285	8.4188	16.2631	29.0960	4.2294	9.9179	29.4018	30.7399	3.5973	0.4170	2.4443	0.0000	0.0000	0.0000	1.1920	0.5781	1.5662	8.6641
3	-2.8888	-2.7632	5.6618	6.0000	0.1073	5.3188	0.0672	0.1686	8.2350	2.7863	7.0084	8.6936	10.8135	1.6388	0.4285	2.3510	0.0000	0.0000	0.0000	0.6144	0.2431	2.1878	5.9580	68.5413	6.9284	4.3121	68.8906	68.6768	6.4447	0.4952	2.1109	0.0000	0.0000	0.0000	1.1862	0.5986	0.0428	1.3104	8.4799	2.7767	6.2525	8.9230	10.5358	1.7146	0.4280	2.3691	0.0000	0.0000	0.0000	0.6023	0.2349	2.3038	4.9631	99.8775	11.3957	100.7178	100.5255	141.8436	12.9118	0.3974	1.2128	0.0000	0.0000	0.0000	0.4577	0.1398	0.0000	99.8775	37.7557	24.6711	6.4055	45.1016	38.2952	6.2563	0.4139	2.3840	0.0000	0.0000	0.0000	0.6948	0.3169	0.7912	23.7294
4	-2.7632	-2.6376	5.9002	5.0000	0.0053	5.0483	0.3577	0.4889	7.9977	6.0164	6.6047	10.0080	10.3724	0.6515	0.4408	2.1274	0.0000	0.0000	0.0000	0.5596	0.2484	2.2327	6.1728	64.9485	30.5653	12.5571	71.7812	66.1512	14.6233	0.4022	1.5337	0.0000	0.0000	0.0000	1.6729	0.4163	0.5976	26.7364	8.4984	7.9531	5.7098	11.6394	10.2384	0.9693	0.4369	2.1228	0.0000	0.0000	0.0000	0.5712	0.2422	3.1880	6.8935	41.1607	2.1436	19.6467	41.2164	45.6091	2.7149	0.4857	2.0685	0.0000	0.0000	0.0000	0.2621	0.1093	13.5283	13.8208	26.6087	4.6431	12.9774	27.0108	29.6047	6.1920	0.4496	2.2249	0.0000	0.0000	0.0000	0.6455	0.4123	0.1363	11.1505
5	-2.6376	-2.5120	5.3439	5.0000	0.1251	4.7330	0.0649	0.4208	8.3714	9.1989	5.4056	12.4379	9.9650	1.5647	0.4318	2.0688	0.0000	0.0000	0.0000	0.5919	0.2668	1.4027	8.6785	74.6912	7.1670	9.6091	75.0342	75.3068	9.4929	0.4249	1.3426	0.0000	0.0000	0.0000	0.4628	0.1464	0.0113	0.0113	8.9318	9.3101	6.1650	12.9017	10.8529	1.9126	0.4316	2.1115	0.0000	0.0000	0.0000	0.5265	0.2331	1.9620	8.6136	51.9375	101.2999	32.6932	113.8383	61.3706	33.1070	0.5061	2.1540	0.0000	0.0000	0.0000	1.0172	0.2472	74.5753	59.9844	25.5318	6.0571	6.2462	26.2405	26.2848	3.9231	0.4242	1.7911	0.0000	0.0000	0.0000	1.3006	0.6845	4.2517	4.0790
6	-2.5120	-2.3864	5.3140	4.0000	0.0025	4.9024	0.0950	0.3141	8.9737	8.0165	4.1135	12.0329	9.8715	0.9836	0.4302	2.4006	0.0000	0.0000	0.0000	0.7590	0.3212	3.3908	6.7304	61.9577	15.1744	9.3924	63.7889	62.6656	12.3034	0.4039	1.3956	0.0000	0.0000	0.0000	0.4896	0.2231	6.7286	5.5871	9.2191	5.8206	3.8368	10.9028	9.9856	1.6045	0.4292	2.3564	0.0000	0.0000	0.0000	0.7611	0.3273	3.6954	3.4737	122.5740	167.1253	15.4994	207.2564	123.5500	16.8297	0.5293	4.1492	0.0000	0.0000	0.0000	0.2388	0.1647	0.0000	166.2229	31.1310	12.1990	16.7272	33.4359	35.3404	3.2100	0.4151	2.5685	0.0000	0.0000	0.0000	0.8861	0.2741	6.5866	16.4874
7	-2.3864	-2.2608	5.4754	3.0000	0.0087	5.0172	0.1304	0.3192	8.2972	2.8065	6.7131	8.7590	10.6728	1.6452	0.4379	2.1257	0.0000	0.0000	0.0000	0.6258	0.2612	5.0428	3.5148	76.6543	35.7751	33.5097	84.5916	83.6587	34.8489	0.4888	1.7468	0.0000	0.0000	0.0000	6.7108	4.1333	1.9067	1.5769	8.7691	2.4570	6.9442	9.1068	11.1857	1.0398	0.4375	2.0947	0.0000	0.0000	0.0000	0.6212	0.2633	5.4919	3.4562	49.5668	25.7947	21.6733	55.8769	54.0981	25.7331	0.4678	1.5776	0.0000	0.0000	0.0000	0.6465	0.2198	0.0000	0.0000	29.0668	3.1591	8.7473	29.2380	30.3545	1.1264	0.4308	2.8473	0.0000	0.0000	0.0000	0.5225	0.1395	0.3436	8.2409
8	-2.2608	-2.1352	4.6977	4.0000	0.0037	4.0186	0.2945	0.3808	9.7755	9.9136	2.5755	13.9227	10.1091	2.6665	0.4340	2.2687	0.0000	0.0000	0.0000	0.6402	0.2560	3.6318	8.4952	50.4212	802.4706	2.8896	804.0530	50.5040	1.2949	0.4107	2.3099	0.0000	0.0000	0.0000	0.7568	0.3465	0.6898	802.4667	9.8599	10.1740	2.3747	14.1678	10.1418	1.3944	0.4325	2.2374	0.0000	0.0000	0.0000	0.6140	0.2629	4.2024	8.8468	72.1927	22.3040	18.2518	75.5596	74.4642	22.1628	0.4964	2.4402	0.0000	0.0000	0.0000	0.2490	0.1250	0.0000	0.0000	24.4519	4.6748	10.2774	24.8948	26.5240	1.2604	0.4023	2.4662	0.0000	0.0000	0.0000	1.2180	0.2835	9.8096	3.5706
9	-2.1352	-2.0096	5.5613	2.0000	0.0027	5.0628	0.2518	0.2440	8.2601	6.4528	6.8653	10.4817	10.7406	1.7517	0.4344	2.1487	0.0000	0.0000	0.0000	0.6424	0.2930	2.0831	6.2257	60.2961	21.1259	37.9148	63.8899	71.2261	20.9075	0.4027	2.7675	0.0000	0.0000	0.0000	0.6015	0.2559	0.9637	31.5301	8.5838	6.0999	5.8868	10.5305	10.4085	1.7601	0.4334	2.1990	0.0000	0.0000	0.0000	0.6616	0.2978	1.9280	5.0997	46.6177	1.8039	3.7357	46.6526	46.7672	3.3209	0.4289	1.6012	0.0000	0.0000	0.0000	0.3573	0.2283	0.0000	0.0000	37.5013	21.4485	36.7428	43.2017	52.5013	0.4193	0.4612	1.6631	0.0000	0.0000	0.0000	0.5383	0.2604	7.4762	36.0812
10	-2.0096	-1.8840	5.9015	9.0000	0.0011	5.3984	0.1576	0.3444	8.2159	8.2531	6.6630	11.6454	10.5781	1.4667	0.4363	2.0518	0.0000	0.0000	0.0000	0.6958	0.2837	0.4392	7.8808	46.9687	91.8859	3.1241	103.1944	47.0724	0.7923	0.4446	1.1125	0.0000	0.0000	0.0000	2.5477	1.0983	0.0232	91.8362	8.5807	8.7680	7.5879	12.2681	11.4544	1.5479	0.4326	2.1090	0.0000	0.0000	0.0000	0.6990	0.2903	0.3979	8.3911	58.7172	2.3178	4.1032	58.7630	58.8604	3.8521	0.4606	1.2440	0.0000	0.0000	0.0000	0.4755	0.1077	0.0000	0.0000	31.7440	7.3017	2.8865	32.5729	31.8749	2.2301	0.4840	1.5290	0.0000	0.0000	0.0000	0.7406	0.2583	3.7537	5.9363
