Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	3.2112	1.0000	0.0017	2.8929	0.2159	0.1008	11.3309	7.8476	7.7713	13.7832	13.7399	0.7267	0.4385	2.0594	0.0000	0.0000	0.0000	0.5185	0.2172	1.4281	7.5039	90.1021	2.5101	4.0296	90.1371	90.1922	3.1523	0.5024	2.1974	0.0000	0.0000	0.0000	1.0343	0.3872	0.0000	0.0000	11.8530	8.7049	8.5589	14.7061	14.6201	1.2651	0.4344	2.0688	0.0000	0.0000	0.0000	0.5233	0.2242	1.5853	8.3296	49.2601	4.4371	6.4380	49.4595	49.6790	6.0792	0.4929	1.9881	0.0000	0.0000	0.0000	0.5149	0.1729	0.0000	0.0000	58.7599	2.0276	3.0923	58.7949	58.8412	2.3177	0.4389	1.9394	0.0000	0.0000	0.0000	0.3815	0.1089	0.0000	0.2815
3	-2.3000	-2.2000	3.4579	6.0000	0.0071	3.1511	0.2130	0.0867	11.6590	7.4771	5.0748	13.8506	12.7156	2.7750	0.4495	1.9609	0.0000	0.0000	0.0000	0.4386	0.1635	3.0659	5.8771	90.8622	42.3791	39.2914	100.2593	98.9938	42.3490	0.3972	1.5003	0.0000	0.0000	0.0000	0.3578	0.0944	0.0000	0.0000	11.3178	7.7281	4.9681	13.7046	12.3602	1.4130	0.4457	2.0561	0.0000	0.0000	0.0000	0.4426	0.1676	3.4025	6.4494	86.1482	24.8994	16.2317	89.6744	87.6641	24.8866	0.5061	0.5179	0.0000	0.0000	0.0000	0.3244	0.0813	0.0000	0.0000	46.5941	3.4284	8.8402	46.7200	47.4253	2.6119	0.4528	2.0832	0.0000	0.0000	0.0000	0.5806	0.2240	1.7686	8.3718
4	-2.2000	-2.1000	3.4132	0.0000	0.0001	3.3236	0.0000	0.0896	10.4152	6.0698	3.2460	12.0548	10.9093	0.7016	0.4391	2.2085	0.0000	0.0000	0.0000	0.7232	0.3561	2.2161	5.0715	94.6774	27.6079	29.8776	98.6205	99.2798	29.8159	0.5001	1.2643	0.0000	0.0000	0.0000	1.0478	0.8600	0.0000	0.0000	10.6461	5.4621	2.7062	11.9655	10.9846	0.1743	0.4399	2.1979	0.0000	0.0000	0.0000	0.7109	0.3489	2.2759	4.3563	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.3296	37.8576	37.4652	53.8735	53.5985	20.6259	0.4110	2.6024	0.0000	0.0000	0.0000	1.1809	0.6202	0.1935	32.0448
5	-2.1000	-2.0000	3.8836	2.0000	0.0005	3.6722	0.1084	0.1024	9.8693	7.9985	5.8422	12.7035	11.4688	0.7205	0.4429	2.1506	0.0000	0.0000	0.0000	0.5566	0.2479	1.7295	7.4346	52.0683	10.4604	13.7778	53.1087	53.8604	13.7412	0.4635	0.7944	0.0000	0.0000	0.0000	0.3880	0.1052	0.0000	0.0000	10.1783	8.4725	6.1927	13.2432	11.9142	1.3559	0.4434	2.1664	0.0000	0.0000	0.0000	0.5150	0.2327	1.8290	7.8352	64.8301	15.1562	14.8193	66.5782	66.5023	14.7738	0.4087	2.4353	0.0000	0.0000	0.0000	2.1455	0.8627	0.0000	0.0000	46.4408	5.0324	6.2060	46.7126	46.8536	5.9528	0.4623	1.2920	0.0000	0.0000	0.0000	0.3693	0.1425	0.5151	1.0190
6	-2.0000	-1.9000	4.6831	7.0000	0.0041	4.1804	0.2923	0.2063	9.2663	3.0447	3.5383	9.7537	9.9189	0.7015	0.4401	2.2919	0.0000	0.0000	0.0000	0.4897	0.2154	1.4820	2.0245	56.1909	31.4586	24.3244	64.3977	61.2298	31.3285	0.4472	2.7420	0.0000	0.0000	0.0000	0.6200	0.2481	0.0000	0.0000	9.6452	3.1088	3.4325	10.1338	10.2378	1.3367	0.4393	2.2204	0.0000	0.0000	0.0000	0.4951	0.2240	1.6602	1.8786	46.7190	5.1214	21.8796	46.9989	51.5886	6.8621	0.4509	2.0130	0.0000	0.0000	0.0000	0.3203	0.1624	0.0000	20.6699	40.7773	34.2226	19.3138	53.2351	45.1200	3.9242	0.4408	4.1271	0.0000	0.0000	0.0000	0.6190	0.1154	0.1297	33.7367
7	-1.9000	-1.8000	4.5216	1.0000	0.0047	4.1559	0.1919	0.1691	9.5654	3.1328	3.3960	10.0653	10.1504	2.2281	0.4385	2.0465	0.0000	0.0000	0.0000	0.5492	0.2546	0.3212	1.5308	85.7650	2.7523	5.8087	85.8091	85.9614	5.6144	0.4064	1.3003	0.0000	0.0000	0.0000	0.5426	0.2626	0.0000	0.0000	9.8114	3.1250	3.4304	10.2970	10.3938	2.2773	0.4397	1.9655	0.0000	0.0000	0.0000	0.5528	0.2584	0.3767	1.7159	58.0679	13.1144	13.8284	59.5304	59.6918	13.3479	0.4280	3.5306	0.0000	0.0000	0.0000	0.5954	0.2355	1.0904	1.0904	54.0958	10.3072	11.6868	55.0690	55.3438	10.4375	0.4198	2.3739	0.0000	0.0000	0.0000	0.4091	0.1817	0.1893	4.6467
8	-1.8000	-1.7000	5.3141	4.0000	0.0059	4.8526	0.2397	0.2158	8.2715	4.5299	5.3255	9.4307	9.8376	0.5883	0.4452	1.9138	0.0000	0.0000	0.0000	0.5766	0.2625	0.1567	4.8936	75.2793	17.6108	17.9973	77.3118	77.4008	17.9168	0.4745	1.5120	0.0000	0.0000	0.0000	0.4544	0.4157	0.0000	0.0000	8.6781	2.3708	5.3024	8.9962	10.1699	0.9950	0.4486	1.9269	0.0000	0.0000	0.0000	0.5054	0.2243	0.7988	4.7584	44.1344	62.3957	13.8044	76.4269	46.2430	7.1421	0.3955	1.7141	0.0000	0.0000	0.0000	0.5183	0.1437	0.0000	61.9583	31.6014	20.9714	3.2041	37.9269	31.7635	0.4646	0.4217	1.8515	0.0000	0.0000	0.0000	2.2468	1.2495	14.1045	15.1800
9	-1.7000	-1.6000	6.2983	3.0000	0.0535	5.7785	0.2509	0.2154	7.8959	3.1483	7.4295	8.5005	10.8418	2.2521	0.4352	2.3188	0.0000	0.0000	0.0000	0.4895	0.2011	1.7228	6.4274	92.8246	9.3611	11.0269	93.2954	93.4773	10.8575	0.3974	1.8607	0.0000	0.0000	0.0000	0.2649	0.1284	0.0000	0.0000	8.0360	3.0209	7.0139	8.5851	10.6664	1.6452	0.4316	2.3987	0.0000	0.0000	0.0000	0.4819	0.1889	2.2798	5.9230	46.1082	4.7524	30.9850	46.3525	55.5521	8.2262	0.4775	1.2335	0.0000	0.0000	0.0000	0.3856	0.2641	21.1111	21.0891	58.4193	14.1101	10.6190	60.0991	59.3766	9.4379	0.4907	1.5533	0.0000	0.0000	0.0000	0.8702	0.4724	10.7816	4.4783
10	-1.6000	-1.5000	6.7985	4.0000	0.0033	5.9481	0.4670	0.3801	7.9099	4.3031	2.9945	9.0046	8.4578	0.9301	0.4406	2.0545	0.0000	0.0000	0.0000	0.5476	0.2360	0.3175	3.6982	88.7356	10.1324	11.7815	89.3122	89.5143	11.6050	0.4067	1.9598	0.0000	0.0000	0.0000	0.3363	0.0854	0.0000	0.0000	8.1562	4.5199	3.0736	9.3248	8.7161	0.3600	0.4383	2.0997	0.0000	0.0000	0.0000	0.5541	0.2388	0.3629	3.9325	43.5472	7.7825	10.0377	44.2372	44.6891	9.9033	0.4650	1.5086	0.0000	0.0000	0.0000	0.3846	0.2014	0.0000	0.0000	29.3652	5.2116	2.5272	29.8241	29.4738	1.2813	0.4466	2.0177	0.0000	0.0000	0.0000	0.6470	0.2360	0.6051	4.6090
11	-1.5000	-1.4000	5.8008	6.0000	0.0014	5.3885	0.0681	0.3428	8.0506	2.3705	3.5068	8.3924	8.7812	0.7472	0.4432	1.7916	0.0000	0.0000	0.0000	0.6077	0.2787	0.1412	2.8740	65.0112	9.7486	11.7487	65.7381	66.0643	11.3341	0.4819	1.6205	0.0000	0.0000	0.0000	2.2803	1.2293	0.0000	1.1818	8.2882	2.3908	3.6683	8.6262	9.0637	0.7398	0.4415	1.8166	0.0000	0.0000	0.0000	0.5833	0.2646	0.1672	3.0835	69.6969	9.7759	18.5656	70.3792	72.1273	18.5291	0.5202	0.8365	0.0000	0.0000	0.0000	0.5727	0.2365	0.0000	0.0000	37.3273	2.5059	2.2270	37.4113	37.3936	0.9507	0.4557	1.5893	0.0000	0.0000	0.0000	0.9915	0.5051	1.1754	0.9623
12	-1.4000	-1.3000	6.4132	10.0000	0.0048	5.7503	0.2464	0.4117	7.5583	5.4818	5.1253	9.3369	9.1321	2.5216	0.4357	1.9727	0.0000	0.0000	0.0000	0.6805	0.2972	0.8906	4.5117	46.9245	10.5236	12.1242	48.0900	48.4655	11.7417	0.4194	2.9481	0.0000	0.0000	0.0000	0.4721	0.1957	0.0000	0.0000	7.9916	5.6426	4.9479	9.7829	9.3994	2.1575	0.4332	1.9412	0.0000	0.0000	0.0000	0.5820	0.2398	0.9984	4.8391	48.0078	4.6726	6.2059	48.2347	48.4073	4.8737	0.4801	2.0836	0.0000	0.0000	0.0000	2.7927	1.5457	0.0000	0.0000	24.0268	6.4654	9.0113	24.8815	25.6611	6.0912	0.4429	2.3350	0.0000	0.0000	0.0000	0.7946	0.3540	0.1008	6.1388
