Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.0114	0.0000	0.0000	0.0000	0.0000	0.0114	99.8660	124.5291	40.7864	159.6268	107.8737	40.5274	0.5061	4.5513	0.0000	0.0000	0.0000	0.2562	0.0617	0.1341	118.7871	100.0000	9.5231	142.1338	100.4524	173.7873	10.5510	0.5061	9.5061	0.0000	0.0000	0.0000	0.2331	0.1131	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	41.5950	40.8254	108.3058	108.0126	40.5677	0.5061	4.5447	0.0000	0.0000	0.0000	0.2562	0.0617	0.0000	18.1404
2	-4.8000	-4.6000	0.0147	0.0000	0.0000	0.0000	0.0126	0.0021	86.8845	254.2118	109.6831	268.6496	139.9260	65.5293	0.5061	4.4120	0.0000	0.0000	0.0000	0.1124	0.0598	245.5806	99.8243	100.0000	139805.1140	7.7620	139805.1497	100.3008	7.5272	0.5061	1.5739	0.0000	0.0000	0.0000	0.9203	0.0964	139805.1013	59.3923	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	78.5335	113.3875	127.1515	151.1844	78.3889	0.5061	4.7355	0.0000	0.0000	0.0000	0.1028	0.0608	0.0000	100.0000	100.0000	12.0380	125.7147	100.7220	160.6368	11.9489	0.5061	2.4789	0.0000	0.0000	0.0000	0.1610	0.0527	75.1996	100.0000
3	-4.6000	-4.4000	0.0365	0.0000	0.0360	0.0000	0.0000	0.0005	98.6070	152.9639	144.8689	181.9926	175.2437	33.1780	0.5045	12.7890	0.0000	0.0000	0.0000	1.0044	0.1201	150.8070	100.0000	100.0000	25.9767	145.9453	103.3189	176.9182	33.6470	0.5061	12.9081	0.0000	0.0000	0.0000	1.0121	0.1198	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	428.8404	100.1735	440.3455	141.5441	3.8463	0.3972	4.4223	0.0000	0.0000	0.0000	0.4579	0.1399	303.2195	303.2195
4	-4.4000	-4.2000	0.0002	0.0000	0.0002	0.0000	0.0000	0.0000	87.1655	30336.6497	7.9072	30336.7750	87.5234	7.8393	0.4909	0.4680	0.0000	0.0000	0.0000	0.6748	0.3916	30334.8216	333.0386	87.1655	1.0338	16.0435	87.1716	88.6296	7.8393	0.4909	0.4680	0.0000	0.0000	0.0000	0.6748	0.3916	0.0000	13.9596	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-4.2000	-4.0000	0.0784	0.0000	0.0002	0.0747	0.0019	0.0016	73.4774	5.4192	71.0366	73.6770	102.2014	3.9578	0.5051	4.0546	0.0000	0.0000	0.0000	0.5110	0.2083	70.7824	1.8396	100.0000	16.5617	100.0464	101.3622	141.4541	2.9697	0.5061	0.2869	0.0000	0.0000	0.0000	0.3305	0.0766	0.2124	100.0000	77.0507	5.1586	71.8627	77.2232	105.3615	3.8241	0.5061	4.0464	0.0000	0.0000	0.0000	0.5247	0.2115	71.6427	0.0000	100.0000	18.0241	100.7746	101.6114	141.9701	17.6300	0.5061	3.7120	0.0000	0.0000	0.0000	0.1041	0.0536	100.0000	0.0000	57.8148	9.0164	89.4759	58.5137	106.5293	6.4490	0.4600	5.1689	0.0000	0.0000	0.0000	0.3737	0.2530	4.6253	89.1969
6	-4.0000	-3.8000	0.0781	0.0000	0.0002	0.0679	-0.0169	0.0269	95.6845	105.1065	19.4168	142.1369	97.6347	18.9471	0.5097	1.7142	0.0000	0.0000	0.0000	0.1516	0.0887	3.8457	103.3964	94.1188	82.4515	95.2162	125.1263	133.8823	14.4666	0.5059	0.4155	0.0000	0.0000	0.0000	0.4468	0.1404	0.1733	94.1072	100.0000	118.6397	18.9342	155.1624	101.7767	20.7819	0.5061	1.5330	0.0000	0.0000	0.0000	0.1720	0.0869	0.0000	116.7941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	92.6981	26.3564	35.5570	96.3722	99.2836	27.7351	0.5166	2.1701	0.0000	0.0000	0.0000	0.1031	0.0814	18.1828	12.6276
7	-3.8000	-3.6000	0.1089	0.0000	0.0038	0.0896	0.0212	-0.0057	55.3339	3.5168	25.5105	55.4455	60.9313	1.0752	0.5063	3.4765	0.0000	0.0000	0.0000	0.0914	0.1308	11.6330	22.4039	99.2106	22.9857	33.4816	101.8385	104.7079	33.3055	0.5061	3.3747	0.0000	0.0000	0.0000	0.3292	0.0730	0.0000	4.5935	64.3082	3.5272	28.9137	64.4048	70.5092	7.3701	0.5061	3.4888	0.0000	0.0000	0.0000	0.0931	0.0696	19.6117	19.6117	75.5513	21.3466	44.2068	78.5091	87.5342	21.1298	0.4721	2.9645	0.0000	0.0000	0.0000	0.2247	0.3835	31.1852	31.1852	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-3.6000	-3.4000	0.2826	0.0000	0.0012	0.1866	0.1023	-0.0075	45.6932	19.1960	30.1669	49.5616	54.7531	17.0832	0.5106	3.7409	0.0000	0.0000	0.0000	0.3232	0.0740	17.8852	19.3994	100.0000	9.3304	142.4133	100.4343	174.0159	17.0924	0.5061	2.3658	0.0000	0.0000	0.0000	0.5284	0.1498	99.9161	100.0000	49.9380	13.0857	37.4595	51.6240	62.4261	10.4459	0.4879	3.4008	0.0000	0.0000	0.0000	0.3254	0.1308	28.9640	21.0537	73.8886	22.3836	46.6172	77.2046	87.3653	20.5167	0.5061	5.7137	0.0000	0.0000	0.0000	0.5489	0.0771	6.4797	44.0662	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-3.4000	-3.2000	0.1481	2.0000	0.0006	-0.0455	0.1335	0.0596	67.1085	54.8058	9.0750	86.6442	67.7193	8.8723	0.4584	1.7518	0.0000	0.0000	0.0000	0.2524	0.1090	36.4174	40.4294	75.3595	278.5358	34.9918	288.5503	83.0872	44.6908	0.5059	1.5402	0.0000	0.0000	0.0000	0.2163	0.0619	193.4130	195.3809	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.5119	23.2288	18.5648	60.1760	58.5339	18.3826	0.4643	2.5410	0.0000	0.0000	0.0000	0.2297	0.0684	0.0000	18.0239	80.7697	29.1327	23.6825	85.8630	84.1701	28.7867	0.4814	1.4843	0.0000	0.0000	0.0000	0.4206	0.2557	2.1487	4.1667
10	-3.2000	-3.0000	0.2133	4.0000	0.0007	0.1382	0.1015	-0.0271	62.6631	208.0578	6.8034	217.2895	63.0314	27.2271	0.4966	3.2339	0.0000	0.0000	0.0000	0.2474	0.1927	161.4972	128.2754	75.7906	17.0060	78.5147	77.6751	109.1274	17.5756	0.4274	1.6923	0.0000	0.0000	0.0000	0.4183	0.1170	2.6173	76.4564	68.4431	66.6282	10.0021	95.5184	69.1700	35.4445	0.4586	3.0157	0.0000	0.0000	0.0000	0.2373	0.2614	54.2844	15.0594	72.0843	377.8639	68.6523	384.6781	99.5454	6.5857	0.5061	3.5883	0.0000	0.0000	0.0000	0.3906	0.0701	267.1371	267.1371	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
