Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	10.7702	10.0000	0.0640	8.2986	0.4998	1.9078	6.0053	6.6611	4.9085	8.9685	7.7561	2.5814	0.4371	3.2827	0.0000	0.0000	0.0000	0.6058	0.2478	1.2093	5.0395	49.2950	8.5853	12.1614	50.0371	50.7730	11.6618	0.3987	1.3129	0.0000	0.0000	0.0000	1.5905	0.8920	1.8296	1.8292	6.9722	6.1219	5.0585	9.2785	8.6140	1.7529	0.4389	3.0432	0.0000	0.0000	0.0000	0.6044	0.2503	2.8657	4.8983	37.1242	21.1505	21.5848	42.7265	42.9431	8.5802	0.3803	7.7326	0.0000	0.0000	0.0000	0.5398	0.1771	3.3471	18.8708	11.4995	11.3200	5.1830	16.1363	12.6136	8.9183	0.4455	3.2247	0.0000	0.0000	0.0000	0.5965	0.2338	5.7000	2.2605
2	50.0000	100.0000	84.1146	168.0000	0.5731	65.6296	5.0897	12.8222	2.2552	3.7597	3.5275	4.3843	4.1868	0.1230	0.4368	2.6679	0.0000	0.0000	0.0000	0.5527	0.2202	0.3072	2.5352	26.4171	21.2902	4.9024	33.9284	26.8681	2.2029	0.4401	2.4414	0.0000	0.0000	0.0000	0.6442	0.3157	0.3085	21.1307	2.5017	3.6845	3.3243	4.4535	4.1605	0.1432	0.4343	2.6205	0.0000	0.0000	0.0000	0.5462	0.2135	0.2398	2.4693	13.5896	4.8713	4.0828	14.4363	14.1896	0.7198	0.4774	2.9142	0.0000	0.0000	0.0000	0.4407	0.2064	1.9898	3.7754	4.9411	4.8417	6.5175	6.9179	8.1788	0.2230	0.4336	2.8227	0.0000	0.0000	0.0000	0.6260	0.2554	0.6156	5.7825
3	100.0000	150.0000	139.5828	240.0000	1.4150	115.0292	6.5037	16.6349	1.8768	3.9288	5.4061	4.3541	5.7226	0.4532	0.4340	2.6366	0.0000	0.0000	0.0000	0.5749	0.2316	0.6930	4.5843	21.9657	10.5624	8.3870	24.3733	23.5124	6.9867	0.4856	2.9955	0.0000	0.0000	0.0000	0.6501	0.2487	5.7023	7.2189	2.0828	4.3036	5.4106	4.7811	5.7976	0.7809	0.4305	2.5943	0.0000	0.0000	0.0000	0.5608	0.2237	0.5971	4.5856	10.9749	3.7611	14.5357	11.6015	18.2137	2.4766	0.4777	3.2707	0.0000	0.0000	0.0000	0.5260	0.2259	1.0017	13.8887	4.3201	6.4039	6.8616	7.7248	8.1083	1.9707	0.4362	2.6508	0.0000	0.0000	0.0000	0.6845	0.2866	1.3777	5.9738
4	150.0000	200.0000	185.4822	294.0000	1.7680	163.3151	6.7395	13.6596	1.6354	4.4705	5.6506	4.7602	5.8826	0.8610	0.4320	2.6592	0.0000	0.0000	0.0000	0.5201	0.2025	0.3684	4.8487	62.8226	45.7814	73.3100	77.7343	96.5456	44.2788	0.4880	5.6068	0.0000	0.0000	0.0000	0.3277	0.1379	4.5302	64.7903	1.6210	3.7971	4.5275	4.1287	4.8090	0.5171	0.4294	2.5949	0.0000	0.0000	0.0000	0.5194	0.2018	0.3456	3.5919	10.8044	24.0590	14.8328	26.3737	18.3507	0.5600	0.4810	3.4732	0.0000	0.0000	0.0000	0.3314	0.1298	2.3917	23.6790	4.7972	3.5756	8.0469	5.9832	9.3684	1.2914	0.4320	2.6446	0.0000	0.0000	0.0000	0.6468	0.2545	0.3137	7.4960
5	200.0000	250.0000	214.4809	424.0000	1.2130	194.6783	5.5596	13.0300	1.4771	4.5292	3.0598	4.7640	3.3977	0.7282	0.4309	2.5545	0.0000	0.0000	0.0000	0.5272	0.2058	0.1417	3.6007	48.7159	13.8055	9.6977	50.6343	49.6718	11.1389	0.4830	2.7092	0.0000	0.0000	0.0000	0.3850	0.1392	5.6426	7.6553	1.5305	4.2823	2.9066	4.5476	3.2849	0.6419	0.4291	2.5304	0.0000	0.0000	0.0000	0.5156	0.1979	0.1226	3.3218	11.6601	4.5763	10.7611	12.5260	15.8669	2.6964	0.4751	2.9193	0.0000	0.0000	0.0000	0.5044	0.2299	0.8832	9.9345	4.7935	8.4834	3.6869	9.7440	6.0473	0.8417	0.4336	2.7453	0.0000	0.0000	0.0000	0.7223	0.3198	1.4955	7.8312
6	250.0000	300.0000	237.8145	420.0000	0.5918	220.3129	5.5352	11.3746	1.3491	3.6714	4.5008	3.9115	4.6987	0.4952	0.4305	2.5239	0.0000	0.0000	0.0000	0.4918	0.1892	0.3614	3.6303	28.0752	5.5517	25.9947	28.6188	38.2615	5.6172	0.4532	1.9875	0.0000	0.0000	0.0000	0.3544	0.2465	13.5338	21.3698	1.3994	3.8438	5.0205	4.0906	5.2119	0.6922	0.4296	2.5120	0.0000	0.0000	0.0000	0.4868	0.1860	0.3001	4.2373	11.2010	18.8162	6.6337	21.8977	13.0180	0.7407	0.4672	3.1816	0.0000	0.0000	0.0000	0.4146	0.1840	0.2826	18.5316	5.3885	5.4917	3.6840	7.6938	6.5274	2.8784	0.4291	2.4630	0.0000	0.0000	0.0000	0.6335	0.2508	2.1437	3.2501
7	300.0000	350.0000	233.2898	438.0000	0.9937	216.8129	5.9929	9.4903	1.4136	5.1869	5.7209	5.3761	5.8930	0.7858	0.4288	2.5083	0.0000	0.0000	0.0000	0.4704	0.1781	0.8216	4.9707	26.1598	9.6616	10.0739	27.8869	28.0324	2.4724	0.4504	3.1767	0.0000	0.0000	0.0000	0.4566	0.1462	8.1595	9.2112	1.4604	5.0803	5.2445	5.2860	5.4441	0.8315	0.4275	2.4884	0.0000	0.0000	0.0000	0.4613	0.1720	0.7598	4.4294	11.8899	5.9611	14.4078	13.3005	18.6803	4.6082	0.4674	2.8289	0.0000	0.0000	0.0000	0.3659	0.1652	2.2241	13.3993	5.5234	11.0850	13.7859	12.3849	14.8512	2.9704	0.4322	2.6920	0.0000	0.0000	0.0000	0.7458	0.3271	2.2869	12.9577
8	350.0000	400.0000	217.7645	424.0000	0.4102	204.9694	4.3403	8.0445	1.4132	6.0423	4.7501	6.2054	4.9559	0.3361	0.4294	2.3929	0.0000	0.0000	0.0000	0.4522	0.1733	0.9340	5.4203	32.3136	42.5180	5.5741	53.4036	32.7909	6.2845	0.4660	2.1440	0.0000	0.0000	0.0000	0.3804	0.1639	0.6092	41.9872	1.4597	6.0526	4.9811	6.2261	5.1906	0.3036	0.4285	2.3761	0.0000	0.0000	0.0000	0.4492	0.1716	1.0045	5.4288	11.6098	16.2793	4.8258	19.9951	12.5728	2.2739	0.4676	2.8152	0.0000	0.0000	0.0000	0.3921	0.1644	3.1293	15.8982	6.1922	3.3485	3.5650	7.0395	7.1451	0.1309	0.4297	2.6040	0.0000	0.0000	0.0000	0.5664	0.2204	1.9691	2.3146
9	400.0000	450.0000	173.6910	300.0000	0.4052	163.0894	4.5364	5.6600	1.5887	5.5237	7.6408	5.7477	7.8043	0.1853	0.4299	2.3827	0.0000	0.0000	0.0000	0.4633	0.1814	0.5296	7.2082	34.2108	6.3420	32.2330	34.7937	47.0037	5.6444	0.4298	3.8355	0.0000	0.0000	0.0000	0.4317	0.1427	0.3036	31.4946	1.6386	5.7225	7.3541	5.9525	7.5344	0.1884	0.4289	2.3794	0.0000	0.0000	0.0000	0.4600	0.1794	0.6335	6.8962	11.6879	4.5637	10.8399	12.5473	15.9409	1.2707	0.4638	2.4569	0.0000	0.0000	0.0000	0.4747	0.2390	3.5692	10.4573	7.3460	7.5867	12.2377	10.5604	14.2733	2.6018	0.4318	2.3154	0.0000	0.0000	0.0000	0.5499	0.1961	0.8367	11.8563
10	450.0000	500.0000	127.4496	296.0000	0.3364	119.9448	2.9998	4.1685	1.9967	7.1084	5.0224	7.3835	5.4047	1.4723	0.4302	2.5379	0.0000	0.0000	0.0000	0.4636	0.1830	0.1540	6.4392	41.5645	9.0738	11.0471	42.5434	43.0075	4.0927	0.3691	4.2904	0.0000	0.0000	0.0000	0.6351	0.2404	9.2889	7.6605	2.0621	6.5575	5.6355	6.8741	6.0009	1.5512	0.4294	2.5187	0.0000	0.0000	0.0000	0.4463	0.1708	0.4105	5.8025	14.4080	21.5787	7.9000	25.9467	16.4317	0.3127	0.4785	3.0585	0.0000	0.0000	0.0000	0.6404	0.4051	7.2286	21.2413	9.3431	14.8750	3.4142	17.5659	9.9474	0.4875	0.4251	2.5739	0.0000	0.0000	0.0000	0.8190	0.3699	2.0108	14.5983
11	500.0000	550.0000	100.6378	188.0000	0.1483	92.8380	3.4989	4.1526	2.0833	6.6072	5.2427	6.9279	5.6415	0.1832	0.4309	2.4278	0.0000	0.0000	0.0000	0.4766	0.1819	1.1764	5.9943	29.9731	116.6430	18.6793	120.4325	35.3172	2.0421	0.4638	4.5383	0.0000	0.0000	0.0000	0.4535	0.1855	21.8252	114.4729	2.1532	7.3439	4.8218	7.6530	5.2807	0.2894	0.4299	2.3770	0.0000	0.0000	0.0000	0.4762	0.1819	1.0725	6.8318	14.6177	6.3125	15.2895	15.9225	21.1530	6.9908	0.4602	3.5017	0.0000	0.0000	0.0000	0.4062	0.1242	1.2485	13.0647	8.8845	4.6712	8.1259	10.0376	12.0401	2.2443	0.4278	2.5845	0.0000	0.0000	0.0000	0.5459	0.2314	3.7693	7.3334
