Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.4000	1.4882	-1	0.3226	1.0150	0.1080	0.0426	15.2270	12.0139	5.8866	19.3957	16.3252	0.6196	0.9119	5.1342	0.4081	0.0000	0.0000	0.0000	0.0000	5.1323	9.5000	22.3406	11.4582	7.1214	25.1076	23.4482	1.0415	0.8905	6.0143	0.5173	0.0000	0.0000	0.0000	0.0000	2.6837	9.6889	20.1341	13.5554	5.8413	24.2720	20.9644	0.6324	0.9147	4.9327	0.3509	0.0000	0.0000	0.0000	0.0000	7.5249	10.0714	58.3420	6.9996	5.3966	58.7604	58.5911	5.2477	0.9347	4.5047	0.5380	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.1461	21.1555	11.9702	52.5890	49.6118	10.5285	0.9516	4.8689	0.6153	0.0000	0.0000	0.0000	0.0000	0.0000	18.5553
2	-2.4000	-2.3000	1.7890	-1	0.4789	1.2347	0.0001	0.0753	13.8697	10.3759	7.9967	17.3214	16.0099	2.0395	0.9166	5.0331	0.4127	0.0000	0.0000	0.0000	0.0000	2.5420	8.8244	19.1020	9.3613	11.6828	21.2726	22.3914	1.3788	0.9327	5.2512	0.5288	0.0000	0.0000	0.0000	0.0000	0.0000	10.3572	18.4790	9.6266	7.7361	20.8361	20.0330	2.7879	0.9107	5.0233	0.3668	0.0000	0.0000	0.0000	0.0000	3.6832	7.6903	100.0000	18.8837	22.2087	101.7674	102.4364	21.7356	1.0147	4.4315	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.8434	35.7266	6.6299	57.3352	45.3309	6.0111	0.9103	3.8083	0.4249	0.0000	0.0000	0.0000	0.0000	0.0000	34.9963
3	-2.3000	-2.2000	1.8543	-1	0.4165	1.2108	0.0831	0.1439	13.5616	5.7964	6.6034	14.7484	15.0838	2.4769	0.9196	5.3152	0.4466	0.0000	0.0000	0.0000	0.0000	1.0647	2.9090	19.4252	6.5712	13.8684	20.5066	23.8678	1.0395	0.9259	4.9203	0.5003	0.0000	0.0000	0.0000	0.0000	0.2053	12.9509	18.3462	6.3416	6.9037	19.4113	19.6022	3.7830	0.9117	5.6112	0.3975	0.0000	0.0000	0.0000	0.0000	1.5600	0.2677	83.1203	3.9178	3.8441	83.2126	83.2091	0.8469	0.9951	3.6019	0.8173	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.2652	5.8412	5.6161	35.7457	35.7096	2.9052	0.9246	4.9582	0.4904	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.2000	-2.1000	1.6476	-1	0.3924	1.1334	0.0016	0.1204	13.1707	13.0597	7.6104	18.5479	15.2114	2.8520	0.9160	5.1726	0.4045	0.0000	0.0000	0.0000	0.0000	0.8529	11.6971	17.9357	12.1738	16.6692	21.6769	24.4857	1.3353	0.9307	4.4863	0.5181	0.0000	0.0000	0.0000	0.0000	0.3907	15.9904	17.8127	14.5158	6.8060	22.9783	19.0687	3.7874	0.9103	5.3546	0.3557	0.0000	0.0000	0.0000	0.0000	1.3752	13.0968	100.0000	24.8829	25.3410	103.0493	103.1609	9.2570	0.5061	24.0724	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.8738	10.2598	8.5121	32.5340	32.0258	8.6259	0.9267	5.4501	0.4862	0.0000	0.0000	0.0000	0.0000	0.0000	0.2430
5	-2.1000	-2.0000	2.4409	-1	0.6261	1.6001	0.0621	0.1525	11.5812	9.7289	6.4068	15.1254	13.2352	2.1808	0.9148	4.9599	0.4176	0.0000	0.0000	0.0000	0.0000	0.3825	8.0748	15.3876	8.4227	13.0141	17.5420	20.1531	0.7397	0.9177	4.7889	0.4593	0.0000	0.0000	0.0000	0.0000	3.8382	11.4526	15.4971	10.0368	5.7860	18.4634	16.5420	2.8556	0.9118	5.0606	0.3887	0.0000	0.0000	0.0000	0.0000	0.9183	8.1738	72.9208	14.4860	9.4492	74.3458	73.5305	13.7663	0.9738	4.3436	0.7189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.1851	16.3684	10.0500	57.5615	56.0928	4.1479	0.9113	4.8565	0.4276	0.0000	0.0000	0.0000	0.0000	0.0000	15.4636
6	-2.0000	-1.9000	2.5402	-1	0.6116	1.6168	0.0555	0.2562	10.7198	4.0418	7.7915	11.4564	13.2522	0.3815	0.9169	3.4613	0.4258	0.0000	0.0000	0.0000	0.0000	0.2566	6.9193	14.5168	8.0033	16.3626	16.5768	21.8740	2.6910	0.9200	3.4233	0.4825	0.0000	0.0000	0.0000	0.0000	0.0000	15.9027	14.9961	3.6515	5.7546	15.4343	16.0623	1.8307	0.9140	3.3642	0.3821	0.0000	0.0000	0.0000	0.0000	0.4032	4.2019	74.2236	20.6733	21.9103	77.0488	77.3899	21.7755	0.9775	2.1183	0.7359	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.6750	5.8507	6.8411	30.2463	30.4533	3.6459	0.9143	4.4557	0.4988	0.0000	0.0000	0.0000	0.0000	0.0000	4.1202
7	-1.9000	-1.8000	2.4012	-1	0.6236	1.5591	0.0364	0.1822	11.3919	5.6099	7.8517	12.6983	13.8356	2.1124	0.9143	3.9439	0.4333	0.0000	0.0000	0.0000	0.0000	0.0006	6.6606	14.3129	11.1839	9.1720	18.1642	16.9995	4.8786	0.9191	3.3528	0.4664	0.0000	0.0000	0.0000	0.0000	0.0022	9.9046	16.1152	4.4162	8.3734	16.7093	18.1608	1.0679	0.9111	4.1126	0.4127	0.0000	0.0000	0.0000	0.0000	0.0000	7.2661	69.2570	20.1664	3.8454	72.1333	69.3636	19.9138	0.9648	2.9558	0.6773	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.5614	8.2654	5.9938	31.6594	31.1437	6.0310	0.9152	4.7213	0.4474	0.0000	0.0000	0.0000	0.0000	0.0000	2.9352
8	-1.8000	-1.7000	3.1233	-1	0.9417	1.9364	0.0607	0.1845	9.6832	5.7741	7.2887	11.2740	12.1198	2.0860	0.9217	3.9199	0.4583	0.0000	0.0000	0.0000	0.0000	0.9216	5.6566	13.2710	9.9120	7.2141	16.5640	15.1051	6.2381	0.9321	3.8994	0.5258	0.0000	0.0000	0.0000	0.0000	0.0000	6.5561	13.5842	4.7165	9.7764	14.3797	16.7365	1.2726	0.9165	3.9951	0.4220	0.0000	0.0000	0.0000	0.0000	1.4865	8.6762	99.9985	23.7570	23.1796	102.7817	102.6498	23.5700	0.9053	2.8044	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.5445	7.6051	5.0736	30.5076	29.9769	3.1554	0.9294	3.6021	0.5133	0.0000	0.0000	0.0000	0.0000	0.0000	5.8120
9	-1.7000	-1.6000	2.8983	-1	0.6004	2.0174	0.0768	0.2038	10.4370	10.7341	4.4781	14.9717	11.3571	0.8775	0.9307	3.7761	0.4592	0.0000	0.0000	0.0000	0.0000	0.9341	9.9508	14.5988	27.6456	4.4881	31.2635	15.2732	1.5944	0.9184	4.0972	0.4658	0.0000	0.0000	0.0000	0.0000	0.8612	27.2954	13.7699	7.3239	5.0016	15.5965	14.6501	1.2064	0.9336	3.7247	0.4664	0.0000	0.0000	0.0000	0.0000	1.5983	6.0825	67.1135	7.1748	3.3385	67.4960	67.1965	6.3340	0.9844	3.2155	0.2243	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.0322	5.1366	6.4306	31.4544	31.6915	5.3014	0.9174	3.5506	0.4568	0.0000	0.0000	0.0000	0.0000	0.0000	0.8918
10	-1.6000	-1.5000	0.9858	-1	0.2932	0.6389	0.0000	0.0538	16.1755	6.8915	6.3581	17.5824	17.3802	1.4361	0.8929	4.5979	0.4678	0.0000	0.0000	0.0000	0.0000	0.0000	4.8242	21.4064	5.4859	10.6956	22.0981	23.9296	0.7864	0.8751	5.3952	0.4709	0.0000	0.0000	0.0000	0.0000	0.0000	9.2162	22.5422	9.1928	4.7105	24.3445	23.0291	3.0616	0.8982	4.2787	0.4641	0.0000	0.0000	0.0000	0.0000	0.0000	7.4703	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.9245	8.5189	10.2174	51.6321	51.9393	7.4239	0.9265	4.0439	0.4958	0.0000	0.0000	0.0000	0.0000	0.0000	7.3727
