Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.4000	0.3489	-1	0.0117	0.1789	0.1337	0.0245	36.8026	30.8376	5.4945	48.0144	37.2105	1.5055	0.9318	5.3261	0.3470	0.0000	0.0000	0.0000	0.0000	0.0000	30.3579	44.3884	13.0690	12.7073	46.2723	46.1715	12.1418	0.9491	4.7035	0.5926	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.6877	6.6181	8.4035	48.1447	48.4224	7.1776	0.9542	4.3382	0.4325	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.7107	79.5861	9.7933	106.4610	71.3856	7.3133	0.9053	6.6350	0.2010	0.0000	0.0000	0.0000	0.0000	0.0000	79.1953	62.6141	17.0468	12.8637	64.8931	63.9218	16.0366	0.9053	5.6956	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.4000	-2.3000	0.3513	-1	0.0726	0.1444	0.0292	0.1051	31.3753	5.0013	8.9156	31.7715	32.6175	1.8097	0.9360	4.7251	0.5439	0.0000	0.0000	0.0000	0.0000	0.0000	7.3336	51.2689	5.7396	35.9416	51.5891	62.6123	4.1411	0.9610	4.0186	0.6597	0.0000	0.0000	0.0000	0.0000	0.0000	35.4650	57.7948	5.8013	7.8760	58.0852	58.3290	6.2348	0.9421	4.8088	0.5722	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	55.2402	40.7974	114.2431	108.0020	55.0579	0.9053	4.3738	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.6624	12.2509	13.5111	53.0951	53.4000	12.4855	0.9188	5.1959	0.4645	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.3000	-2.2000	0.2196	-1	0.0454	0.0000	0.1237	0.0505	40.8306	16.7776	13.9185	44.1432	43.1377	16.1181	0.9810	4.4906	0.7522	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	74.7022	15.1129	17.7486	76.2156	76.7817	17.2959	0.9911	3.8445	0.7992	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.2065	18.6619	12.3946	64.9455	63.4293	17.9861	1.0081	4.7937	0.8779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	61.6626	13.6859	14.3809	63.1631	63.3173	13.7042	0.9053	4.3294	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.2000	-2.1000	0.1294	-1	0.0067	0.0506	0.0664	0.0057	64.5822	4.7074	8.3121	64.7535	65.1149	7.5903	0.9086	3.2680	0.4185	0.0000	0.0000	0.0000	0.0000	0.0000	1.2626	39.6168	5.5394	6.3915	40.0022	40.1291	4.3602	0.9700	4.6217	0.7013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.5437	14.9922	17.6236	73.0976	73.6823	17.2466	0.9053	3.5448	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	2.5394	3.8904	100.0322	100.0756	2.9697	0.9053	2.3382	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	622.7349	254.5084	281.8376	672.7357	683.5431	281.5085	0.9053	10.0718	0.4255	0.0000	0.0000	0.0000	0.0000	0.0000	28.7264
5	-2.1000	-2.0000	0.1400	-1	0.0343	0.0461	0.0004	0.0592	39.7089	6.0568	24.6209	40.1682	46.7225	4.4995	0.9076	5.2159	0.4120	0.0000	0.0000	0.0000	0.0000	0.0000	23.6457	76.5078	6.9179	7.3206	76.8200	76.8573	3.9172	0.9130	6.2800	0.4378	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	75.8989	19.7098	20.8736	78.4163	78.7169	19.7695	0.9053	6.8297	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	62.8309	49.3159	118.1005	111.4991	62.4507	0.9053	6.8297	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.9818	5.0193	56.2757	58.1986	80.8012	5.7010	0.9062	3.3337	0.4049	0.0000	0.0000	0.0000	0.0000	0.0000	55.8811
6	-2.0000	-1.9000	0.2576	-1	0.0329	0.0419	0.1369	0.0459	40.6150	13.0407	3.3931	42.6572	40.7565	0.9827	0.9316	3.1390	0.3193	0.0000	0.0000	0.0000	0.0000	0.0000	12.6189	78.4435	60.1297	5.4674	98.8381	78.6338	4.2985	0.9163	3.2704	0.4633	0.0000	0.0000	0.0000	0.0000	0.0000	60.0196	100.0000	30.9306	8.3413	104.6743	100.3473	7.5272	0.9053	3.5162	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	30.4726	64.3734	3.4312	3.7955	64.4648	64.4852	2.1347	0.9519	3.0181	0.2308	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.8688	4.1648	4.6570	60.0134	60.0496	3.4079	0.9059	3.0612	0.4049	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.9000	-1.8000	0.1973	-1	0.0328	0.1201	0.0919	-0.0475	58.7477	17.4702	16.9278	61.2903	61.1379	17.0640	0.9532	3.1104	0.6236	0.0000	0.0000	0.0000	0.0000	0.0000	1.7480	76.7966	4.0746	5.8249	76.9047	77.0172	4.5668	0.9997	3.4277	0.8388	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.1986	2.9664	4.4782	62.2693	62.3596	3.4315	0.9516	2.6727	0.6162	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	72.6804	38.1401	34.1619	82.0798	80.3086	37.9645	0.9730	3.4503	0.7152	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-1.8000	-1.7000	0.1770	-1	0.0627	0.0496	0.0607	0.0041	47.8748	15.0294	15.2032	50.1785	50.2308	4.6140	0.9607	3.1865	0.6603	0.0000	0.0000	0.0000	0.0000	0.0000	14.5596	51.7748	41.8814	39.3127	66.5934	65.0085	8.8401	0.9560	3.4833	0.6397	0.0000	0.0000	0.0000	0.0000	0.0000	41.1197	100.0000	3.6530	5.2642	100.0667	100.1385	3.8463	0.9053	3.5162	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.8066	3.1875	6.1018	99.8575	99.9929	5.3548	1.0145	2.6051	0.9072	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	54.0983	18.1257	28.7676	57.0541	61.2716	17.8011	0.9076	3.2618	0.4455	0.0000	0.0000	0.0000	0.0000	0.0000	25.5230
9	-1.7000	-1.6000	0.1718	-1	0.0505	0.0419	0.0000	0.0794	40.7708	8.0217	4.3376	41.5525	41.0009	2.4805	0.9333	3.5949	0.2700	0.0000	0.0000	0.0000	0.0000	0.0000	6.6579	58.0441	8.5325	4.6742	58.6679	58.2320	7.7882	0.9406	3.3080	0.5652	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	75.3273	28.4099	14.4333	80.5067	76.6976	13.9552	0.9801	3.5946	0.1272	0.0000	0.0000	0.0000	0.0000	0.0000	25.5882	100.0000	45.1043	41.3884	109.7014	108.2266	44.7258	0.9053	5.7457	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.6003	15.3119	16.4814	71.2647	71.5251	15.9625	0.9039	3.7765	0.1577	0.0000	0.0000	0.0000	0.0000	0.0000	1.4404
10	-1.6000	-1.5000	0.0416	-1	0.0030	0.0355	0.0000	0.0031	85.6639	7.3739	8.9307	85.9807	86.1282	8.1567	0.8974	3.5790	0.4447	0.0000	0.0000	0.0000	0.0000	0.0000	0.8637	52.5421	9.0762	8.6158	53.3203	53.2438	1.8935	0.8343	8.8088	0.7081	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	8.8171	11.1482	100.3880	100.6195	10.7544	0.9053	2.8044	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.5225	18.4894	13.3284	58.5201	57.0999	12.1795	0.8663	7.4990	0.6846	0.0000	0.0000	0.0000	0.0000	0.0000	11.6645
