Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.4967	0.0000	0.2703	0.2095	0.0000	0.0168	24.7182	18.5589	10.5559	30.9099	26.8778	5.3581	0.9007	6.5283	1.0852	0.0000	0.0000	0.0000	0.0000	6.3836	15.8124	28.3169	21.9318	14.3165	35.8169	31.7303	2.5354	0.9170	8.0023	0.9091	0.0000	0.0000	0.0000	0.0000	11.7302	16.6644	45.1647	19.9551	14.3079	49.3767	47.3769	13.4575	0.8795	4.6564	1.3506	0.0000	0.0000	0.0000	0.0000	0.0000	15.8612	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	95.2785	12.3172	10.2870	96.0714	95.8323	10.4977	0.9038	6.1632	0.6087	0.0000	0.0000	0.0000	0.0000	0.0000	1.5298
2	-4.8000	-4.6000	1.2896	0.0000	0.6076	0.5936	0.0290	0.0594	15.6464	15.5639	9.8662	22.0691	18.4974	1.1746	0.9057	6.8774	1.0334	0.0000	0.0000	0.0000	0.0000	2.4160	13.8444	19.1767	10.1525	11.7144	21.6983	22.4716	2.9303	0.9135	7.1449	0.9604	0.0000	0.0000	0.0000	0.0000	5.1781	7.2841	26.8107	24.5735	10.3591	36.3685	28.7424	4.0051	0.8926	6.6517	1.0975	0.0000	0.0000	0.0000	0.0000	0.0000	23.4189	100.0000	55.1924	40.7355	114.2200	107.9786	55.0579	1.0147	3.6021	0.9082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.4224	11.8949	10.2193	53.7550	53.4092	8.6459	0.9032	7.9971	1.2002	0.0000	0.0000	0.0000	0.0000	0.5140	0.6182
3	-4.6000	-4.4000	1.4351	0.0000	0.7128	0.6296	0.0000	0.0927	14.4927	12.3538	13.0146	19.0436	19.4787	4.2447	0.8817	6.8153	1.0815	0.0000	0.0000	0.0000	0.0000	0.0000	10.7869	17.1169	14.9864	13.6326	22.7504	21.8823	2.7874	0.8851	7.9039	1.1557	0.0000	0.0000	0.0000	0.0000	0.0000	12.3383	26.3096	10.7268	11.1677	28.4123	28.5817	6.2245	0.8708	5.3563	0.9629	0.0000	0.0000	0.0000	0.0000	0.0000	9.0476	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.9719	9.6320	23.3825	34.3500	40.4214	3.5197	0.9298	8.3538	1.3162	0.0000	0.0000	0.0000	0.0000	0.0000	21.9305
4	-4.4000	-4.2000	2.0787	0.0000	1.0324	0.8439	0.1016	0.1008	12.7557	10.9065	14.6089	16.7828	19.3940	1.4621	0.9103	7.5922	1.1096	0.0000	0.0000	0.0000	0.0000	1.1971	12.4378	14.1861	12.9376	24.4593	19.1997	28.2754	2.0428	0.9116	7.8253	1.1770	0.0000	0.0000	0.0000	0.0000	3.1489	22.9968	24.1773	10.4066	9.9876	26.3219	26.1590	7.0800	0.8987	6.7271	1.0271	0.0000	0.0000	0.0000	0.0000	0.9036	6.7073	74.9060	41.0135	29.8574	85.3992	80.6373	39.5646	0.9409	10.7139	1.0407	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.6091	9.4248	10.3155	38.7721	38.9981	4.9422	0.9635	9.3006	1.1801	0.0000	0.0000	0.0000	0.0000	0.0000	0.9257
5	-4.2000	-4.0000	3.2690	0.0000	1.2310	1.8019	0.0475	0.1886	10.3433	10.5050	15.6361	14.7424	18.7476	0.4435	0.8978	6.8635	1.0606	0.0000	0.0000	0.0000	0.0000	0.3936	14.0851	12.6694	13.5160	20.1672	18.5255	23.8166	4.0019	0.9227	7.9312	1.2755	0.0000	0.0000	0.0000	0.0000	3.3978	17.8495	16.1806	10.2382	14.3115	19.1477	21.6016	5.2554	0.8774	6.2385	0.9159	0.0000	0.0000	0.0000	0.0000	2.8567	11.7556	81.5267	9.1603	8.6117	82.0397	81.9803	2.5905	0.9286	8.7102	0.6856	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.3613	31.3505	22.7507	44.3440	38.7444	20.3942	0.9221	5.4015	1.1342	0.0000	0.0000	0.0000	0.0000	16.3504	16.3794
6	-4.0000	-3.8000	4.7808	0.0000	1.9404	2.4689	0.0609	0.3105	8.5138	11.7654	11.9296	14.5227	14.6561	4.8910	0.9003	7.5495	1.1643	0.0000	0.0000	0.0000	0.0000	0.5411	8.4245	10.2329	11.0382	13.3968	15.0517	16.8578	2.4282	0.9167	6.7158	1.1832	0.0000	0.0000	0.0000	0.0000	0.5624	11.4494	13.8591	12.7563	10.7323	18.8361	17.5287	7.2637	0.8866	8.0435	1.1313	0.0000	0.0000	0.0000	0.0000	2.0300	6.2512	100.0000	21.9962	17.2971	102.3906	101.4849	17.6300	0.9053	12.9777	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.7819	15.0176	26.0251	28.1266	35.2546	1.0808	0.9047	7.7672	1.1558	0.0000	0.0000	0.0000	0.0000	5.9358	24.1511
7	-3.8000	-3.6000	5.7517	0.0000	2.2267	2.8778	0.1999	0.4473	7.5637	10.6319	10.7316	13.0479	13.1292	5.4944	0.8935	6.4569	1.1554	0.0000	0.0000	0.0000	0.0000	0.4309	6.6017	9.6038	12.7485	10.6414	15.9611	14.3344	3.2163	0.9018	6.5807	1.2325	0.0000	0.0000	0.0000	0.0000	2.4852	10.1868	12.1639	11.7054	12.5586	16.8813	17.4836	9.4799	0.8854	6.6244	1.0926	0.0000	0.0000	0.0000	0.0000	0.1641	4.9317	54.6755	33.8320	23.2914	64.2963	59.4298	31.0283	0.9053	6.7712	1.0273	0.0000	0.0000	0.0000	0.0000	0.0000	11.5813	21.2584	8.5971	18.6555	22.9310	28.2833	7.5167	0.8988	4.6226	1.2327	0.0000	0.0000	0.0000	0.0000	7.4896	14.5763
8	-3.6000	-3.4000	8.6750	0.0000	2.9279	5.0027	0.2126	0.5318	6.3560	12.2267	10.4170	13.7801	12.2030	2.0124	0.8954	6.5968	1.1368	0.0000	0.0000	0.0000	0.0000	2.0353	9.7820	8.2853	14.8572	12.8817	17.0112	15.3162	2.4615	0.9037	6.8609	1.1398	0.0000	0.0000	0.0000	0.0000	1.0984	12.8373	9.5065	11.2136	9.8403	14.7009	13.6823	1.8489	0.8873	6.4257	1.0951	0.0000	0.0000	0.0000	0.0000	2.2555	8.6002	46.7030	15.8369	8.9841	49.3151	47.5593	1.9426	0.9345	8.8109	1.6949	0.0000	0.0000	0.0000	0.0000	0.0000	13.0166	17.9752	9.2767	7.1597	20.2278	19.3486	3.9471	0.9109	5.8677	1.2890	0.0000	0.0000	0.0000	0.0000	5.9358	2.7856
9	-3.4000	-3.2000	11.7429	0.0000	4.1233	6.5253	0.1817	0.9126	5.4824	10.1948	11.2470	11.5754	12.5120	0.9794	0.8960	6.6773	1.1465	0.0000	0.0000	0.0000	0.0000	0.3520	9.0174	7.0133	13.8550	12.0637	15.5290	13.9542	3.3863	0.9000	6.2360	1.1215	0.0000	0.0000	0.0000	0.0000	2.7689	11.5792	8.3872	8.7836	11.3589	12.1449	14.1198	2.1161	0.8930	6.9523	1.1533	0.0000	0.0000	0.0000	0.0000	1.0904	8.6919	70.8718	38.0252	14.8792	80.4284	72.4169	13.6780	0.8557	5.7524	1.1991	0.0000	0.0000	0.0000	0.0000	0.0000	36.0366	13.2991	9.4840	14.0463	16.3344	19.3433	6.0977	0.9083	6.8895	1.1998	0.0000	0.0000	0.0000	0.0000	4.0562	9.8436
10	-3.2000	-3.0000	16.7433	0.0000	4.7067	10.0057	0.5979	1.4330	4.7105	8.9968	9.0758	10.1553	10.2254	2.2290	0.8941	6.6094	1.1233	0.0000	0.0000	0.0000	0.0000	0.5745	5.8072	6.6114	14.0750	8.7535	15.5504	10.9697	0.4063	0.8899	6.7700	1.0725	0.0000	0.0000	0.0000	0.0000	0.7923	12.2351	6.6434	7.9193	9.0444	10.3368	11.2221	3.4912	0.8961	6.4586	1.1261	0.0000	0.0000	0.0000	0.0000	0.9053	5.1969	37.2423	12.3757	22.3791	39.2447	43.4490	15.9311	0.9178	7.5912	1.1894	0.0000	0.0000	0.0000	0.0000	0.0000	13.7701	12.8218	9.0152	11.0021	15.6740	16.8951	4.9585	0.8843	6.7248	1.2429	0.0000	0.0000	0.0000	0.0000	1.9163	7.3127
