Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	3.8700	-1	1.0508	2.5156	0.0380	0.2656	8.7134	8.0177	8.7616	11.8408	12.3567	4.0898	0.0000	0.0000	0.0000	0.6398	0.0000	1.6139	0.7035	1.9145	7.5215	11.5848	8.6247	9.7090	14.4428	15.1153	0.8883	0.0000	0.0000	0.0000	0.9565	0.0000	2.2982	0.9813	0.0738	9.2975	12.0071	8.6103	9.9313	14.7753	15.5821	6.2540	0.0000	0.0000	0.0000	0.4054	0.0000	1.1683	0.4872	2.9492	7.6004	99.9970	11.8278	14.0056	100.6941	100.9731	13.9543	0.0000	0.0000	0.0000	0.3174	0.0000	1.0858	0.4096	0.0000	0.0000	29.6716	11.2853	4.0961	31.7453	29.9530	0.7184	0.0000	0.0000	0.0000	1.6537	0.0000	3.2024	1.6949	0.0617	10.5345
2	-3.0144	-2.8888	4.7596	-1	1.1423	3.0890	0.0908	0.4376	8.0371	4.4189	4.0065	9.1718	8.9803	1.1883	0.0000	0.0000	0.0000	0.6840	0.0000	1.6037	0.7336	1.1835	3.8127	11.1569	6.5679	6.7163	12.9466	13.0225	1.0446	0.0000	0.0000	0.0000	1.3205	0.0000	2.8604	1.3010	1.3790	5.7652	10.9211	4.4572	3.6939	11.7956	11.5289	1.7257	0.0000	0.0000	0.0000	0.4606	0.0000	1.1235	0.5262	1.2875	3.9079	61.4420	7.8195	10.3143	61.9376	62.3017	10.2070	0.0000	0.0000	0.0000	0.4344	0.0000	1.3152	0.5480	0.0000	0.0000	26.2331	4.4600	5.4362	26.6095	26.7904	4.6779	0.0000	0.0000	0.0000	0.6510	0.0000	1.7733	0.7547	1.8966	0.0585
3	-2.8888	-2.7632	5.0691	-1	1.0661	3.7188	0.0001	0.2841	8.1812	6.3329	4.1563	10.3459	9.1764	1.2936	0.0000	0.0000	0.0000	0.7258	0.0000	1.7686	0.7760	1.8657	5.9266	11.2328	13.8637	3.8726	17.8431	11.8816	2.1307	0.0000	0.0000	0.0000	1.1595	0.0000	2.5662	1.1684	0.3125	13.3517	10.4367	4.7203	2.9339	11.4545	10.8412	1.3691	0.0000	0.0000	0.0000	0.5501	0.0000	1.4288	0.6130	0.9715	4.3589	100.0000	36.7322	27.7827	106.5329	103.7877	36.2014	0.0000	0.0000	0.0000	1.9035	0.0000	5.5259	2.1344	0.0000	0.0000	29.4659	5.1298	31.7148	29.9091	43.2905	2.7308	0.0000	0.0000	0.0000	1.3971	0.0000	3.2219	1.4367	21.7418	22.6309
4	-2.7632	-2.6376	4.8841	-1	1.0573	3.3177	0.0108	0.4983	7.9895	4.0868	4.8865	8.9741	9.3654	2.5149	0.0000	0.0000	0.0000	0.6744	0.0000	1.6097	0.7152	1.6529	3.9818	11.3764	6.0330	11.1198	12.8771	15.9082	4.3068	0.0000	0.0000	0.0000	1.0952	0.0000	2.5016	1.0992	1.8075	10.0456	10.6528	4.4675	3.3309	11.5517	11.1615	2.2677	0.0000	0.0000	0.0000	0.4514	0.0000	1.1965	0.5232	2.4385	2.6382	430.5542	250.3878	4.6096	498.0672	430.5788	5.5255	0.0000	0.0000	0.0000	0.1642	0.0000	0.0179	0.1409	0.0000	250.3267	20.7956	3.0712	9.3471	21.0212	22.7997	0.6035	0.0000	0.0000	0.0000	1.2844	0.0000	2.5029	1.1966	4.1961	7.7773
5	-2.6376	-2.5120	4.5174	-1	0.8642	3.3660	0.0115	0.2756	8.2312	5.7836	4.2763	10.0600	9.2758	1.0348	0.0000	0.0000	0.0000	0.6350	0.0000	1.6388	0.6958	1.4548	5.3481	11.1738	11.1307	8.9231	15.7717	14.2995	2.2266	0.0000	0.0000	0.0000	1.3028	0.0000	2.9193	1.2961	1.9443	10.3458	10.4680	4.8898	3.0027	11.5538	10.8901	1.0844	0.0000	0.0000	0.0000	0.4494	0.0000	1.2758	0.5237	1.4533	4.4913	98.8736	72.5979	52.1453	122.6639	111.7816	72.5811	0.0000	0.0000	0.0000	0.5698	0.0000	1.3351	0.5713	0.0000	0.0000	24.7465	8.8289	9.6446	26.2743	26.5595	8.4869	0.0000	0.0000	0.0000	0.8107	0.0000	2.0699	0.9203	0.0000	6.9134
6	-2.5120	-2.3864	3.9418	-1	0.9691	2.5253	0.0640	0.3833	8.9496	9.1547	4.0999	12.8025	9.8440	1.4608	0.0000	0.0000	0.0000	0.6842	0.0000	1.6322	0.7241	0.3545	8.8257	11.0467	5.5611	9.3977	12.3675	14.5033	3.6555	0.0000	0.0000	0.0000	0.9793	0.0000	2.2287	0.9860	2.4785	7.8774	12.6481	12.3366	2.4363	17.6682	12.8806	2.4335	0.0000	0.0000	0.0000	0.5518	0.0000	1.3857	0.6018	0.8312	11.9579	62.4335	31.2499	35.4130	69.8176	71.7776	31.2301	0.0000	0.0000	0.0000	0.3828	0.0000	0.8555	0.6003	15.9025	15.9025	25.2540	5.6686	4.5445	25.8823	25.6596	2.9057	0.0000	0.0000	0.0000	0.8609	0.0000	1.8782	0.8883	3.9764	3.0024
7	-2.3864	-2.2608	5.0502	-1	1.2728	3.3487	0.0936	0.3352	8.0183	4.6717	5.0012	9.2800	9.4502	1.5224	0.0000	0.0000	0.0000	0.7190	0.0000	1.7973	0.7908	0.2016	4.3355	10.4339	6.9644	6.5863	12.5447	12.3388	1.2560	0.0000	0.0000	0.0000	1.1665	0.0000	2.7108	1.1811	1.1437	6.1066	10.7806	4.9147	5.3786	11.8481	12.0479	3.2568	0.0000	0.0000	0.0000	0.5815	0.0000	1.5006	0.6729	0.3354	4.1708	67.5262	4.8859	4.7451	67.7027	67.6927	3.6067	0.0000	0.0000	0.0000	1.4429	0.0000	2.4822	1.6189	0.0000	0.0000	32.7162	4.8387	5.2241	33.0721	33.1307	3.8743	0.0000	0.0000	0.0000	0.1910	0.0000	1.1009	0.2557	2.0452	3.2142
8	-2.2608	-2.1352	5.0005	-1	1.0999	3.4301	0.1874	0.2830	8.0314	4.7955	5.2797	9.3541	9.6114	2.8423	0.0000	0.0000	0.0000	0.7482	0.0000	1.7940	0.8006	1.3353	3.8509	10.6073	10.8666	3.8089	15.1855	11.2704	1.2410	0.0000	0.0000	0.0000	1.4151	0.0000	3.0500	1.4316	1.1646	10.0990	10.5399	4.1772	7.2728	11.3375	12.8056	4.5448	0.0000	0.0000	0.0000	0.4671	0.0000	1.2960	0.5444	1.7930	5.2665	49.9865	3.1321	1.6226	50.0845	50.0128	2.6737	0.0000	0.0000	0.0000	0.5915	0.0000	1.3855	0.6260	0.0000	0.0000	31.9846	7.8171	7.2852	32.9260	32.8038	6.7428	0.0000	0.0000	0.0000	1.6670	0.0000	3.2182	1.5684	0.2130	5.9658
9	-2.1352	-2.0096	4.8658	-1	0.9280	3.4378	0.0413	0.4587	7.8903	2.7511	2.7343	8.3562	8.3507	0.5211	0.0000	0.0000	0.0000	0.6718	0.0000	1.7149	0.7232	0.4193	1.8576	10.9628	7.2347	5.7149	13.1348	12.3630	2.6437	0.0000	0.0000	0.0000	1.3740	0.0000	2.9308	1.3338	2.7356	5.1652	10.2359	2.1870	2.0151	10.4669	10.4324	1.1279	0.0000	0.0000	0.0000	0.4766	0.0000	1.3656	0.5518	0.7635	1.0555	62.6205	8.7921	10.5369	63.2347	63.5008	10.4907	0.0000	0.0000	0.0000	0.2779	0.0000	0.8947	0.3228	0.0000	0.0000	24.4299	2.6101	9.4199	24.5690	26.1831	4.3810	0.0000	0.0000	0.0000	0.7501	0.0000	1.9460	0.8085	0.0497	8.0423
10	-2.0096	-1.8840	4.7808	-1	1.2559	3.1130	0.0547	0.3572	8.0511	5.4093	8.8108	9.6995	11.9353	1.9323	0.0000	0.0000	0.0000	0.6545	0.0000	1.6668	0.6936	1.1246	8.3072	10.3734	6.1425	5.0150	12.0556	11.5221	1.7732	0.0000	0.0000	0.0000	1.2425	0.0000	2.8620	1.2187	0.8072	5.0594	11.2443	5.1252	10.4118	12.3573	15.3245	2.1395	0.0000	0.0000	0.0000	0.4399	0.0000	1.2297	0.5028	1.6294	9.9673	94.7759	7.0329	9.7765	95.0365	95.2788	9.7495	0.0000	0.0000	0.0000	0.0824	0.0000	0.7040	0.1670	0.0000	0.0000	21.6255	8.5191	13.0674	23.2430	25.2669	0.2814	0.0000	0.0000	0.0000	0.5459	0.0000	1.4215	0.5909	0.1320	12.9649
