Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	6.6637	-1	0.1112	4.7568	1.4166	0.3791	7.9948	2.2494	1.4654	8.3052	8.1280	2.1360	0.0000	0.0000	0.0000	0.2049	0.0000	0.6550	0.1620	0.5198	0.5199	29.3759	10.2966	9.9308	31.1282	31.0091	10.1108	0.0000	0.0000	0.0000	0.4479	0.0000	1.8395	0.4434	0.0000	0.0985	9.2377	1.4379	1.2409	9.3490	9.3207	1.2660	0.0000	0.0000	0.0000	0.2043	0.0000	0.6305	0.1602	0.7282	0.7282	19.4009	5.1893	3.8759	20.0829	19.7842	5.1518	0.0000	0.0000	0.0000	0.1901	0.0000	0.5755	0.1414	0.0000	0.0000	31.3611	5.3564	5.6980	31.8152	31.8745	5.6204	0.0000	0.0000	0.0000	0.1961	0.0000	0.9112	0.1779	0.0000	0.0000
2	50.0000	100.0000	16.1387	-1	0.6329	12.7861	2.2393	0.4803	5.1358	2.4177	2.7863	5.6764	5.8429	2.6785	0.0000	0.0000	0.0000	0.1648	0.0000	0.7178	0.1494	0.1043	1.0868	19.6948	5.2409	7.8722	20.3802	21.2098	7.7659	0.0000	0.0000	0.0000	0.3920	0.0000	1.1819	0.3572	0.0009	0.0176	5.6693	2.8361	1.9716	6.3391	6.0023	2.4960	0.0000	0.0000	0.0000	0.1492	0.0000	0.6856	0.1345	0.1316	1.1416	15.6701	1.4157	5.8201	15.7340	16.7161	5.7953	0.0000	0.0000	0.0000	0.1101	0.0000	0.5146	0.1099	0.0000	1.3096	31.4917	2.0354	4.6358	31.5574	31.8311	4.0556	0.0000	0.0000	0.0000	0.5356	0.0000	1.9098	0.4571	0.0000	1.0135
3	100.0000	150.0000	18.7680	-1	1.0683	14.1030	3.0190	0.5777	4.7531	1.2882	0.9986	4.9246	4.8569	0.7742	0.0000	0.0000	0.0000	0.2047	0.0000	0.8012	0.1892	0.2745	0.5148	12.2090	9.4541	6.0575	15.4415	13.6292	9.2701	0.0000	0.0000	0.0000	0.5135	0.0000	1.7139	0.4892	0.0001	0.0821	5.4074	1.2297	1.0549	5.5454	5.5093	0.4816	0.0000	0.0000	0.0000	0.1853	0.0000	0.7877	0.1721	0.3653	0.6799	13.3914	4.6541	5.1584	14.1771	14.3506	5.1255	0.0000	0.0000	0.0000	0.1942	0.0000	0.5259	0.1595	0.0000	0.0000	31.8062	3.9983	8.2376	32.0566	32.8557	8.1865	0.0000	0.0000	0.0000	0.1630	0.0000	0.8823	0.2076	0.0000	0.0000
4	150.0000	200.0000	15.8791	-1	1.1092	11.8322	2.5123	0.4254	5.2346	2.3333	1.3459	5.7311	5.4049	0.7022	0.0000	0.0000	0.0000	0.2180	0.0000	0.7889	0.2034	0.0827	2.1740	11.8939	5.1675	2.5370	12.9680	12.1615	5.0036	0.0000	0.0000	0.0000	0.3800	0.0000	1.1586	0.3431	0.0000	0.2496	5.8247	3.0161	1.4125	6.5593	5.9936	0.4629	0.0000	0.0000	0.0000	0.2084	0.0000	0.7913	0.1959	0.1110	2.8942	16.7488	0.6009	1.6514	16.7596	16.8300	1.5386	0.0000	0.0000	0.0000	0.1646	0.0000	0.5566	0.1555	0.0000	0.0000	34.4389	10.3245	20.8162	35.9532	40.2412	20.7802	0.0000	0.0000	0.0000	0.3776	0.0000	1.1314	0.3307	0.0000	0.0000
5	200.0000	250.0000	13.4611	-1	1.3039	9.7932	1.6938	0.6701	5.3635	1.0305	1.7094	5.4617	5.6294	1.0310	0.0000	0.0000	0.0000	0.2916	0.0000	0.9326	0.2701	0.1362	0.9070	10.6752	3.0803	6.4985	11.1107	12.4976	5.2059	0.0000	0.0000	0.0000	0.5492	0.0000	1.4748	0.5073	1.4059	3.2345	6.4398	1.2207	1.7194	6.5545	6.6654	1.1129	0.0000	0.0000	0.0000	0.2892	0.0000	0.9404	0.2657	0.0000	0.8299	17.2347	1.9558	0.5739	17.3453	17.2442	1.8694	0.0000	0.0000	0.0000	0.1499	0.0000	0.5348	0.1482	0.0000	0.0000	20.5358	1.2731	10.0415	20.5752	22.8594	5.5177	0.0000	0.0000	0.0000	0.1842	0.0000	0.7694	0.1822	0.0000	8.3504
6	250.0000	300.0000	10.0202	-1	1.1742	7.1393	1.1727	0.5340	6.0247	3.3973	1.1498	6.9165	6.1334	2.8442	0.0000	0.0000	0.0000	0.3455	0.0000	1.0482	0.3255	0.0031	1.4588	11.0488	2.4989	1.6024	11.3278	11.1644	0.6199	0.0000	0.0000	0.0000	0.4011	0.0000	1.1187	0.3715	0.0265	2.1491	7.3661	3.6294	1.1650	8.2117	7.4576	3.0030	0.0000	0.0000	0.0000	0.3645	0.0000	1.0571	0.3455	0.0000	1.6688	19.6521	1.5163	0.9671	19.7105	19.6759	1.1651	0.0000	0.0000	0.0000	0.2099	0.0000	0.9262	0.1999	0.0000	0.0000	25.0763	10.1241	9.8335	27.0429	26.9355	10.0582	0.0000	0.0000	0.0000	0.2681	0.0000	1.0434	0.2337	0.0000	0.3364
7	300.0000	350.0000	6.8509	-1	1.1408	3.9559	1.0904	0.6638	6.9607	2.0548	3.5890	7.2577	7.8315	3.0646	0.0000	0.0000	0.0000	0.5875	0.0000	1.4962	0.5501	0.0156	1.1499	12.4370	2.5864	4.7551	12.7031	13.3151	3.6553	0.0000	0.0000	0.0000	0.7096	0.0000	1.5788	0.6358	0.0937	2.4242	9.4020	2.5255	4.0128	9.7353	10.2226	3.5177	0.0000	0.0000	0.0000	0.6315	0.0000	1.6400	0.5875	0.0000	1.6029	20.4400	3.6217	8.0266	20.7583	21.9595	7.9923	0.0000	0.0000	0.0000	0.2456	0.0000	0.6599	0.2378	0.0000	0.0000	20.9094	8.9957	10.5817	22.7624	23.4345	10.3528	0.0000	0.0000	0.0000	0.6769	0.0000	1.8708	0.6929	0.0000	0.6193
8	350.0000	400.0000	3.8755	-1	0.6900	2.4133	0.4571	0.3152	9.2938	7.0457	5.3055	11.6626	10.7015	6.4003	0.0000	0.0000	0.0000	1.1135	0.0000	2.5253	1.0189	0.0298	0.4469	13.3055	4.9505	5.3956	14.1966	14.3579	4.5091	0.0000	0.0000	0.0000	1.0469	0.0000	2.4379	0.9851	0.1674	0.9130	12.3224	7.8519	5.8574	14.6115	13.6437	7.2238	0.0000	0.0000	0.0000	1.1971	0.0000	2.6158	1.0926	0.0000	0.4566	34.0951	7.8294	2.2030	34.9825	34.1662	7.5081	0.0000	0.0000	0.0000	0.7642	0.0000	1.9706	0.6788	0.0000	0.0000	29.3990	4.9774	8.2513	29.8174	30.5350	7.6069	0.0000	0.0000	0.0000	1.1257	0.0000	2.8287	1.0210	0.0000	0.0000
9	400.0000	450.0000	2.7928	-1	0.4438	1.8120	0.3488	0.1882	10.4707	3.8861	3.8334	11.1686	11.1503	0.6471	0.0000	0.0000	0.0000	1.4437	0.0000	3.2996	1.2987	0.0032	0.3559	9.1833	4.5202	5.2646	10.2356	10.5854	2.2842	0.0000	0.0000	0.0000	1.5913	0.0000	3.6013	1.4456	0.0203	2.2395	13.4292	3.5907	3.6176	13.9010	13.9079	0.5059	0.0000	0.0000	0.0000	1.3796	0.0000	3.0709	1.2488	0.0000	0.0000	33.5222	9.2558	5.7356	34.7766	34.0094	8.3553	0.0000	0.0000	0.0000	1.3809	0.0000	3.5574	1.1383	0.0000	0.0000	55.6495	27.0571	9.3144	61.8785	56.4236	26.5923	0.0000	0.0000	0.0000	1.8294	0.0000	4.3124	1.7294	0.0000	0.0000
10	450.0000	500.0000	1.5949	-1	0.2860	0.8479	0.3549	0.1061	14.6175	6.1439	8.0205	15.8562	16.6734	7.1475	0.0000	0.0000	0.0000	1.3446	0.0000	3.1831	1.1792	0.0334	0.9385	13.0523	4.6044	4.3788	13.8406	13.7672	1.7107	0.0000	0.0000	0.0000	1.5902	0.0000	3.4168	1.4137	0.1861	1.4273	20.3890	7.7434	7.5814	21.8099	21.7529	6.5812	0.0000	0.0000	0.0000	1.3307	0.0000	3.3305	1.1775	0.0000	2.6497	39.5576	5.3310	12.7454	39.9152	41.5602	12.3945	0.0000	0.0000	0.0000	1.2240	0.0000	2.5042	1.0362	0.0000	0.0003	54.6377	12.9936	21.4147	56.1615	58.6845	17.9973	0.0000	0.0000	0.0000	1.1981	0.0000	3.6470	1.0391	0.0000	10.9221
