Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
10	-3.2000	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	9.4654	12.5248	100.4470	100.7813	8.4941	1.0147	9.4108	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	9.4654	12.5248	100.4470	100.7813	8.4941	1.0147	9.4108	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	-3.0000	-2.8000	0.0091	0.0000	0.0091	0.0000	0.0000	0.0000	35.5832	9.4764	19.9592	36.8235	40.7987	7.1509	1.0147	9.4162	0.3006	0.0000	0.0000	0.0000	0.0000	0.0000	16.1969	35.5832	9.4764	19.9592	36.8235	40.7987	7.1509	1.0147	9.4162	0.3006	0.0000	0.0000	0.0000	0.0000	0.0000	16.1969	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	-2.8000	-2.6000	0.2248	2.0000	0.1579	0.0573	0.0000	0.0095	28.4035	12.2831	13.3195	30.9457	31.3715	9.0607	1.0147	9.9522	0.7279	0.0000	0.0000	0.0000	0.0000	0.6436	4.8972	22.2947	16.1564	14.2080	27.5333	26.4371	10.6623	1.0147	9.7883	1.0360	0.0000	0.0000	0.0000	0.0000	0.9160	6.9706	91.4264	10.5429	13.9680	92.0323	92.4872	9.6166	1.0147	10.4940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	9.5310	16.3013	100.4532	101.3199	13.4540	1.0147	9.4108	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	23.3400	22.0000	22.5266	0.1829	0.0247	0.6058	11.6606	14.2910	13.5070	18.4446	17.8440	8.4392	1.0147	11.2761	1.3868	0.0000	0.0000	0.0000	0.0000	0.7701	2.9324	12.0700	14.3937	13.5556	18.7847	18.1504	8.6143	1.0147	11.2874	1.3847	0.0000	0.0000	0.0000	0.0000	0.7979	2.8479	43.4995	13.2591	16.3607	45.4753	46.4745	13.2510	1.0147	9.7919	1.5471	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	15.2013	15.1823	101.1488	101.1459	11.9489	1.0147	9.4108	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.1268	12.8823	13.1608	19.1185	19.3073	1.6982	1.0147	11.3818	1.4021	0.0000	0.0000	0.0000	0.0000	0.2429	7.0762
14	-2.4000	-2.2000	106.0200	135.0000	102.3337	0.5000	0.1669	3.0194	5.7009	12.7093	11.4072	13.9293	12.7525	0.8029	1.0143	11.0177	1.5225	0.0000	0.0000	0.0000	0.0000	0.7903	6.0137	5.9014	12.7619	11.4179	14.0603	12.8528	0.8014	1.0145	11.0379	1.5266	0.0000	0.0000	0.0000	0.0000	0.8125	6.0837	27.4809	8.7726	12.6024	28.8471	30.2328	8.4684	0.9636	8.3749	0.8146	0.0000	0.0000	0.0000	0.0000	0.0000	4.4308	58.5053	5.7466	10.5883	58.7869	59.4558	8.9732	1.0147	5.5383	1.1494	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.9242	12.3066	11.7345	13.6583	13.1452	0.8692	1.0139	11.0718	1.5234	0.0000	0.0000	0.0000	0.0000	0.2130	4.9716
15	-2.2000	-2.0000	172.9037	196.0000	166.0420	1.4762	0.2572	5.1284	4.3466	10.9971	10.6095	11.8250	11.4653	0.5002	1.0022	8.9071	1.4968	0.0000	0.0000	0.0000	0.0000	1.1957	6.0560	4.5210	11.0680	10.6507	11.9558	11.5705	0.4449	1.0023	8.9172	1.4962	0.0000	0.0000	0.0000	0.0000	1.2528	6.1623	16.0092	8.3272	9.6457	18.0455	18.6905	1.6862	0.9777	7.9951	1.4277	0.0000	0.0000	0.0000	0.0000	0.0000	5.1952	52.6032	18.9643	21.5966	55.9173	56.8639	19.9569	1.0059	8.3709	1.0891	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.5708	10.2109	10.0651	11.1872	11.0543	2.0920	1.0079	8.8706	1.5565	0.0000	0.0000	0.0000	0.0000	0.2490	4.5381
16	-2.0000	-1.8000	181.9439	247.0000	173.0551	1.7110	0.4159	6.7619	4.0066	7.8531	9.2332	8.8161	10.0651	2.3910	0.9824	6.1430	1.5027	0.0000	0.0000	0.0000	0.0000	0.3177	6.5431	4.2061	7.9753	9.4094	9.0165	10.3067	2.5636	0.9827	6.1541	1.5057	0.0000	0.0000	0.0000	0.0000	0.3328	6.7321	14.4671	5.8367	6.2761	15.6001	15.7698	0.1875	0.9381	5.6804	0.9405	0.0000	0.0000	0.0000	0.0000	2.0870	1.5669	35.9223	18.3907	23.5614	40.3562	42.9598	19.0718	0.9649	5.1891	1.4632	0.0000	0.0000	0.0000	0.0000	0.0000	12.7571	4.1135	7.1235	7.1374	8.2259	8.2379	0.6321	0.9873	6.0353	1.5710	0.0000	0.0000	0.0000	0.0000	0.0841	3.6073
17	-1.8000	-1.6000	173.9563	186.0000	165.1119	2.3810	0.2340	6.2294	3.6854	6.9821	5.4282	7.8950	6.5611	0.8408	0.9196	4.2246	1.3737	0.0000	0.0000	0.0000	0.0000	0.2848	5.2327	3.8750	7.0309	5.3779	8.0280	6.6286	0.9040	0.9196	4.2268	1.3739	0.0000	0.0000	0.0000	0.0000	0.3400	5.2822	11.8620	4.9284	4.9707	12.8451	12.8614	0.2819	0.8930	3.8758	1.1272	0.0000	0.0000	0.0000	0.0000	2.1203	2.6683	46.8775	8.1501	13.7548	47.5807	48.8538	13.0627	0.9081	3.9441	1.6641	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3314	6.9279	7.7362	8.1705	8.8662	0.6843	0.9310	4.3113	1.4525	0.0000	0.0000	0.0000	0.0000	0.2480	6.2040
18	-1.6000	-1.4000	183.1769	192.0000	173.4315	2.9775	0.1447	6.6233	3.7485	8.8166	7.1132	9.5803	8.0404	1.4911	0.8774	3.1776	1.0195	0.0000	0.0000	0.0000	0.0000	1.3799	7.9751	3.9510	9.0072	7.1671	9.8357	8.1840	1.7302	0.8774	3.1788	1.0241	0.0000	0.0000	0.0000	0.0000	1.4396	8.1371	11.1663	7.0944	6.7941	13.2294	13.0708	3.9087	0.8765	3.2179	0.7567	0.0000	0.0000	0.0000	0.0000	1.0952	5.3724	47.4286	21.3676	18.1084	52.0197	50.7680	21.1125	0.9053	2.9839	1.0544	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.1935	6.1187	7.0234	7.4178	8.1801	1.9203	0.8765	3.1305	1.0163	0.0000	0.0000	0.0000	0.0000	0.9594	5.7776
19	-1.4000	-1.2000	202.9475	200.0000	190.0335	4.3366	0.1996	8.3778	3.2383	5.3484	6.0605	6.2524	6.8714	1.2482	0.8143	2.4213	0.6752	0.0000	0.0000	0.0000	0.0000	0.2166	5.3169	3.4476	5.4006	6.0480	6.4072	6.9616	1.3061	0.8138	2.4273	0.6765	0.0000	0.0000	0.0000	0.0000	0.2536	5.2843	9.1960	3.3018	4.6948	9.7708	10.3251	2.2753	0.8292	2.4915	0.5923	0.0000	0.0000	0.0000	0.0000	0.1933	3.1178	54.2874	3.4958	13.0377	54.3999	55.8311	12.6919	0.8275	2.8129	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.7613	5.8968	7.7661	6.9943	8.6290	0.8010	0.8181	2.2404	0.6889	0.0000	0.0000	0.0000	0.0000	0.6054	7.3218
