Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	108.3867	134.0000	101.6434	2.0374	0.2112	4.4947	4.5891	8.5944	4.9367	9.7428	6.7403	2.0837	0.8539	3.7325	0.8744	0.0000	0.0000	0.0000	0.0000	0.7461	7.3170	4.8801	8.9001	4.8764	10.1502	6.8989	2.4034	0.8558	3.7774	0.8799	0.0000	0.0000	0.0000	0.0000	0.8659	7.5439	12.2851	11.0148	12.9989	16.5000	17.8856	9.2980	0.8124	2.8238	0.6244	0.0000	0.0000	0.0000	0.0000	3.2548	7.9449	63.0896	15.0510	47.7845	64.8601	79.1433	43.6018	0.8485	6.3708	1.7221	0.0000	0.0000	0.0000	0.0000	0.0000	18.4452	5.2053	5.6171	5.8128	7.6581	7.8028	2.1584	0.8312	3.0055	0.8224	0.0000	0.0000	0.0000	0.0000	0.4356	4.7711
2	-3.0144	-2.8888	115.1904	123.0000	107.4245	2.4362	0.4902	4.8394	5.0759	6.8209	7.2827	8.5023	8.8770	0.8154	0.8463	3.4595	0.8578	0.0000	0.0000	0.0000	0.0000	0.1570	6.2881	5.4242	7.0389	7.4332	8.8864	9.2018	0.9509	0.8474	3.4939	0.8633	0.0000	0.0000	0.0000	0.0000	0.2887	6.4254	12.5703	4.2168	5.5388	13.2587	13.7364	3.0502	0.8144	2.7340	0.5893	0.0000	0.0000	0.0000	0.0000	3.6136	1.0740	58.0872	2.4719	10.1997	58.1398	58.9759	7.9825	0.8241	2.1567	0.7892	0.0000	0.0000	0.0000	0.0000	0.0000	5.8729	4.9957	5.0660	7.2512	7.1149	8.8055	1.2672	0.8386	3.1944	0.8792	0.0000	0.0000	0.0000	0.0000	0.8518	6.3525
3	-2.8888	-2.7632	110.3411	111.0000	102.9837	2.7998	0.0753	4.4823	4.5240	6.1006	5.7806	7.5951	7.3405	1.0371	0.8546	3.7365	0.9321	0.0000	0.0000	0.0000	0.0000	0.6753	4.5367	4.8312	6.0751	5.8133	7.7619	7.5587	1.1321	0.8564	3.7930	0.9439	0.0000	0.0000	0.0000	0.0000	0.8109	4.4288	11.0455	6.8967	4.7155	13.0218	12.0100	1.1781	0.8329	2.7434	0.6933	0.0000	0.0000	0.0000	0.0000	1.9731	5.9136	62.0464	25.3040	19.4057	67.0078	65.0103	24.5361	0.8275	2.3551	0.8497	0.0000	0.0000	0.0000	0.0000	0.0000	5.5963	5.7807	7.1562	6.4947	9.1994	8.6947	1.1970	0.8273	3.0826	0.8113	0.0000	0.0000	0.0000	0.0000	0.7762	6.1912
4	-2.7632	-2.6376	115.8938	112.0000	109.0750	2.0255	0.1539	4.6394	4.6864	5.3977	5.8083	7.1483	7.4632	1.3186	0.8567	3.7293	0.9145	0.0000	0.0000	0.0000	0.0000	0.2779	4.1495	4.9680	5.3744	5.9320	7.3189	7.7376	1.4185	0.8581	3.7767	0.9232	0.0000	0.0000	0.0000	0.0000	0.3382	4.2486	13.3546	10.4915	4.5719	16.9828	14.1155	3.7767	0.8058	2.4520	0.5646	0.0000	0.0000	0.0000	0.0000	3.3422	8.8124	57.2016	13.0128	38.3385	58.6631	68.8612	16.5012	0.8868	2.9256	0.6965	0.0000	0.0000	0.0000	0.0000	0.0000	34.4674	4.9917	6.9005	5.3752	8.5167	7.3355	0.6904	0.8445	3.1987	0.8703	0.0000	0.0000	0.0000	0.0000	2.1438	5.5963
5	-2.6376	-2.5120	108.1171	119.0000	100.5064	2.6610	0.2568	4.6929	4.6458	8.8290	4.7907	9.9767	6.6734	1.0934	0.8473	3.5909	0.8897	0.0000	0.0000	0.0000	0.0000	1.0581	7.8251	4.9808	9.1768	4.7406	10.4414	6.8762	1.2701	0.8485	3.6299	0.8997	0.0000	0.0000	0.0000	0.0000	1.0752	8.1761	11.5980	4.3977	3.6858	12.4038	12.1696	2.7369	0.8160	2.9309	0.6287	0.0000	0.0000	0.0000	0.0000	1.6157	0.9339	48.0301	13.7216	15.1748	49.9518	50.3703	14.6588	0.9172	3.7953	0.7733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.1504	6.1387	9.4558	8.0131	10.7676	0.2139	0.8346	3.1188	0.8291	0.0000	0.0000	0.0000	0.0000	0.5115	8.8703
6	-2.5120	-2.3864	117.3925	119.0000	109.7150	2.8255	0.3240	4.5281	4.8669	7.1511	5.6370	8.6502	7.4473	0.3477	0.8504	3.7819	0.8376	0.0000	0.0000	0.0000	0.0000	0.8529	5.9477	5.1933	7.2309	5.6079	8.9026	7.6432	0.7143	0.8516	3.8095	0.8390	0.0000	0.0000	0.0000	0.0000	0.8199	6.0136	11.5999	9.4272	10.3877	14.9476	15.5712	7.4224	0.8189	3.2690	0.6911	0.0000	0.0000	0.0000	0.0000	4.7845	6.5065	40.0201	20.4979	7.1941	44.9641	40.6615	2.7089	0.9454	6.6690	1.4278	0.0000	0.0000	0.0000	0.0000	13.8957	13.4038	5.0856	6.9240	6.6394	8.5910	8.3633	3.8557	0.8335	3.2287	0.8540	0.0000	0.0000	0.0000	0.0000	0.7226	5.3509
7	-2.3864	-2.2608	115.4476	120.0000	107.9864	2.5414	0.3270	4.5928	4.3956	5.9235	6.8983	7.3763	8.1798	2.5155	0.8427	3.8609	0.8770	0.0000	0.0000	0.0000	0.0000	1.1087	5.4895	4.6811	5.9546	7.0352	7.5743	8.4502	2.7133	0.8437	3.9173	0.8850	0.0000	0.0000	0.0000	0.0000	1.2145	5.5906	11.7455	6.9992	3.0826	13.6728	12.1433	1.0642	0.8121	2.7548	0.6178	0.0000	0.0000	0.0000	0.0000	2.1818	5.8708	73.5878	13.0821	21.3473	74.7416	76.6216	15.3584	0.8453	5.4685	1.0090	0.0000	0.0000	0.0000	0.0000	13.7665	10.0183	4.9968	6.5069	6.8159	8.2041	8.4513	0.7475	0.8349	3.0326	0.8225	0.0000	0.0000	0.0000	0.0000	0.4902	5.9995
8	-2.2608	-2.1352	110.1781	100.0000	102.8841	2.3200	0.2591	4.7150	4.5121	6.7359	6.1517	8.1075	7.6291	1.2508	0.8388	3.4437	0.8447	0.0000	0.0000	0.0000	0.0000	0.5212	5.5673	4.8176	6.8117	6.2314	8.3432	7.8765	1.3629	0.8390	3.4582	0.8503	0.0000	0.0000	0.0000	0.0000	0.4554	5.6335	12.0185	5.0802	4.6612	13.0481	12.8908	2.0636	0.8270	2.9414	0.6411	0.0000	0.0000	0.0000	0.0000	2.8262	3.3562	48.7416	24.7266	27.5889	54.6548	56.0079	27.0752	0.8946	5.3742	0.5244	0.0000	0.0000	0.0000	0.0000	0.0000	10.3777	4.9319	6.2551	7.0904	7.9656	8.6370	0.6292	0.8360	3.2687	0.8400	0.0000	0.0000	0.0000	0.0000	1.5732	6.1852
9	-2.1352	-2.0096	102.6790	122.0000	95.2144	2.6207	0.0470	4.7970	4.1590	5.5978	6.0482	6.9737	7.3402	0.3864	0.8410	3.6093	0.9053	0.0000	0.0000	0.0000	0.0000	1.7067	4.4523	4.4666	5.5631	5.9954	7.1343	7.4763	0.3768	0.8417	3.6386	0.9145	0.0000	0.0000	0.0000	0.0000	1.7851	4.3259	11.5349	7.4286	8.8978	13.7200	14.5680	1.9051	0.8247	3.2325	0.6624	0.0000	0.0000	0.0000	0.0000	4.0137	8.0204	69.1693	139.2122	20.7333	155.4491	72.2098	24.8889	0.8371	3.9884	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	136.9068	4.9896	6.5970	7.4200	8.2715	8.9417	1.7959	0.8357	3.2296	0.8566	0.0000	0.0000	0.0000	0.0000	1.0935	6.3972
10	-2.0096	-1.8840	105.2877	116.0000	97.3475	2.8828	0.3551	4.7022	4.3139	4.0062	7.1724	5.8873	8.3698	0.7557	0.8410	3.3983	0.8481	0.0000	0.0000	0.0000	0.0000	1.3924	6.0434	4.6458	3.9434	7.3404	6.0937	8.6870	0.8616	0.8422	3.4205	0.8517	0.0000	0.0000	0.0000	0.0000	1.4803	6.2124	11.0714	3.2784	3.8025	11.5466	11.7061	1.6557	0.8080	2.9002	0.6686	0.0000	0.0000	0.0000	0.0000	1.5131	0.7000	38.3991	22.6434	25.7115	44.5782	46.2123	19.1859	0.8746	2.9549	1.1718	0.0000	0.0000	0.0000	0.0000	0.0000	18.7182	5.0540	8.2630	7.0267	9.6861	8.6555	3.4663	0.8328	3.2780	0.8590	0.0000	0.0000	0.0000	0.0000	0.3966	7.3459
