Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.0930	0.0000	0.0747	0.0183	0.0000	0.0000	41.1812	226.5003	26.3220	230.2136	48.8747	38.8821	0.8747	6.3877	0.9160	0.0000	0.0000	0.0000	0.0000	44.2626	218.6070	45.0429	299.6440	23.6810	303.0106	50.8886	53.1404	0.8940	7.4000	0.9670	0.0000	0.0000	0.0000	0.0000	55.0779	289.6076	100.0000	19.0033	101.9078	101.7896	142.7768	19.4718	0.7960	2.2445	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-4.8000	-4.6000	0.2500	0.0000	0.2238	0.0000	0.0000	0.0262	52.4165	14.1013	80.8907	54.2802	96.3887	15.5237	0.8199	2.2458	0.6949	0.0000	0.0000	0.0000	0.0000	20.5941	76.6297	58.1301	16.1111	80.3084	60.3214	99.1390	19.8865	0.8228	2.3425	0.7120	0.0000	0.0000	0.0000	0.0000	13.9063	76.5117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.5517	29.6084	111.1133	67.4030	126.5412	21.6873	0.7960	1.4209	0.5489	0.0000	0.0000	0.0000	0.0000	77.6363	77.6363
3	-4.6000	-4.4000	0.2661	0.0000	0.2379	0.0000	0.0000	0.0281	27.7452	46.6573	15.4092	54.2835	31.7370	14.1658	0.8362	2.2660	0.7654	0.0000	0.0000	0.0000	0.0000	18.0762	40.5348	29.8991	52.0588	21.9417	60.0340	37.0863	16.6458	0.8409	2.2179	0.7796	0.0000	0.0000	0.0000	0.0000	5.9207	49.2122	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.0590	106.9153	41.9131	127.8247	81.6393	6.8156	0.7960	2.6734	0.6458	0.0000	0.0000	0.0000	0.0000	72.4161	78.6041
4	-4.4000	-4.2000	0.5885	0.0000	0.5363	0.0224	0.0000	0.0298	27.3209	17.5300	23.1038	32.4612	35.7801	7.3108	0.8756	4.5915	1.0380	0.0000	0.0000	0.0000	0.0000	14.4508	16.2113	29.6037	23.5019	20.5686	37.7984	36.0479	8.0241	0.8811	4.8080	1.0788	0.0000	0.0000	0.0000	0.0000	11.6757	22.2959	100.0000	12.4185	141.7109	100.7681	173.4416	12.3213	0.7960	1.3308	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	40.1256	23.0200	11.4546	46.2600	41.7285	9.2495	0.8364	3.1483	1.0862	0.0000	0.0000	0.0000	0.0000	15.3634	16.7957
5	-4.2000	-4.0000	1.1407	1.0000	1.0992	0.0100	0.0000	0.0315	17.7048	12.5162	17.5102	21.6821	24.9012	11.5036	0.8481	2.8198	0.5664	0.0000	0.0000	0.0000	0.0000	3.9155	13.0200	18.2923	13.0122	19.2377	22.4483	26.5461	11.8811	0.8499	2.8115	0.5651	0.0000	0.0000	0.0000	0.0000	4.3831	14.5619	100.0000	316.2183	10.6592	331.6535	100.5665	10.1874	0.7960	4.7648	0.0000	0.0000	0.0000	0.0000	0.0000	223.4579	223.4579	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.2905	23.6701	36.4564	56.4888	62.9268	1.8322	0.8052	2.4897	0.7931	0.0000	0.0000	0.0000	0.0000	11.1500	34.5552
6	-4.0000	-3.8000	1.6912	1.0000	1.6022	0.0000	0.0000	0.0890	15.4211	7.5808	9.7269	17.1837	18.2325	4.5235	0.8449	3.2909	0.5777	0.0000	0.0000	0.0000	0.0000	5.1092	6.2308	15.8544	8.3911	11.0683	17.9380	19.3357	7.3488	0.8471	3.2547	0.5740	0.0000	0.0000	0.0000	0.0000	5.6122	6.4155	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	66.3985	46.7874	37.9273	81.2270	76.4672	46.3512	0.8057	3.9422	0.6447	0.0000	0.0000	0.0000	0.0000	3.9480	23.5519
7	-3.8000	-3.6000	2.1596	1.0000	2.1052	0.0254	0.0000	0.0290	15.0251	14.6241	6.4543	20.9671	16.3528	3.1344	0.8334	3.0255	0.6255	0.0000	0.0000	0.0000	0.0000	6.5607	12.6721	15.3651	12.9878	6.7920	20.1188	16.7993	3.6109	0.8337	3.0456	0.6220	0.0000	0.0000	0.0000	0.0000	7.0048	10.4466	72.5518	173.1932	16.8053	187.7755	74.4727	19.7260	0.7960	2.3722	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	172.0465	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	61.7153	36.6203	26.3105	71.7623	67.0897	17.0218	0.8483	2.1394	0.8058	0.0000	0.0000	0.0000	0.0000	19.9168	34.7049
8	-3.6000	-3.4000	3.8494	6.0000	3.6247	0.1410	0.0000	0.0837	9.9841	3.9148	5.3135	10.7242	11.3100	0.8318	0.8482	3.7381	0.7677	0.0000	0.0000	0.0000	0.0000	2.0887	2.9126	10.3957	3.8971	5.7519	11.1022	11.8809	0.4517	0.8480	3.7206	0.7910	0.0000	0.0000	0.0000	0.0000	2.5677	3.4176	50.8041	3.7550	4.6692	50.9427	51.0182	2.8605	0.8390	3.6568	0.1544	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.9957	23.4301	14.6698	37.2789	32.4954	13.8763	0.8699	4.6307	0.7955	0.0000	0.0000	0.0000	0.0000	15.1367	14.0517
9	-3.4000	-3.2000	6.4172	4.0000	6.0304	0.1941	0.0000	0.1928	8.4462	5.5474	5.0886	10.1051	9.8607	2.2086	0.8440	3.5494	0.6979	0.0000	0.0000	0.0000	0.0000	2.0414	3.1144	8.8259	4.6066	5.5631	9.9558	10.4329	2.0836	0.8448	3.5067	0.6973	0.0000	0.0000	0.0000	0.0000	0.9314	3.6510	48.0153	53.8944	16.0085	72.1809	50.6137	15.0949	0.8504	5.3199	0.7637	0.0000	0.0000	0.0000	0.0000	29.3675	43.4296	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.1201	12.1000	19.7101	25.2133	29.6275	10.2895	0.8129	3.1004	0.6498	0.0000	0.0000	0.0000	0.0000	9.2483	16.4295
10	-3.2000	-3.0000	10.8207	16.0000	10.1052	0.5156	0.0002	0.1998	6.6167	9.2530	5.9683	11.3753	8.9107	1.6085	0.8452	3.6691	0.7303	0.0000	0.0000	0.0000	0.0000	3.7411	7.5440	6.8916	10.3087	6.4103	12.4001	9.4120	2.7345	0.8478	3.7675	0.7377	0.0000	0.0000	0.0000	0.0000	3.9790	8.6078	30.8651	20.8761	30.9350	37.2621	43.6993	24.9145	0.8119	2.1413	0.7090	0.0000	0.0000	0.0000	0.0000	11.0568	14.4342	100.0000	14.9719	30.8718	101.1146	104.6569	30.7525	0.9053	2.4828	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.0558	23.6700	6.7653	33.7483	24.9890	3.1781	0.7991	2.6319	0.4139	0.0000	0.0000	0.0000	0.0000	10.7261	20.6732
