Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	3.9871	5.0000	3.8162	0.0320	0.0000	0.1389	38.9407	34.5882	10.7820	52.0838	40.4058	6.6371	0.9572	8.6531	1.1633	0.0000	0.0000	0.0000	0.0000	22.3625	24.7210	40.6717	35.3541	10.8302	53.8897	42.0890	6.4822	0.9596	8.8432	1.1813	0.0000	0.0000	0.0000	0.0000	23.4247	24.7843	73.3782	135.0102	22.7354	153.6623	76.8196	23.1534	0.9357	5.7407	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	132.8828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.7803	29.6507	14.0891	37.3912	26.7852	7.3504	0.8973	4.1024	0.9349	0.0000	0.0000	0.0000	0.0000	5.3125	28.6825
2	50.0000	100.0000	203.3991	247.0000	179.6101	1.2348	0.1870	22.3672	4.5593	6.6397	5.1052	8.0544	6.8448	1.9531	0.8671	4.2511	1.0012	0.0000	0.0000	0.0000	0.0000	1.5674	4.2412	5.1537	7.7659	5.6490	9.3204	7.6467	2.1293	0.8698	4.3447	1.0128	0.0000	0.0000	0.0000	0.0000	1.8249	5.6379	17.7455	3.8618	18.7202	18.1609	25.7943	4.9518	0.8445	3.4772	0.7699	0.0000	0.0000	0.0000	0.0000	10.7118	14.0778	50.8797	36.5371	5.8759	62.6395	51.2179	3.8428	0.8836	4.3118	1.1834	0.0000	0.0000	0.0000	0.0000	0.0000	36.2501	2.2789	5.8814	7.3112	6.3075	7.6582	1.0439	0.8463	3.5416	0.9195	0.0000	0.0000	0.0000	0.0000	0.2270	6.2303
3	100.0000	150.0000	299.8663	334.0000	274.7839	2.1726	0.6791	22.2307	3.1865	10.6665	7.3927	11.1323	8.0502	1.1084	0.8455	3.6503	0.8951	0.0000	0.0000	0.0000	0.0000	0.9914	9.9458	3.4692	10.2828	7.0070	10.8523	7.8187	1.2007	0.8465	3.6922	0.8969	0.0000	0.0000	0.0000	0.0000	1.1043	9.5165	12.4975	12.0485	6.2666	17.3595	13.9806	5.4240	0.8278	2.9755	0.7674	0.0000	0.0000	0.0000	0.0000	7.7137	8.1846	42.6971	8.3109	17.8829	43.4984	46.2908	14.2237	0.8387	4.0942	0.9358	0.0000	0.0000	0.0000	0.0000	0.0000	9.9813	2.3385	16.7918	14.4469	16.9538	14.6349	0.8541	0.8358	3.1840	0.8837	0.0000	0.0000	0.0000	0.0000	0.5222	16.4117
4	150.0000	200.0000	286.9878	305.0000	269.9271	3.2002	0.3064	13.5541	3.4911	4.3966	6.8371	5.6141	7.6769	1.0452	0.8491	3.6339	0.9384	0.0000	0.0000	0.0000	0.0000	0.5911	5.6648	3.7067	4.3766	6.8406	5.7354	7.7803	1.1102	0.8497	3.6528	0.9428	0.0000	0.0000	0.0000	0.0000	0.6182	5.6476	10.2366	3.7275	6.0445	10.8942	11.8880	0.8150	0.8232	3.0180	0.7176	0.0000	0.0000	0.0000	0.0000	1.7067	4.8335	37.0112	11.9900	16.5348	38.9049	40.5368	13.8980	0.8248	2.7292	0.6801	0.0000	0.0000	0.0000	0.0000	0.0000	8.4782	2.9099	6.2155	7.2914	6.8630	7.8506	0.9713	0.8435	3.4228	0.9079	0.0000	0.0000	0.0000	0.0000	0.3879	6.3336
5	200.0000	250.0000	295.1627	336.0000	276.4009	4.2668	0.5104	13.9847	3.2876	7.5879	8.2167	8.2695	8.8500	0.4866	0.8483	3.6196	0.9078	0.0000	0.0000	0.0000	0.0000	0.9167	7.2406	3.5042	7.8206	8.3914	8.5698	9.0936	0.4261	0.8484	3.6376	0.9105	0.0000	0.0000	0.0000	0.0000	0.9792	7.4254	9.2859	3.3298	5.3216	9.8649	10.7027	1.0628	0.8319	2.8984	0.7003	0.0000	0.0000	0.0000	0.0000	1.2265	4.2157	36.6333	6.4484	40.9361	37.1965	54.9342	2.2104	0.9245	4.8509	0.7042	0.0000	0.0000	0.0000	0.0000	0.0000	40.5818	2.8555	7.5525	6.2765	8.0743	6.8955	1.4432	0.8475	3.4392	0.9240	0.0000	0.0000	0.0000	0.0000	1.1477	6.3882
6	250.0000	300.0000	341.9957	408.0000	321.7811	4.4438	0.5089	15.2619	3.0936	5.6650	5.4350	6.4547	6.2538	1.5401	0.8534	3.7743	0.9246	0.0000	0.0000	0.0000	0.0000	0.5135	3.7053	3.2826	5.6110	5.4211	6.5007	6.3375	1.7372	0.8543	3.8015	0.9289	0.0000	0.0000	0.0000	0.0000	0.5639	3.6316	8.8471	15.6808	8.6238	18.0043	12.3548	4.8663	0.8163	3.0467	0.7015	0.0000	0.0000	0.0000	0.0000	3.3048	14.8050	32.4526	21.0072	15.0603	38.6584	35.7768	13.3736	0.9412	5.4563	1.4103	0.0000	0.0000	0.0000	0.0000	0.0000	16.4997	2.7641	5.8333	5.8211	6.4551	6.4440	1.0875	0.8413	3.3556	0.8826	0.0000	0.0000	0.0000	0.0000	0.3058	4.5140
7	300.0000	350.0000	373.8253	407.0000	352.0132	5.5072	0.4505	15.8545	2.7227	5.4166	5.2244	6.0624	5.8913	0.3133	0.8509	3.6975	0.9390	0.0000	0.0000	0.0000	0.0000	0.9193	3.7500	2.8859	5.5637	5.3495	6.2677	6.0783	0.2438	0.8518	3.7285	0.9462	0.0000	0.0000	0.0000	0.0000	1.0263	3.9284	7.8227	5.4840	5.7498	9.5535	9.7085	4.7367	0.8190	2.7890	0.6381	0.0000	0.0000	0.0000	0.0000	1.6547	1.4088	36.1719	20.2274	17.6150	41.4434	40.2330	17.3765	0.8792	2.6600	0.8388	0.0000	0.0000	0.0000	0.0000	0.0000	15.8510	2.7015	3.9676	4.2006	4.8000	4.9943	0.6772	0.8413	3.3545	0.8884	0.0000	0.0000	0.0000	0.0000	1.0205	2.2205
8	350.0000	400.0000	385.4014	426.0000	360.9930	7.5211	0.2660	16.6214	2.5636	8.0070	6.6350	8.4074	7.1130	1.4403	0.8518	3.5356	0.9116	0.0000	0.0000	0.0000	0.0000	0.1972	6.9728	2.7302	8.0944	6.6738	8.5425	7.2107	1.4818	0.8532	3.5688	0.9197	0.0000	0.0000	0.0000	0.0000	0.1611	7.0463	6.7771	4.7350	5.8713	8.2674	8.9667	3.0467	0.8192	2.9247	0.6674	0.0000	0.0000	0.0000	0.0000	2.6995	3.1384	42.0166	56.0276	20.0824	70.0320	46.5693	8.6139	0.8617	3.0909	0.6533	0.0000	0.0000	0.0000	0.0000	17.8520	55.7966	2.7232	7.1537	7.4489	7.6545	7.9311	0.3026	0.8366	3.0991	0.8516	0.0000	0.0000	0.0000	0.0000	0.7145	6.6590
9	400.0000	450.0000	395.1795	396.0000	370.2027	8.2031	0.7828	15.9909	2.4908	4.3304	7.5349	4.9956	7.9359	0.7592	0.8471	3.4841	0.8746	0.0000	0.0000	0.0000	0.0000	0.6449	6.5829	2.6509	4.4059	7.7279	5.1419	8.1699	0.7850	0.8482	3.5102	0.8795	0.0000	0.0000	0.0000	0.0000	0.6299	6.7901	6.5033	5.0740	3.0704	8.2486	7.1917	0.5218	0.8217	2.8670	0.7055	0.0000	0.0000	0.0000	0.0000	1.2640	3.8304	40.2492	11.0555	54.3244	41.7399	67.6102	13.9490	0.8167	4.2465	0.8118	0.0000	0.0000	0.0000	0.0000	6.0658	52.3274	2.7367	3.6835	6.5672	4.5888	7.1146	0.0732	0.8343	3.1607	0.8525	0.0000	0.0000	0.0000	0.0000	0.6829	5.6675
10	450.0000	500.0000	387.7759	446.0000	363.4337	10.1350	0.1549	14.0523	2.5047	6.2188	4.6333	6.7043	5.2670	0.3850	0.8421	3.2466	0.8430	0.0000	0.0000	0.0000	0.0000	0.8796	5.1631	2.6652	6.0076	4.7247	6.5722	5.4246	0.5008	0.8430	3.2630	0.8483	0.0000	0.0000	0.0000	0.0000	0.9339	4.8929	5.7863	6.6581	3.8608	8.8210	6.9560	1.6512	0.8177	2.9139	0.6532	0.0000	0.0000	0.0000	0.0000	0.8821	5.6584	79.1864	306.3088	20.9987	316.3788	81.9234	20.7261	0.8803	3.0352	1.3270	0.0000	0.0000	0.0000	0.0000	0.0000	306.2896	2.8016	9.1620	3.7888	9.5808	4.7121	1.1565	0.8343	3.0632	0.8361	0.0000	0.0000	0.0000	0.0000	0.3941	8.4750
