Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	107.7004	130.0000	101.0022	2.3939	0.2752	4.0291	4.8204	5.3617	5.4978	7.2100	7.3117	1.2976	0.8409	3.2369	0.8858	0.0000	0.0000	0.0000	0.0000	1.2256	4.0080	5.1191	5.4189	5.5008	7.4545	7.5142	1.6519	0.8416	3.2721	0.8924	0.0000	0.0000	0.0000	0.0000	1.1804	3.9652	12.5718	5.3673	10.1716	13.6696	16.1713	3.3713	0.8197	2.3545	0.6610	0.0000	0.0000	0.0000	0.0000	5.4565	7.4701	103.4172	1.9879	26.1583	103.4363	106.6742	26.0820	0.8493	1.5224	0.9553	0.0000	0.0000	0.0000	0.0000	0.0000	0.3048	5.4177	7.0449	5.4223	8.8872	7.6650	2.9393	0.8341	2.9950	0.8502	0.0000	0.0000	0.0000	0.0000	1.2867	5.9264
2	-3.0144	-2.8888	104.7731	122.0000	98.3982	2.1613	0.0022	4.2114	4.6345	10.9892	4.8456	11.9265	6.7051	1.9640	0.8527	3.5856	0.8731	0.0000	0.0000	0.0000	0.0000	1.6237	9.9961	4.9215	11.1401	4.9368	12.1788	6.9709	1.9927	0.8544	3.6194	0.8802	0.0000	0.0000	0.0000	0.0000	1.6418	10.1405	12.7866	13.3678	7.8156	18.4985	14.9860	7.1437	0.8168	3.0475	0.6062	0.0000	0.0000	0.0000	0.0000	4.8922	11.3014	100.0000	7.4896	23.8251	100.2801	102.7990	23.3044	0.7960	4.9754	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.3149	6.8100	5.9509	8.6385	7.9788	0.2178	0.8330	3.0723	0.8451	0.0000	0.0000	0.0000	0.0000	0.9830	5.9566
3	-2.8888	-2.7632	108.2593	116.0000	100.8717	2.2844	0.1978	4.9054	4.6076	5.8550	5.3709	7.4506	7.0765	2.4698	0.8452	3.3068	0.8615	0.0000	0.0000	0.0000	0.0000	0.3032	3.9620	4.9305	6.0633	5.2815	7.8150	7.2252	2.6890	0.8466	3.3153	0.8672	0.0000	0.0000	0.0000	0.0000	0.4020	4.1124	11.8370	4.0167	7.5997	12.5000	14.0667	2.5460	0.8187	2.9263	0.6471	0.0000	0.0000	0.0000	0.0000	2.6264	6.4079	52.6547	5.3960	21.9205	52.9304	57.0353	4.5068	0.7598	5.2137	0.7389	0.0000	0.0000	0.0000	0.0000	1.4073	20.7719	5.0755	6.2035	8.1709	8.0152	9.6190	2.4266	0.8331	3.2316	0.8506	0.0000	0.0000	0.0000	0.0000	2.4494	7.1808
4	-2.7632	-2.6376	107.1939	100.0000	100.5709	2.2759	0.0290	4.3181	4.6906	8.8678	6.1912	10.0319	7.7674	1.0647	0.8544	3.6884	0.9118	0.0000	0.0000	0.0000	0.0000	1.4257	7.9097	4.9868	8.8746	6.3474	10.1797	8.0720	1.2768	0.8561	3.7301	0.9211	0.0000	0.0000	0.0000	0.0000	1.5625	7.8957	12.2734	9.0401	4.2510	15.2434	12.9888	3.5805	0.8182	3.1887	0.6423	0.0000	0.0000	0.0000	0.0000	1.7479	7.3892	99.3897	142.9528	9.7870	174.1086	99.8704	14.6253	0.7960	1.8310	0.7071	0.0000	0.0000	0.0000	0.0000	9.6109	141.8617	5.1591	9.3648	6.5871	10.6919	8.3670	1.4840	0.8338	2.9931	0.8367	0.0000	0.0000	0.0000	0.0000	1.3335	8.5654
5	-2.6376	-2.5120	115.3063	113.0000	108.3052	2.5536	0.0000	4.4475	5.0901	3.9295	7.2719	6.4304	8.8764	0.7217	0.8348	3.7306	0.8869	0.0000	0.0000	0.0000	0.0000	1.7329	5.8816	5.4072	4.0005	7.3509	6.7262	9.1254	0.9635	0.8355	3.7869	0.8978	0.0000	0.0000	0.0000	0.0000	1.8712	5.8672	12.2963	5.4333	5.8457	13.4431	13.6151	4.9394	0.8096	2.4825	0.5269	0.0000	0.0000	0.0000	0.0000	1.6813	2.4740	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.1739	6.1105	10.6126	8.0067	11.8066	2.5361	0.8331	3.0747	0.8296	0.0000	0.0000	0.0000	0.0000	0.2672	9.9661
6	-2.5120	-2.3864	112.3156	112.0000	104.4142	2.5023	0.2983	5.1008	4.5277	7.8432	6.9563	9.0563	8.3000	1.8591	0.8443	3.6580	0.8910	0.0000	0.0000	0.0000	0.0000	0.9546	6.5628	4.8501	8.0388	7.0372	9.3886	8.5467	1.8944	0.8456	3.6923	0.9002	0.0000	0.0000	0.0000	0.0000	0.8981	6.7643	12.0487	6.4236	6.9106	13.6541	13.8898	1.6414	0.8138	2.6272	0.6708	0.0000	0.0000	0.0000	0.0000	4.0163	5.6460	80.6118	7.7050	25.1653	80.9792	84.4486	11.2169	0.8455	6.0856	0.5471	0.0000	0.0000	0.0000	0.0000	0.9215	21.7082	5.0119	5.9012	6.2566	7.7424	8.0165	1.8194	0.8336	3.3200	0.8313	0.0000	0.0000	0.0000	0.0000	0.7187	4.8331
7	-2.3864	-2.2608	105.0448	104.0000	98.3616	2.2239	0.2653	4.1940	4.6049	7.0033	5.7861	8.3816	7.3949	2.2177	0.8419	3.6931	0.8627	0.0000	0.0000	0.0000	0.0000	0.9174	5.3099	4.9035	7.1271	5.6990	8.6510	7.5182	2.4069	0.8423	3.7288	0.8655	0.0000	0.0000	0.0000	0.0000	0.9923	5.3530	12.2499	5.7256	8.9841	13.5219	15.1913	1.5109	0.8203	2.7428	0.6807	0.0000	0.0000	0.0000	0.0000	1.8165	8.4977	47.7123	38.1831	20.3976	61.1098	51.8895	19.6948	0.9263	5.0196	1.3137	0.0000	0.0000	0.0000	0.0000	1.0360	33.7303	5.1111	5.0070	8.3969	7.1549	9.8302	1.8927	0.8379	3.2744	0.8651	0.0000	0.0000	0.0000	0.0000	1.3194	7.4253
8	-2.2608	-2.1352	98.6456	115.0000	91.5674	2.6964	0.1676	4.2142	4.4959	6.7628	6.0375	8.1209	7.5276	1.5891	0.8511	3.5314	0.8782	0.0000	0.0000	0.0000	0.0000	0.4214	5.6076	4.8247	6.8631	6.0866	8.3893	7.7669	1.8350	0.8529	3.5667	0.8874	0.0000	0.0000	0.0000	0.0000	0.5675	5.6938	11.5081	7.4771	7.1151	13.7239	13.5300	4.3778	0.8193	3.0292	0.6775	0.0000	0.0000	0.0000	0.0000	4.0554	5.8925	55.9642	4.7090	47.8220	56.1619	73.6134	10.8667	0.8868	3.6276	0.4473	0.0000	0.0000	0.0000	0.0000	1.1583	46.4238	5.1284	8.0956	6.4808	9.5833	8.2645	0.6104	0.8312	3.0809	0.8236	0.0000	0.0000	0.0000	0.0000	1.4596	7.3692
9	-2.1352	-2.0096	103.9490	99.0000	96.3112	2.7719	0.1656	4.7002	4.3920	8.4678	5.5058	9.5391	7.0430	0.9230	0.8472	3.5194	0.8652	0.0000	0.0000	0.0000	0.0000	0.5640	7.5994	4.7211	8.5963	5.5797	9.8074	7.3090	0.9994	0.8486	3.5574	0.8738	0.0000	0.0000	0.0000	0.0000	0.5555	7.7147	11.4080	6.7419	4.2288	13.2512	12.1665	1.4980	0.8166	2.9535	0.6195	0.0000	0.0000	0.0000	0.0000	2.4712	5.9084	60.8508	3.8848	15.4009	60.9747	62.7695	14.8381	0.9194	3.4658	1.2917	0.0000	0.0000	0.0000	0.0000	1.2518	1.1720	5.1693	7.2914	8.1385	8.9380	9.6414	1.6730	0.8338	3.0767	0.8182	0.0000	0.0000	0.0000	0.0000	0.1586	7.2766
10	-2.0096	-1.8840	102.2424	128.0000	95.4589	2.5481	0.0177	4.2178	4.1824	3.8849	8.0513	5.7083	9.0728	1.3115	0.8477	3.4977	0.8548	0.0000	0.0000	0.0000	0.0000	0.7116	7.0297	4.4628	3.9442	8.3106	5.9559	9.4330	1.5247	0.8490	3.5252	0.8611	0.0000	0.0000	0.0000	0.0000	0.9432	7.2440	11.6652	6.5532	5.0904	13.3799	12.7275	0.9369	0.8175	3.0877	0.6259	0.0000	0.0000	0.0000	0.0000	5.6101	3.7876	100.0000	158.4590	31.6831	187.3746	104.8991	41.3757	0.9053	3.1166	0.7071	0.0000	0.0000	0.0000	0.0000	0.7483	152.9239	5.2011	6.1963	5.7212	8.0898	7.7320	2.9965	0.8359	3.1231	0.8505	0.0000	0.0000	0.0000	0.0000	0.7088	4.2115
