Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
6	250.0000	300.0000	0.0331	0.0000	0.0261	0.0000	0.0000	0.0071	78.7836	23.3499	98.8625	82.1710	126.4146	12.8205	0.8843	8.2656	1.5204	0.0000	0.0000	0.0000	0.0000	0.0000	97.6866	97.0871	11.2494	100.0154	97.7367	139.3879	22.0572	0.9020	9.9437	1.7113	0.0000	0.0000	0.0000	0.0000	0.0000	97.0606	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	90.0879	104.4411	102.1499	137.9267	136.1999	21.3169	0.8190	2.0634	0.8151	0.0000	0.0000	0.0000	0.0000	0.0000	102.2152
7	300.0000	350.0000	0.2509	2.0000	0.2344	0.0000	0.0000	0.0165	52.9622	42.5112	8.3311	67.9132	53.6135	7.0479	0.8758	4.2203	1.2242	0.0000	0.0000	0.0000	0.0000	0.5918	42.2593	56.5645	29.2468	8.9081	63.6782	57.2616	7.8654	0.8724	4.0287	1.2022	0.0000	0.0000	0.0000	0.0000	0.6335	28.9045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.0395	170.7137	14.0871	179.3670	56.8136	4.5434	0.9253	6.9374	1.5371	0.0000	0.0000	0.0000	0.0000	0.0000	170.5028
8	350.0000	400.0000	0.8846	0.0000	0.6778	0.0208	0.0468	0.1392	47.5804	34.6732	11.0928	58.8738	48.8563	13.7090	0.8526	4.1452	0.9640	0.0000	0.0000	0.0000	0.0000	4.5796	31.2167	61.3705	57.2259	13.9229	83.9115	62.9300	14.4462	0.8472	3.9153	0.9484	0.0000	0.0000	0.0000	0.0000	5.9767	54.8948	100.0000	12.2858	100.5049	100.7519	141.7788	10.7257	0.7960	4.5783	0.7071	0.0000	0.0000	0.0000	0.0000	100.0000	3.7156	75.6948	80.2958	79.4256	110.3500	109.7184	30.7292	0.9529	7.6766	1.4430	0.0000	0.0000	0.0000	0.0000	0.0000	76.2749	35.3762	7.1547	47.3614	36.0924	59.1149	5.7901	0.8534	4.0120	0.9169	0.0000	0.0000	0.0000	0.0000	17.4820	43.8224
9	400.0000	450.0000	5.8458	4.0000	5.3219	0.0773	0.1363	0.3103	29.0970	6.5412	9.3541	29.8232	30.5636	7.3139	0.8982	5.5880	1.1701	0.0000	0.0000	0.0000	0.0000	0.4699	2.7889	31.8656	6.2737	10.0132	32.4773	33.4018	8.2517	0.9027	5.6662	1.1876	0.0000	0.0000	0.0000	0.0000	0.6312	1.2687	71.0135	28.1078	40.2656	76.3739	81.6348	10.6131	0.8974	8.1793	0.4830	0.0000	0.0000	0.0000	0.0000	26.8720	38.0129	54.2698	12.7902	20.3074	55.7566	57.9448	15.0160	0.8668	4.0489	0.9870	0.0000	0.0000	0.0000	0.0000	0.0000	13.0179	30.2459	36.3738	26.0606	47.3061	39.9245	12.9751	0.8355	4.2785	1.1221	0.0000	0.0000	0.0000	0.0000	8.6637	33.2452
10	450.0000	500.0000	6.6830	13.0000	5.9434	0.0830	0.2535	0.4031	24.7196	50.0958	30.8083	55.8628	39.4995	4.0985	0.9172	6.0035	1.4512	0.0000	0.0000	0.0000	0.0000	0.2304	49.7052	27.6847	54.8347	34.5111	61.4271	44.2432	4.8275	0.9208	6.1257	1.4852	0.0000	0.0000	0.0000	0.0000	0.7114	54.4628	69.8189	60.4636	100.2221	92.3609	122.1440	6.2176	0.8090	2.2318	0.5414	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	44.6980	39.4193	7.8291	59.5969	45.3785	6.9467	0.8560	3.4309	1.0563	0.0000	0.0000	0.0000	0.0000	0.0000	39.0827	18.4967	10.4080	8.1103	21.2239	20.1967	2.0029	0.9260	6.5962	1.3851	0.0000	0.0000	0.0000	0.0000	6.6696	4.7010
11	500.0000	550.0000	6.8475	15.0000	5.9487	0.1062	0.3297	0.4629	19.0220	15.2995	9.9127	24.4113	21.4499	6.2310	0.9246	6.3669	1.3920	0.0000	0.0000	0.0000	0.0000	0.5156	13.3579	21.7160	19.0014	11.1231	28.8555	24.3990	6.8071	0.9353	6.4278	1.4160	0.0000	0.0000	0.0000	0.0000	0.7207	17.2491	43.0634	35.9020	25.8306	56.0662	50.2164	27.4566	0.9484	5.0696	1.3548	0.0000	0.0000	0.0000	0.0000	0.0000	22.5089	40.6948	6.5246	42.0107	41.2145	58.4890	5.9356	0.8057	6.3206	1.4041	0.0000	0.0000	0.0000	0.0000	0.0000	41.1034	18.9519	17.6404	9.5286	25.8912	21.2125	6.6585	0.8668	5.9139	1.0835	0.0000	0.0000	0.0000	0.0000	3.5218	16.4771
12	550.0000	600.0000	12.1708	17.0000	10.8267	0.2355	0.3170	0.7915	18.8889	8.2598	13.0638	20.6159	22.9664	3.5226	0.9192	5.8838	1.0602	0.0000	0.0000	0.0000	0.0000	1.7793	11.6592	21.1563	9.6075	15.0398	23.2356	25.9574	3.7767	0.9220	5.9594	1.0418	0.0000	0.0000	0.0000	0.0000	1.2070	13.8084	41.1784	10.5804	45.2680	42.5159	61.1952	9.5295	0.8273	4.3989	1.0487	0.0000	0.0000	0.0000	0.0000	0.0000	44.0367	42.3479	51.9061	12.3270	66.9895	44.1055	10.4071	0.9347	6.0027	1.3136	0.0000	0.0000	0.0000	0.0000	23.4273	45.7514	13.3203	7.1484	13.9637	15.1172	19.2980	1.8063	0.9019	5.2449	1.2141	0.0000	0.0000	0.0000	0.0000	1.4653	12.7538
13	600.0000	650.0000	9.6342	17.0000	8.3279	0.1159	0.4791	0.7112	11.9332	12.7782	16.6706	17.4838	20.5015	7.9765	0.9074	5.4723	1.2173	0.0000	0.0000	0.0000	0.0000	2.5447	13.5265	13.5776	15.5741	19.9135	20.6617	24.1018	8.7351	0.9112	5.6721	1.2505	0.0000	0.0000	0.0000	0.0000	2.3582	17.0815	42.1241	66.7983	22.6312	78.9712	47.8185	15.9532	0.8361	2.5206	0.8958	0.0000	0.0000	0.0000	0.0000	0.0000	64.8047	31.8875	26.3937	31.2335	41.3937	44.6356	13.3900	0.8886	4.4816	0.9603	0.0000	0.0000	0.0000	0.0000	13.9603	26.1635	18.5658	5.7110	8.9448	19.4243	20.6082	3.5191	0.8866	4.2820	1.0538	0.0000	0.0000	0.0000	0.0000	0.4358	7.1194
14	650.0000	700.0000	12.2708	15.0000	11.2769	0.0997	0.3265	0.5677	18.0226	6.9472	12.2740	19.3152	21.8052	3.5539	0.9609	6.7481	1.3429	0.0000	0.0000	0.0000	0.0000	1.0657	9.5465	19.5455	7.1402	12.8268	20.8089	23.3785	4.1673	0.9682	6.9380	1.3817	0.0000	0.0000	0.0000	0.0000	1.3075	9.8560	63.8163	25.8492	15.8736	68.8527	65.7608	14.6269	0.8563	6.1706	1.2727	0.0000	0.0000	0.0000	0.0000	0.0000	21.3860	42.0643	20.4201	37.7309	46.7589	56.5069	16.9955	0.9048	5.7422	0.7525	0.0000	0.0000	0.0000	0.0000	20.4849	26.1238	17.3720	15.7187	13.8472	23.4278	22.2156	6.1053	0.8666	3.6554	0.9239	0.0000	0.0000	0.0000	0.0000	1.8307	14.2638
15	700.0000	750.0000	8.2596	8.0000	7.2775	0.1590	0.3564	0.4666	13.9140	16.0987	8.3794	21.2784	16.2424	8.6449	0.9390	6.3682	1.2250	0.0000	0.0000	0.0000	0.0000	1.2480	11.8297	15.6149	17.4286	9.1985	23.4004	18.1228	8.9077	0.9484	6.6221	1.2776	0.0000	0.0000	0.0000	0.0000	1.5434	13.2839	43.1994	38.4763	21.9327	57.8500	48.4482	18.7426	0.8317	3.2921	0.7590	0.0000	0.0000	0.0000	0.0000	16.2281	29.2179	35.8449	24.0365	23.2854	43.1579	42.7442	15.2493	0.8545	4.0031	0.5979	0.0000	0.0000	0.0000	0.0000	8.1559	20.0480	19.6078	24.5672	10.4733	31.4327	22.2296	10.1756	0.8932	5.2635	1.0415	0.0000	0.0000	0.0000	0.0000	15.4693	15.2026
