Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	3.4117	5.0000	3.2190	0.0428	0.0238	0.1261	44.4860	6.6133	30.6152	44.9749	54.0027	8.1136	0.9433	6.1935	1.5566	0.0000	0.0000	0.0000	0.0000	1.4368	28.8317	47.1175	6.6819	32.5405	47.5889	57.2620	8.6266	0.9483	6.3063	1.6023	0.0000	0.0000	0.0000	0.0000	1.1879	30.7061	71.0012	15.7554	47.3208	72.7283	85.3254	15.2490	0.7960	3.8626	0.3856	0.0000	0.0000	0.0000	0.0000	0.0000	45.4626	96.8575	18.8184	98.7365	98.6687	138.3122	19.3605	0.7995	1.3371	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	96.8048	31.9749	23.0221	10.1878	39.4006	33.5587	8.0206	0.8907	5.0208	0.9480	0.0000	0.0000	0.0000	0.0000	8.5512	19.4407
2	-3.0144	-2.8888	1.7559	4.0000	1.5146	0.0455	0.0882	0.1077	20.2972	16.6867	9.9122	26.2759	22.5882	6.7507	0.9038	6.1268	1.1234	0.0000	0.0000	0.0000	0.0000	3.9968	15.3096	22.6780	17.6518	12.9385	28.7381	26.1093	10.1914	0.9032	6.3008	1.1173	0.0000	0.0000	0.0000	0.0000	1.9726	16.1109	63.4348	13.5196	20.9293	64.8595	66.7983	16.5285	0.8478	3.6352	1.1062	0.0000	0.0000	0.0000	0.0000	0.0000	12.2547	58.7494	82.3845	17.0042	101.1864	61.1607	19.9948	0.8594	4.6962	0.9866	0.0000	0.0000	0.0000	0.0000	0.0000	79.7725	69.0555	60.8831	49.9289	92.0620	85.2147	53.6011	0.9722	5.9032	1.3273	0.0000	0.0000	0.0000	0.0000	37.4294	28.2157
3	-2.8888	-2.7632	2.5828	4.0000	2.4130	0.0337	0.1119	0.0242	28.6230	17.7522	23.5468	33.6811	37.0639	14.3010	0.9388	7.9830	1.4328	0.0000	0.0000	0.0000	0.0000	0.2162	17.9851	30.3493	16.0146	22.8290	34.3155	37.9769	12.4534	0.9408	8.1924	1.4858	0.0000	0.0000	0.0000	0.0000	0.4465	18.0734	71.1633	23.6221	24.2447	74.9814	75.1799	23.6038	0.8930	5.5357	1.1619	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.0278	33.1624	27.7568	65.9690	63.4240	19.7112	0.9588	6.4597	0.7291	0.0000	0.0000	0.0000	0.0000	0.0000	25.8463	308.4519	166.2323	149.6325	350.3937	342.8301	161.7825	0.7141	2.9426	0.2260	0.0000	0.0000	0.0000	0.0000	21.4883	31.4426
4	-2.7632	-2.6376	1.9881	1.0000	1.7646	0.0192	0.0645	0.1398	18.2590	8.0009	9.6414	19.9350	20.6482	4.1342	0.9379	6.6550	1.3243	0.0000	0.0000	0.0000	0.0000	0.0686	6.3038	20.0861	8.2344	10.5767	21.7084	22.7006	4.3457	0.9415	6.7988	1.3451	0.0000	0.0000	0.0000	0.0000	0.0773	7.6022	100.0000	16.4578	16.6991	101.3452	101.3847	15.9902	0.7960	4.7648	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.9397	10.2812	13.0716	100.4672	100.7909	8.4993	1.0146	10.0833	1.7323	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.7690	12.4570	19.3653	31.3502	34.6796	10.0611	0.8762	3.5171	0.9570	0.0000	0.0000	0.0000	0.0000	0.0000	18.1437
5	-2.6376	-2.5120	1.4132	6.0000	1.1747	0.0000	0.1265	0.1120	19.5965	38.9672	10.9221	43.6172	22.4347	8.6623	0.9147	5.7082	1.1842	0.0000	0.0000	0.0000	0.0000	2.6219	37.9500	22.4342	43.8035	11.8940	49.2142	25.3921	8.5021	0.9179	5.8677	1.1971	0.0000	0.0000	0.0000	0.0000	3.1543	42.9613	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.9746	20.4399	19.4241	62.4163	62.0911	19.2832	0.9496	6.5808	1.3183	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.5969	28.4560	3.2328	46.3582	36.7394	0.5833	0.8414	3.0501	0.8968	0.0000	0.0000	0.0000	0.0000	0.0000	28.2594
6	-2.5120	-2.3864	2.9978	2.0000	2.7886	0.0883	0.0015	0.1193	26.2803	11.8166	11.3494	28.8147	28.6263	7.7540	0.9635	8.7519	1.4088	0.0000	0.0000	0.0000	0.0000	5.1747	5.4177	28.1373	12.8327	11.5891	30.9255	30.4305	8.8426	0.9689	9.1368	1.4372	0.0000	0.0000	0.0000	0.0000	5.5627	4.8086	67.0828	17.5528	59.0615	69.3412	89.3776	19.5254	0.9463	4.0676	1.1660	0.0000	0.0000	0.0000	0.0000	0.0000	55.5783	100.0000	18.9407	21.8010	101.7780	102.3488	19.4268	0.9053	10.0507	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.2867	11.0252	38.4870	34.1172	50.2362	2.3828	0.8530	3.2030	0.9211	0.0000	0.0000	0.0000	0.0000	0.0000	38.3386
7	-2.3864	-2.2608	1.5393	1.0000	1.2279	0.0208	0.1033	0.1873	19.1201	27.3318	6.0666	33.3557	20.0594	0.4444	0.9117	6.0386	1.2390	0.0000	0.0000	0.0000	0.0000	3.9696	26.3142	22.7712	35.7592	6.4088	42.3940	23.6559	1.6847	0.9182	6.1458	1.2781	0.0000	0.0000	0.0000	0.0000	4.9761	34.8384	100.0000	100.7993	100.5049	141.9877	141.7788	10.7257	0.7960	4.5783	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	100.1168	71.8200	13.3206	17.6928	73.0449	73.9672	16.3008	0.8859	7.2000	1.1288	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.6869	18.0995	11.0511	32.2457	28.8846	17.3776	0.8964	4.8570	1.1028	0.0000	0.0000	0.0000	0.0000	0.0000	1.5156
8	-2.2608	-2.1352	1.8613	3.0000	1.6477	0.0483	0.1158	0.0495	27.4996	6.7394	21.8311	28.3133	35.1116	5.5892	0.9224	5.0109	1.1741	0.0000	0.0000	0.0000	0.0000	2.3004	20.4771	30.6375	7.1027	23.6876	31.4500	38.7267	4.3549	0.9228	4.9580	1.1590	0.0000	0.0000	0.0000	0.0000	2.8545	22.7294	100.0000	10.2855	13.0712	100.5276	100.8507	8.4941	1.0147	10.0875	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.9257	22.2420	18.8527	62.0491	60.9164	21.8541	0.8831	3.8832	1.1154	0.0000	0.0000	0.0000	0.0000	0.0000	1.8353	36.6851	14.2762	27.4848	39.3650	45.8389	14.0582	0.9122	4.4489	1.2705	0.0000	0.0000	0.0000	0.0000	8.5157	21.5352
9	-2.1352	-2.0096	3.3096	5.0000	3.0539	0.0198	0.0589	0.1770	28.3159	10.9454	9.2447	30.3577	29.7868	8.3697	0.9355	6.7423	1.2537	0.0000	0.0000	0.0000	0.0000	1.3584	4.2613	30.6117	11.0241	9.2076	32.5362	31.9665	8.4943	0.9372	6.6921	1.2441	0.0000	0.0000	0.0000	0.0000	1.4722	4.4509	100.0000	15.5988	15.5133	101.2093	101.1962	11.9489	0.9053	10.0507	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.8098	21.3571	14.2792	73.9605	72.2352	19.8794	1.0147	7.5435	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.2489	11.5581	8.8166	28.6809	27.6900	4.7291	0.8828	6.9722	1.2066	0.0000	0.0000	0.0000	0.0000	2.4753	8.5187
10	-2.0096	-1.8840	1.6778	4.0000	1.2987	0.0586	0.1348	0.1856	18.1747	6.6613	10.5983	19.3570	21.0391	3.9006	0.8877	5.0941	1.0936	0.0000	0.0000	0.0000	0.0000	1.5903	9.1370	21.9219	6.9726	13.5770	23.0041	25.7858	3.2407	0.9031	5.7918	1.1769	0.0000	0.0000	0.0000	0.0000	2.0545	12.1100	61.3491	20.7949	15.1477	64.7776	63.1915	20.6814	0.8162	1.9758	0.3691	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.9700	30.3412	20.2641	69.8985	66.1502	29.3313	0.7960	1.7203	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	7.4943	31.5372	8.9835	5.5668	32.7918	32.0248	3.9835	0.8691	3.6477	1.0201	0.0000	0.0000	0.0000	0.0000	0.7667	7.7140
