Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	2.0000	0.0007	0.0000	0.0007	0.0000	0.0000	0.0000	72.1299	43034.7778	7.3461	43034.8382	72.5030	8.5689	0.0000	0.0000	0.0000	0.1852	0.0000	0.5359	0.2520	0.0000	43034.7769	72.1299	43034.7778	7.3461	43034.8382	72.5030	8.5689	0.0000	0.0000	0.0000	0.1852	0.0000	0.5359	0.2520	0.0000	43034.7769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	2.0000	4.0000	0.3976	4.0000	0.3474	0.0000	0.0000	0.0502	51.5833	23.1601	8.8886	56.5441	52.3436	10.9346	0.0000	0.0000	0.0000	0.2434	0.0000	0.5038	0.2446	13.3817	15.4072	57.2442	11.9140	9.4765	58.4708	58.0233	11.6681	0.0000	0.0000	0.0000	0.2705	0.0000	0.5301	0.2647	0.0000	3.1897	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	149.9169	5.1013	180.2084	100.1300	5.8623	0.0000	0.0000	0.0000	0.0559	0.0000	0.3222	0.1053	105.9259	105.9259
3	4.0000	6.0000	1.9924	5.0000	1.5688	0.0135	0.0000	0.4101	31.5045	12.4409	9.8386	33.8720	33.0051	12.4214	0.0000	0.0000	0.0000	0.4030	0.0000	0.4672	0.3051	0.0091	0.8530	34.0995	12.4347	9.6168	36.2960	35.4297	12.4181	0.0000	0.0000	0.0000	0.3197	0.0000	0.4910	0.2603	0.0116	1.0833	71.4024	45.5860	31.0047	84.7136	77.8434	45.5855	0.0000	0.0000	0.0000	0.0472	0.0000	0.1425	0.1406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	80.0297	11.3914	10.0570	80.8363	80.6591	11.3451	0.0000	0.0000	0.0000	0.7331	0.0000	0.3870	0.4819	0.0000	0.3638
4	6.0000	8.0000	5.7598	6.0000	5.1268	0.4832	0.0000	0.1498	20.2168	23.8606	16.5828	31.2738	26.1478	23.5534	0.0000	0.0000	0.0000	0.1922	0.0000	0.5166	0.2180	0.2730	3.7703	21.9306	24.7216	17.0409	33.0470	27.7730	24.3352	0.0000	0.0000	0.0000	0.2033	0.0000	0.5084	0.2271	0.0017	4.3130	61.9355	14.9248	11.2060	63.7084	62.9411	14.8201	0.0000	0.0000	0.0000	0.1401	0.0000	0.6120	0.1562	0.0000	1.6424	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.4143	25.0324	24.3259	40.1681	39.7317	24.9686	0.0000	0.0000	0.0000	0.0201	0.0000	0.4914	0.1055	10.4413	13.2794
5	8.0000	10.0000	11.8282	11.0000	10.7022	0.7225	0.0000	0.4036	8.6784	32.8096	24.6220	33.9379	26.1067	31.8929	0.0000	0.0000	0.0000	0.3173	0.0000	0.5640	0.2795	0.7773	9.7290	9.4240	33.4079	25.1255	34.7116	26.8347	32.4723	0.0000	0.0000	0.0000	0.3334	0.0000	0.5815	0.2882	1.1441	10.0443	25.9277	24.0017	18.3631	35.3317	31.7718	23.0721	0.0000	0.0000	0.0000	0.1253	0.0000	0.2970	0.1744	3.7311	6.5661	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.2322	33.0468	23.3028	34.3122	25.0650	32.3174	0.0000	0.0000	0.0000	0.2347	0.0000	0.5774	0.2366	0.9360	7.3206
6	10.0000	12.0000	26.3870	31.0000	24.0806	1.1420	0.0586	1.1058	5.3176	35.3980	25.6592	35.7952	26.2045	35.0787	0.0000	0.0000	0.0000	0.2712	0.0000	0.5339	0.2556	0.6369	4.6992	5.7982	35.4422	25.6352	35.9134	26.2827	35.1358	0.0000	0.0000	0.0000	0.2794	0.0000	0.5455	0.2602	0.5974	4.6026	9.8720	36.5172	27.9299	37.8281	29.6232	35.8335	0.0000	0.0000	0.0000	0.1380	0.0000	0.3083	0.1746	1.5767	11.4517	63.1657	23.9142	16.4162	67.5410	65.2640	23.9122	0.0000	0.0000	0.0000	0.0691	0.0000	0.2718	0.1336	0.0000	0.0000	6.5625	33.9736	25.7475	34.6017	26.5706	33.6477	0.0000	0.0000	0.0000	0.2399	0.0000	0.5262	0.2467	0.5593	8.3615
7	12.0000	14.0000	65.1500	71.0000	60.0994	2.7404	0.0943	2.2158	3.6791	33.5788	25.5276	33.7797	25.7914	33.0626	0.0000	0.0000	0.0000	0.2654	0.0000	0.5170	0.2510	0.3979	7.0346	3.9721	33.5932	25.5410	33.8272	25.8481	33.0837	0.0000	0.0000	0.0000	0.2727	0.0000	0.5259	0.2550	0.4531	7.0572	6.8598	33.3234	25.4445	34.0222	26.3529	32.4415	0.0000	0.0000	0.0000	0.1197	0.0000	0.2661	0.1654	0.3278	7.6409	40.8822	32.4381	25.2995	52.1880	48.0772	31.6905	0.0000	0.0000	0.0000	0.2473	0.0000	0.3711	0.2244	0.0000	7.7803	4.4082	33.6546	25.3356	33.9421	25.7162	33.3174	0.0000	0.0000	0.0000	0.2469	0.0000	0.5903	0.2519	0.4598	5.6404
8	14.0000	16.0000	135.0325	124.0000	125.3563	5.2856	0.2373	4.1533	2.9022	29.2066	23.1270	29.3505	23.3084	28.7089	0.0000	0.0000	0.0000	0.2599	0.0000	0.5108	0.2492	0.3820	5.6412	3.1164	29.1213	23.1146	29.2875	23.3238	28.6445	0.0000	0.0000	0.0000	0.2652	0.0000	0.5180	0.2522	0.3743	5.6924	5.0587	29.8407	23.0681	30.2664	23.6162	29.0156	0.0000	0.0000	0.0000	0.1383	0.0000	0.2959	0.1747	0.5439	6.9586	32.3070	26.3832	20.9217	41.7111	38.4897	24.4142	0.0000	0.0000	0.0000	0.2387	0.0000	0.4446	0.2046	0.0000	9.9861	3.2574	31.4298	23.9075	31.5982	24.1284	30.5073	0.0000	0.0000	0.0000	0.2557	0.0000	0.5704	0.2544	0.4292	7.5284
9	16.0000	18.0000	215.9140	269.0000	198.6287	9.1753	0.6053	7.5047	2.3000	26.4548	21.5103	26.5546	21.6329	25.6819	0.0000	0.0000	0.0000	0.2688	0.0000	0.5170	0.2500	0.2790	6.3160	2.4903	26.5004	21.5272	26.6171	21.6708	25.7194	0.0000	0.0000	0.0000	0.2750	0.0000	0.5259	0.2532	0.2863	6.3536	4.1347	26.4023	21.7130	26.7241	22.1031	25.5787	0.0000	0.0000	0.0000	0.1567	0.0000	0.2959	0.1844	0.7450	7.0420	18.6160	24.6301	18.6555	30.8739	26.3549	24.2186	0.0000	0.0000	0.0000	0.1644	0.0000	0.3700	0.1864	1.8172	4.0746	2.5977	25.4879	21.1447	25.6199	21.3037	24.9353	0.0000	0.0000	0.0000	0.2485	0.0000	0.5641	0.2487	0.3506	6.1946
10	18.0000	20.0000	324.4175	367.0000	298.1947	14.3491	0.7711	11.1025	1.9408	22.6958	19.1065	22.7786	19.2048	22.0193	0.0000	0.0000	0.0000	0.2569	0.0000	0.5050	0.2455	0.2030	5.5561	2.1028	22.6894	19.1143	22.7867	19.2297	22.0094	0.0000	0.0000	0.0000	0.2630	0.0000	0.5141	0.2488	0.1992	5.5931	3.4280	22.9333	19.0537	23.1881	19.3596	22.4012	0.0000	0.0000	0.0000	0.1395	0.0000	0.2833	0.1755	0.1289	4.8983	18.9261	18.0150	15.8402	26.1293	24.6802	17.7563	0.0000	0.0000	0.0000	0.1594	0.0000	0.3866	0.1854	0.0000	3.9219	2.2444	22.9081	19.2473	23.0178	19.3778	22.0862	0.0000	0.0000	0.0000	0.2529	0.0000	0.5551	0.2514	0.4151	6.1006
