Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
6	50.0000	60.0000	4241.4036	5213.0000	3795.4212	316.4564	18.0682	111.4577	0.6170	6.8926	6.9045	6.9202	6.9320	0.1322	0.0000	0.0000	0.0000	0.2466	0.0000	0.6238	0.2995	0.3484	6.8575	0.6818	6.8590	6.8668	6.8929	6.9006	0.1276	0.0000	0.0000	0.0000	0.2550	0.0000	0.6402	0.3064	0.3463	6.8176	1.1213	7.0099	7.1960	7.0991	7.2828	0.3110	0.0000	0.0000	0.0000	0.1338	0.0000	0.3938	0.2047	0.3808	7.1704	5.6540	9.2982	8.2432	10.8823	9.9959	5.2973	0.0000	0.0000	0.0000	0.1655	0.0000	0.4554	0.2307	1.0726	7.6221	1.0977	7.5959	7.3621	7.6748	7.4434	0.3114	0.0000	0.0000	0.0000	0.2937	0.0000	0.7454	0.3428	0.3663	7.5347
7	60.0000	70.0000	4940.5258	5804.0000	4461.2280	318.2695	20.4825	140.5458	0.5539	6.8244	6.7008	6.8468	6.7236	0.1644	0.0000	0.0000	0.0000	0.2331	0.0000	0.5881	0.2807	0.2509	6.7826	0.6064	6.8413	6.7400	6.8682	6.7673	0.1873	0.0000	0.0000	0.0000	0.2402	0.0000	0.6024	0.2869	0.2655	6.7967	1.1748	6.6532	6.0492	6.7561	6.1622	0.0570	0.0000	0.0000	0.0000	0.1187	0.0000	0.3498	0.1811	0.2097	6.6369	5.1149	4.7434	5.6472	6.9758	7.6193	1.1810	0.0000	0.0000	0.0000	0.1391	0.0000	0.4412	0.2073	1.6506	5.2456	0.9769	7.0422	7.1511	7.1097	7.2176	0.3633	0.0000	0.0000	0.0000	0.2809	0.0000	0.6926	0.3192	0.2879	7.0959
8	70.0000	80.0000	3662.6751	4389.0000	3359.1644	176.5023	11.7642	115.2441	0.6519	6.6633	6.0894	6.6951	6.1242	0.0105	0.0000	0.0000	0.0000	0.2343	0.0000	0.6171	0.2814	0.1868	6.6219	0.7046	6.7266	6.0653	6.7634	6.1061	0.0159	0.0000	0.0000	0.0000	0.2394	0.0000	0.6281	0.2860	0.1935	6.6840	1.5669	5.7111	6.0426	5.9222	6.2424	0.1726	0.0000	0.0000	0.0000	0.1162	0.0000	0.3629	0.1775	0.2002	6.0222	6.8687	5.2208	5.1993	8.6277	8.6146	0.8081	0.0000	0.0000	0.0000	0.1554	0.0000	0.5140	0.2115	1.2807	5.1888	1.0988	6.4332	6.9976	6.5264	7.0833	0.3193	0.0000	0.0000	0.0000	0.2745	0.0000	0.6975	0.3129	0.1583	6.9419
9	80.0000	90.0000	2826.4766	3319.0000	2620.3233	103.7678	8.0498	94.3357	0.7458	5.7068	6.2745	5.7553	6.3187	0.0867	0.0000	0.0000	0.0000	0.2352	0.0000	0.6425	0.2791	0.1926	6.2275	0.7989	5.7781	6.3636	5.8331	6.4136	0.0700	0.0000	0.0000	0.0000	0.2386	0.0000	0.6506	0.2819	0.2042	6.3160	2.0355	3.8892	4.4058	4.3897	4.8533	0.1221	0.0000	0.0000	0.0000	0.1172	0.0000	0.3727	0.1808	0.3718	4.3841	8.1346	3.6386	2.0036	8.9113	8.3777	2.6679	0.0000	0.0000	0.0000	0.1411	0.0000	0.4970	0.2051	0.8006	2.4109	1.1687	6.0585	6.3104	6.1702	6.4177	0.6401	0.0000	0.0000	0.0000	0.2780	0.0000	0.7281	0.3168	0.1498	6.2364
10	90.0000	100.0000	2152.5502	2544.0000	2005.0621	62.8383	5.4225	79.2273	0.8267	5.6131	5.5539	5.6737	5.6151	0.5467	0.0000	0.0000	0.0000	0.2290	0.0000	0.6631	0.2749	0.1922	5.5419	0.8816	5.6315	5.5720	5.7001	5.6413	0.5248	0.0000	0.0000	0.0000	0.2320	0.0000	0.6704	0.2774	0.2122	5.5609	2.6844	4.6463	5.2171	5.3660	5.8672	1.6574	0.0000	0.0000	0.0000	0.1221	0.0000	0.4076	0.1843	0.4471	4.9252	10.0701	2.6525	4.5892	10.4136	11.0665	2.5282	0.0000	0.0000	0.0000	0.1647	0.0000	0.5132	0.2281	0.5975	3.7378	1.2748	6.3114	5.6209	6.4389	5.7637	0.3280	0.0000	0.0000	0.0000	0.2440	0.0000	0.6910	0.2868	0.3137	6.2519
11	100.0000	110.0000	1689.9620	1898.0000	1581.9202	37.8932	3.8058	66.3428	0.9261	5.3680	4.9607	5.4473	5.0464	0.1931	0.0000	0.0000	0.0000	0.2293	0.0000	0.6769	0.2704	0.1513	5.3100	0.9841	5.3713	4.9480	5.4607	5.0449	0.1906	0.0000	0.0000	0.0000	0.2309	0.0000	0.6819	0.2718	0.1750	5.3133	3.2678	3.8159	2.9555	5.0239	4.4061	0.6376	0.0000	0.0000	0.0000	0.1283	0.0000	0.4176	0.1857	0.2313	3.7250	12.0082	4.4234	9.0876	12.7970	15.0592	3.7959	0.0000	0.0000	0.0000	0.1477	0.0000	0.5117	0.2100	0.7987	9.0056	1.3799	6.3940	6.2072	6.5412	6.3588	0.5048	0.0000	0.0000	0.0000	0.2537	0.0000	0.7142	0.2907	0.2608	6.3168
12	110.0000	120.0000	1307.7409	1537.0000	1230.1880	21.5189	2.2150	53.8189	1.0232	5.1240	5.3947	5.2251	5.4909	0.4494	0.0000	0.0000	0.0000	0.2191	0.0000	0.6853	0.2634	0.3557	5.3285	1.0820	5.1380	5.4369	5.2507	5.5435	0.5178	0.0000	0.0000	0.0000	0.2209	0.0000	0.6902	0.2649	0.3513	5.3706	4.2167	4.0855	3.4125	5.8713	5.4246	1.2104	0.0000	0.0000	0.0000	0.1296	0.0000	0.4489	0.1872	0.1205	3.8678	15.5596	8.6321	5.2425	17.7936	16.4190	3.5791	0.0000	0.0000	0.0000	0.1279	0.0000	0.5273	0.1979	2.6778	8.4294	1.7951	5.3027	5.4132	5.5983	5.7031	0.4733	0.0000	0.0000	0.0000	0.2177	0.0000	0.6741	0.2618	0.5654	5.3184
13	120.0000	130.0000	1035.2245	1222.0000	975.4804	13.2685	1.6124	44.8631	1.0795	4.8873	5.0956	5.0050	5.2086	0.4298	0.0000	0.0000	0.0000	0.2618	0.0000	0.9658	0.2951	0.2393	4.9644	1.1401	4.9103	5.1275	5.0409	5.2528	0.4736	0.0000	0.0000	0.0000	0.2633	0.0000	0.9731	0.2964	0.2412	4.9916	5.5139	2.0443	2.4408	5.8807	6.0300	0.5578	0.0000	0.0000	0.0000	0.1873	0.0000	0.6419	0.2363	0.3177	2.3042	18.7468	8.5666	4.7588	20.6114	19.3414	1.6108	0.0000	0.0000	0.0000	0.1582	0.0000	0.7215	0.2312	4.0606	7.5033	1.6793	5.2332	5.2975	5.4961	5.5572	0.4151	0.0000	0.0000	0.0000	0.2566	0.0000	0.9108	0.2868	0.3057	5.1797
14	130.0000	140.0000	802.0357	886.0000	753.0100	10.2830	1.4003	37.3424	1.1934	4.9840	4.9957	5.1249	5.1363	0.4731	0.0000	0.0000	0.0000	0.2688	0.0000	0.9530	0.2953	0.1012	4.8682	1.2643	5.0568	5.0722	5.2125	5.2274	0.5188	0.0000	0.0000	0.0000	0.2707	0.0000	0.9591	0.2965	0.1092	4.9392	6.3773	1.5908	3.0169	6.5727	7.0549	1.8233	0.0000	0.0000	0.0000	0.1980	0.0000	0.6798	0.2477	0.4515	2.2844	19.1326	6.0016	4.3654	20.0518	19.6243	4.5371	0.0000	0.0000	0.0000	0.2375	0.0000	0.8078	0.2714	0.0000	3.8277	1.8441	4.7243	4.4526	5.0714	4.8194	0.6323	0.0000	0.0000	0.0000	0.2512	0.0000	0.9123	0.2863	0.4280	4.5762
15	140.0000	150.0000	644.2226	667.0000	608.6308	5.2317	0.8716	29.4885	1.4362	4.7248	5.4914	4.9383	5.6761	0.0509	0.0000	0.0000	0.0000	0.2568	0.0000	0.9454	0.2910	0.2411	5.3962	1.5146	4.7539	5.5518	4.9893	5.7547	0.0226	0.0000	0.0000	0.0000	0.2574	0.0000	0.9503	0.2913	0.2634	5.4570	8.7335	2.5887	2.3508	9.1091	9.0444	0.3634	0.0000	0.0000	0.0000	0.1971	0.0000	0.6949	0.2547	0.3732	2.4174	26.0881	5.6261	13.0867	26.6879	29.1865	5.5647	0.0000	0.0000	0.0000	0.2556	0.0000	0.7410	0.2710	0.0000	12.6147	2.0510	4.6751	4.6310	5.1052	5.0648	0.5325	0.0000	0.0000	0.0000	0.2550	0.0000	0.8956	0.2912	0.2364	4.5627
