Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	11.6072	9.0000	0.0044	10.8194	0.1183	0.6651	5.4891	8.1448	8.1309	9.8218	9.8103	2.1661	0.4331	1.9399	0.0000	0.0000	0.0000	0.3374	0.1489	1.6816	7.6940	53.1075	1.2303	10.0454	53.1217	54.0492	9.8019	0.3976	1.0471	0.0000	0.0000	0.0000	0.4123	0.2987	0.0000	1.8219	5.7290	7.7883	7.6725	9.6684	9.5755	2.4089	0.4321	1.9013	0.0000	0.0000	0.0000	0.3321	0.1443	1.5381	7.2500	61.0818	11.4943	14.5606	62.1539	62.7933	13.6957	0.5060	4.9115	0.0000	0.0000	0.0000	0.1594	0.1871	0.0000	0.0000	19.3128	17.2331	17.0236	25.8837	25.7446	1.1159	0.4364	2.0462	0.0000	0.0000	0.0000	0.4551	0.2161	4.3264	17.0617
3	-2.3000	-2.2000	11.5380	11.0000	0.0149	10.6796	0.1659	0.6775	5.6290	9.4413	7.0313	10.9920	9.0070	2.6431	0.4358	1.6927	0.0000	0.0000	0.0000	0.3511	0.1421	0.9041	8.8394	76.4140	15.7800	10.0824	78.0263	77.0762	15.7325	0.3973	1.0692	0.0000	0.0000	0.0000	0.4008	0.1910	0.0000	0.0000	5.8635	9.2032	7.6796	10.9123	9.6621	1.9956	0.4353	1.6970	0.0000	0.0000	0.0000	0.3502	0.1436	0.3948	8.7948	65.0865	56.5022	39.9643	86.1902	76.3767	44.3478	0.4498	1.3113	0.0000	0.0000	0.0000	0.3818	0.1014	0.0000	34.9813	19.7495	15.4160	5.8229	25.0539	20.5900	4.0140	0.4410	1.7321	0.0000	0.0000	0.0000	0.3567	0.1285	9.1727	11.9031
4	-2.2000	-2.1000	13.0611	15.0000	0.0456	12.2408	0.3883	0.3864	5.4204	6.5929	5.0555	8.5351	7.4120	1.5553	0.4368	2.0167	0.0000	0.0000	0.0000	0.3623	0.1636	0.6610	6.0524	74.7516	3.4149	9.7710	74.8296	75.3875	9.6984	0.3972	1.0272	0.0000	0.0000	0.0000	0.4286	0.1247	3.2014	0.0000	5.5468	6.7544	4.7228	8.7401	7.2850	0.3374	0.4369	2.0500	0.0000	0.0000	0.0000	0.3634	0.1649	0.6417	6.3988	37.5793	46.8311	27.1523	60.0446	46.3622	46.7838	0.4573	2.0335	0.0000	0.0000	0.0000	0.2368	0.1743	1.7288	1.7288	34.4840	2.4894	19.0414	34.5737	39.3919	4.7976	0.4192	1.0614	0.0000	0.0000	0.0000	0.4461	0.1147	2.5299	18.2111
5	-2.1000	-2.0000	13.4685	7.0000	0.0046	12.4350	0.3357	0.6932	5.2550	8.1280	6.3121	9.6788	8.2133	1.5749	0.4362	1.7409	0.0000	0.0000	0.0000	0.3848	0.1575	0.5634	7.7378	46.5804	1.6061	9.1396	46.6081	47.4686	9.0430	0.4012	1.1605	0.0000	0.0000	0.0000	0.3804	0.3221	0.0000	0.0000	5.4888	9.0018	6.4131	10.5432	8.4413	2.0734	0.4362	1.7470	0.0000	0.0000	0.0000	0.3661	0.1475	0.3847	8.5549	37.0715	9.4546	13.9250	38.2581	39.6005	10.1886	0.4544	2.0736	0.0000	0.0000	0.0000	0.1837	0.1182	0.0000	9.2490	20.1958	7.5106	9.3031	21.5471	22.2355	5.3567	0.4273	1.4732	0.0000	0.0000	0.0000	0.8172	0.3551	4.7677	8.9911
6	-2.0000	-1.9000	14.1698	18.0000	0.0016	13.2455	0.3465	0.5762	5.3439	3.5970	4.7439	6.4417	7.1457	1.3990	0.4353	1.9275	0.0000	0.0000	0.0000	0.3769	0.1459	0.5173	4.2937	46.9560	4.9048	11.6598	47.2115	48.3820	10.2504	0.4470	2.0236	0.0000	0.0000	0.0000	0.8332	0.3774	0.0000	5.0745	5.5288	3.7166	4.7586	6.6619	7.2946	1.5100	0.4350	1.9037	0.0000	0.0000	0.0000	0.3710	0.1408	0.6386	4.3213	39.8263	20.1264	19.7729	44.6229	44.4646	19.9713	0.4479	2.4057	0.0000	0.0000	0.0000	0.4482	0.1755	0.0000	0.0000	23.3103	11.8601	14.2758	26.1540	27.3344	12.4741	0.4349	2.1862	0.0000	0.0000	0.0000	0.4685	0.2440	1.9572	6.2543
7	-1.9000	-1.8000	17.4083	11.0000	0.0987	16.4178	0.1680	0.7238	4.6626	3.7481	5.5542	5.9823	7.2519	1.2530	0.4286	1.9690	0.0000	0.0000	0.0000	0.3489	0.1318	0.8189	4.9406	69.3410	17.9108	11.2503	71.6168	70.2477	17.8582	0.4490	1.2723	0.0000	0.0000	0.0000	0.2220	0.1007	0.0000	0.0054	4.8305	3.5607	5.7385	6.0010	7.5010	1.2652	0.4273	1.9157	0.0000	0.0000	0.0000	0.3465	0.1286	1.0656	5.1191	44.2399	21.0768	16.1173	49.0041	47.0843	20.4723	0.4792	4.9841	0.0000	0.0000	0.0000	0.1862	0.0939	0.0000	0.0000	19.3818	9.4248	3.7983	21.5518	19.7504	3.6420	0.4450	2.5732	0.0000	0.0000	0.0000	0.4592	0.2167	4.4768	6.9601
8	-1.8000	-1.7000	17.3384	10.0000	0.0282	16.6506	0.0806	0.5790	7.0218	13.9737	5.8446	15.6387	9.1359	13.2915	0.4385	1.9450	0.0000	0.0000	0.0000	0.3634	0.1518	0.7566	3.7713	80.4001	7.6613	15.1325	80.7643	81.8118	15.0599	0.4133	1.3044	0.0000	0.0000	0.0000	0.5597	0.0838	0.0000	0.0169	7.2449	14.8250	6.2173	16.5006	9.5470	14.1692	0.4394	1.9547	0.0000	0.0000	0.0000	0.3566	0.1482	0.7668	3.8313	73.4870	15.9210	16.2981	75.1919	75.2727	15.9317	0.4360	3.4073	0.0000	0.0000	0.0000	0.0598	0.0626	0.0000	0.0000	26.1732	5.2298	6.7427	26.6906	27.0278	6.5017	0.4140	1.4921	0.0000	0.0000	0.0000	0.5933	0.2704	3.0311	2.7568
9	-1.7000	-1.6000	17.2618	19.0000	0.1007	16.4895	0.1115	0.5601	4.6954	2.8802	3.7060	5.5084	5.9817	1.6093	0.4327	1.7387	0.0000	0.0000	0.0000	0.4127	0.1641	0.7280	3.1768	71.0511	22.7093	18.1514	74.5920	73.3330	22.5264	0.4852	2.7532	0.0000	0.0000	0.0000	0.5893	0.3330	0.0000	0.0000	4.8266	2.9917	3.4802	5.6786	5.9505	1.8270	0.4328	1.7288	0.0000	0.0000	0.0000	0.4072	0.1603	0.7621	2.8549	50.5991	18.0653	14.0374	53.7273	52.5102	17.7575	0.5061	3.2796	0.0000	0.0000	0.0000	0.0924	0.0610	0.0000	0.0000	22.0032	3.8810	15.4819	22.3428	26.9040	1.7470	0.4069	1.5409	0.0000	0.0000	0.0000	0.6049	0.2654	6.6864	13.8565
10	-1.6000	-1.5000	18.8910	19.0000	0.0076	17.6985	0.2406	0.9443	4.6143	3.0339	3.8854	5.5224	6.0323	1.8128	0.4335	1.7983	0.0000	0.0000	0.0000	0.4282	0.1668	0.1101	3.3173	35.0794	22.6049	4.7733	41.7318	35.4027	8.8190	0.4406	3.3101	0.0000	0.0000	0.0000	1.7702	0.9506	0.0000	20.4454	4.8057	3.1401	3.9943	5.7407	6.2489	1.9259	0.4339	1.7897	0.0000	0.0000	0.0000	0.3999	0.1525	0.1179	3.4714	43.9678	3.1330	11.5126	44.0793	45.4500	9.3036	0.4418	1.6115	0.0000	0.0000	0.0000	0.3069	0.1804	0.0000	6.5623	16.8219	2.8409	2.6986	17.0601	17.0370	0.4984	0.4242	1.9945	0.0000	0.0000	0.0000	0.9779	0.4240	0.2212	1.6663
11	-1.5000	-1.4000	20.2333	13.0000	0.0303	19.0361	0.4411	0.7259	4.3772	2.8061	5.8007	5.1994	7.2669	3.0521	0.4321	1.7668	0.0000	0.0000	0.0000	0.3907	0.1658	0.8164	4.4919	83.2960	5.3338	11.5079	83.4666	84.0872	11.2330	0.4052	1.3423	0.0000	0.0000	0.0000	0.5382	0.1626	0.0000	5.1154	4.4404	2.6904	5.1704	5.1918	6.8154	2.5989	0.4323	1.7829	0.0000	0.0000	0.0000	0.3873	0.1629	0.5139	4.0215	42.7174	14.6864	36.2061	45.1715	55.9970	17.5844	0.4457	1.6885	0.0000	0.0000	0.0000	0.2045	0.2297	14.7729	27.9337	25.3041	5.2679	6.5654	25.8466	26.1419	5.7644	0.4200	1.4113	0.0000	0.0000	0.0000	0.5865	0.2048	0.3026	4.7175
