Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	0.7583	1.0000	0.0860	0.1881	0.4063	0.0779	29.0526	32.6992	20.2385	43.7412	35.4069	18.6287	0.4777	3.8976	0.0000	0.0000	0.0000	0.3349	0.1593	11.1647	26.2462	98.7407	15.7592	19.2720	99.9904	100.6038	19.2228	0.3978	1.1472	0.0000	0.0000	0.0000	0.6430	0.0737	0.0318	0.4048	42.9367	59.5582	24.1120	73.4217	49.2438	47.1723	0.4950	5.5780	0.0000	0.0000	0.0000	0.2314	0.1110	20.9540	29.1797	37.2749	43.4001	25.9873	57.2100	45.4396	19.0854	0.4860	4.1843	0.0000	0.0000	0.0000	0.3097	0.2091	0.0000	41.1553	139.8288	64.7774	90.9788	154.1046	166.8210	28.0935	0.4807	1.3804	0.0000	0.0000	0.0000	0.3761	0.1106	81.1312	61.5102
2	-3.0144	-2.8888	0.6896	0.0000	0.0006	0.1285	0.3454	0.2150	24.5402	23.5608	4.7663	34.0196	24.9988	2.1854	0.4712	4.2007	0.0000	0.0000	0.0000	0.2527	0.1009	5.6564	22.4234	53.5284	18.7747	20.7415	56.7254	57.4064	18.7038	0.4206	1.5098	0.0000	0.0000	0.0000	0.4034	0.1891	4.6523	11.3827	58.4367	86.8270	79.9726	104.6603	99.0478	11.3300	0.4426	3.5728	0.0000	0.0000	0.0000	0.1082	0.0595	16.7132	85.0985	36.7316	30.4071	7.1957	47.6844	37.4298	4.9392	0.4904	5.2018	0.0000	0.0000	0.0000	0.2723	0.0925	0.0000	29.6635	38.6204	27.3769	28.2415	47.3395	47.8447	19.5871	0.4575	2.9751	0.0000	0.0000	0.0000	0.3072	0.1390	13.7397	23.7545
3	-2.8888	-2.7632	0.6016	5.0000	0.0005	0.1841	0.1997	0.2174	26.0852	5.8064	22.4027	26.7236	34.3848	10.1422	0.4499	1.9206	0.0000	0.0000	0.0000	0.3345	0.1305	9.6431	17.3783	79.1237	329.9028	51.0968	339.2586	94.1884	91.8005	0.4964	2.6333	0.0000	0.0000	0.0000	2.0076	0.8753	216.8791	230.9978	39.7391	50.0555	70.5188	63.9120	80.9451	13.5597	0.4774	3.4010	0.0000	0.0000	0.0000	0.1642	0.1226	4.5877	68.9649	49.5411	3.7539	9.8452	49.6831	50.5099	9.7804	0.4572	0.9647	0.0000	0.0000	0.0000	0.3516	0.0939	0.0000	3.5591	44.8196	7.5912	47.1417	45.4580	65.0472	7.8136	0.4199	1.5433	0.0000	0.0000	0.0000	0.4592	0.1693	23.3007	40.1942
4	-2.7632	-2.6376	0.7524	1.0000	0.0235	0.3091	0.2360	0.1838	20.8658	6.6087	8.3602	21.8873	22.4783	5.5416	0.4573	2.8326	0.0000	0.0000	0.0000	0.2936	0.1214	2.1522	7.6832	94.6586	24.5776	20.8398	97.7973	96.9255	21.1912	0.3973	0.4435	0.0000	0.0000	0.0000	0.1641	0.4945	4.5932	12.4244	34.0439	27.6050	17.7949	43.8294	38.4141	21.4420	0.4574	2.3673	0.0000	0.0000	0.0000	0.2719	0.0895	8.1242	17.2157	40.0918	19.1126	33.1849	44.4145	52.0441	3.1412	0.4715	4.0681	0.0000	0.0000	0.0000	0.3415	0.1413	10.4497	32.7790	34.9413	15.2668	22.0589	38.1309	41.3218	7.3399	0.4465	2.3335	0.0000	0.0000	0.0000	0.2851	0.1016	13.1706	19.9000
5	-2.6376	-2.5120	0.6861	1.0000	0.0042	0.2170	0.2357	0.2292	25.0275	17.6287	6.2305	30.6129	25.7914	6.4919	0.4679	2.8170	0.0000	0.0000	0.0000	0.3797	0.2256	5.5200	15.1594	95.9817	37.1758	99.8612	102.9297	138.5090	36.4483	0.5025	7.2799	0.0000	0.0000	0.0000	0.5342	0.1505	2.6469	96.0299	55.1157	13.2832	3.0616	56.6938	55.2007	5.6318	0.4961	2.6099	0.0000	0.0000	0.0000	0.0842	0.1444	11.5753	1.9114	44.0063	33.1948	12.8877	55.1221	45.8546	11.4924	0.4529	3.0812	0.0000	0.0000	0.0000	0.1713	0.1565	4.9257	31.8115	28.9633	37.6069	9.2015	47.4674	30.3898	9.5098	0.4560	2.6603	0.0000	0.0000	0.0000	0.8708	0.3749	5.5645	35.8426
6	-2.5120	-2.3864	0.5978	1.0000	0.0001	0.2014	0.2793	0.1169	25.7824	16.6121	9.3367	30.6708	27.4209	8.5928	0.4652	2.5595	0.0000	0.0000	0.0000	0.2478	0.1357	2.5479	15.3580	71.0945	123.7727	18.4541	142.7379	73.4505	24.2821	0.3988	0.9656	0.0000	0.0000	0.0000	0.4847	0.2191	82.2046	89.2810	39.2306	31.4119	17.4165	50.2568	42.9229	18.6852	0.4620	4.1874	0.0000	0.0000	0.0000	0.2343	0.1001	2.8327	24.8950	44.8919	30.6423	4.9533	54.3529	45.1644	4.5068	0.4792	1.9796	0.0000	0.0000	0.0000	0.2441	0.1252	0.0000	30.5733	36.1779	35.1012	28.1894	50.4076	45.8637	10.2080	0.4373	1.1425	0.0000	0.0000	0.0000	0.2793	0.2221	8.1492	34.1468
7	-2.3864	-2.2608	0.6020	0.0000	0.0005	0.2484	0.2142	0.1389	23.2895	2.2852	33.2830	23.4013	40.6221	5.1414	0.4508	1.9875	0.0000	0.0000	0.0000	0.5868	0.2312	5.4291	32.3620	45.9637	62.5566	10.3127	77.6273	47.1064	9.6414	0.4682	3.2901	0.0000	0.0000	0.0000	0.3518	0.1537	62.4276	1.0344	38.1508	10.9999	31.2694	39.7049	49.3280	9.3226	0.4364	1.4168	0.0000	0.0000	0.0000	0.7378	0.2944	10.8637	28.5514	36.1802	16.6408	27.7627	39.8237	45.6045	16.3109	0.4912	3.2274	0.0000	0.0000	0.0000	0.3058	0.1010	0.3332	23.8528	49.2023	15.8118	66.9024	51.6806	83.0470	22.3116	0.4143	1.0909	0.0000	0.0000	0.0000	0.7511	0.3193	35.0437	52.4217
8	-2.2608	-2.1352	1.0615	0.0000	0.0021	0.3934	0.3816	0.2843	20.6732	5.0716	3.7104	21.2862	21.0035	2.6219	0.4640	2.2600	0.0000	0.0000	0.0000	0.4037	0.1583	1.4933	4.2403	35.9458	3.7086	15.8440	36.1366	39.2827	2.7378	0.4699	2.7130	0.0000	0.0000	0.0000	1.1768	0.4927	15.3078	1.2280	27.7207	24.3755	15.1038	36.9135	31.5684	14.8933	0.4648	2.4492	0.0000	0.0000	0.0000	0.3024	0.0893	12.1420	18.1125	35.3234	7.3044	17.3720	36.0707	39.3641	9.4621	0.4853	2.6826	0.0000	0.0000	0.0000	0.2904	0.1558	10.1250	10.1094	47.2965	30.3268	33.4713	56.1843	57.9421	29.2319	0.4343	1.4276	0.0000	0.0000	0.0000	0.6903	0.2549	5.6858	18.2152
9	-2.1352	-2.0096	0.5546	0.0000	0.0029	0.2302	0.0302	0.2913	32.3537	21.1368	7.5567	38.6462	33.2244	6.2871	0.4626	4.1160	0.0000	0.0000	0.0000	0.6031	0.2386	2.0876	20.5475	55.2986	19.0443	24.3001	58.4861	60.4022	18.5389	0.5023	4.2324	0.0000	0.0000	0.0000	0.8754	0.2535	1.4770	17.2276	41.1031	18.8616	14.9839	45.2242	43.7491	18.5513	0.4690	3.3551	0.0000	0.0000	0.0000	0.3610	0.0739	0.0000	5.7888	193.7706	284.3404	19.6420	344.0880	194.7636	14.1119	0.6315	11.8253	0.0000	0.0000	0.0000	6.2286	2.7622	0.0000	283.6778	48.3355	25.5998	26.4138	54.6961	55.0818	25.3553	0.4396	3.9179	0.0000	0.0000	0.0000	0.2092	0.1073	3.9893	21.6729
10	-2.0096	-1.8840	0.9291	1.0000	0.0506	0.2038	0.4362	0.2384	20.9388	13.6308	11.1191	24.9846	23.7079	12.2906	0.4700	2.6782	0.0000	0.0000	0.0000	0.2840	0.1405	5.2198	8.3192	99.4907	21.4484	12.9615	101.7763	100.3314	21.3820	0.3976	0.7560	0.0000	0.0000	0.0000	0.0606	0.0626	0.0352	1.4500	39.6584	20.0414	36.4712	44.4347	53.8789	7.8910	0.4956	3.5998	0.0000	0.0000	0.0000	0.2404	0.1509	17.2720	35.4202	34.1464	33.4295	24.7378	47.7861	42.1655	33.1838	0.4620	2.8170	0.0000	0.0000	0.0000	0.2867	0.1442	2.8487	17.7429	34.0398	19.3263	4.1661	39.1435	34.2938	3.5202	0.4781	2.0443	0.0000	0.0000	0.0000	0.3637	0.1412	0.3549	19.2047
11	-1.8840	-1.7584	0.5336	1.0000	0.0016	0.1633	0.1099	0.2588	23.8632	4.4695	8.5375	24.2782	25.3445	2.5296	0.4812	3.3445	0.0000	0.0000	0.0000	0.2412	0.1352	2.0577	7.1247	47.6735	11.6421	13.5672	49.0744	49.5664	5.4430	0.4260	1.5804	0.0000	0.0000	0.0000	0.4697	0.2727	1.7812	12.1777	44.6233	5.9820	8.4408	45.0225	45.4146	2.2896	0.4908	5.5194	0.0000	0.0000	0.0000	0.2736	0.1268	0.5102	5.9118	51.5477	29.0537	26.0469	59.1716	57.7547	26.7278	0.4937	3.3621	0.0000	0.0000	0.0000	0.1621	0.2361	11.3083	11.3083	33.8891	7.0813	10.7126	34.6211	35.5420	8.5767	0.4700	1.9754	0.0000	0.0000	0.0000	0.2530	0.0968	4.7772	6.0829
12	-1.7584	-1.6328	0.6478	0.0000	0.0012	0.1708	0.2133	0.2626	22.7851	22.3014	14.1543	31.8828	26.8236	9.3476	0.4487	2.3090	0.0000	0.0000	0.0000	0.2678	0.1377	10.3606	21.0512	45.1396	14.8406	49.8939	47.5166	67.2828	22.8372	0.4333	1.4409	0.0000	0.0000	0.0000	1.1907	0.6401	2.2729	44.3145	38.9197	72.5204	15.7148	82.3040	41.9726	17.1171	0.4666	1.6094	0.0000	0.0000	0.0000	0.2469	0.1167	0.4878	70.4492	38.3271	45.5442	12.1982	59.5252	40.2214	16.5029	0.4284	1.2755	0.0000	0.0000	0.0000	0.1461	0.1283	0.0000	42.4274	39.3755	5.8288	47.2369	39.8046	61.4960	7.5781	0.4536	3.6076	0.0000	0.0000	0.0000	0.3761	0.1568	25.5640	38.8199
13	-1.6328	-1.5072	2.0353	0.0000	1.2095	0.4308	0.2406	0.1544	54.7292	34.3101	68.8370	64.5946	87.9421	33.6109	0.4916	5.3716	0.0000	0.0000	0.0000	0.1228	0.0796	4.2866	62.2640	90.8904	60.5467	112.0669	109.2107	144.2916	60.1512	0.4957	6.8900	0.0000	0.0000	0.0000	0.1111	0.0692	0.0235	99.8416	29.2511	8.2984	18.8209	30.4054	34.7829	3.4760	0.4895	3.5374	0.0000	0.0000	0.0000	0.2299	0.1353	12.2668	13.3733	42.5432	26.0415	41.3278	49.8807	59.3120	6.7144	0.4746	2.3606	0.0000	0.0000	0.0000	0.2029	0.0941	25.2070	40.7069	49.9872	113.9005	13.5134	124.3867	51.7816	7.9701	0.4917	3.2868	0.0000	0.0000	0.0000	0.2086	0.0169	43.2101	105.3273
14	-1.5072	-1.3816	0.8275	3.0000	0.0010	0.2847	0.2668	0.2750	26.7194	132.5878	30.8278	135.2533	40.7956	7.7013	0.4693	3.9078	0.0000	0.0000	0.0000	0.4178	0.1643	24.0623	132.2678	51.6728	109801.0891	11.2842	109801.1013	52.8905	10.8489	0.4642	2.9870	0.0000	0.0000	0.0000	0.6410	0.2930	28.6497	109801.0851	36.0624	20.7637	19.8729	41.6128	41.1756	5.8315	0.4820	4.3351	0.0000	0.0000	0.0000	0.1760	0.1498	18.5619	6.9263	54.0057	9.3867	81.1322	54.8154	97.4631	12.0875	0.4982	4.3867	0.0000	0.0000	0.0000	0.4146	0.0425	49.7987	62.7436	48.2198	10.2679	40.4957	49.3009	62.9686	5.3696	0.4282	3.0040	0.0000	0.0000	0.0000	0.6704	0.2970	5.0495	39.6967
15	-1.3816	-1.2560	0.5781	2.0000	0.0021	0.1969	0.1967	0.1823	28.9278	16.2404	4.4696	33.1748	29.2711	3.4177	0.4235	2.8136	0.0000	0.0000	0.0000	0.4068	0.1863	12.4857	9.7944	63.3232	23.0476	10.7238	67.3871	64.2248	10.5995	0.4197	1.3309	0.0000	0.0000	0.0000	0.7860	0.2907	0.2127	22.9750	40.4932	19.0718	3.9894	44.7597	40.6893	11.1315	0.3730	2.6524	0.0000	0.0000	0.0000	0.6464	0.3437	13.6647	6.7370	48.8758	55.4260	9.0024	73.8978	49.6979	7.4157	0.4897	5.0724	0.0000	0.0000	0.0000	0.2754	0.0815	36.7168	41.1955	60.9791	2.3581	50.4296	61.0247	79.1303	12.6167	0.4066	0.5676	0.0000	0.0000	0.0000	0.2853	0.1281	0.0305	48.8199
