Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
3	40.0000	60.0000	3.2221	5.0000	0.3369	0.6222	1.7176	0.5454	14.4214	4.4639	11.3641	15.0964	18.3608	5.6799	0.4925	2.7697	0.0000	0.0000	0.0000	0.2328	0.1681	1.1771	9.3542	50.0746	2.0624	9.9178	50.1170	51.0473	9.6938	0.4682	1.9798	0.0000	0.0000	0.0000	0.2971	0.1632	0.0000	0.3733	24.5876	4.4612	9.5262	24.9891	26.3685	5.2686	0.5061	2.5586	0.0000	0.0000	0.0000	0.2779	0.1810	0.0000	7.4885	22.0340	7.1017	12.9981	23.1502	25.5822	6.3807	0.4966	3.0677	0.0000	0.0000	0.0000	0.2064	0.1474	2.2082	10.8411	26.4588	4.2427	15.1229	26.7968	30.4757	8.3270	0.4792	2.5602	0.0000	0.0000	0.0000	0.2250	0.2215	0.0000	12.3482
4	60.0000	80.0000	9.0929	12.0000	1.7368	2.7292	3.2692	1.3577	15.0022	7.9796	14.0923	16.9924	20.5830	6.1816	0.4824	3.3494	0.0000	0.0000	0.0000	0.1926	0.1324	0.3351	13.2320	70.6613	35.7129	67.7062	79.1735	97.8629	35.2829	0.5059	5.5003	0.0000	0.0000	0.0000	0.1272	0.0664	0.0000	62.9522	11.2806	3.7075	3.3478	11.8743	11.7669	0.8238	0.4885	3.0913	0.0000	0.0000	0.0000	0.1963	0.1176	0.7694	1.8541	12.3882	8.5781	4.7836	15.0682	13.2797	3.1886	0.4735	2.6769	0.0000	0.0000	0.0000	0.1761	0.1699	0.7545	7.4430	22.8147	4.7057	3.0667	23.2950	23.0199	1.8478	0.4612	2.7361	0.0000	0.0000	0.0000	0.3084	0.1563	0.6978	3.3031
5	80.0000	100.0000	7.5983	9.0000	0.1624	2.6755	2.7930	1.9674	7.4502	4.0209	4.2299	8.4659	8.5672	1.5693	0.4575	2.2581	0.0000	0.0000	0.0000	0.2860	0.1651	0.5226	3.2368	46.4690	20.6258	14.5529	50.8409	48.6945	20.5084	0.4545	2.1420	0.0000	0.0000	0.0000	0.1257	0.1389	0.0000	0.0345	11.6805	6.0273	3.9474	13.1439	12.3295	1.8532	0.4646	2.7345	0.0000	0.0000	0.0000	0.1876	0.1152	1.4319	5.0820	13.4264	2.9172	6.1185	13.7397	14.7548	2.9545	0.4620	2.2764	0.0000	0.0000	0.0000	0.2407	0.1448	0.0000	4.8200	14.0556	3.5734	3.7734	14.5027	14.5533	2.1919	0.4416	1.5938	0.0000	0.0000	0.0000	0.4972	0.2641	0.0709	3.1164
6	100.0000	120.0000	5.0205	9.0000	0.0896	1.9245	1.7888	1.2177	9.1700	5.9598	6.0668	10.9365	10.9952	4.1073	0.4637	3.5748	0.0000	0.0000	0.0000	0.2554	0.1305	2.2419	3.3709	57.0014	9.6885	12.0966	57.8189	58.2708	11.4656	0.4870	3.7968	0.0000	0.0000	0.0000	0.3387	0.3171	0.0000	0.3351	13.7375	7.1819	4.3853	15.5015	14.4204	0.9540	0.4795	4.2428	0.0000	0.0000	0.0000	0.2614	0.1457	2.4822	5.2055	16.3210	3.5927	5.6650	16.7118	17.2762	1.5213	0.4617	3.3379	0.0000	0.0000	0.0000	0.2421	0.1131	0.0000	4.2838	19.1218	11.8823	14.3579	22.5130	23.9122	12.3487	0.4397	2.8508	0.0000	0.0000	0.0000	0.2593	0.1185	5.3207	6.7274
7	120.0000	140.0000	3.6563	9.0000	0.1080	1.3057	0.9309	1.3117	10.9811	9.1257	7.4945	14.2780	13.2948	4.9593	0.4446	2.9128	0.0000	0.0000	0.0000	0.4435	0.1521	0.8377	7.0058	79.4472	12.9065	15.2074	80.4887	80.8896	15.1267	0.4126	1.3599	0.0000	0.0000	0.0000	0.6438	0.1256	0.0000	0.2405	16.4772	11.5679	10.0844	20.1324	19.3182	4.6362	0.4567	3.4230	0.0000	0.0000	0.0000	0.2845	0.1144	2.6965	9.6453	23.6619	17.7491	12.0320	29.5789	26.5453	13.7319	0.4632	3.6755	0.0000	0.0000	0.0000	0.3636	0.1039	0.0000	10.6112	18.5237	3.2798	7.6401	18.8119	20.0375	1.1428	0.4220	1.9914	0.0000	0.0000	0.0000	0.6421	0.2262	0.3491	7.2343
8	140.0000	160.0000	3.9310	5.0000	0.0643	1.2872	1.5409	1.0385	12.1527	4.4229	6.6199	12.9325	13.8388	2.8407	0.4491	3.2236	0.0000	0.0000	0.0000	0.4049	0.1423	1.9686	4.5936	90.5592	25.0664	16.7118	93.9643	92.0882	25.0408	0.4034	0.9939	0.0000	0.0000	0.0000	0.3368	0.1294	0.0000	0.0207	17.0935	3.6884	5.1286	17.4869	17.8463	1.4514	0.4585	3.3464	0.0000	0.0000	0.0000	0.2781	0.1058	0.0000	3.8422	24.3376	8.5977	14.4381	25.8116	28.2980	11.9421	0.4621	4.2856	0.0000	0.0000	0.0000	0.3890	0.1207	4.8166	6.4256	18.2104	4.4863	8.8937	18.7548	20.2661	6.8478	0.4211	1.6336	0.0000	0.0000	0.0000	0.5900	0.2204	0.3046	5.3731
9	160.0000	180.0000	2.4846	4.0000	0.0998	1.2271	0.6151	0.5427	12.6393	6.2012	5.7733	14.0786	13.8954	4.8870	0.4529	2.6873	0.0000	0.0000	0.0000	0.4338	0.1651	0.1754	3.3678	79.0601	23.3402	21.7847	82.4334	82.0065	23.2736	0.4191	1.6262	0.0000	0.0000	0.0000	0.5123	0.1396	0.0000	0.0004	16.7991	5.1643	6.3029	17.5750	17.9426	5.5741	0.4681	2.8752	0.0000	0.0000	0.0000	0.3805	0.1592	0.0000	1.7880	26.0186	11.1318	16.8781	28.2999	31.0135	12.9211	0.4501	3.2224	0.0000	0.0000	0.0000	0.4844	0.1755	0.0000	10.3472	28.7210	14.4307	4.5811	32.1425	29.0840	13.9190	0.4279	1.8508	0.0000	0.0000	0.0000	0.4824	0.1714	0.8033	3.6918
10	180.0000	200.0000	0.5016	2.0000	0.0432	-0.1262	0.1620	0.4226	144.4099	43.6510	26.1376	150.8630	146.7562	35.0334	0.4818	3.1881	0.0000	0.0000	0.0000	0.4114	0.1231	5.1480	25.8359	81.7728	18.5209	26.8199	83.8440	86.0587	26.7535	0.4112	1.7305	0.0000	0.0000	0.0000	0.6208	0.0856	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.8323	9.8085	12.9040	53.7351	54.3854	12.8437	0.3972	1.0808	0.0000	0.0000	0.0000	0.4637	0.1083	0.0000	0.0000	25.6335	21.1856	6.7023	33.2551	26.4952	0.5666	0.4324	2.2702	0.0000	0.0000	0.0000	0.3341	0.1426	6.1095	21.0484
11	200.0000	220.0000	0.9863	1.0000	0.0030	0.2892	0.3806	0.3136	22.6907	9.7346	14.4148	24.6907	26.8822	9.9695	0.4499	2.7783	0.0000	0.0000	0.0000	0.4484	0.1830	0.9311	9.9685	47.8034	4.9409	12.3022	48.0581	49.3610	11.6544	0.4196	1.5478	0.0000	0.0000	0.0000	0.5640	0.1836	0.0000	3.5488	42.3237	14.1630	16.2962	44.6306	45.3527	15.1909	0.4663	4.0419	0.0000	0.0000	0.0000	0.4247	0.1554	3.0037	5.2892	34.0890	16.3117	28.7167	37.7906	44.5725	16.1823	0.4679	3.0787	0.0000	0.0000	0.0000	0.4961	0.2140	0.0000	23.5116	43.1116	2.7951	2.5504	43.2021	43.1869	2.4005	0.4131	1.2604	0.0000	0.0000	0.0000	0.4113	0.1709	0.2969	0.0681
12	220.0000	240.0000	0.2854	3.0000	0.0010	0.1695	0.1045	0.0104	63.0113	12.5795	10.2308	64.2548	63.8365	9.5368	0.4413	3.4274	0.0000	0.0000	0.0000	1.2172	0.5420	0.0000	11.7854	61.1572	5.5675	11.4683	61.4101	62.2232	11.4078	0.4010	0.9687	0.0000	0.0000	0.0000	0.5032	0.1794	0.0000	3.9336	49.0540	40.2512	25.9535	63.4544	55.4967	40.1252	0.4328	3.0798	0.0000	0.0000	0.0000	0.6203	0.2592	0.0000	0.0000	70.7182	7.0880	13.0909	71.0725	71.9197	12.4217	0.4408	3.4614	0.0000	0.0000	0.0000	2.0229	0.8796	0.0000	0.1735	1362.0865	537.8825	791.8015	1464.4443	1575.5092	791.7426	0.5898	9.0133	0.0000	0.0000	0.0000	2.9288	1.7992	0.0000	325.9694
