Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	13.0378	-1	3.5263	8.6525	0.0005	0.8586	4.7881	6.4270	4.1464	8.0145	6.3339	1.0422	0.0000	0.0000	0.0000	0.4653	0.0000	0.9562	0.4158	0.5881	6.2940	6.0262	8.4706	6.5617	10.3955	8.9090	0.8333	0.0000	0.0000	0.0000	0.6828	0.0000	1.4600	0.6177	1.5221	8.1349	6.6069	7.1471	3.1060	9.7331	7.3006	1.2498	0.0000	0.0000	0.0000	0.3530	0.0000	0.7047	0.3129	1.5634	7.0137	44.1417	31.7477	16.7009	54.3728	47.1954	31.5899	0.0000	0.0000	0.0000	1.2842	0.0000	2.6624	1.1198	0.0000	0.0000	15.5207	1.8081	11.0986	15.6257	19.0807	3.6332	0.0000	0.0000	0.0000	0.7037	0.0000	1.4205	0.6223	3.8436	9.6103
2	-3.0144	-2.8888	14.3982	-1	3.7117	9.8775	0.0940	0.7150	4.4780	6.7148	5.0116	8.0710	6.7208	1.4120	0.0000	0.0000	0.0000	0.4718	0.0000	0.9699	0.4196	1.0980	6.3679	5.5531	8.2286	10.5222	9.9271	11.8976	1.0825	0.0000	0.0000	0.0000	0.7499	0.0000	1.5152	0.6712	0.9439	10.3225	6.0281	6.0610	3.3448	8.5483	6.8939	1.4273	0.0000	0.0000	0.0000	0.3471	0.0000	0.7176	0.3061	1.5965	5.6054	70.2264	4.9359	12.3268	70.3996	71.3000	12.2748	0.0000	0.0000	0.0000	0.3901	0.0000	0.9840	0.4128	0.0000	0.0000	16.7411	14.9830	10.9286	22.4668	19.9925	11.2344	0.0000	0.0000	0.0000	0.7606	0.0000	1.6238	0.6835	3.5462	9.6746
3	-2.8888	-2.7632	14.8553	-1	3.4413	10.6252	0.0806	0.7081	4.4864	2.2102	3.7921	5.0012	5.8743	1.4310	0.0000	0.0000	0.0000	0.4667	0.0000	0.9727	0.4198	0.2270	3.5036	5.6986	4.4933	7.4545	7.2570	9.3832	0.5054	0.0000	0.0000	0.0000	0.7329	0.0000	1.5091	0.6597	1.5285	7.2307	5.8215	1.5370	2.0926	6.0210	6.1862	1.2378	0.0000	0.0000	0.0000	0.3427	0.0000	0.7311	0.3054	0.7905	1.5952	96.2400	24.5330	35.9610	99.3177	102.7391	35.4217	0.0000	0.0000	0.0000	2.8862	0.0000	4.7002	2.8716	0.0000	0.0000	18.4661	13.4864	17.6094	22.8666	25.5165	13.0226	0.0000	0.0000	0.0000	0.7586	0.0000	1.5676	0.6915	0.6805	14.4247
4	-2.7632	-2.6376	15.1745	-1	3.5986	10.7123	0.0919	0.7716	4.4756	8.6262	5.2515	9.7182	6.9000	2.6658	0.0000	0.0000	0.0000	0.4375	0.0000	0.9556	0.3952	0.8712	8.0800	5.7190	8.9129	6.2692	10.5900	8.4858	3.4566	0.0000	0.0000	0.0000	0.7098	0.0000	1.4961	0.6441	0.8485	7.9759	5.8989	8.1275	4.8516	10.0426	7.6377	2.3619	0.0000	0.0000	0.0000	0.3313	0.0000	0.7579	0.3019	0.8485	7.6801	57.3877	18.3181	48.6207	60.2404	75.2152	18.2687	0.0000	0.0000	0.0000	0.8833	0.0000	0.8636	0.5320	0.0000	45.9875	16.7917	21.3436	6.8950	27.1571	18.1522	5.3872	0.0000	0.0000	0.0000	0.5892	0.0000	1.1906	0.5138	1.3960	20.5560
5	-2.6376	-2.5120	14.2403	-1	3.6181	9.6701	0.0008	0.9513	4.4553	7.9702	7.4778	9.1309	8.7044	1.3754	0.0000	0.0000	0.0000	0.4477	0.0000	0.9930	0.4096	1.6505	7.7639	5.8044	9.0807	6.2708	10.7773	8.5448	1.0780	0.0000	0.0000	0.0000	0.7548	0.0000	1.6248	0.6927	0.9166	8.8277	6.0308	8.1668	8.2617	10.1522	10.2287	2.7272	0.0000	0.0000	0.0000	0.3243	0.0000	0.7482	0.2987	2.2007	7.6804	95.1046	6872.5854	96.3141	6873.2434	135.3562	15.9962	0.0000	0.0000	0.0000	0.2035	0.0000	0.5934	0.2285	0.0000	6872.5673	14.2239	5.0490	8.5498	15.0934	16.5958	5.4095	0.0000	0.0000	0.0000	0.5344	0.0000	1.0780	0.4603	3.1870	5.6600
6	-2.5120	-2.3864	14.4562	-1	3.6635	9.7979	0.1154	0.8794	4.3690	3.1356	5.5114	5.3777	7.0331	1.3248	0.0000	0.0000	0.0000	0.4735	0.0000	1.0379	0.4355	0.7131	5.3659	5.7162	6.7630	10.5621	8.8551	12.0097	1.5658	0.0000	0.0000	0.0000	0.7483	0.0000	1.6016	0.6814	0.7467	10.2879	5.8915	3.0213	3.7151	6.6211	6.9651	2.2877	0.0000	0.0000	0.0000	0.3599	0.0000	0.8093	0.3334	1.2343	3.4146	48.0275	22.9417	21.8767	53.2256	52.7753	22.9293	0.0000	0.0000	0.0000	0.4425	0.0000	0.5212	0.3205	0.0000	8.6484	15.5767	4.8744	7.5933	16.3215	17.3289	3.1575	0.0000	0.0000	0.0000	0.5985	0.0000	1.3040	0.5638	2.7995	7.3058
7	-2.3864	-2.2608	14.1456	-1	3.5541	9.7651	0.0447	0.7817	4.5920	7.9699	2.3597	9.1982	5.1628	0.7857	0.0000	0.0000	0.0000	0.4105	0.0000	0.9380	0.3787	0.8702	7.8458	6.0577	5.9346	4.7587	8.4803	7.7033	1.3161	0.0000	0.0000	0.0000	0.6499	0.0000	1.3716	0.5797	1.5111	5.5541	6.1221	8.7933	1.3224	10.7146	6.2633	0.7119	0.0000	0.0000	0.0000	0.3015	0.0000	0.7516	0.2883	1.5595	8.6111	61.1181	11.2145	8.0708	62.1384	61.6486	11.1808	0.0000	0.0000	0.0000	0.2678	0.0000	0.7730	0.2897	0.0000	0.0000	16.8947	10.8879	9.4337	20.0992	19.3500	5.5777	0.0000	0.0000	0.0000	0.6912	0.0000	1.3052	0.5999	1.0542	9.1533
8	-2.2608	-2.1352	14.4536	-1	3.3884	10.0017	0.1031	0.9605	4.4973	4.0893	5.0579	6.0785	6.7682	0.6276	0.0000	0.0000	0.0000	0.4473	0.0000	0.9919	0.4080	1.4690	4.6576	5.7119	7.8837	4.4350	9.7354	7.2316	0.3600	0.0000	0.0000	0.0000	0.6250	0.0000	1.3550	0.5673	0.6136	7.6875	6.0129	3.2131	6.1885	6.8176	8.6286	1.1120	0.0000	0.0000	0.0000	0.3662	0.0000	0.8206	0.3320	2.2655	5.5691	49.2128	43.9918	16.1873	66.0090	51.8067	22.7528	0.0000	0.0000	0.0000	0.4282	0.0000	0.6944	0.3578	0.0000	37.6404	15.0213	3.4252	4.0437	15.4069	15.5561	2.9128	0.0000	0.0000	0.0000	0.6670	0.0000	1.5267	0.6428	2.7096	1.5235
9	-2.1352	-2.0096	13.4576	-1	3.9579	8.4080	0.1266	0.9650	4.6235	6.5596	4.0134	8.0253	6.1225	2.7287	0.0000	0.0000	0.0000	0.4577	0.0000	1.0289	0.4230	0.8036	6.1361	5.6986	4.5565	6.6724	7.2963	8.7747	1.6862	0.0000	0.0000	0.0000	0.6623	0.0000	1.4224	0.6019	0.2986	6.2935	6.5931	8.0244	4.6103	10.3855	8.0451	4.5171	0.0000	0.0000	0.0000	0.3296	0.0000	0.8010	0.3146	1.5403	7.1987	55.0362	39.5459	35.2074	67.7707	65.3341	19.1537	0.0000	0.0000	0.0000	0.6491	0.0000	0.6296	0.4585	0.0000	34.5830	16.0945	4.9529	8.2628	16.8394	18.0916	3.3390	0.0000	0.0000	0.0000	0.7089	0.0000	1.4535	0.6295	3.4549	7.0028
10	-2.0096	-1.8840	14.5348	-1	3.6077	10.0517	0.0685	0.8068	4.5431	5.5767	7.4529	7.1930	8.7284	0.9086	0.0000	0.0000	0.0000	0.4301	0.0000	0.9549	0.3889	1.3787	7.2259	5.7568	9.1865	7.7861	10.8412	9.6832	3.6509	0.0000	0.0000	0.0000	0.6270	0.0000	1.3244	0.5586	2.4937	8.7561	6.0402	4.3476	7.0362	7.4422	9.2732	1.3651	0.0000	0.0000	0.0000	0.3543	0.0000	0.8066	0.3233	1.3151	6.8673	99.4751	5.6199	23.2311	99.6337	102.1518	23.2089	0.0000	0.0000	0.0000	0.1891	0.0000	0.9778	0.2045	0.0000	0.0907	17.3602	12.4830	19.3022	21.3823	25.9605	9.0930	0.0000	0.0000	0.0000	0.5141	0.0000	1.1492	0.4632	4.0850	16.8198
