Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	18.8006	0.0000	3.4117	14.6846	0.1308	0.5735	4.4776	10.2103	7.6124	11.1490	8.8317	1.8549	0.0000	0.0000	0.0000	0.4330	0.0000	1.0457	0.4508	0.6139	10.0773	7.3243	17.2895	9.9816	18.7769	12.3805	1.5396	0.0000	0.0000	0.0000	0.8054	0.0000	1.8254	0.7856	1.4951	17.0908	5.3987	7.7209	6.9221	9.4211	8.7784	2.1946	0.0000	0.0000	0.0000	0.3288	0.0000	0.8356	0.3578	0.5978	7.4689	57.8731	92.6741	5.6482	109.2602	58.1480	5.4747	0.0000	0.0000	0.0000	0.5233	0.0000	1.1823	0.5169	0.0000	92.5778	19.0973	16.8652	17.7696	25.4783	26.0858	8.3265	0.0000	0.0000	0.0000	0.8660	0.0000	1.7557	0.8244	0.2478	16.3313
3	-2.3000	-2.2000	19.3868	0.0000	4.1426	14.1293	0.1220	0.9929	4.3716	11.3724	9.5564	12.1837	10.5088	0.3544	0.0000	0.0000	0.0000	0.4067	0.0000	1.0499	0.4201	0.9240	11.2709	6.7384	10.0154	10.3222	12.0712	12.3270	1.1078	0.0000	0.0000	0.0000	0.6551	0.0000	1.5618	0.6303	2.6982	10.0664	5.5151	11.9693	9.8859	13.1788	11.3202	0.6000	0.0000	0.0000	0.0000	0.3264	0.0000	0.8869	0.3537	1.4785	11.8307	63.0902	22.0568	5.6767	66.8347	63.3451	5.6003	0.0000	0.0000	0.0000	0.2863	0.0000	0.8465	0.2613	0.0000	22.0104	16.6158	9.7426	5.1837	19.2614	17.4056	2.6463	0.0000	0.0000	0.0000	0.5276	0.0000	1.2594	0.5073	2.6104	9.6331
4	-2.2000	-2.1000	22.7984	0.0000	5.0022	16.7849	0.1221	0.8892	4.0235	6.1452	6.4999	7.3452	7.6444	1.4716	0.0000	0.0000	0.0000	0.4512	0.0000	1.1481	0.4669	1.5016	6.1939	6.4607	8.0695	12.2493	10.3372	13.8487	3.9629	0.0000	0.0000	0.0000	0.7600	0.0000	1.7085	0.7281	1.2879	11.3460	5.0322	5.4858	4.9388	7.4442	7.0509	0.6476	0.0000	0.0000	0.0000	0.3367	0.0000	0.9502	0.3674	1.7963	5.0597	59.8860	8.4985	10.8467	60.4860	60.8604	8.4707	0.0000	0.0000	0.0000	0.1626	0.0000	0.5804	0.3289	0.0000	10.8251	15.1856	13.2583	5.9010	20.1590	16.2918	4.9240	0.0000	0.0000	0.0000	0.9144	0.0000	1.8091	0.8956	4.9280	11.0608
5	-2.1000	-2.0000	23.1754	0.0000	4.9824	17.1275	0.1474	0.9181	3.9808	6.8464	7.6475	7.9196	8.6216	1.2915	0.0000	0.0000	0.0000	0.3952	0.0000	1.0189	0.4057	0.6935	7.4398	6.0129	11.4833	11.4990	12.9623	12.9763	0.5413	0.0000	0.0000	0.0000	0.6068	0.0000	1.4717	0.5771	1.3065	11.3407	5.0313	5.5015	6.4063	7.4552	8.1458	1.6684	0.0000	0.0000	0.0000	0.3245	0.0000	0.8710	0.3485	1.0556	6.1162	42.3754	5.2301	2.1765	42.6970	42.4313	5.1695	0.0000	0.0000	0.0000	0.2444	0.0000	0.7059	0.2681	0.0000	0.0000	13.2902	11.3014	14.0242	17.4456	19.3211	3.7648	0.0000	0.0000	0.0000	0.5908	0.0000	1.3720	0.5648	5.0066	12.4474
6	-2.0000	-1.9000	25.1518	0.0000	5.1452	18.3633	0.2006	1.4427	3.7990	2.8123	5.2340	4.7267	6.4674	0.3321	0.0000	0.0000	0.0000	0.4323	0.0000	1.0886	0.4458	1.3077	4.9118	5.8689	3.7318	6.9799	6.9549	9.1194	1.0725	0.0000	0.0000	0.0000	0.8026	0.0000	1.7630	0.7489	2.4853	6.1475	4.8044	2.3400	4.9497	5.3439	6.8980	0.7531	0.0000	0.0000	0.0000	0.3099	0.0000	0.8644	0.3435	1.0261	4.6961	46.6254	10.4682	3.6730	47.7861	46.7699	10.4231	0.0000	0.0000	0.0000	0.2994	0.0000	0.8780	0.2847	0.0000	0.0000	12.9170	9.1180	5.1689	15.8110	13.9128	3.6049	0.0000	0.0000	0.0000	0.6895	0.0000	1.5669	0.6891	4.4404	6.8571
7	-1.9000	-1.8000	28.2231	0.0000	6.1493	20.4323	0.2822	1.3593	3.5435	3.6674	4.8961	5.0997	6.0439	0.6669	0.0000	0.0000	0.0000	0.4179	0.0000	1.0921	0.4325	0.5580	4.6736	5.3512	5.1147	6.9784	7.4024	8.7939	1.6288	0.0000	0.0000	0.0000	0.7046	0.0000	1.6300	0.6741	0.6992	6.5851	4.5218	3.5114	4.3861	5.7251	6.2995	0.4399	0.0000	0.0000	0.0000	0.3199	0.0000	0.9035	0.3497	0.6345	4.2159	43.0253	1.5078	31.8922	43.0517	53.5564	3.7144	0.0000	0.0000	0.0000	0.4791	0.0000	1.1014	0.4783	22.3792	22.3792	11.2914	5.0971	5.0059	12.3885	12.3513	2.6045	0.0000	0.0000	0.0000	0.5812	0.0000	1.4922	0.5750	0.6314	4.7567
8	-1.8000	-1.7000	30.0723	0.0000	6.2143	22.2507	0.1613	1.4460	3.5127	2.7098	3.3005	4.4365	4.8200	0.6161	0.0000	0.0000	0.0000	0.4588	0.0000	1.1117	0.4620	0.4859	2.9792	5.1854	4.0361	3.5521	6.5711	6.2854	1.5161	0.0000	0.0000	0.0000	0.8121	0.0000	1.7782	0.7746	0.3399	3.0829	4.4081	2.4526	3.0977	5.0445	5.3877	0.1812	0.0000	0.0000	0.0000	0.3511	0.0000	0.9223	0.3673	0.7226	2.9090	51.2317	26.0208	30.1117	57.4610	59.4256	30.1011	0.0000	0.0000	0.0000	0.2303	0.0000	0.6726	0.3714	0.0000	0.0000	14.3708	3.1836	7.0813	14.7192	16.0207	3.4001	0.0000	0.0000	0.0000	0.6228	0.0000	1.2106	0.5858	2.1168	5.6524
9	-1.7000	-1.6000	34.4964	0.0000	7.0651	25.6794	0.2112	1.5407	3.2994	2.8065	3.0379	4.3316	4.4850	0.8036	0.0000	0.0000	0.0000	0.4434	0.0000	1.1290	0.4530	0.8063	2.6309	4.8789	4.8103	4.9917	6.8515	6.9800	0.6140	0.0000	0.0000	0.0000	0.7703	0.0000	1.6889	0.7215	2.1905	4.5435	4.1297	2.7405	2.9130	4.9563	5.0537	1.2482	0.0000	0.0000	0.0000	0.3433	0.0000	0.9542	0.3695	0.4945	2.4483	51.3278	45.1991	9.7538	68.3923	52.2464	9.7232	0.0000	0.0000	0.0000	0.1996	0.0000	0.6823	0.3068	34.4499	29.2264	13.0222	1.9684	3.5301	13.1701	13.4922	0.5827	0.0000	0.0000	0.0000	0.6559	0.0000	1.5350	0.6361	0.5866	3.0443
10	-1.6000	-1.5000	37.3888	0.0000	8.2396	27.1763	0.1974	1.7756	3.0809	3.6029	2.4424	4.7406	3.9316	0.0842	0.0000	0.0000	0.0000	0.4692	0.0000	1.1647	0.4820	1.0555	3.1714	4.6582	4.1381	4.2515	6.2308	6.3067	1.3385	0.0000	0.0000	0.0000	0.7604	0.0000	1.6859	0.7349	0.4918	3.5202	3.9211	3.1678	1.8410	5.0408	4.3318	0.2202	0.0000	0.0000	0.0000	0.3700	0.0000	0.9778	0.3947	1.0713	2.7568	41.4734	14.0230	34.5664	43.7800	53.9897	13.9646	0.0000	0.0000	0.0000	0.3820	0.0000	1.1502	0.4084	0.0000	32.5996	10.8920	9.6451	2.8120	14.5487	11.2492	1.9011	0.0000	0.0000	0.0000	0.6473	0.0000	1.6086	0.6521	3.5457	8.7763
11	-1.5000	-1.4000	38.0899	0.0000	8.7215	27.3709	0.0802	1.9172	3.1696	3.9511	3.4510	5.0654	4.6857	0.5837	0.0000	0.0000	0.0000	0.4869	0.0000	1.2118	0.4867	0.2776	3.6402	5.2660	4.7969	8.3471	7.1232	9.8694	0.8218	0.0000	0.0000	0.0000	0.8971	0.0000	1.8925	0.8332	0.3047	7.9982	4.0000	3.5100	2.3446	5.3217	4.6365	0.4997	0.0000	0.0000	0.0000	0.3326	0.0000	0.9632	0.3562	0.2976	3.2889	83.5785	3.1450	20.2921	83.6376	86.0066	20.2784	0.0000	0.0000	0.0000	0.2461	0.0000	0.6532	0.2684	0.0000	0.0000	10.8760	7.4555	2.3442	13.1861	11.1258	1.5731	0.0000	0.0000	0.0000	0.8346	0.0000	1.6882	0.7829	2.5292	6.5233
