Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	9.9972	8.0000	9.0253	0.0822	0.2789	0.6107	8.4879	2.9454	3.3590	8.9844	9.1284	0.4363	0.4189	2.7527	0.8341	0.0000	0.0000	0.0000	0.0000	0.0534	1.6590	9.2037	2.9412	3.4285	9.6623	9.8216	0.4912	0.4177	2.7428	0.8169	0.0000	0.0000	0.0000	0.0000	0.0592	1.8377	74.5613	2.3175	2.3434	74.5973	74.5981	0.3476	0.3972	2.2016	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.0931	8.2056	12.9441	46.8178	47.8761	12.5596	0.4579	2.8132	1.2965	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.1651	6.0474	6.8477	17.2592	17.5556	6.1001	0.4219	2.9457	0.9075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-3.0144	-2.8888	9.2757	6.0000	8.3579	0.1156	0.2057	0.5966	8.3254	7.3372	5.4409	11.0972	9.9457	4.9978	0.4198	2.9294	0.8403	0.0000	0.0000	0.0000	0.0000	0.1738	4.4038	8.9763	7.4130	5.4638	11.6416	10.5085	4.7133	0.4182	2.9887	0.8217	0.0000	0.0000	0.0000	0.0000	0.0189	4.7912	64.2390	1.4392	1.8487	64.2551	64.2656	1.1603	0.3972	1.2441	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	67.0516	32.9845	21.8369	74.7254	70.5178	32.9078	0.4920	1.5625	1.5408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.8826	3.3850	4.1258	16.2393	16.4097	0.5039	0.4224	2.8963	0.9057	0.0000	0.0000	0.0000	0.0000	2.7052	1.3481
3	-2.8888	-2.7632	11.5032	8.0000	10.3472	0.2375	0.2567	0.6618	7.7800	4.0303	3.8863	8.7620	8.6967	0.0836	0.4193	3.4805	0.8371	0.0000	0.0000	0.0000	0.0000	0.0363	1.8031	8.4603	3.8924	3.8384	9.3127	9.2903	0.2740	0.4189	3.5080	0.8292	0.0000	0.0000	0.0000	0.0000	0.0080	1.3989	42.4788	25.4675	18.6225	49.5282	46.3815	7.4871	0.3972	5.0942	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	24.2765	47.4858	4.2806	3.6647	47.6783	47.6270	2.2120	0.4815	3.2423	1.6389	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.7888	3.3257	3.4154	15.1581	15.1781	2.0700	0.4095	2.5648	0.7330	0.0000	0.0000	0.0000	0.0000	0.7554	0.7554
4	-2.7632	-2.6376	12.7367	12.0000	11.5946	0.1731	0.3384	0.6306	7.7284	3.7566	3.7045	8.5930	8.5703	1.2873	0.4237	3.2067	0.8916	0.0000	0.0000	0.0000	0.0000	0.0725	1.0943	8.2942	3.7454	3.7063	9.1007	9.0846	1.3837	0.4243	3.2069	0.9153	0.0000	0.0000	0.0000	0.0000	0.0547	0.9716	51.1828	3.0843	11.6623	51.2757	52.4947	11.5673	0.3972	1.2971	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.6452	13.6320	10.9102	51.4828	50.8299	12.5368	0.4370	5.3176	0.4395	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.1974	6.2531	4.1097	15.5135	14.7803	2.9946	0.4116	2.5939	0.7766	0.0000	0.0000	0.0000	0.0000	0.4591	5.5424
5	-2.6376	-2.5120	13.3663	9.0000	12.2370	0.1408	0.4279	0.5605	7.7596	4.7858	4.4651	9.1167	8.9525	2.1183	0.4208	3.4137	0.8746	0.0000	0.0000	0.0000	0.0000	0.7592	2.9835	8.2700	4.8895	4.4557	9.6073	9.3940	1.9898	0.4214	3.3962	0.8817	0.0000	0.0000	0.0000	0.0000	0.8293	3.2588	54.6466	10.8857	11.1227	55.7203	55.7671	10.8450	0.4050	2.3339	0.6998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.4105	15.2664	14.0139	47.9080	47.5237	14.7841	0.4158	3.6915	0.8325	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.8300	3.9989	3.9592	16.3273	16.3176	0.5617	0.4154	3.8562	0.7953	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-2.5120	-2.3864	12.6731	9.0000	11.3340	0.1752	0.4024	0.7614	7.5866	3.2984	3.3380	8.2726	8.2885	0.7674	0.4192	2.7237	0.8551	0.0000	0.0000	0.0000	0.0000	0.0130	1.4925	8.2667	3.4422	3.4629	8.9547	8.9627	1.0940	0.4200	2.7028	0.8713	0.0000	0.0000	0.0000	0.0000	0.0145	1.6183	50.3480	4.7796	8.4794	50.5744	51.0571	8.0957	0.3972	2.4520	0.4364	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.4138	10.1834	11.5518	39.7407	40.1132	11.1470	0.4008	2.9602	0.5149	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.0026	5.0776	4.4058	16.7889	16.5980	3.9806	0.4227	2.9728	0.8907	0.0000	0.0000	0.0000	0.0000	0.0000	0.7526
7	-2.3864	-2.2608	10.4093	7.0000	9.1381	0.1051	0.3590	0.8072	8.0589	4.0150	3.0534	9.0037	8.6180	1.1396	0.4266	2.8307	0.9045	0.0000	0.0000	0.0000	0.0000	0.0035	2.4101	8.9129	4.1574	3.0819	9.8348	9.4307	1.3929	0.4276	2.8115	0.9152	0.0000	0.0000	0.0000	0.0000	0.0040	2.5335	63.6421	6.9899	10.0264	64.0248	64.4270	8.9569	0.4476	4.3135	1.2235	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.9597	7.9151	6.8184	44.6666	44.4854	7.2764	0.4231	2.9799	0.8024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.9800	3.8969	3.0534	13.5523	13.3343	0.9286	0.4144	2.7890	0.7877	0.0000	0.0000	0.0000	0.0000	0.0000	2.3986
8	-2.2608	-2.1352	10.4776	9.0000	9.0809	0.3464	0.3010	0.7493	7.9917	3.8295	4.5526	8.8618	9.1974	2.8293	0.4205	2.9369	0.8704	0.0000	0.0000	0.0000	0.0000	1.2282	1.2857	8.9118	4.3292	5.1950	9.9076	10.3154	3.6265	0.4220	2.9425	0.8892	0.0000	0.0000	0.0000	0.0000	1.4171	1.4835	36.6074	3.7810	7.3637	36.8021	37.3406	7.0688	0.3972	1.9322	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.1186	8.3773	5.5354	45.8897	45.4569	7.3925	0.4228	3.8091	0.9182	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.4275	3.2072	3.1105	14.7796	14.7590	0.2231	0.4109	2.9831	0.7469	0.0000	0.0000	0.0000	0.0000	0.0000	0.8128
9	-2.1352	-2.0096	10.0494	14.0000	9.1463	0.0669	0.1945	0.6417	8.5190	5.1434	3.7629	9.9513	9.3130	1.6857	0.4206	2.8778	0.8557	0.0000	0.0000	0.0000	0.0000	0.1823	3.7932	9.2126	5.3855	3.9868	10.6713	10.0383	2.1418	0.4208	2.9215	0.8682	0.0000	0.0000	0.0000	0.0000	0.0491	3.8666	58.3941	2.5947	1.8256	58.4517	58.4226	1.8437	0.3972	1.6761	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	53.1705	5.9700	11.3794	53.5046	54.3746	10.8717	0.4646	3.2180	0.8516	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.1202	5.7301	2.6115	17.1083	16.3303	0.9853	0.4071	2.2772	0.7056	0.0000	0.0000	0.0000	0.0000	2.8758	4.2926
10	-2.0096	-1.8840	10.8808	11.0000	9.4493	0.0981	0.4703	0.8631	7.7362	5.0262	5.1845	9.2256	9.3128	1.6462	0.4262	3.2894	0.9320	0.0000	0.0000	0.0000	0.0000	1.4617	3.3474	8.5848	5.4521	5.7842	10.1698	10.3516	2.1812	0.4273	3.3648	0.9424	0.0000	0.0000	0.0000	0.0000	1.6831	3.7236	61.3043	6.2581	1.9869	61.6229	61.3365	5.9730	0.3972	1.7212	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.3071	5.1727	3.4469	37.6640	37.4660	4.0541	0.4334	3.0098	1.0364	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.7085	3.4154	3.4125	15.0999	15.0992	1.7394	0.4139	2.7948	0.7982	0.0000	0.0000	0.0000	0.0000	0.0000	1.4332
