Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	2.0000	4.0000	0.0045	0.0000	0.0045	0.0000	0.0000	0.0000	100.0000	9.6476	10.3099	100.4643	100.5301	7.2718	0.0000	7.0462	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	9.6476	10.3099	100.4643	100.5301	7.2718	0.0000	7.0462	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	8.0000	10.0000	0.0418	0.0000	0.0091	0.0000	0.0000	0.0326	79.5261	41.6749	28.9675	89.7841	84.6375	41.3994	0.5061	4.3435	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	67.5109	16.9061	12.1594	69.5955	68.5972	16.5269	0.5061	2.9421	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	48.6280	33.7029	111.1966	105.5267	48.3553	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	10.0000	12.0000	0.1057	0.0000	0.0015	0.0000	0.1042	0.0000	98.6298	24.8930	22.0406	101.7226	101.0625	23.7620	0.3973	7.3829	0.6016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	68.0580	41.3223	26.9407	79.6204	73.1962	41.2714	0.4035	1.9758	0.3659	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	24.6829	21.9860	103.0012	102.3884	23.5180	0.3972	7.4582	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	12.0000	14.0000	0.1975	1.0000	0.1892	0.0000	0.0000	0.0083	82.4643	27.8618	23.4824	87.0439	85.7426	27.7423	0.4981	1.7362	1.8389	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	85.9851	27.9195	23.5081	90.4043	89.1407	27.7972	0.5026	1.7250	1.8932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	26.5802	22.9333	103.4723	102.5960	26.4957	0.3972	1.9912	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	14.0000	16.0000	0.0262	0.0000	0.0177	0.0000	0.0000	0.0086	49.4513	25.2991	22.0261	55.5470	54.1348	25.0644	0.4607	3.1136	1.3845	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.1143	22.9529	20.2732	59.7028	58.7247	22.6012	0.4916	3.5595	1.7635	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	30.2193	25.7309	104.4663	103.2573	30.1307	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	16.0000	18.0000	0.6403	0.0000	0.4420	0.0000	0.1921	0.0062	44.4253	22.9851	20.2326	50.0192	48.8156	22.8095	0.4370	2.5574	1.1442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.2486	23.3238	20.3829	60.8926	59.8278	23.1270	0.4355	2.7630	1.1490	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.8849	22.3441	19.9708	75.2774	74.6074	22.2268	0.4417	1.9255	1.1506	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	19.7283	18.7278	101.9275	101.7385	18.2499	0.3972	7.4582	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	18.0000	20.0000	0.4862	1.0000	0.2589	0.0733	0.1352	0.0189	38.7448	17.3212	15.0256	42.4404	41.5563	16.7678	0.4629	4.0838	1.4047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0041	55.6915	16.8375	14.8113	58.1812	57.6274	16.3354	0.4545	3.8431	1.2963	0.0000	0.0000	0.0000	0.0000	0.0000	0.0077	100.0000	23.6531	20.8232	102.7593	102.1450	23.5180	0.5061	1.5330	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.7641	14.4324	12.3511	72.2208	71.8339	12.9892	0.4495	6.1498	1.2468	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.8489	23.7651	19.1436	74.7285	73.3897	23.5485	0.5061	2.4952	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	20.0000	22.0000	0.6822	0.0000	0.3352	0.0000	0.3317	0.0153	32.2770	15.8903	14.7654	35.9765	35.4940	15.7043	0.4185	2.2265	0.8627	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.2333	16.3654	14.1231	46.2271	45.4816	16.0508	0.4118	3.0697	0.7788	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.8494	15.4664	15.5312	52.1936	52.2128	15.4401	0.4246	1.3250	0.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	77.4997	15.6433	13.7377	79.0627	78.7079	15.2525	0.4301	3.2972	1.0080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	22.0000	24.0000	0.9863	1.0000	0.5347	0.0000	0.3605	0.0911	26.2640	17.5207	16.0584	31.5717	30.7843	17.0740	0.4586	3.7094	1.2179	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.0637	13.0133	13.2099	37.4006	37.4695	12.5280	0.4709	3.8879	1.4877	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.1243	21.8842	18.8967	52.8665	51.7014	21.6715	0.4467	2.8851	0.8615	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.2394	27.4576	22.0788	54.6395	52.1443	26.7871	0.4331	5.9242	1.0448	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	24.0000	26.0000	0.6799	5.0000	0.3310	0.0484	0.2745	0.0260	29.3209	14.8713	12.6085	32.8766	31.9169	14.5332	0.4429	2.9462	1.0264	0.0000	0.0000	0.0000	0.0000	0.0000	0.0960	40.3244	14.7302	12.7976	42.9306	42.3065	14.3395	0.4546	3.0660	1.3081	0.0000	0.0000	0.0000	0.0000	0.0000	0.1971	100.0000	17.7216	13.0319	101.5581	100.8456	17.1701	0.5061	4.3577	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.0893	14.8732	12.5170	52.2508	51.6295	14.5877	0.4219	2.7219	0.9078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	11.5876	10.7434	100.6691	100.5755	11.5069	0.3972	1.1577	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
