Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	3.8882	2.0000	3.4350	0.0616	0.2319	0.1596	14.4939	4.4041	4.3465	15.1483	15.1316	4.0579	0.0000	0.0000	0.0000	0.4865	0.0000	1.4272	0.3976	0.0826	2.9456	15.8413	4.8158	4.8421	16.5571	16.5648	4.5936	0.0000	0.0000	0.0000	0.4647	0.0000	1.4074	0.3853	0.0935	3.3342	51.4754	43.0683	39.2467	67.1162	64.7303	43.0601	0.0000	0.0000	0.0000	0.1105	0.0000	0.8073	0.1978	0.0000	0.0000	55.8769	6.4349	7.1899	56.2462	56.3376	7.0558	0.0000	0.0000	0.0000	0.5925	0.0000	1.2034	0.3508	0.0000	0.0000	38.0433	9.4092	6.9008	39.1896	38.6641	9.0079	0.0000	0.0000	0.0000	0.9470	0.0000	2.4173	0.8073	0.0000	0.0000
3	-2.3000	-2.2000	4.7488	6.0000	4.1570	0.0335	0.3187	0.2397	13.0111	2.3383	5.6085	13.2196	14.1685	3.0814	0.0000	0.0000	0.0000	0.4025	0.0000	1.3842	0.3043	2.9962	3.2922	14.3147	2.9513	6.6532	14.6158	15.7853	4.1329	0.0000	0.0000	0.0000	0.4360	0.0000	1.4020	0.3242	3.4227	3.6380	100.0000	19.4364	31.1434	101.8714	104.7373	31.1391	0.0000	0.0000	0.0000	0.0212	0.0000	0.5131	0.0617	0.0000	0.0000	46.8829	7.3787	6.8794	47.4600	47.3850	7.3139	0.0000	0.0000	0.0000	0.0672	0.0000	0.9672	0.1058	0.0000	0.0000	27.1304	5.5533	4.3920	27.6929	27.4835	5.2542	0.0000	0.0000	0.0000	0.3196	0.0000	1.7506	0.2568	0.0000	2.1306
4	-2.2000	-2.1000	7.2991	5.0000	6.8761	0.0965	0.1744	0.1521	10.9825	4.3528	3.2758	11.8136	11.4606	3.3043	0.0000	0.0000	0.0000	0.4655	0.0000	1.6093	0.3675	0.5589	2.1850	11.5150	5.0920	3.9957	12.5906	12.1885	4.3589	0.0000	0.0000	0.0000	0.4715	0.0000	1.6195	0.3687	0.5933	1.8962	59.7392	31.4985	30.0196	67.5346	66.8576	31.4811	0.0000	0.0000	0.0000	0.0832	0.0000	1.0357	0.1239	0.0000	0.0000	59.5590	2.2506	9.6091	59.6015	60.3291	9.5475	0.0000	0.0000	0.0000	0.1006	0.0000	1.0761	0.1433	0.0000	0.0000	26.0554	20.5611	8.8292	33.1910	27.5107	8.4995	0.0000	0.0000	0.0000	0.8531	0.0000	2.1232	0.7269	0.0000	19.1277
5	-2.1000	-2.0000	6.9927	8.0000	6.3897	0.1685	0.2228	0.2117	10.3706	2.1173	4.0047	10.5845	11.1170	1.5685	0.0004	0.0000	0.0000	0.3470	0.0000	1.3501	0.2890	1.5302	3.0384	11.0813	2.1699	3.9424	11.2918	11.7617	1.7298	0.0000	0.0000	0.0000	0.3594	0.0000	1.3674	0.2996	1.6746	2.7714	53.8749	8.8165	4.3067	54.5915	54.0468	8.7592	0.0000	0.0000	0.0000	0.0537	0.0000	0.9982	0.0859	0.0000	0.0000	52.2709	2.0589	2.3854	52.3114	52.3253	2.2139	0.0000	0.0000	0.0000	0.0373	0.0000	0.8890	0.0741	0.0000	0.0000	24.7048	4.7131	17.3250	25.1504	30.1742	4.3893	0.0123	0.0000	0.0000	0.5330	0.0000	1.5921	0.3587	0.0000	16.7116
6	-2.0000	-1.9000	8.4499	6.0000	7.3944	0.2136	0.4967	0.3452	9.0921	4.9227	4.0200	10.3392	9.9411	3.6596	0.0000	0.0000	0.0000	0.4797	0.0000	1.6071	0.3968	1.3062	2.4826	9.9822	4.9836	4.7004	11.1571	11.0335	4.0100	0.0000	0.0000	0.0000	0.5095	0.0000	1.6677	0.4189	1.1820	2.4958	39.8309	9.8549	6.5150	41.0319	40.3602	9.8242	0.0000	0.0000	0.0000	0.0636	0.0000	0.7662	0.1069	0.0000	0.0000	33.5716	10.2365	8.0029	35.0975	34.5123	10.1916	0.0000	0.0000	0.0000	0.1121	0.0000	0.9395	0.1421	0.0000	0.0000	29.5017	22.3422	11.4612	37.0071	31.6498	19.9414	0.0000	0.0000	0.0000	0.6281	0.0000	1.7896	0.4681	6.6542	7.3089
7	-1.9000	-1.8000	10.3037	7.0000	9.2010	0.1071	0.5411	0.4545	8.5303	3.3610	4.1575	9.1685	9.4895	0.2618	0.0000	0.0000	0.0000	0.3757	0.0000	1.4780	0.3110	0.1450	3.8479	9.1180	3.6955	4.4065	9.8384	10.1269	0.4126	0.0000	0.0000	0.0000	0.3869	0.0000	1.5091	0.3180	0.1623	4.0899	64.2935	5.6989	6.6899	64.5456	64.6406	6.5454	0.0000	0.0000	0.0000	0.1246	0.0000	1.3759	0.1667	0.0000	0.0000	43.7181	5.1661	1.1735	44.0223	43.7339	5.1224	0.0000	0.0000	0.0000	0.0714	0.0000	0.6520	0.1372	0.0000	0.0000	19.6651	2.5945	5.0501	19.8355	20.3032	1.6726	0.0000	0.0000	0.0000	0.5704	0.0000	1.8549	0.4097	0.0000	4.4350
8	-1.8000	-1.7000	10.7619	5.0000	9.0942	0.4439	1.0054	0.2184	8.0361	4.3396	4.8987	9.1329	9.4115	0.8772	0.0020	0.0000	0.0000	0.3948	0.0000	1.5096	0.3502	0.0596	4.5803	8.8647	4.6982	5.7842	10.0327	10.5849	1.3569	0.0000	0.0000	0.0000	0.4300	0.0000	1.5883	0.3713	0.0705	5.3669	32.8724	3.7066	2.2046	33.0807	32.9462	3.6437	0.0496	0.0000	0.0000	0.0775	0.0000	0.6592	0.1414	0.0000	0.0000	26.7777	3.7020	1.4144	27.0324	26.8150	3.5495	0.0000	0.0000	0.0000	0.1038	0.0000	1.0332	0.1671	0.0000	0.0000	29.8699	18.4933	3.7411	35.1314	30.1033	3.2211	0.0000	0.0000	0.0000	0.9157	0.0000	2.1576	0.7350	0.0000	18.0442
9	-1.7000	-1.6000	12.8701	8.0000	10.9077	0.4430	0.8642	0.6552	7.3771	4.7465	4.8029	8.7722	8.8028	1.8484	0.0013	0.0000	0.0000	0.4357	0.0000	1.6471	0.4097	0.9145	4.2017	8.2619	5.2335	4.9776	9.7800	9.6455	1.3129	0.0000	0.0000	0.0000	0.4804	0.0000	1.7338	0.4456	1.0790	4.7149	32.1464	7.1304	13.8688	32.9277	35.0105	13.8314	0.0369	0.0000	0.0000	0.0763	0.0000	1.0105	0.1309	0.0000	0.0000	27.6675	8.6729	8.1989	28.9950	28.8568	8.6273	0.0000	0.0000	0.0000	0.1069	0.0000	0.8686	0.1517	0.0000	0.0000	16.6181	3.9448	8.4427	17.0798	18.6397	3.5379	0.0000	0.0000	0.0000	0.3687	0.0000	1.6613	0.3399	0.1847	8.0860
10	-1.6000	-1.5000	15.4064	12.0000	12.7048	0.6063	1.3821	0.7132	6.8558	4.1004	3.2480	7.9884	7.5862	0.4138	0.0007	0.0000	0.0000	0.4677	0.0000	1.6139	0.4365	0.0575	3.7036	7.8094	4.6588	3.8179	9.0935	8.6927	0.7551	0.0000	0.0000	0.0000	0.5066	0.0000	1.7073	0.4725	0.0697	4.2112	28.5353	9.8914	16.9651	30.2010	33.1975	16.9216	0.0181	0.0000	0.0000	0.3184	0.0000	1.1360	0.3007	0.0000	0.0000	21.2715	5.4111	5.5531	21.9489	21.9844	5.4661	0.0000	0.0000	0.0000	0.1349	0.0000	0.9589	0.1718	0.0000	0.0000	17.0910	5.8895	2.7871	18.0773	17.3168	2.5879	0.0000	0.0000	0.0000	0.5468	0.0000	1.6259	0.4238	0.0000	4.9867
11	-1.5000	-1.4000	16.2036	13.0000	13.5063	0.7326	1.3736	0.5911	6.7185	5.9014	3.1250	8.9424	7.4097	0.1654	0.0000	0.0000	0.0000	0.3908	0.0000	1.5653	0.3838	0.2345	5.6604	7.5688	6.9958	3.5142	10.3067	8.3448	0.3273	0.0000	0.0000	0.0000	0.3962	0.0000	1.6132	0.3831	0.2813	6.7760	27.4918	7.8707	4.8130	28.5963	27.9099	7.8320	0.0000	0.0000	0.0000	0.0822	0.0000	0.7673	0.1122	0.0000	0.0000	21.4924	5.8709	8.4700	22.2798	23.1011	8.3640	0.0000	0.0000	0.0000	0.3208	0.0000	1.2432	0.3875	0.0000	0.0000	18.8435	2.9201	3.6408	19.0684	19.1920	1.5314	0.0000	0.0000	0.0000	0.8119	0.0000	2.2090	0.7269	0.0000	2.4535
